#TSV
#============Begin of sheet============
@Sheet=PlaySkillInfo-摩托艇
skillid	level	技能描述	前置状态	跳转状态	IsTown	IsAngry	前置条件	前置条件参数1	前置条件参数2	group1	group2	group3	group4	FireModeName	SkillAttack	SkillAttrAttack	SkillSpecialAttack	AttackInfo	耐力	怒气	SP1	SP2	斩味消耗	技能启动时效果类型	start参数1	start参数2	eventname	技能触发效果类型	trigger参数1	trigger参数2	技能结束时效果类型	stop参数1	stop参数2	FSM处理类型	FSM处理参数	costshiji	param1
100020401	1	摩托艇加速				0													10					开启耐力衰减	5						结束耐力衰减						
100020402	1	奥义				1														10000																	
#============End of sheet============

#============Begin of sheet============
@Sheet=PlayerSkillInfo-双剑
skillid	level	技能描述	前置状态	跳转状态	IsTown	IsAngry	前置条件	前置条件参数1	前置条件参数2	group1	group2	group3	group4	FireModeName	SkillAttack	SkillAttrAttack	SkillSpecialAttack	SkillSpecialAttack_Poison	SkillSpecialAttack_Sleep	SkillSpecialAttack_Paraylze	SkillSpecialAttack_Dynamite	AttackInfo	耐力	怒气	SP1	SP2	斩味消耗	增加鬼人槽	技能启动时效果类型	start参数1	start参数2	eventname	技能触发效果类型	trigger参数1	trigger参数2	技能结束时效果类型	stop参数1	stop参数2	FSM处理类型	FSM处理参数
100600105	2	Combo03（强化）		COMBAT_Combo03		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600106	1	（拔刀）左右斩		COMBAT_LR_Slash		0				601			605	LR_Slash	1	1	0.8	0.8	0.8	0.8	0.8	LR_Slash					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600106	1	（拔刀）左右斩		COMBAT_LR_Slash		0				601																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600106	2	（拔刀）左右斩（强化）		COMBAT_LR_Slash		0	双刀鬼人槽等级	1		601			605	LR_Slash	1	1	0.8	0.8	0.8	0.8	0.8	LR_Slash					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600106	2	（拔刀）左右斩（强化）		COMBAT_LR_Slash		0				601																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600109	1	左旋斩-1		COMBAT_L_SpinAttack01		0	不存在Buff	10908					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600109	1	左旋斩-1		COMBAT_L_SpinAttack01		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600109	2	左旋斩-1（强化）		COMBAT_L_SpinAttack01		0	双刀鬼人槽等级	1					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600109	2	左旋斩-1（强化）		COMBAT_L_SpinAttack01		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600109	3	左旋斩-1（鬼人化）		COMBAT_L_SpinAttack01		0	双刀鬼人槽等级	2			602			L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600110	1	左旋斩-2		COMBAT_L_SpinAttack02		0	不存在Buff	10908					605	L_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack02					5000	11	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600110	1	左旋斩-2		COMBAT_L_SpinAttack02		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600110	2	左旋斩-2（强化）		COMBAT_L_SpinAttack02		0	双刀鬼人槽等级	1					605	L_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack02					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600110	2	左旋斩-2（强化）		COMBAT_L_SpinAttack02		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600110	3	左旋斩-2（鬼人化）		COMBAT_L_SpinAttack02		0	双刀鬼人槽等级	2			602			L_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack02					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600112	1	右旋斩-1		COMBAT_R_SpinAttack01		0	不存在Buff	10908					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600112	1	右旋斩-1		COMBAT_R_SpinAttack01		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600112	2	右旋斩-1（强化）		COMBAT_R_SpinAttack01		0	双刀鬼人槽等级	1					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600112	2	右旋斩-1（强化）		COMBAT_R_SpinAttack01		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600112	3	右旋斩-1（鬼人化）		COMBAT_R_SpinAttack01		0	双刀鬼人槽等级	2			602			R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600113	1	右旋斩-2		COMBAT_R_SpinAttack02		0	不存在Buff	10908					605	R_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack02					5000	11	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600113	1	右旋斩-2		COMBAT_R_SpinAttack02		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600113	2	右旋斩-2（强化）		COMBAT_R_SpinAttack02		0	双刀鬼人槽等级	1					605	R_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack02					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600113	2	右旋斩-2（强化）		COMBAT_R_SpinAttack02		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600113	3	右旋斩-2（鬼人化）		COMBAT_R_SpinAttack02		0	双刀鬼人槽等级	2			602			R_SpinAttack02	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack02					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600114	1	（天赋Repeat）左旋斩-1		COMBAT_L_SpinAttack01_Repeat		0	存在Buff	19060002					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600114	1	（天赋Repeat）左旋斩-1		COMBAT_L_SpinAttack01_Repeat		0	不存在Buff	10908																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600114	2	（天赋Repeat）左旋斩-1（强化）		COMBAT_L_SpinAttack01_Repeat		0	双刀鬼人槽等级	1					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600114	2	（天赋Repeat）左旋斩-1（强化）		COMBAT_L_SpinAttack01_Repeat		0	存在Buff	19060002																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600114	3	（天赋Repeat）左旋斩-1（鬼人化）		COMBAT_L_SpinAttack01_Repeat		0	双刀鬼人槽等级	2			602			L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600114	3	（天赋Repeat）左旋斩-1（鬼人化）		COMBAT_L_SpinAttack01_Repeat		0	存在Buff	19060002																																
100600115	1	（天赋Repeat）右旋斩-1		COMBAT_R_SpinAttack01_Repeat		0	存在Buff	19060002					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600115	1	（天赋Repeat）右旋斩-1		COMBAT_R_SpinAttack01_Repeat		0	不存在Buff	10908																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600115	2	（天赋Repeat）右旋斩-1（强化）		COMBAT_R_SpinAttack01_Repeat		0	双刀鬼人槽等级	1					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600115	2	（天赋Repeat）右旋斩-1（强化）		COMBAT_R_SpinAttack01_Repeat		0	存在Buff	19060002																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600115	3	（天赋Repeat）右旋斩-1（鬼人化）		COMBAT_R_SpinAttack01_Repeat		0	双刀鬼人槽等级	2			602			R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600115	3	（天赋Repeat）右旋斩-1（鬼人化）		COMBAT_R_SpinAttack01_Repeat		0	存在Buff	19060002																																
100600116	1	（天赋R1 to L1）左旋斩-1		COMBAT_L_SpinAttack01		0	存在Buff	19060002					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600116	1	（天赋R1 to L1）左旋斩-1		COMBAT_L_SpinAttack01		0	不存在Buff	10908																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600116	2	（天赋R1 to L1）左旋斩-1（强化）		COMBAT_L_SpinAttack01		0	双刀鬼人槽等级	1					605	L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600116	2	（天赋R1 to L1）左旋斩-1（强化）		COMBAT_L_SpinAttack01		0	存在Buff	19060002																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600116	3	（天赋R1 to L1）左旋斩-1（鬼人化）		COMBAT_L_SpinAttack01		0	双刀鬼人槽等级	2			602			L_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	L_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600116	3	（天赋R1 to L1）左旋斩-1（鬼人化）		COMBAT_L_SpinAttack01		0	存在Buff	19060002																																
100600117	1	（天赋L1 to R1）右旋斩-1		COMBAT_R_SpinAttack01		0	存在Buff	19060002					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600117	1	（天赋L1 to R1）右旋斩-1		COMBAT_R_SpinAttack01		0	不存在Buff	10908																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600117	2	（天赋L1 to R1）右旋斩-1（强化）		COMBAT_R_SpinAttack01		0	双刀鬼人槽等级	1					605	R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600117	2	（天赋L1 to R1）右旋斩-1（强化）		COMBAT_R_SpinAttack01		0	存在Buff	19060002																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600117	3	（天赋L1 to R1）右旋斩-1（鬼人化）		COMBAT_R_SpinAttack01		0	双刀鬼人槽等级	2			602			R_SpinAttack01	1	1	0.8	0.8	0.8	0.8	0.8	R_SpinAttack01					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600117	3	（天赋L1 to R1）右旋斩-1（鬼人化）		COMBAT_R_SpinAttack01		0	存在Buff	19060002																																
100600118	1	鬼人乱舞（鬼人化）		COMBAT_DevilMode_CrazyWield		0	双刀鬼人槽等级	2			602			DevilMode_CrazyWield	1	0.7	0.8	0.8	0.8	0.8	0.8	DevilMode_CrazyWield					5000		上Buff	10918						下Buff	10918			
100600119	1	落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1				603	604	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600119	1	落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽值	2																								EnterDevilMode	进入鬼人化							
100600119	1	落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060003																																
100600119	1	落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	不存在Buff	19060004																																
100600119	2	落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		1		603	604	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600119	2	落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽值	2		1																						EnterDevilMode	进入鬼人化							
100600119	2	落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060003		1																						DodgeStart	上Buff	15000000		下Buff	15000000			
100600119	2	落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060004		1																			上Buff	10917		End	下Buff	10917		下Buff	10917			
100600120	1	（拔刀）落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		601		603	604	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600120	1	（拔刀）落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽值	2		601																						EnterDevilMode	进入鬼人化							
100600120	1	（拔刀）落叶斩（强化to鬼人化）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060003		601																														
100600120	2	（拔刀）落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		601	1	603	604	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600120	2	（拔刀）落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽值	2		601	1																					EnterDevilMode	进入鬼人化							
100600120	2	（拔刀）落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060003		601	1																					DodgeStart	上Buff	15000000		下Buff	15000000			
100600120	2	（拔刀）落叶斩（强化to鬼人化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060004		601	1																		上Buff	10917		End	下Buff	10917		下Buff	10917			
100600121	1	落叶斩（鬼人化） 可打断鬼人乱舞		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	2			602	603		DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600121	1	落叶斩（鬼人化） 可打断鬼人乱舞		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060005																																
100600121	1	落叶斩（鬼人化） 可打断鬼人乱舞		COMBAT_DevilMode_EnterAttack		0	不存在Buff	19060004																																
100600121	2	落叶斩（鬼人化）（回避无敌时间） 可打断鬼人乱舞（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	2		1		602	603	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600121	2	落叶斩（鬼人化）（回避无敌时间） 可打断鬼人乱舞（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060005		1																						DodgeStart	上Buff	15000000		下Buff	15000000			
100600121	2	落叶斩（鬼人化）（回避无敌时间） 可打断鬼人乱舞（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060004		1																			上Buff	10917		End	下Buff	10917		下Buff	10917			
100600122	1	退出鬼人化攻击动作（鬼人化）		COMBAT_DevilMode_QuitAttack		0	双刀鬼人槽等级	2			602			DevilMode_QuitAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_QuitAttack					5000		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600122	1	退出鬼人化攻击动作（鬼人化）		COMBAT_DevilMode_QuitAttack		0																										QuitDevilMode	离开鬼人化			离开鬼人化				
100600123	1	鬼人乱舞结束的硬直动作		COMBAT_DevilMode_CrazyWield_End		0	不存在Buff	19060005			602																		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600123	1	鬼人乱舞结束的硬直动作		COMBAT_DevilMode_CrazyWield_End		0	不存在Buff	19060006																																
100600123	1	鬼人乱舞结束的硬直动作		COMBAT_DevilMode_CrazyWield_End		0																																		
100600125	1	落叶斩（强化）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1				603	605	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000	5	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600125	1	落叶斩（强化）		COMBAT_DevilMode_EnterAttack		0	不存在Buff	19060004																					上Buff	50601		End	下Buff	50601		下Buff	50601			
100600125	1	落叶斩（强化）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19000000																					上Buff	10009		End	下Buff	10009		下Buff	10009			
100600125	2	落叶斩（强化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		1		603	605	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000	5	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600125	2	落叶斩（强化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060004		1																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600125	2	落叶斩（强化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0				1																			上Buff	10009		End	下Buff	10009		下Buff	10009			
100600125	2	落叶斩（强化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0				1																						DodgeStart	上Buff	15000000		下Buff	15000000			
100600125	2	落叶斩（强化）（有回避无敌时间）		COMBAT_DevilMode_EnterAttack		0				1																			上Buff	10917		End	下Buff	10917		下Buff	10917			
100600126	1	（拔刀）落叶斩（强化）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		601		603	605	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000	5	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600126	1	（拔刀）落叶斩（强化）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19000000		601																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600126	1	（拔刀）落叶斩（强化）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0	不存在Buff	19060004		601																			上Buff	10009		End	下Buff	10009		下Buff	10009			
100600126	2	（拔刀）落叶斩（强化）（有回避无敌时间）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0	双刀鬼人槽等级	1		601	1	603	605	DevilMode_EnterAttack	1	1	0.8	0.8	0.8	0.8	0.8	DevilMode_EnterAttack					5000	5	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600126	2	（拔刀）落叶斩（强化）（有回避无敌时间）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0	存在Buff	19060004		601	1																		上Buff	50601		End	下Buff	50601		下Buff	50601			
100600126	2	（拔刀）落叶斩（强化）（有回避无敌时间）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0				601	1																		上Buff	10009		End	下Buff	10009		下Buff	10009			
100600126	2	（拔刀）落叶斩（强化）（有回避无敌时间）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0				601	1																					DodgeStart	上Buff	15000000		下Buff	15000000			
100600126	2	（拔刀）落叶斩（强化）（有回避无敌时间）（FSM已屏蔽）		COMBAT_DevilMode_EnterAttack		0				601	1																		上Buff	10917		End	下Buff	10917		下Buff	10917			
100600131	1	进入鬼人化状态（强化）		COMBAT_EnterDevilMode		0	双刀鬼人槽等级	1																					上Buff	10918		End	下Buff	10918		下Buff	10918			
100600131	1	进入鬼人化状态（强化）		COMBAT_EnterDevilMode		0	双刀鬼人槽值	2																								EnterDevilMode	进入鬼人化							
100600132	1	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0	双刀鬼人槽等级	2																					上Buff	10918		End	下Buff	10918		下Buff	10918			
100600132	1	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0																										QuitDevilMode	离开鬼人化			离开鬼人化				
100600132	2	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0	双刀鬼人槽等级	2					605	DevilMode_QuitAttack	1							DevilMode_QuitAttack						18	上Buff	10918		End	下Buff	10918		下Buff	10918			
100600132	2	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0	存在Buff	19060007																					上Buff	10009		End	下Buff	10009		下Buff	10009			
100600132	2	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0	存在Buff	10920																								QuitDevilMode	离开鬼人化			离开鬼人化				
100600132	2	退出鬼人化状态（鬼人化）		COMBAT_QuitDevilMode		0																										DevilStorm	播放特效	60009						
100600133	1	收刀退出鬼人化状态（鬼人化）				0																										Holster	离开鬼人化			离开鬼人化				
100600134	1	缩短人乱舞结束的硬直动作 LV1		COMBAT_DevilMode_CrazyWield_EndQuickly		0	存在Buff	19060005			602																		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600134	1	缩短人乱舞结束的硬直动作 LV1		COMBAT_DevilMode_CrazyWield_EndQuickly		0	不存在Buff	19060006																																
100600135	1	缩短人乱舞结束的硬直动作 LV2		COMBAT_DevilMode_CrazyWield_EndQuickly		0	存在Buff	19060006			602																		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600135	1	缩短人乱舞结束的硬直动作 LV2		COMBAT_DevilMode_CrazyWield_EndQuickly		0	不存在Buff	19060005																																
100600136	1	缩短人乱舞结束的硬直动作 LV3		COMBAT_DevilMode_CrazyWield_EndQuickly		0	存在Buff	19060005			602																		上Buff	10918		End	下Buff	10918		下Buff	10918			
100600136	1	缩短人乱舞结束的硬直动作 LV3		COMBAT_DevilMode_CrazyWield_EndQuickly		0	存在Buff	19060006																																
