#TSV
#============Begin of sheet============
@Sheet=EquipRelation
装备ID	关联属性1	关联属性2	关联属性3	关联属性4	关联属性5	关联属性6	随机关联属性组1	概率1	随机关联属性组2	概率2	随机关联属性组3	概率3	随机关联属性组4	概率4	随机关联属性组5	概率5	随机关联属性组6	概率6
75000	0	0	0	0	0	0	1	100	2	5		0	0	0	0	0	0	0
75001	0	0	0	0	0	0	1	100	2	5		0						
75002	0	0	0	0	0	0	1	100	2	5		0						
75003	0	0	0	0	0	0	1	100	2	5		0						
75004	0	0	0	0	0	0	1	100	2	5		0						
75005	0	0	0	0	0	0	1	100	2	5		0						
75006	0	0	0	0	0	0	1	100	2	5		0						
75007	0	0	0	0	0	0	1	100	2	5		0						
75008	0	0	0	0	0	0	1	100	2	5		0						
75009	0	0	0	0	0	0	1	100	2	10		0						
75010	0	0	0	0	0	0	1	100	2	10		0						
75011	0	0	0	0	0	0	1	100	2	10		0						
75012	0	0	0	0	0	0	1	100	2	10		0						
75013	0	0	0	0	0	0	1	100	2	10		0						
75014	0	0	0	0	0	0	1	100	2	10		0						
75015	0	0	0	0	0	0	1	100	2	10		0						
75016	0	0	0	0	0	0	1	100	2	10		0						
75017	0	0	0	0	0	0	1	100	2	10		0						
75018	0	0	0	0	0	0	1	100	2	10		0						
75019	0	0	0	0	0	0	1	100	2	10		0						
75020	0	0	0	0	0	0	1	100	2	10		0						
75021	0	0	0	0	0	0	1	100	2	20		0						
75022	0	0	0	0	0	0	1	100	2	5		0						
75023	0	0	0	0	0	0	1	100	2	5		0						
75024	0	0	0	0	0	0	1	100	2	5		0						
75025	0	0	0	0	0	0	1	100	2	5		0						
75026	0	0	0	0	0	0	1	100	2	5		0						
75027	0	0	0	0	0	0	1	100	2	5		0						
75028	0	0	0	0	0	0	1	100	2	5		0						
75029	0	0	0	0	0	0	1	100	2	5		0						
75030	0	0	0	0	0	0	1	100	2	5		0						
75031	0	0	0	0	0	0	1	100	2	10		0						
75032	0	0	0	0	0	0	1	100	2	10		0						
75033	0	0	0	0	0	0	1	100	2	10		0						
75034	0	0	0	0	0	0	1	100	2	10		0						
75035	0	0	0	0	0	0	1	100	2	10		0						
75036	0	0	0	0	0	0	1	100	2	10		0						
75037	0	0	0	0	0	0	1	100	2	10		0						
75038	0	0	0	0	0	0	1	100	2	10		0						
75039	0	0	0	0	0	0	1	100	2	10		0						
75040	0	0	0	0	0	0	1	100	2	10		0						
75041	0	0	0	0	0	0	1	100	2	10		0						
75042	0	0	0	0	0	0	1	100	2	10		0						
75043	0	0	0	0	0	0	1	100	2	20		0						
75044	0	0	0	0	0	0	1	100	2	15		0						
#============End of sheet============

#============Begin of sheet============
@Sheet=EquipRelationAttr
关联属性编号	关联属性组	关联属性概率	生效条件类型	生效条件参数1	生效条件参数2	效果BUFF1	效果BUFF2	效果BUFF3	效果BUFF4	效果BUFF5	属性名称	属性说明	index	装备（R2）	远程（R2）
24	1	400	2	55	10						攻击力提升（小）	【耐泥雪】超过10，获得效果：攻击力提升（小）	1	蓝速龙王+8	蓝速龙王+8
25	1	400	2	61	12						攻击力提升（小）	【广域化】超过12，获得效果：攻击力提升（小）	1	沙雷鸟+15	沙雷鸟+15
26	1	400	2	63	12						攻击力提升（小）	【贯通强化】超过12，获得效果：攻击力提升（小）	1		眠鸟+10
27	1	400	2	66	12						攻击力提升（小）	【毒弹追加】超过12，获得效果：攻击力提升（小）	1		黑狼鸟+10
28	1	400	2	69	6						攻击力提升（小）	【采集】超过6，获得效果：攻击力提升（小）	1		
29	1	400	2	70	12						攻击力提升（小）	【散射强化】超过12，获得效果：攻击力提升（小）	1		雌火龙+10
30	1	400	2	74	6						攻击力提升（小）	【猎人生活】超过6，获得效果：攻击力提升（小）	1		
31	1	200	2	5	7						攻击力提升（中）	【速食】超过7，获得效果：攻击力提升（中）	2		
32	1	200	2	9	18						攻击力提升（中）	【千里眼】超过18，获得效果：攻击力提升（中）	2		
33	1	200	2	11	13						攻击力提升（中）	【观察眼】超过13，获得效果：攻击力提升（中）	2		
34	1	200	2	15	13						攻击力提升（中）	【回复力】超过13，获得效果：攻击力提升（中）	2		
35	1	200	2	19	18						攻击力提升（中）	【加护】超过18，获得效果：攻击力提升（中）	2		
36	1	200	2	20	7						攻击力提升（中）	【全抗增加】超过7，获得效果：攻击力提升（中）	2		
37	1	200	2	23	18						攻击力提升（中）	【气候】超过18，获得效果：攻击力提升（中）	2		
38	1	200	2	25	13						攻击力提升（中）	【一起吃】超过13，获得效果：攻击力提升（中）	2		
39	1	200	2	28	18						攻击力提升（中）	【饥饿感】超过18，获得效果：攻击力提升（中）	2		
40	1	200	2	29	13						攻击力提升（中）	【体术】超过13，获得效果：攻击力提升（中）	2		
41	1	200	2	35	13						攻击力提升（中）	【团队之星】超过13，获得效果：攻击力提升（中）	2		
42	1	200	2	36	13						攻击力提升（中）	【高速设置】超过13，获得效果：攻击力提升（中）	2		
43	1	200	2	37	13						攻击力提升（中）	【通常弹强化】超过13，获得效果：攻击力提升（中）	2		
44	1	200	2	38	13						攻击力提升（中）	【震地减轻】超过13，获得效果：攻击力提升（中）	2		
45	1	200	2	39	18						攻击力提升（中）	【强韧】超过18，获得效果：攻击力提升（中）	2		
46	1	200	2	40	13						攻击力提升（中）	【荷尔蒙】超过13，获得效果：攻击力提升（中）	2		
47	1	200	2	42	13						攻击力提升（中）	【眠弹追加】超过13，获得效果：攻击力提升（中）	2		
48	1	200	2	43	13						攻击力提升（中）	【气息】超过13，获得效果：攻击力提升（中）	2		
49	1	200	2	47	13						攻击力提升（中）	【耐力回复】超过13，获得效果：攻击力提升（中）	2		
50	1	200	2	49	13						攻击力提升（中）	【麻弹追加】超过13，获得效果：攻击力提升（中）	2		
51	1	200	2	50	13						攻击力提升（中）	【根性】超过13，获得效果：攻击力提升（中）	2		
52	1	200	2	51	13						攻击力提升（中）	【挑战者】超过13，获得效果：攻击力提升（中）	2		
53	1	200	2	52	13						攻击力提升（中）	【抗菌】超过13，获得效果：攻击力提升（中）	2		
54	1	200	2	55	11						攻击力提升（中）	【耐泥雪】超过11，获得效果：攻击力提升（中）	2		
55	1	200	2	61	13						攻击力提升（中）	【广域化】超过13，获得效果：攻击力提升（中）	2		
56	1	200	2	63	13						攻击力提升（中）	【贯通强化】超过13，获得效果：攻击力提升（中）	2		
57	1	200	2	66	13						攻击力提升（中）	【毒弹追加】超过13，获得效果：攻击力提升（中）	2		
58	1	200	2	69	7						攻击力提升（中）	【采集】超过7，获得效果：攻击力提升（中）	2		
59	1	200	2	70	13						攻击力提升（中）	【散射强化】超过13，获得效果：攻击力提升（中）	2		
60	1	200	2	74	7						攻击力提升（中）	【猎人生活】超过7，获得效果：攻击力提升（中）	2		
61	1	100	2	5	8						攻击力提升（大）	【速食】超过8，获得效果：攻击力提升（大）	3		
62	1	100	2	9	19						攻击力提升（大）	【千里眼】超过19，获得效果：攻击力提升（大）	3		
63	1	100	2	11	14						攻击力提升（大）	【观察眼】超过14，获得效果：攻击力提升（大）	3		
64	1	100	2	15	14						攻击力提升（大）	【回复力】超过14，获得效果：攻击力提升（大）	3		
65	1	100	2	19	19						攻击力提升（大）	【加护】超过19，获得效果：攻击力提升（大）	3		
66	1	100	2	20	8						攻击力提升（大）	【全抗增加】超过8，获得效果：攻击力提升（大）	3		
67	1	100	2	23	19						攻击力提升（大）	【气候】超过19，获得效果：攻击力提升（大）	3		
68	1	100	2	25	14						攻击力提升（大）	【一起吃】超过14，获得效果：攻击力提升（大）	3		
69	1	100	2	28	19						攻击力提升（大）	【饥饿感】超过19，获得效果：攻击力提升（大）	3		
70	1	100	2	29	14						攻击力提升（大）	【体术】超过14，获得效果：攻击力提升（大）	3		
71	1	100	2	35	14						攻击力提升（大）	【团队之星】超过14，获得效果：攻击力提升（大）	3		
72	1	100	2	36	14						攻击力提升（大）	【高速设置】超过14，获得效果：攻击力提升（大）	3		
73	1	100	2	37	14						攻击力提升（大）	【通常弹强化】超过14，获得效果：攻击力提升（大）	3		
74	1	100	2	38	14						攻击力提升（大）	【震地减轻】超过14，获得效果：攻击力提升（大）	3		
75	1	100	2	39	19						攻击力提升（大）	【强韧】超过19，获得效果：攻击力提升（大）	3		
76	1	100	2	40	14						攻击力提升（大）	【荷尔蒙】超过14，获得效果：攻击力提升（大）	3		
77	1	100	2	42	14						攻击力提升（大）	【眠弹追加】超过14，获得效果：攻击力提升（大）	3		
78	1	100	2	43	14						攻击力提升（大）	【气息】超过14，获得效果：攻击力提升（大）	3		
79	1	100	2	47	14						攻击力提升（大）	【耐力回复】超过14，获得效果：攻击力提升（大）	3		
80	1	100	2	49	14						攻击力提升（大）	【麻弹追加】超过14，获得效果：攻击力提升（大）	3		
81	1	100	2	50	14						攻击力提升（大）	【根性】超过14，获得效果：攻击力提升（大）	3		
82	1	100	2	51	14						攻击力提升（大）	【挑战者】超过14，获得效果：攻击力提升（大）	3		
83	1	100	2	52	14						攻击力提升（大）	【抗菌】超过14，获得效果：攻击力提升（大）	3		
84	1	100	2	55	12						攻击力提升（大）	【耐泥雪】超过12，获得效果：攻击力提升（大）	3		
85	1	100	2	61	14						攻击力提升（大）	【广域化】超过14，获得效果：攻击力提升（大）	3		
86	1	100	2	63	14						攻击力提升（大）	【贯通强化】超过14，获得效果：攻击力提升（大）	3		
87	1	100	2	66	14						攻击力提升（大）	【毒弹追加】超过14，获得效果：攻击力提升（大）	3		
88	1	100	2	69	8						攻击力提升（大）	【采集】超过8，获得效果：攻击力提升（大）	3		
89	1	100	2	70	14						攻击力提升（大）	【散射强化】超过14，获得效果：攻击力提升（大）	3		
90	1	100	2	74	8						攻击力提升（大）	【猎人生活】超过8，获得效果：攻击力提升（大）	3		
91	1	400	2	5	6						见切+1	【速食】超过6，获得效果：见切+1	13		
92	1	400	2	9	17						见切+1	【千里眼】超过17，获得效果：见切+1	13		
93	1	400	2	11	12						见切+1	【观察眼】超过12，获得效果：见切+1	13		
94	1	400	2	15	12						见切+1	【回复力】超过12，获得效果：见切+1	13		
95	1	400	2	19	17						见切+1	【加护】超过17，获得效果：见切+1	13		
96	1	400	2	20	6						见切+1	【全抗增加】超过6，获得效果：见切+1	13		
97	1	400	2	23	17						见切+1	【气候】超过17，获得效果：见切+1	13		
98	1	400	2	25	12						见切+1	【一起吃】超过12，获得效果：见切+1	13		
99	1	400	2	28	17						见切+1	【饥饿感】超过17，获得效果：见切+1	13		
100	1	400	2	29	12						见切+1	【体术】超过12，获得效果：见切+1	13		
101	1	400	2	35	12						见切+1	【团队之星】超过12，获得效果：见切+1	13		
102	1	400	2	36	12						见切+1	【高速设置】超过12，获得效果：见切+1	13		
103	1	400	2	37	12						见切+1	【通常弹强化】超过12，获得效果：见切+1	13		
104	1	400	2	38	12						见切+1	【震地减轻】超过12，获得效果：见切+1	13		
105	1	400	2	39	17						见切+1	【强韧】超过17，获得效果：见切+1	13		
106	1	400	2	40	12						见切+1	【荷尔蒙】超过12，获得效果：见切+1	13		
107	1	400	2	42	12						见切+1	【眠弹追加】超过12，获得效果：见切+1	13		
108	1	400	2	43	12						见切+1	【气息】超过12，获得效果：见切+1	13		
109	1	400	2	47	12						见切+1	【耐力回复】超过12，获得效果：见切+1	13		
110	1	400	2	49	12						见切+1	【麻弹追加】超过12，获得效果：见切+1	13		
111	1	400	2	50	12						见切+1	【根性】超过12，获得效果：见切+1	13		
112	1	400	2	51	12						见切+1	【挑战者】超过12，获得效果：见切+1	13		
113	1	400	2	52	12						见切+1	【抗菌】超过12，获得效果：见切+1	13		
114	1	400	2	55	10						见切+1	【耐泥雪】超过10，获得效果：见切+1	13		
115	1	400	2	61	12						见切+1	【广域化】超过12，获得效果：见切+1	13		
116	1	400	2	63	12						见切+1	【贯通强化】超过12，获得效果：见切+1	13		
117	1	400	2	66	12						见切+1	【毒弹追加】超过12，获得效果：见切+1	13		
118	1	400	2	69	6						见切+1	【采集】超过6，获得效果：见切+1	13		
119	1	400	2	70	12						见切+1	【散射强化】超过12，获得效果：见切+1	13		
120	1	400	2	74	6						见切+1	【猎人生活】超过6，获得效果：见切+1	13		
121	1	200	2	5	7						见切+2	【速食】超过7，获得效果：见切+2	14		
122	1	200	2	9	18						见切+2	【千里眼】超过18，获得效果：见切+2	14		
123	1	200	2	11	13						见切+2	【观察眼】超过13，获得效果：见切+2	14		
124	1	200	2	15	13						见切+2	【回复力】超过13，获得效果：见切+2	14		
125	1	200	2	19	18						见切+2	【加护】超过18，获得效果：见切+2	14		
126	1	200	2	20	7						见切+2	【全抗增加】超过7，获得效果：见切+2	14		
127	1	200	2	23	18						见切+2	【气候】超过18，获得效果：见切+2	14		
128	1	200	2	25	13						见切+2	【一起吃】超过13，获得效果：见切+2	14		
129	1	200	2	28	18						见切+2	【饥饿感】超过18，获得效果：见切+2	14		
130	1	200	2	29	13						见切+2	【体术】超过13，获得效果：见切+2	14		
131	1	200	2	35	13						见切+2	【团队之星】超过13，获得效果：见切+2	14		
132	1	200	2	36	13						见切+2	【高速设置】超过13，获得效果：见切+2	14		
133	1	200	2	37	13						见切+2	【通常弹强化】超过13，获得效果：见切+2	14		
134	1	200	2	38	13						见切+2	【震地减轻】超过13，获得效果：见切+2	14		
135	1	200	2	39	18						见切+2	【强韧】超过18，获得效果：见切+2	14		
136	1	200	2	40	13						见切+2	【荷尔蒙】超过13，获得效果：见切+2	14		
137	1	200	2	42	13						见切+2	【眠弹追加】超过13，获得效果：见切+2	14		
138	1	200	2	43	13						见切+2	【气息】超过13，获得效果：见切+2	14		
139	1	200	2	47	13						见切+2	【耐力回复】超过13，获得效果：见切+2	14		
140	1	200	2	49	13						见切+2	【麻弹追加】超过13，获得效果：见切+2	14		
141	1	200	2	50	13						见切+2	【根性】超过13，获得效果：见切+2	14		
142	1	200	2	51	13						见切+2	【挑战者】超过13，获得效果：见切+2	14		
143	1	200	2	52	13						见切+2	【抗菌】超过13，获得效果：见切+2	14		
144	1	200	2	55	11						见切+2	【耐泥雪】超过11，获得效果：见切+2	14		
145	1	200	2	61	13						见切+2	【广域化】超过13，获得效果：见切+2	14		
146	1	200	2	63	13						见切+2	【贯通强化】超过13，获得效果：见切+2	14		
147	1	200	2	66	13						见切+2	【毒弹追加】超过13，获得效果：见切+2	14		
148	1	200	2	69	7						见切+2	【采集】超过7，获得效果：见切+2	14		
149	1	200	2	70	13						见切+2	【散射强化】超过13，获得效果：见切+2	14		
150	1	200	2	74	7						见切+2	【猎人生活】超过7，获得效果：见切+2	14		
151	1	100	2	5	8						见切+3	【速食】超过8，获得效果：见切+3	15		
152	1	100	2	9	19						见切+3	【千里眼】超过19，获得效果：见切+3	15		
153	1	100	2	11	14						见切+3	【观察眼】超过14，获得效果：见切+3	15		
154	1	100	2	15	14						见切+3	【回复力】超过14，获得效果：见切+3	15		
155	1	100	2	19	19						见切+3	【加护】超过19，获得效果：见切+3	15		
156	1	100	2	20	8						见切+3	【全抗增加】超过8，获得效果：见切+3	15		
157	1	100	2	23	19						见切+3	【气候】超过19，获得效果：见切+3	15		
158	1	100	2	25	14						见切+3	【一起吃】超过14，获得效果：见切+3	15		
159	1	100	2	28	19						见切+3	【饥饿感】超过19，获得效果：见切+3	15		
160	1	100	2	29	14						见切+3	【体术】超过14，获得效果：见切+3	15		
161	1	100	2	35	14						见切+3	【团队之星】超过14，获得效果：见切+3	15		
162	1	100	2	36	14						见切+3	【高速设置】超过14，获得效果：见切+3	15		
163	1	100	2	37	14						见切+3	【通常弹强化】超过14，获得效果：见切+3	15		
164	1	100	2	38	14						见切+3	【震地减轻】超过14，获得效果：见切+3	15		
165	1	100	2	39	19						见切+3	【强韧】超过19，获得效果：见切+3	15		
166	1	100	2	40	14						见切+3	【荷尔蒙】超过14，获得效果：见切+3	15		
167	1	100	2	42	14						见切+3	【眠弹追加】超过14，获得效果：见切+3	15		
168	1	100	2	43	14						见切+3	【气息】超过14，获得效果：见切+3	15		
169	1	100	2	47	14						见切+3	【耐力回复】超过14，获得效果：见切+3	15		
170	1	100	2	49	14						见切+3	【麻弹追加】超过14，获得效果：见切+3	15		
171	1	100	2	50	14						见切+3	【根性】超过14，获得效果：见切+3	15		
172	1	100	2	51	14						见切+3	【挑战者】超过14，获得效果：见切+3	15		
173	1	100	2	52	14						见切+3	【抗菌】超过14，获得效果：见切+3	15		
174	1	100	2	55	12						见切+3	【耐泥雪】超过12，获得效果：见切+3	15		
175	1	100	2	61	14						见切+3	【广域化】超过14，获得效果：见切+3	15		
176	1	100	2	63	14						见切+3	【贯通强化】超过14，获得效果：见切+3	15		
177	1	100	2	66	14						见切+3	【毒弹追加】超过14，获得效果：见切+3	15		
178	1	100	2	69	8						见切+3	【采集】超过8，获得效果：见切+3	15		
179	1	100	2	70	14						见切+3	【散射强化】超过14，获得效果：见切+3	15		
180	1	100	2	74	8						见切+3	【猎人生活】超过8，获得效果：见切+3	15		
181	1	400	2	5	6						防御力提升（小）	【速食】超过6，获得效果：防御力提升（小）	7		
182	1	400	2	9	17						防御力提升（小）	【千里眼】超过17，获得效果：防御力提升（小）	7		
183	1	400	2	11	12						防御力提升（小）	【观察眼】超过12，获得效果：防御力提升（小）	7		
184	1	400	2	15	12						防御力提升（小）	【回复力】超过12，获得效果：防御力提升（小）	7		
185	1	400	2	19	17						防御力提升（小）	【加护】超过17，获得效果：防御力提升（小）	7		
186	1	400	2	20	6						防御力提升（小）	【全抗增加】超过6，获得效果：防御力提升（小）	7		
187	1	400	2	23	17						防御力提升（小）	【气候】超过17，获得效果：防御力提升（小）	7		
188	1	400	2	25	12						防御力提升（小）	【一起吃】超过12，获得效果：防御力提升（小）	7		
189	1	400	2	28	17						防御力提升（小）	【饥饿感】超过17，获得效果：防御力提升（小）	7		
190	1	400	2	29	12						防御力提升（小）	【体术】超过12，获得效果：防御力提升（小）	7		
191	1	400	2	35	12						防御力提升（小）	【团队之星】超过12，获得效果：防御力提升（小）	7		
192	1	400	2	36	12						防御力提升（小）	【高速设置】超过12，获得效果：防御力提升（小）	7		
193	1	400	2	37	12						防御力提升（小）	【通常弹强化】超过12，获得效果：防御力提升（小）	7		
194	1	400	2	38	12						防御力提升（小）	【震地减轻】超过12，获得效果：防御力提升（小）	7		
195	1	400	2	39	17						防御力提升（小）	【强韧】超过17，获得效果：防御力提升（小）	7		
196	1	400	2	40	12						防御力提升（小）	【荷尔蒙】超过12，获得效果：防御力提升（小）	7		
197	1	400	2	42	12						防御力提升（小）	【眠弹追加】超过12，获得效果：防御力提升（小）	7		
198	1	400	2	43	12						防御力提升（小）	【气息】超过12，获得效果：防御力提升（小）	7		
199	1	400	2	47	12						防御力提升（小）	【耐力回复】超过12，获得效果：防御力提升（小）	7		
200	1	400	2	49	12						防御力提升（小）	【麻弹追加】超过12，获得效果：防御力提升（小）	7		
201	1	400	2	50	12						防御力提升（小）	【根性】超过12，获得效果：防御力提升（小）	7		
202	1	400	2	51	12						防御力提升（小）	【挑战者】超过12，获得效果：防御力提升（小）	7		
203	1	400	2	52	12						防御力提升（小）	【抗菌】超过12，获得效果：防御力提升（小）	7		
204	1	400	2	55	10						防御力提升（小）	【耐泥雪】超过10，获得效果：防御力提升（小）	7		
205	1	400	2	61	12						防御力提升（小）	【广域化】超过12，获得效果：防御力提升（小）	7		
206	1	400	2	63	12						防御力提升（小）	【贯通强化】超过12，获得效果：防御力提升（小）	7		
207	1	400	2	66	12						防御力提升（小）	【毒弹追加】超过12，获得效果：防御力提升（小）	7		
208	1	400	2	69	6						防御力提升（小）	【采集】超过6，获得效果：防御力提升（小）	7		
209	1	400	2	70	12						防御力提升（小）	【散射强化】超过12，获得效果：防御力提升（小）	7		
210	1	400	2	74	6						防御力提升（小）	【猎人生活】超过6，获得效果：防御力提升（小）	7		
211	1	200	2	5	7						防御力提升（中）	【速食】超过7，获得效果：防御力提升（中）	8		
212	1	200	2	9	18						防御力提升（中）	【千里眼】超过18，获得效果：防御力提升（中）	8		
213	1	200	2	11	13						防御力提升（中）	【观察眼】超过13，获得效果：防御力提升（中）	8		
214	1	200	2	15	13						防御力提升（中）	【回复力】超过13，获得效果：防御力提升（中）	8		
215	1	200	2	19	18						防御力提升（中）	【加护】超过18，获得效果：防御力提升（中）	8		
216	1	200	2	20	7						防御力提升（中）	【全抗增加】超过7，获得效果：防御力提升（中）	8		
217	1	200	2	23	18						防御力提升（中）	【气候】超过18，获得效果：防御力提升（中）	8		
218	1	200	2	25	13						防御力提升（中）	【一起吃】超过13，获得效果：防御力提升（中）	8		
219	1	200	2	28	18						防御力提升（中）	【饥饿感】超过18，获得效果：防御力提升（中）	8		
220	1	200	2	29	13						防御力提升（中）	【体术】超过13，获得效果：防御力提升（中）	8		
221	1	200	2	35	13						防御力提升（中）	【团队之星】超过13，获得效果：防御力提升（中）	8		
222	1	200	2	36	13						防御力提升（中）	【高速设置】超过13，获得效果：防御力提升（中）	8		
223	1	200	2	37	13						防御力提升（中）	【通常弹强化】超过13，获得效果：防御力提升（中）	8		
224	1	200	2	38	13						防御力提升（中）	【震地减轻】超过13，获得效果：防御力提升（中）	8		
225	1	200	2	39	18						防御力提升（中）	【强韧】超过18，获得效果：防御力提升（中）	8		
226	1	200	2	40	13						防御力提升（中）	【荷尔蒙】超过13，获得效果：防御力提升（中）	8		
227	1	200	2	42	13						防御力提升（中）	【眠弹追加】超过13，获得效果：防御力提升（中）	8		
228	1	200	2	43	13						防御力提升（中）	【气息】超过13，获得效果：防御力提升（中）	8		
229	1	200	2	47	13						防御力提升（中）	【耐力回复】超过13，获得效果：防御力提升（中）	8		
230	1	200	2	49	13						防御力提升（中）	【麻弹追加】超过13，获得效果：防御力提升（中）	8		
231	1	200	2	50	13						防御力提升（中）	【根性】超过13，获得效果：防御力提升（中）	8		
232	1	200	2	51	13						防御力提升（中）	【挑战者】超过13，获得效果：防御力提升（中）	8		
233	1	200	2	52	13						防御力提升（中）	【抗菌】超过13，获得效果：防御力提升（中）	8		
