#TSV
#============Begin of sheet============
@Sheet=素材
总表ID	物品名称	说明	物品等级	稀有度	图标ID	离开副本是否保留	RANK	物品主类	物品中类	物品子类	绑定类型	拥有上限	携带上限	堆叠上限	农场精算点数	可否摧毁	购买价格	出售价格	是否商城道具	可否分解	物品过期时间	物品过期Tag	模型资源(男)	模型资源(女)	角色等级需求	种族需求	星级职业需求	星级等级需求	需求技能1ID	需求技能1等级MIN	需求技能1等级MAX	需求技能2ID	需求技能2等级MIN	需求技能2等级MAX	猎团等级需求	宠物等级需求	性别需求	需求地区ID	需求LevelMode	需求关卡ID	物品使用次数	CD时间	共享CD组	CD下线是否保留	使用目标	动作技能	物品使用功能1名称	物品使用功能1参数1	物品使用功能1参数2	物品使用功能1参数3	物品使用功能2名称	物品使用功能2参数1	物品使用功能2参数2	物品使用功能2参数3	物品使用功能3名称	物品使用功能3参数1	物品使用功能3参数2	物品使用功能3参数3	物品使用功能4名称	物品使用功能4参数1	物品使用功能4参数2	物品使用功能4参数3	可否被偷窃	共享携带上限组ID	物品伤害信息	排序参数	商城索引ID	素材分类_1	素材价值_1	素材分类_2	素材价值_2	素材分类_3	素材价值_3	素材分类_4	素材价值_4	素材分类_5	素材价值_5	素材分类_6	素材价值_6	素材分类_7	素材价值_7	素材分类_8	素材价值_8	素材分类_9	素材价值_9	素材分类_10	素材价值_10	副本中使用次数	随机狩猎奖励点	解绑道具	解绑道具数量
15013	河狸兽的尖牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">能够咬碎坚硬实木的河狸兽牙齿，制作高级装备必备素材。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15013		2021			2		2		2																1		
15014	优质的毛皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">优质的毛皮，可以用来制作帮助睡眠的枕头</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15014		2021			4		4		4																1		
15015	历战的门牙	"<FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">经历多多次战斗啃咬的河狸兽的门牙，能够用来制造高级的猎人装备。</FONT>"	1	2	mat_tooth_02_BRW	1	0	1	8	1	2	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15015		2021		101	6	5	6	51	6																10		
15016	蓝速龙王的爪	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的爪，是其捕食猎物时最经常用到的身体部位。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15016		1011			6		6		6																1		
15017	蓝速龙的鳞	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">从蓝速龙身上剥下的鳞片，经常用来制作一般的装备。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15017		1011			2		2		2																1		
15018	蓝速龙王的牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的牙齿，锐利无比。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15018		1011			2		2		2																1		
15019	蓝速龙王的皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的皮，因为经过激烈的战斗而伤痕累累。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15019		1011			4		4		4																1		
15020	蓝速龙王的头冠	"<FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的头，长有大冠，据猎人所说带在头上会有蓝速龙的感觉。</FONT>"	1	3	mat_head_02_BLU	1	0	1	8	1	2	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15020		1011		102	10	5	10	52	10																5		
15021	蓝速龙王的锐爪	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的锐利爪，锐利的爪尖好似剑刃一般，能够轻易的穿破岩石。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15021		1011			6		6		6																		
15022	短小的喙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的喙，质量轻但更为坚硬，适宜制作结实的装备。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15022		1011			2		2		2																		
15023	蓝色的鸟龙皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的覆盖着蓝色鳞片的外皮，颜色亮丽。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15023		1011			2		2		2																		
15024	蓝速龙王的尾巴	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的尾巴，强大的韧性，可以像鞭子一样甩出用于攻击。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15024		1011			4		4		4																		
15025	蓝速龙王上皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙之王的上等皮，皮质更加柔韧，制作的装备更加耐用。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15025		1011			10		10		10																		
15026	蓝速龙王的尖爪	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的尖爪，锐利的爪尖好似剑刃一般，能够轻易的穿破岩石。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15026		1011			6		6		6																1		
15027	蓝速龙的优质鳞	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙身上剥下的上等鳞片，质量轻但更为坚硬，适宜制作更加结实的装备。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15027		1011			2		2		2																1		
15028	蓝速龙王的尖牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的尖牙，在保持锐利的情况下更加坚硬。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15028		1011			2		2		2																1		
15029	蓝速龙王的优质皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的上等皮，皮质更加柔韧，制作的装备更加耐用。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15029		1011			4		4		4																1		
15030	蓝速龙王的大头冠	"<FONT COLOR=\"\#6285C6\" >来源：蓝速龙王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">蓝速龙王的大头冠，彰显自己的首领地位，可以制作优质的装备。</FONT>"	1	3	mat_head_02_BLU	1	0	1	8	1	2	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15030		1011		102	10	5	10	52	10																10		
15031	大野猪王的蹄	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的蹄，打造装备的基本素材之一。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15031		2011			2		2		2																1		
15032	大野猪的皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪的皮，毛很硬，而且拿来烹饪味道不错，当然也可以制作其他装备。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15032		2011			2		2		2																1		
15033	大野猪王的牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的牙，体形巨大，坚硬无比。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15033		2011			6		6		6																1		
15034	大野猪王的鬃	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的鬃毛，非常粗糙。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15034		2011			4		4		4																1		
15035	大野猪王的卷曲牙	"<FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的卷曲牙，非常结实，可以轻易撞断一颗树。</FONT>"	1	3	mat_head_03_GRY	1	0	1	8	1	2	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15035		2011		103	10	5	10	51	10																5		
15036	粗糙的毛皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪的皮，毛很粗糙，而且拿来烹饪味道不错，当然也可以制作其他装备。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15036		2011			2		2		2																		
15037	肥美的猪肉	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的肉，烹饪后的味道很鲜美。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15037		2011			2		2		2																		
15038	大野猪王尖獠牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的獠牙，硬度更上一层楼，适合打磨成优秀的武器。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15038		2011			6		6		6																		
15039	粗壮的大猪骨	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的骨头，由于长期奔跑，非常的粗壮，是难得一见的好素材。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15039		2011			4		4		4																		
15040	大野猪王坚头壳	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：大野猪王</FONT><BR><BR><FONT COLOR=\"\#C6B262\">大野猪王的坚硬头壳，制作优秀的防具必备的素材。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15040		2011			10		10		10																		
