#TSV
#============Begin of sheet============
@Sheet=effect
ID	说明	效果类型	参数1	参数2	参数3	参数4	buff是否可用	skill是否可用	item是否可用	关卡是否可用	BT是否可用
10044	测试瘸腿-90%血	固定怪物百分比扣血	90							1	
10045	移除爆桶奇面族搬运	移除BUFF	60024							1	
10046	增加通常弹LV2	增加弩车子弹	92	32						1	
10047	增加散弹LV2	增加弩车子弹	95	16						1	
10048	增加贯通弹LV2	增加弩车子弹	98	16						1	
10049	增加撤甲榴弹LV2	增加弩车子弹	101	16						1	
10050	增加强走Buff	获得BUFF	14000100							1	
10051	增加攻击Buff	获得BUFF	14000101							1	
10052	修理船	Fixed % Increase in HP	100							1	1
10053	吃肉	Transmit Effect	20002							1	
10054	获得子弹特效-通常弹	获得BUFF	80000009							1	
10055	获得强走特效	获得BUFF	80000010							1	
10056	获得怒气特效	获得BUFF	80000011							1	
10057	获得子弹特效-散弹	获得BUFF	80000019							1	
10058	获得子弹特效-贯通弹	获得BUFF	80000020							1	
10059	获得子弹特效-撤甲榴弹	获得BUFF	80000021							1	
10060	增加天型箭LV2	增加弩车子弹	112	16						1	
10061	增加地型箭LV2	增加弩车子弹	116	16						1	
10062	获得子弹特效-天型箭LV2	获得BUFF	80000023							1	
10063	获得子弹特效-地型箭LV2	获得BUFF	80000024							1	
10064	取消搬蛋状态	移除BUFF	61001							1	
10065	解毒消臭笛之术Lv3	Fixed % Increase in HP	10								1
10066	武器槽全满	武器槽加满	100				1	1	1	1	1
10067	武器槽半满	武器槽加满	60				1	1	1	1	1
10068	武器槽全满2	武器槽加满					1	1	1	1	1
10069	取消火药岩状态	移除BUFF	80000035							1	
10070	取消冰结岩状态	移除BUFF	80000036							1	
10071	猫猫大盗金币特效	Transmit Effect	267								1
10072	笛谱添加旋律	笛谱添加旋律	101								
10073	铳枪子弹不满	改变铳枪子弹	3				1	1	1	1	1
10074	清龙击炮CD	移除BUFF	19104				1	1	1	1	1
10075	程序用于测试策划可以改名	增加怪物仇恨值	10								
10076	高阶回复笛【Lv1】	Fixed % Increase in HP	30								
10077	高阶回复笛【Lv2】	Fixed % Increase in HP	40								
10078	高阶回复笛【Lv3】	Fixed % Increase in HP	50								
10079	高阶回复笛【Lv4】	Fixed % Increase in HP	60								
10080	自我恢复术【Lv1】	Fixed % Increase in HP	30								
10081	自我恢复术【Lv2】	Fixed % Increase in HP	35								
10082	自我恢复术【Lv3】	Fixed % Increase in HP	40								
10083	自我恢复术【Lv4】	Fixed % Increase in HP	50								
10084	紧急回复笛【Lv1】	Fixed % Increase in HP	40								
10085	紧急回复笛【Lv2】	Fixed % Increase in HP	50								
10086	紧急回复笛【Lv3】	Fixed % Increase in HP	60								
10087	紧急回复笛【Lv4】	Fixed % Increase in HP	80								
10088	解毒	移除BUFF类型	毒								
10089	解臭	移除BUFF类型	臭								
10090	高阶解毒消臭治伤【Lv4】	Fixed % Increase in HP	25								
10091	高阶角笛术【Lv1】	获得BUFF	17042								
10092	高阶角笛术【Lv2】	获得BUFF	17043								
10093	高阶角笛术【Lv3】	获得BUFF	17044								
10094	高阶角笛术【Lv4】	获得BUFF	17045								
10095	紧急角笛术【Lv1】	获得BUFF	17046								
10096	紧急角笛术【Lv2】	获得BUFF	17047								
10097	紧急角笛术【Lv3】	获得BUFF	17048								
10098	紧急角笛术【Lv4】	获得BUFF	17049								
10099	广域角笛术【Lv1】	获得BUFF	17058								
10100	广域角笛术【Lv2】	获得BUFF	17059								
10101	广域角笛术【Lv3】	获得BUFF	17060								
10102	广域角笛术【Lv4】	获得BUFF	17061								
10103	专心回复【Lv1】	获得BUFF	17248								
10104	去除裂伤	移除BUFF	19117							1	
10105	去除裂伤	移除BUFF	19118							1	
10106	吸引同区大怪	给怪物加buff	11639	100		1	1				
10107	吸引同区所有怪	给怪物加buff	11639	100			1				
10108	支援广域回复术【Lv1】	区域范围内恢复友方生命	0	0	30						
10109	支援广域回复术【Lv2】	区域范围内恢复友方生命	0	0	40						
10110	支援广域回复术【Lv3】	区域范围内恢复友方生命	0	0	50						
10111	支援广域回复术【Lv4】	区域范围内恢复友方生命	0	0	60						
10112	猫雕像	召唤怪物	78010								
10113	猫雕像	召唤怪物	78011								
10114	猫雕像	召唤怪物	78012								
10115	猫雕像	召唤怪物	78013								
10116	猫轰炸机	召唤怪物	78000								
10117	猫轰炸机	召唤怪物	78001								
10118	猫轰炸机	召唤怪物	78002								
10119	猫轰炸机	召唤怪物	78003								
10120	吸引同区所有怪	给怪物加buff	17270	100			1				
10121	吸引同区所有怪	给怪物加buff	17271	100			1				
10122	吸引同区所有怪	给怪物加buff	17272	100			1				
10123	吸引同区所有怪	给怪物加buff	17273	100			1				
10124	招财猫仇恨吸引	给怪物加buff	17266	300		1					
10125	招财猫仇恨吸引	给怪物加buff	17267	300		1					
10126	招财猫仇恨吸引	给怪物加buff	17268	300		1					
10127	招财猫仇恨吸引	给怪物加buff	17269	300		1					
10128	Transmit Life Recovery Effect	Transmit Effect	10318								1
10129	解除刺伤	移除BUFF类型	刺伤								
#============End of sheet============

#============Begin of sheet============
@Sheet=effect测试用例
ID	说明	效果类型	参数1	参数2	参数3	参数4	buff是否可用	skill是否可用	item是否可用	关卡是否可用	BT是否可用
19999	程序测试	恢复生命	10								1
19998	程序测试	恢复生命	20								1
19997	程序测试	恢复生命	30								1
19996	程序测试	恢复生命	40								1
19995	程序测试	Increase rage of monsters within a radius	100	10							1
19994	解毒	移除BUFF类型	毒								1
19993	解臭	移除BUFF类型	臭								1
19992	给宠物加亲密度	给宠物加亲密度	10								1
19991	给宠物加buff	给宠物加buff	12001								
19990	宠物拥有上限扩展	宠物拥有上限扩展									
19989	怪物积蓄值修改	怪物积蓄值修改	10	毒积蓄值							1
19988	怪物积蓄值修改	怪物积蓄值修改	-20	眠积蓄值							1
19987	怪物积蓄值修改	怪物积蓄值修改	10	麻积蓄值							1
19986	怪物积蓄值修改	怪物积蓄值修改	-20	气绝值							1
19985	怪物部位积蓄值修改	怪物部位积蓄值修改	10	失衡值	head						1
19984	怪物部位积蓄值修改	怪物部位积蓄值修改	-20	破坏值	head						1
19983	怪物部位积蓄值修改	怪物部位积蓄值修改	10	倒地值	head						1
19982	怪物积蓄值设定	怪物积蓄值设定	20	气绝值							1
19981	怪物部位积蓄值设定	怪物部位积蓄值设定	10	倒地值	head						1
19980	怪物积蓄值按阈值百分比设定	怪物积蓄值按阈值百分比设定	20	气绝值							1
19979	怪物部位积蓄值按阈值百分比设定	怪物部位积蓄值按阈值百分比设定	10	倒地值	head						1
19978	技能学习	技能学习	10502								
#============End of sheet=
