#TSV
#============Begin of sheet============
@Sheet=射程伤害加成
Name	ID	Ratio1	Time1	Ratio2	Time2	Ratio3	Time3	RatioFinal	LastDecrease
Default	1							1	
NormalLV1	11	0.8	0.142857142857143	1	0.357142857142857	0.5	0.571428571428571	0.001	1
NormalLV2	12	0.8	0.185714285714286	1.1	0.357142857142857	0.5	0.571428571428571	0.001	1
NormalLV3	13	0.8	0.228571428571429	1.2	0.357142857142857	0.5	0.571428571428571	0.001	1
Guantong	14	0.7	0.214285714285714	0.8	0.357142857142857	1	0.571428571428571	0.001	1
ShandanLV1	15	0.9	0.166666666666667	1	0.5	0.7	1.33333333333333	0.001	1
ShandanLV2	16	0.9	0.166666666666667	1	0.433333333333333	0.7	1.33333333333333	0.001	1
ShandanLV3	17	0.9	0.166666666666667	1	0.366666666666667	0.7	1.33333333333333	0.001	1
BowGuantongLV1	21	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV2	22	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV3	23	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV4	24	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowLianSheLV1	25	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV2	26	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV3	27	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV4	28	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowkuoShanLV1	29	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV2	30	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV3	31	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV4	32	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowRage01	35	1	0.444444444444444						
SpeicalShootWuJu_LV1	36	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV2	37	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV3	38	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV4	39	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
ShuxingLV1	40	0.8	0.0857142857142857	1	0.228571428571429	0.5	0.371428571428571	0.001	1
DragonLV1	41	0.7	0.142857142857143	0.8	0.228571428571429	1	0.371428571428571	0.001	1
#============End of sheet============

#============Begin of sheet============
@Sheet=爆炸效果
ID	Name	Type	AttackName	Radius	OffsetX	OffsetY	OffsetZ
84	Em036_SmallBall_2	Normal	Em036_LittleBall	1	0	0	0
85	Em088_u01StoneBall	Normal	Template_KnockAway_50	2.5	0	0	0
86	Em030_u02_GroundStone	Normal	TemplateAttack_50	5	0	0	0
87	Em071_BallBoom	Normal	Em071_BallBoom	1.5	0	0	0
88	Em036_u01_ThreeBall	Normal	Em036_u01_BigBallBoom	4.3	0	0	0
89	Em036_u01_ThreeBallD3	Normal	Em036_u01_BigBallBoomMore	5.8	0	0	0
90	Em036_u01_SmallBall_2	Normal	Em036_u01_LittleBall	1	0	0	0
91	Em036_u01_NbombBall	Normal	Em036_u01_Nbomb	12	0	0	0
92	Em036_u01_SmallBall_2	Normal	Em036_u01_LittleBall	2	0	0	0
93	Em036_u01_ThreeBallD3	Normal	Em036_u01_BigBallBoomMore	4	0	0	0
94	Em036_u01_PoisonAirRingBall	Normal	Em036_u01_RingBall	4	0	0	0
95	Em036_u01_SuperNbombBall	Normal	Em036_u01_SuperNbomb	16	0	0	0
96	Em080_IceBall	Normal	Em080_IceBallBoom	6	0	0	0
97	Em026_u02_BeamBomb	Normal	Em026_u02_BeamBomb	10	0	0	0
98	Em026_u02_CrystalExplode	Normal	Em026_u02_CrystalExplode	3.5	0	0	0
99	Em026_u02_CrystalExplodePower	Normal	Em026_u02_CrystalExplodePower	3.5	0	0	0
100	Em026_u02_CrystalShootBomb	Normal	Em026_u02_CrystalShoot	10	0	0	0
128	Em003_u01_GoldBallExplosion	Normal	Em003_u01_BallBoom	2	0	0	0
129	Em003_u02AC_Dragon	Normal	Em003_u02_Atk60D	3	0	0	0
130	Em003_u02AC_Electric	Normal	Em003_u02_Atk60E	3	0	0	0
131	Em003_u02AC_Fire	Normal	Em003_u02_Atk60F	3	0	0	0
132	Em003_u02AC_Ice	Normal	Em003_u02_Atk60I	3	0	0	0
133	Em003_u02AC_Water	Normal	Em003_u02_Atk60W	3	0	0	0
134	Em003_u02_ThreeBall_Dragon	Normal	Em003_u02_Atk55D	1.8	0	0	0
135	Em003_u02_ThreeBall_Electric	Normal	Em003_u02_Atk55E	1.8	0	0	0
136	Em003_u02_ThreeBall_Fire	Normal	Em003_u02_Atk55F	1.8	0	0	0
137	Em003_u02_ThreeBall_Ice	Normal	Em003_u02_Atk55I	1.8	0	0	0
138	Em003_u02_ThreeBall_Water	Normal	Em003_u02_Atk55W	1.8	0	0	0
139	Em003_u02_JumpBall_Dragon	Normal	Em003_u02_Atk50D	0.9	0	0	0
140	Em003_u02_JumpBall_Electric	Normal	Em003_u02_Atk50E	0.9	0	0	0
141	Em003_u02_JumpBall_Fire	Normal	Em003_u02_Atk50F	0.9	0	0	0
142	Em003_u02_JumpBall_Ice	Normal	Em003_u02_Atk50I	0.9	0	0	0
143	Em003_u02_JumpBall_Water	Normal	Em003_u02_Atk50W	0.9	0	0	0
144	Em093_WaterExplode	Normal	Em093_Water_50	3	0	0	0
#============End of sheet============

#============Begin of sheet============
@Sheet=生成物体效果
ID	Name	EntityType	OffsetX	OffsetY	OffsetZ	RotationX	RotationY	RotationZ	DelayTime	SpawnMode	UseHitDir	Param1	Param2	Param3
1	RageBullet	场景物件	0	0	0	0	0	0	0	粘着	1	RageBullet	2	
2	ExplosiveBullet	场景物件	0	0	0	0	0	0	0	粘着	1	ExplosiveBullet	2	
4	ExplosiveSubExplosionLV1	飞行道具	-0.5	0	0	0	0	0	0.5			19		
4		飞行道具	0	0	0.5	0	0	0	1			19		
4		飞行道具	0.5	0	0	0	0	0	1.5			19		
4		飞行道具	0	0	-0.5	0	0	0	2			19		
5	BoomerangFake	飞行道具	0	0	0	0	0	0	0			41		
6	GuanTongSubExplosionLV1	飞行道具	0	0.5	0	0	0	0	0			20		
6		飞行道具	0	0.5	0	0	0	0	0			21		
7	ExplosiveSubExplosionLV2	飞行道具	-0.5	0	0	0	0	0	0.5			63		
7		飞行道具	0	0	0.5	0	0	0	1			63		
7		飞行道具	0.5	0	0	0	0	0	1.5			63		
7		飞行道具	0	0	-0.5	0	0	0	2			63		
8	ExplosiveSubExplosionLV3	飞行道具	-0.5	0	0	0	0	0	0.5			82		
8		飞行道具	0	0	0.5	0	0	0	1			82		
8		飞行道具	0.5	0	0	0	0	0	1.5			82		
8		飞行道具	0	0	-0.5	0	0	0	2			82		
9	GuanTongSubExplosionLV2	飞行道具	0	0.5	0	0	0	0	0			64		
9		飞行道具	0	0.5	0	0	0	0	0			65		
10	GuanTongSubExplosionLV3	飞行道具	0	0.5	0	0	0	0	0			83		
10		飞行道具	0	0.5	0	0	0	0	0			84		
11	ChargeShanDanELV1	飞行道具	0	0	0	0	0	0	0		0	5		
12	ChargeShanDanELV2	飞行道具	0	0	0	0	0	0	0		0	55		
13	ChargeShanDanELV3	飞行道具	0	0	0	0	0	0	0		0	74		
14	BoundArea	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.Buffarea.BoundArea		
15	SandMineArea	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.Buffarea.BigBoundArea	SandMineArea.pro	
16	BigBoundArea	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.Buffarea.BigBoundArea		
17	MineBall2	飞行道具	0	0	3	0	0	0	0		0	233		
18	MineBall	飞行道具	0	0	3	0	0	0	0		0	92		
19	BaseBallArea	BT物件	0	0	0	0	0	0	0	水平朝向	0	LevelCommon.Buffarea.baseBall		
20	TimeBoom	场景物件	0	0	0	0	0	0	0	水平朝向	0	ArrowMine	10	
21	SandBall	怪物	0	0	-0.4	0	0	0	0	水平朝向		60099		
22	Poo	飞行道具	0	0	0	0	0	0	0	水平朝向		264		
23	Ore	飞行道具	0	0	0	0	0	0	0	水平朝向		265		
24	Bone	飞行道具	0	0	0	0	0	0	0	水平朝向		266		
25	SleepGas	飞行道具	0	0	0	0	0	0	0	水平朝向	1	269		
26	Em004FireBomb	飞行道具	0	0	0	0	0	0	0	水平朝向		275		
27	GuanTongLV1	飞行道具	0	0	0	0	0	0	0			276		
28	GuanTongLV2	飞行道具	0	0	0	0	0	0	0			277		
29	GuanTongLV3	飞行道具	0	0	0	0	0	0	0			278		
30	MineBall3	飞行道具	0	0	3	0	0	0	0		0	233		
31	MineBall4	飞行道具	0	0	3	0	0	0	0		0	282		
32	Blade	飞行道具	0	0	0	0	0	0	0		0	290		
33	BladeSpawnEntity	怪物	0	0	0	0	0	0	0		0	60139		
34	BowRage01-02	飞行道具	0	0	0	0	0	0	0		0	294		
35	BowRage01-03	飞行道具	0	0	0	0	0	0	0		0	295		
36	BowRage01-04	飞行道具	0	0	0	0	0	0	0		0	296		
37	BowRage01-05	飞行道具	0	0	0	0	0	0	0		0	297		
38	w05_Rage02_Bullet_LV3	飞行道具	0	0	0	0	0	0	0.3		0	318		
39	w05_Rage02_Bullet_LV2	飞行道具	0	0	0	0	0	0	0.3		0	317		
40	w05_Rage02_Bullet_LV1	飞行道具	0	0	0	0	0	0	0.3		0	316		
42	Bucket	怪物	0	0	0	0	0	0	0	水平朝向		50209		
44	FireOnBoat	飞行道具	0	0	0	0	0	0	0	水平朝向		321		
45	FireOnBoatSmall	飞行道具	0	0	0	0	0	0	0			324		
46	Em004_u01_FireBomb	飞行道具	0	0	0	0	0	0	0	水平朝向		329		
47	HugeSandBall	怪物	0	0	0	0	0	0	0	水平朝向		60179		
48	SandBall	怪物	0	0	0	0	0	0	0	水平朝向		60189		
49	IceBall	怪物	0	0	0	0	0	0	0			60098		
50	BoundAreaPH	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.palsyBuff		
51	BoundAreaPO	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.doubleBuff		
52	IceHeap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.Monster.iceHeap		
53	Explode1	飞行道具	-3	0	0	0	0	0	0	水平朝向		379		
54	Explode2	飞行道具	3	0	0	0	0	0	0	水平朝向		381		
55	Explode3	飞行道具	0	3	0	0	0	0	0	水平朝向		382		
56	Explode4	飞行道具	0	-3	0	0	0	0	0	水平朝向		383		
57	u01Blade	飞行道具	0	0	0	0	0	0	0		0	389		
58	u01BladeSpawnEntity	怪物	0	0	0	0	0	0	0		0	60138		
59	DragonLV1	飞行道具	0	0	0	0	0	0	0			391		
60	NB5ElArea	飞行道具	0	0	0	0	0	0	0	水平朝向	1	396		
61	DragonheatFire2	飞行道具	0	0	0	0	0	0	0	水平朝向	1	423		
62	DragonheatFire3	飞行道具	0	0	0	0	0	0	0	水平朝向	1	424		
63	DragonheatFire4	飞行道具	0	0	0	0	0	0	0	水平朝向	1	425		
64	RaidLightingBall	怪物	0	0	0	0	0	0	0	水平朝向		70057		
65	RaidLightingTraceBall	怪物	0	0	0	0	0	0	0	水平朝向		70058		
66	Rage01_FuelAirBomb_Blast	飞行道具	0	0	0	0	0	0	0	水平朝向	1	432		
67	FlashDelay	飞行道具	0	0	0	0	0	0	0	水平朝向	0	14		
68	FireTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.firetrap		
69	WaterTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.watertrap		
70	ElectricTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.electrictrap		
71	IceTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.icetrap		
72	DragonTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.dragontrap		
74	DragonBallTrap	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.dragonball		
75	Rage01_FuelAirBomb_BlastEnhanced	飞行道具	0	0	0	0	0	0	0	水平朝向	1	556		
76	DragonMoveWind	飞行道具	0	0	0	0	0	0	0	水平朝向	1	560		
77	DragonTripeWindS	飞行道具	0	0	0	0	0	0	0	水平朝向	1	561		
78	DragonTripeWindM	飞行道具	0	0	0	0	0	0	0	水平朝向	1	562		
79	DragonTripeWindL	飞行道具	0	0	0	0	0	0	0	水平朝向	1	563		
80	DragonMoveWindCurveL	飞行道具	0	0	0	0	0	0	0	水平朝向	1	569		
81	DragonMoveWindCurveR	飞行道具	0	0	0	0	0	0	0	水平朝向	1	571		
82	ThornArea	BT物件	0	0	0	0	0	0	0	水平朝向	0	LevelCommon.SceneObject.ThornBuff		
83	Em022u02_MagmaArea	BT物件	0	0	0	0	0	0	0	水平朝向	0	LevelCommon.Buffarea.Em022u02_MagmaArea		
84	FireWork	场景物件	0	0	0	0	0	0	0	水平朝向		Bomb.BigBucketBomb		
85	Em025_Explode1	飞行道具	3	3	0.5	0	0	0	0.35	水平朝向		584		
85		飞行道具	3	-3	0.5	0	0	0	0.35	水平朝向		586		
85		飞行道具	-3	3	0.5	0	0	0	0.35	水平朝向		584		
85		飞行道具	-3	-3	0.5	0	0	0	0.35	水平朝向		586		
86		飞行道具	1.5	3	0	0	0	0	0.35	水平朝向		585		
86		飞行道具	-1.5	3	0	0	0	0	0.35	水平朝向		585		
87		飞行道具	1.5	-3	0	0	0	0	0.35	水平朝向		585		
87		飞行道具	-1.5	-3	0	0	0	0	0.35	水平朝向		585		
91	Throw_SpecialFireworksBombBlast	飞行道具	0	0	0	0	0	0	0	水平朝向	1	591		
92	MissileFireWork	飞行道具	0	0	0	0	0	0	0			592		
93	MissileFireWorks	飞行道具	0	0	0	2	0	0	0			594		
93		飞行道具	0	0	0	0	0	-3	0.15			1005		
93		飞行道具	0	0	0	0	0	5	0.3			594		
93		飞行道具	0	0	0	4	0	-5	0.45			1006		
93		飞行道具	0	0	0	5	0	4	0.6			1005		
94	Em018_u01_TraceFireBall	怪物	0	0	0	0	0	0	0	水平朝向		60185		
95	Em049_PositiveBall	怪物	0	0	0	0	0	0	0	水平朝向		60499		
96	Em049_NegativeBall	怪物	0	0	0	0	0	0	0	水平朝向		60498		
97	M023RaidFireBall	飞行道具	0	0	10	0	0	0	1	水平朝向		26		
97		飞行道具	-2	0	0	0	0	0	0	水平朝向		1011		
97		飞行道具	1	0.73	0	0	0	0	0	水平朝向		1011		
97		飞行道具	-1	0.73	0	0	0	0	0	水平朝向		1011		
97		飞行道具	1	-0.73	0	0	0	0	0	水平朝向		1011		
97		飞行道具	-1	-0.73	0	0	0	0	0	水平朝向		1011		
98	StrongPoisonBall	飞行道具	0	0	0	0	0	0	0	水平朝向		1012		
99	Rage01_FuelAirBomb_BlastEnhancedDamage	飞行道具	0	0	0	0	0	0	0	水平朝向	1	1019		
100	Em029_FireBall	飞行道具	0	0	1	0	0	0	0	水平朝向		1021		
100		飞行道具	0	0	1	0	0	40	0	水平朝向		1043		
100		飞行道具	0	0	1	0	0	-40	0	水平朝向		1046		
100		飞行道具	0	0	1	0	0	120	0	水平朝向		1044		
100		飞行道具	0	0	1	0	0	-120	0	水平朝向		1045		
151	SleepGasGold	飞行道具	0	0	0	0	0	0	0	水平朝向	1	1024		
152	Em033_DPoisonBall	怪物	0	0	0	0	0	0	0	地面		60337		
153	Em033_PoisonBall	怪物	0	0	0	0	0	0	0	地面		60339		
154	Em033_TiredBall	怪物	0	0	0	0	0	0	0	地面		60336		
155	Em033_360PoisonBall	怪物	0	0	0	0	0	0	0	地面		60338		
201	Em017_u01GroundFire	飞行道具	0	0	0	0	0	0	0	水平朝向		1042		
202	Em029_FireBallT	飞行道具	0	0	1	0	0	0	0	水平朝向		1050		
202		飞行道具	0	0	1	0	0	27	0	水平朝向		1050		
202		飞行道具	0	0	1	0	0	-15	0	水平朝向		1050		
202		飞行道具	0	0	1	0	0	48	0	水平朝向		1050		
202		飞行道具	0	0	1	0	0	-57	0	水平朝向		1050		
203	BoomerangFake_Alt	飞行道具	0	0	0	0	0	0	0			1055		
204	ThornParaArea	BT物件	0	0	0	0	0	0	0	水平朝向	0	LevelCommon.SceneObject.ThornParaBuff		
205	Em024_EBallRun	飞行道具	0	0	0	0	0	0	0	水平朝向	1	1058		
206	DragonTrapLong	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.dragontraplong		
207	FireTrapLong	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.firetraplong		
208	WaterTrapLong	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.watertraplong		
209	ElectricTrapLong	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.electrictraplong		
210	IceTrapLong	BT物件	0	0	0	0	0	0	0	水平朝向	1	LevelCommon.SceneObject.icetraplong		
211	Em002_Lemon_IceAttackL	飞行道具	0	0	0	0	0	30	0	水平朝向	1	1069		
211	Em002_Lemon_IceAttackL	飞行道具	0	0	0	0	0	0	0	水平朝向	1	1069		
211	Em002_Lemon_IceAttackL	飞行道具	0	0	0	0	0	-30	0	水平朝向	1	1069		
212	Em031_u01_Wind	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1073		
213	Em031_u01_WindL	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1075		
214	Em031_u01_WindR	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1077		
215	Em031_u01_WindH	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1079		
216	Em031_u01_BlackWind	怪物	0	0	0	0	0	0	0	水平朝向	0	60318		
217	Em031_u01_TripleWindL	怪物	0	0	0	0	0	0	0	水平朝向	0	60317		
218	Em031_u01_BlackTripleWindL	怪物	0	0	0	0	0	0	0	水平朝向	0	60319		
219	Em031_u01_StormBlastS	怪物	0	0	0	0	0	0	0	水平朝向	0	60316		
220	Em031_u01_StormBlastL	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1094		
221	Em031_u01_WindH	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1096		
222	Em031_u01_TripleWindS	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1082		
223	Em031_u01_TripleWindM	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1083		
224	Em031_u01_TripleBlackWindS	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1097		
225	Em031_u01_TripleBlackWindM	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1098		
226	Em004_Lemon_FireBomb	飞行道具	0	0	0	0	0	0	0	水平朝向		1103		
227	Em031_u01_WindS	飞行道具	0	0	0	0	0	0	0	水平朝向	0	1108		
