#TSV
#============Begin of sheet============
@Sheet=PlayerAttackData
ID	TagID	Type	TAG	备注	AttackName	AttackInfo	DamageNumberM	PiyoM	StaminaM	BalanceM	Damage_LevelM	Damage_Level_NumberM	Damage_PowerM	Damage_Dir_useM	Damage_DirM	Fire_AtkM	Water_AtkM	Dragon_AtkM	Electric_AtkM	Ice_AtkM	CutM	Cut_ValueM	HanmmerM	Hammer_ValueM	ShootM	Shoot_ValueM	HitTypeM	HitType_ValueM	ScarM	BuffMID1	BuffMID2	StateBuffM	SpecAttackM1	SpecValueM1	SpecAttackM2	SpecValueM2	SpecAttackM3	SpecValueM3	SpecAttackM4	SpecValueM4	DamageNumberP	PiyoP	StaminaP	Damage_LevelFriendP	Damage_LevelP	Damage_Level_NumberP	Damage_PowerP	Check_Enhance_Defense	Attack_LevelFriendP	Attack_LevelP	Damage_Dir_useP	Damage_DirP	Fire_AtkP	Water_AtkP	Dragon_AtkP	Electric_AtkP	Ice_AtkP	CutP	Cut_ValueP	HanmmerP	Hammer_ValueP	ShootP	Shoot_ValueP	HitTypeP	IgnoreDefense	HitType_ValueP	HitType_Friend	ScarP	BuffPID1	BuffPID2	BuffAsyncP	StateBuffP	SpecAttackP1	SpecValueP1	SpecAttackP2	SpecValueP2	SpecAttackP3	SpecValueP3	SpecAttackP4	SpecValueP4	IgnoreDefenceDirCheck
20	10020002	1		大锤	HorizontalHammerAttack	HorizontalHammerAttack	0.9315	300	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	40	0	2	19	6	55		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
21	10020003	1		大锤	VerticalHammerAttack01	VerticalHammerAttack01	2.024	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	30	0	2	19	6	35		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
22	10020004	1		大锤	VerticalHammerAttack02	VerticalHammerAttack02	1.15	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.35	30	0	2	16	6	-5		2	3	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
23	10020005	1		大锤	VerticalHammerContinueAttack	VerticalHammerContinueAttack	4.3355	700	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.6	40	0	11	23	6	-5		11	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
24	10020006	1		大锤	ChargeLv1Attack	ChargeLv1Attack	1.035	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.3	40	0	2	19	6	-5		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
25	10020007	1		大锤	ChargeLv1ContinueAttack	ChargeLv1ContinueAttack	0.828	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	40	0	2	26	6	35	1	2	13	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
26	10020008	1		大锤	ChargeLv2Attack01	ChargeLv2Attack	2.0125	500	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.35	50	0	2	19	6	105		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
28	10020010	1		大锤	ChargeLv3SpinAttack	ChargeLv3SpinAttack	0.1955	100	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.16	20	0	2	15	1	-15		2	2	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
29	10020011	1		大锤	ChargeLv3SpinEnd	ChargeLv3SpinEnd	1.8745	400	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.3	40	0	2	19	15	35		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
30	10020012	1		大锤	ChargeLv3ContinueAttack01	ChargeLv3ContinueAttack01	2.7945	600	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.8	60	0	2	24	6	35		2	11	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
31	10020013	1		大锤	ChargeLv3Continue_BackAttack	ChargeLv3Continue_BackAttack	1.265	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.65	60	0	2	22	6	-15		2	9	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
32	10020014	1		大锤	ChargeLv3Continue_BackAttack	ChargeLv3Continue_BackAttack_LockPiyo	1.265	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	11904	0		交互行为	1							0.65	60	0	2	22	6	-15		2	9	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
33	10020015	1		大锤	ChargeLv3ContinueAttack02	ChargeLv3ContinueAttack02	4.3355	700	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.7	70	0	13	25	6	35		13	12	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
34	10020016	1		大锤	ChargeLv3Attack_01	ChargeLv3Attack	0.759	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.3	90	0	2	16	6	105	1	2	3	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
35	10020017	1		大锤	ChargeLv3Attack_02	ChargeLv3Attack	4.255	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.9	100	0	9	21	15	105	1	9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
36	10020018	1		大锤	ChargeLv3Attack_01	ChargeLv3Attack_Enhanced	0.759	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.3	90	0	2	16	6	105	1	2	3	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
37	10020019	1		大锤	ChargeLv3Attack_02	ChargeLv3Attack_Enhanced	4.255	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.9	0	0	9	21	15	105	1	9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
38	10020020	1		大锤	ChargeLv3_ShockWaveEnhanced	ChargeLv3Attack_Enhanced	0	600	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	35		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
39	10020021	1		大锤	ChargeLv3Continue01	ChargeLv3Continue	0.7245	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.35	100	0	2	19	5	10		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
40	10020022	1		大锤	ChargeLv3Continue02	ChargeLv3Continue	4.2435	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							1.2	100	0	9	21	15	70		9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
41	10020023	1		大锤	ChargeLv3Continue02_buff	ChargeLv3Continue	4.2435	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	11905	0		交互行为	1							1.2	100	0	9	21	15	70		9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
42	10020024	1		大锤	ChargeLv3Continue01	ChargeLv3Continue_Enhanced	0.7245	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		0	0	0		交互行为	1							0.35	100	0	2	19	5	10		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
43	10020025	1		大锤	ChargeLv3Continue02	ChargeLv3Continue_Enhanced	4.2435	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							1.2	0	0	9	21	15	170		9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
44	10020026	1		大锤	ChargeLv3Continue02_buff	ChargeLv3Continue_Enhanced	4.2435	800	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	11905	0		交互行为	1							1.2	0	0	9	21	15	170		9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	1			0	0	0											
45	10020027	1		大锤	ChargeLv3Continue_ShockWaveEnhanced	ChargeLv3Continue_Enhanced	0	600	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	35		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
46	10020028	1		大锤	ReverseHorizontalAttack	ReverseHorizontalAttack	1.679	300	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.55	40	0	11	24	6	55	1	11	11	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
47	10020029	1		大锤	VerticalTurnBackAttack	VerticalTurnBackAttack	1.7135	300	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.55	50	0	2	26	6	-15	1	2	13	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
48	10020030	1		大锤	Rage01_GroundSmash_LV1	Rage01_GroundSmash_LV1	6.7275	2500	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							1.1	60	0	9	21	15	170		9	8	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
49	10020031	1		大锤	Rage01_ShockWave01	Rage01_GroundSmash_LV1	0	2000	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	0		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
50	10020032	1		大锤	Rage01_GroundSmash_LV3	Rage01_GroundSmash_LV3	6.7275	2500	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							1.1	60	0	9	21	15	170		9	8	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
51	10020033	1		大锤	Rage01_ShockWave01	Rage01_GroundSmash_LV3	0	2000	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	0		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
52	10020034	1		大锤	Rage01_ShockWave02	Rage01_GroundSmash_LV3	0	2000	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	0		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
53	10020035	1		大锤	Rage01_ShockWave03	Rage01_GroundSmash_LV3	0	2000	0	3	6	0	70	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0	4	0	0	0		交互行为	1							0.1	90	0	2	15	0	0		2	2	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
54	10020036	1		大锤	Rage02_WieldSmash_1	Rage02_WieldSmash	2.599	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.3	40	0	2	19	6	-5		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
55	10020037	1		大锤	Rage02_WieldSmash_2	Rage02_WieldSmash	3.243	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.3	40	0	2	19	6	-5		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
56	10020038	1		大锤	Rage02_WieldSmash_3	Rage02_WieldSmash	4.2895	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.3	40	0	2	19	6	-5		2	6	1	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
57	10020039	1		大锤	Rage02_WieldSmash_4	Rage02_WieldSmash	7.2795	700	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.6	40	0	11	23	6	-5		11	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
58	10030001	1		长枪	Lance_Stab_Front_FromHolstered	Lance_Stab_Front_FromHolstered	1.334	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	19	1	35		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
59	10030002	1		长枪	Lance_Stab_Front_1	Lance_Stab_Front_1	1.058	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	16	1	35		2	3	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
60	10030003	1		长枪	Lance_Stab_Front_2	Lance_Stab_Front_2	1.058	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	19	1	35		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
61	10030004	1		长枪	Lance_Stab_Front_3	Lance_Stab_Front_3	1.334	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	22	1	35		2	9	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
62	10030004	1		长枪	Lance_Stab_Front_3Element	Lance_Stab_Front_3	0	0	0	3	4	0	10	0	0,0,0	1.5	1.5	1.5	1.5	1.5	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	22	1	35		2	9	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
63	10030005	1		长枪	Lance_Stab_Up_FromHolstered	Lance_Stab_Up_FromHolstered	1.334	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	19	1	35		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
64	10030006	1		长枪	Lance_Stab_Up_1	Lance_Stab_Up_1	1.15	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	16	1	35		2	3	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
65	10030007	1		长枪	Lance_Stab_Up_2	Lance_Stab_Up_2	1.15	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	19	1	35		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
66	10030008	1		长枪	Lance_Stab_Up_3	Lance_Stab_Up_3	1.334	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	22	1	35		2	9	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
67	10030008	1		长枪	Lance_Stab_Up_3Element	Lance_Stab_Up_3	0	0	0	3	4	0	10	0	0,0,0	1.5	1.5	1.5	1.5	1.5	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.3	20	0	2	22	1	35		2	9	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
68	10030009	1		长枪	Lance_Stab_Defense	Lance_Stab_Defense	0.92	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		0	0	0		交互行为	1							0.2	20	0	2	15	1	-15		2	2	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
69	10030010	1		长枪	Lance_Stab_Charge	Lance_Stab_Charge	0.2875	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		0	0	0		交互行为	1							0.6	20	0	12	22	1	-15		12	9	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
70	10030011	1		长枪	Lance_Stab_ChargeFinish	Lance_Stab_ChargeFinish	2.645	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		0	0	0		交互行为	1							0.8	20	0	12	24	1	35	1	12	11	0	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0	1			0	0	0											
71	10030012	1		长枪	Lance_StepComboShield_1	Lance_StepComboShield_1	0.92	300	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	19	1	10		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0	1			0	0	0											
72	10030013	1		长枪	Lance_StepComboShield_2	Lance_StepComboShield_2	0.92	300	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	19	1	10		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0	1			0	0	0											
73	10030014	1		长枪	Lance_StepComboShield_3	Lance_StepComboShield_3	0.92	300	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	19	1	10		2	6	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0	1			0	0	0											
74	10030015	1		长枪	Lance_StepComboStab_1	Lance_StepComboStab_1	0.92	500	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	22	1	10		2	9	0	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
75	10030016	1		长枪	Lance_StepComboStab_2	Lance_StepComboStab_2	0.92	500	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	22	1	10		2	9	0	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
76	10030017	1		长枪	Lance_StepComboStab_3	Lance_StepComboStab_3	0.92	500	0	3	4	0	10	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.4	20	0	2	22	1	10		2	9	0	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
77	10030018	1		长枪	Lance_CounterAttack_LightUp	Lance_CounterAttack_LightUp	1.15	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		0	0	0		交互行为	1							0.7	20	0	6	24	1	65		6	11	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
78	10030019	1		长枪	Lance_CounterAttack_LightFront	Lance_CounterAttack_LightFront	1.15	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.7	20	0	6	24	1	65		6	11	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
79	10030020	1		长枪	Lance_CounterAttack_HeavyUp	Lance_CounterAttack_HeavyUp	2.645	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		0	0	0		交互行为	1							0.8	20	0	6	24	1	65		6	11	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
80	10030021	1		长枪	Lance_CounterAttack_HeavyFront	Lance_CounterAttack_HeavyFront	2.645	0	0	3	4	0	10	0	0,0,0	3	3	3	3	3	1	12	0	0	0	0	0		1	0	0		交互行为	1							0.8	20	0	6	24	1	65		6	11	1	0,0,0	0	0	0	0	0	1	12	0	0	0	0	0				0	0	0											
