#TSV
#============Begin of sheet============
@Sheet=表情组
组id	组名称
1	Palico
2	Friendship
#============End of sheet============

#============Begin of sheet============
@Sheet=表情配置
id	名称	表情等级	升级需求个数	表情组ID	默认收集数	文字转义符	动态资源	本地资源	来源说明	最高等级
12	Sigh	4	12	1	0	叹气4	mc_em_airo_jiaoguan_14		缤纷表情包	5
12	Sigh	5	16	1	0	叹气5	mc_em_airo_lili_14		缤纷表情包	5
13	Dizzy	1	1	1	0	晕了	mc_em_airo_origin_15		缤纷表情包	5
13	Dizzy	2	4	1	0	晕了2	mc_em_airo_xiaofeng_15		缤纷表情包	5
13	Dizzy	3	8	1	0	晕了3	mc_em_airo_leo_15		缤纷表情包	5
13	Dizzy	4	12	1	0	晕了4	mc_em_airo_jiaoguan_15		缤纷表情包	5
13	Dizzy	5	16	1	0	晕了5	mc_em_airo_lili_15		缤纷表情包	5
14	Confused	1	1	1	0	困惑	mc_em_airo_origin_17		缤纷表情包	5
14	Confused	2	4	1	0	困惑2	mc_em_airo_xiaofeng_17		缤纷表情包	5
14	Confused	3	8	1	0	困惑3	mc_em_airo_leo_17		缤纷表情包	5
14	Confused	4	12	1	0	困惑4	mc_em_airo_jiaoguan_17		缤纷表情包	5
14	Confused	5	16	1	0	困惑5	mc_em_airo_lili_17		缤纷表情包	5
50	Look at you	1	1	2	0	看着你	mc_em_panglili01_001		缤纷表情包	1
51	Leer	1	1	2	0	媚眼	mc_em_panglili01_002		缤纷表情包	1
52	Exhausted	1	1	2	0	太累了	mc_em_panglili01_003		缤纷表情包	1
53	Unhappy	1	1	2	0	不开心	mc_em_panglili01_004		缤纷表情包	1
54	Drooling	1	1	2	0	想要吃	mc_em_panglili01_005		缤纷表情包	1
55	Shocking	1	1	2	0	震惊	mc_em_panglili01_006		缤纷表情包	1
56	Abandoned	1	1	2	0	被抛弃	mc_em_panglili01_007		缤纷表情包	1
57	Satisfy	1	1	2	0	吃饱了	mc_em_panglili01_008		缤纷表情包	1
58	Sleepy	1	1	2	0	实在困	mc_em_panglili01_009		缤纷表情包	1
59	Disgusting	1	1	2	0	好恶心	mc_em_panglili01_010		缤纷表情包	1
101	Rofl	1	1	2	0	笑着流泪	mc_em_hefei01_001		缤纷表情包	1
102	Bleeding Nose	1	1	2	0	鼻血	mc_em_hefei01_002		缤纷表情包	1
103	Shut up	1	1	2	0	禁言	mc_em_hefei01_003		缤纷表情包	1
104	Digging nose	1	1	2	0	挖鼻孔	mc_em_hefei01_004		缤纷表情包	1
105	Yelling	1	1	2	0	破口大骂	mc_em_hefei01_005		缤纷表情包	1
106	Bad mood	1	1	2	0	伤心	mc_em_hefei01_006		缤纷表情包	1
107	Painful	1	1	2	0	痛哭	mc_em_hefei01_007		缤纷表情包	1
108	Terrifying	1	1	2	0	细思则恐	mc_em_hefei01_008		缤纷表情包	1
109	Shake head	1	1	2	0	摇头	mc_em_hefei01_009		缤纷表情包	1
110	Devastated	1	1	2	0	虎躯一震	mc_em_hefei01_010		缤纷表情包	1
111	Shady	1	1	2	0	阴影	mc_em_hefei01_011		缤纷表情包	1
112	Sick	1	1	2	0	生病了	mc_em_hefei01_012		缤纷表情包	1
113	Choke	1	1	2	0	窒息	mc_em_hefei01_013		缤纷表情包	1
201	Looking	1	1	2	0	瞧你	mc_em_lili_01		缤纷表情包	1
202	Victory	1	1	2	0	剪刀手	mc_em_lili_02		缤纷表情包	1
203	Joyous	1	1	2	0	欢腾	mc_em_lili_03		缤纷表情包	1
204	Laugh	1	1	2	0	开怀	mc_em_lili_04		缤纷表情包	1
205	Feel bad	1	1	2	0	想哭	mc_em_lili_05		缤纷表情包	1
206	Tearing	1	1	2	0	真的哭了	mc_em_lili_06		缤纷表情包	1
207	Amazed	1	1	2	0	惊到了	mc_em_lili_07		缤纷表情包	1
208	Love	1	1	2	0	爱	mc_em_lili_08		缤纷表情包	1
209	Pass out	1	1	2	0	晕眩	mc_em_lili_09		缤纷表情包	1
#============End of sheet============
