#TSV
#============Begin of sheet============
@Sheet=双剑
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
76	双剑	1	0	150	1	1	1	60630	71	1																															
77	双剑	1	0	150	1	1	1	60218	71	1																															
78	双剑	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	双剑	1	0	150	1	1	1	60281	71	1																															
80	双剑	1	0	150	1	1	1	60440	74	1																															
81	双剑	1	0	150	1	1	1	60450	107	1																															
82	双剑	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	双剑	1	0	150	1	1	1	60441	109	1																															
84	双剑	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	双剑	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	双剑	1	0	150	1	1	1	60470	112	1																															
87	双剑	1	0	150	1	1	1	60910	113	1																															
88	双剑	1	0	150	1	1	1	60871	113	1																															
89	双剑	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	双剑	1	0	150	1	1	1	60631	113	1																															
91	双剑	1	0	150	1	1	1	60710	113	1																															
92	双剑	1	0	150	1	1	1	60301	113	1																															
93	双剑	1	0	150	1	1	1	60890	113	1																															
94	双剑	1	0	150	1	1	1	60920	113	1																															
95	双剑	1	0	150	1	1	1	60360	113	1																															
96	双剑	1	0	150	1	1	1	60361	113	1																															
97	双剑	1	0	150	1	1	1	60670	113	1																															
98	双剑	1	0	150	1	1	1	60800	113	1																															
99	双剑	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=增强策略
策略ID	策略方案	属性类型	名称	修饰方式	值
1	1-10层通用方案	修改属性	最大生命值	百分比	-28
2	1-20层电龙方案	修改属性	最大生命值	百分比	-40
3	1-10层双怪方案	修改属性	最大生命值	百分比	-52
4	1-10层鬼/骇方案	修改属性	最大生命值	百分比	-64
11	11-20层通用方案	修改属性	最大生命值	百分比	-40
21	21-30层通用方案	修改属性	最大生命值	百分比	-40
22	30层BOSS方案	修改属性	最大生命值	百分比	-10
23	21-30层金毛兽王/电龙/鬼/骇方案	修改属性	最大生命值	百分比	-52
24	25层三怪方案	修改属性	最大生命值	百分比	-55
25	30层BOSS方案-旧BOSS	修改属性	最大生命值	百分比	-1
31	31-40层通用方案	修改属性	物理攻击力	百分比	25
31	31-40层通用方案	部位属性	7	百分比	25
31	31-40层通用方案	部位属性	8	百分比	25
31	31-40层通用方案	部位属性	9	百分比	25
32	40层BOSS方案	修改属性	物理攻击力	百分比	25
32	40层BOSS方案	修改属性	最大生命值	百分比	5
32	40层BOSS方案	部位属性	7	百分比	25
32	40层BOSS方案	部位属性	8	百分比	25
32	40层BOSS方案	部位属性	9	百分比	25
33	31-40层炎狮子王/苍火龙/铠龙/电甲虫方案	修改属性	物理攻击力	百分比	30
33	31-40层炎狮子王/苍火龙/铠龙/电甲虫方案	修改属性	最大生命值	百分比	-25
33	31-40层炎狮子王/苍火龙/铠龙/电甲虫方案	部位属性	7	百分比	25
33	31-40层炎狮子王/苍火龙/铠龙/电甲虫方案	部位属性	8	百分比	25
33	31-40层炎狮子王/苍火龙/铠龙/电甲虫方案	部位属性	9	百分比	25
41	41-50层通用方案	修改属性	物理攻击力	百分比	125
41	41-50层通用方案	部位属性	7	百分比	25
41	41-50层通用方案	部位属性	8	百分比	25
41	41-50层通用方案	部位属性	9	百分比	25
42	41-50层双怪方案	修改属性	物理攻击力	百分比	125
42	41-50层双怪方案	修改属性	最大生命值	百分比	-40
42	41-50层双怪方案	部位属性	7	百分比	25
42	41-50层双怪方案	部位属性	8	百分比	25
42	41-50层双怪方案	部位属性	9	百分比	25
43	41-50层三怪方案	修改属性	物理攻击力	百分比	125
43	41-50层三怪方案	修改属性	最大生命值	百分比	-55
43	41-50层三怪方案	部位属性	7	百分比	25
43	41-50层三怪方案	部位属性	8	百分比	25
43	41-50层三怪方案	部位属性	9	百分比	25
44	41-50层电甲虫方案	修改属性	物理攻击力	百分比	125
44	41-50层电甲虫方案	修改属性	最大生命值	百分比	-25
44	41-50层电甲虫方案	部位属性	7	百分比	25
44	41-50层电甲虫方案	部位属性	8	百分比	25
44	41-50层电甲虫方案	部位属性	9	百分比	25
45	41-50层狩猎笛通用方案	修改属性	物理攻击力	百分比	125
45	41-50层狩猎笛通用方案	修改属性	最大生命值	百分比	-15
45	41-50层狩猎笛通用方案	部位属性	7	百分比	25
45	41-50层狩猎笛通用方案	部位属性	8	百分比	25
45	41-50层狩猎笛通用方案	部位属性	9	百分比	25
46	41-50层狩猎笛双怪方案	修改属性	物理攻击力	百分比	125
46	41-50层狩猎笛双怪方案	修改属性	最大生命值	百分比	-47
46	41-50层狩猎笛双怪方案	部位属性	7	百分比	25
46	41-50层狩猎笛双怪方案	部位属性	8	百分比	25
46	41-50层狩猎笛双怪方案	部位属性	9	百分比	25
47	41-50层狩猎笛三怪方案	修改属性	物理攻击力	百分比	125
47	41-50层狩猎笛三怪方案	修改属性	最大生命值	百分比	-62
47	41-50层狩猎笛三怪方案	部位属性	7	百分比	25
47	41-50层狩猎笛三怪方案	部位属性	8	百分比	25
47	41-50层狩猎笛三怪方案	部位属性	9	百分比	25
51	51-60层单怪方案	修改属性	物理攻击力	百分比	175
51	51-60层单怪方案	修改属性	最大生命值	百分比	50
51	51-60层单怪方案	部位属性	7	百分比	150
51	51-60层单怪方案	部位属性	8	百分比	150
51	51-60层单怪方案	部位属性	9	百分比	150
52	51-60层双怪方案	修改属性	物理攻击力	百分比	150
52	51-60层双怪方案	修改属性	最大生命值	百分比	-20
52	51-60层双怪方案	部位属性	7	百分比	150
52	51-60层双怪方案	部位属性	8	百分比	150
52	51-60层双怪方案	部位属性	9	百分比	150
53	51-60层三怪方案	修改属性	物理攻击力	百分比	150
53	51-60层三怪方案	修改属性	最大生命值	百分比	-20
53	51-60层三怪方案	部位属性	7	百分比	150
53	51-60层三怪方案	部位属性	8	百分比	150
53	51-60层三怪方案	部位属性	9	百分比	150
54	51-60层狩猎笛单怪方案	修改属性	物理攻击力	百分比	175
54	51-60层狩猎笛单怪方案	修改属性	最大生命值	百分比	10
54	51-60层狩猎笛单怪方案	部位属性	7	百分比	125
54	51-60层狩猎笛单怪方案	部位属性	8	百分比	125
54	51-60层狩猎笛单怪方案	部位属性	9	百分比	125
55	51-60层狩猎笛双怪方案	修改属性	物理攻击力	百分比	150
55	51-60层狩猎笛双怪方案	修改属性	最大生命值	百分比	-45
55	51-60层狩猎笛双怪方案	部位属性	7	百分比	125
55	51-60层狩猎笛双怪方案	部位属性	8	百分比	125
55	51-60层狩猎笛双怪方案	部位属性	9	百分比	125
56	51-60层狩猎笛三怪方案	修改属性	物理攻击力	百分比	150
56	51-60层狩猎笛三怪方案	修改属性	最大生命值	百分比	-45
56	51-60层狩猎笛三怪方案	部位属性	7	百分比	125
56	51-60层狩猎笛三怪方案	部位属性	8	百分比	125
56	51-60层狩猎笛三怪方案	部位属性	9	百分比	125
57	60层金狮子方案	修改属性	物理攻击力	百分比	175
57	60层金狮子方案	修改属性	最大生命值	百分比	5
57	60层金狮子方案	部位属性	7	百分比	150
57	60层金狮子方案	部位属性	8	百分比	150
57	60层金狮子方案	部位属性	9	百分比	150
58	60层狩猎笛金狮子方案	修改属性	物理攻击力	百分比	175
58	60层狩猎笛金狮子方案	修改属性	最大生命值	百分比	-20
58	60层狩猎笛金狮子方案	部位属性	7	百分比	125
58	60层狩猎笛金狮子方案	部位属性	8	百分比	125
58	60层狩猎笛金狮子方案	部位属性	9	百分比	125
61	61-70层单怪方案	修改属性	物理攻击力	百分比	175
61	61-70层单怪方案	修改属性	最大生命值	百分比	65
61	61-70层单怪方案	部位属性	7	百分比	150
61	61-70层单怪方案	部位属性	8	百分比	150
61	61-70层单怪方案	部位属性	9	百分比	150
62	61-70层双怪方案	修改属性	物理攻击力	百分比	150
62	61-70层双怪方案	修改属性	最大生命值	百分比	-20
62	61-70层双怪方案	部位属性	7	百分比	150
62	61-70层双怪方案	部位属性	8	百分比	150
62	61-70层双怪方案	部位属性	9	百分比	150
63	61-70层双怪额外增加25%血量方案	修改属性	物理攻击力	百分比	200
63	61-70层双怪额外增加25%血量方案	修改属性	最大生命值	百分比	5
63	61-70层双怪额外增加25%血量方案	部位属性	7	百分比	150
63	61-70层双怪额外增加25%血量方案	部位属性	8	百分比	150
63	61-70层双怪额外增加25%血量方案	部位属性	9	百分比	150
64	61-70层单怪额外增加35%血量方案	修改属性	物理攻击力	百分比	175
64	61-70层单怪额外增加35%血量方案	修改属性	最大生命值	百分比	100
64	61-70层单怪额外增加35%血量方案	部位属性	7	百分比	150
64	61-70层单怪额外增加35%血量方案	部位属性	8	百分比	150
64	61-70层单怪额外增加35%血量方案	部位属性	9	百分比	150
65	61-70层恐暴龙方案	修改属性	物理攻击力	百分比	175
65	61-70层恐暴龙方案	修改属性	最大生命值	百分比	80
65	61-70层恐暴龙方案	部位属性	7	百分比	150
65	61-70层恐暴龙方案	部位属性	8	百分比	150
65	61-70层恐暴龙方案	部位属性	9	百分比	150
71	71-80层单怪方案	修改属性	物理攻击力	百分比	225
71	71-80层单怪方案	修改属性	最大生命值	百分比	125
71	71-80层单怪方案	部位属性	7	百分比	150
71	71-80层单怪方案	部位属性	8	百分比	150
71	71-80层单怪方案	部位属性	9	百分比	150
72	71-80层双怪方案-白一角	修改属性	物理攻击力	百分比	138
72	71-80层双怪方案-白一角	修改属性	最大生命值	百分比	-5
72	71-80层双怪方案-白一角	部位属性	7	百分比	150
72	71-80层双怪方案-白一角	部位属性	8	百分比	150
72	71-80层双怪方案-白一角	部位属性	9	百分比	150
73	71-80层双怪方案-蝎子	修改属性	物理攻击力	百分比	185
73	71-80层双怪方案-蝎子	修改属性	最大生命值	百分比	50
73	71-80层双怪方案-蝎子	部位属性	7	百分比	150
73	71-80层双怪方案-蝎子	部位属性	8	百分比	150
73	71-80层双怪方案-蝎子	部位属性	9	百分比	150
74	71-80层舞雷龙方案	修改属性	物理攻击力	百分比	250
74	71-80层舞雷龙方案	修改属性	最大生命值	百分比	145
74	71-80层舞雷龙方案	部位属性	7	百分比	150
74	71-80层舞雷龙方案	部位属性	8	百分比	150
74	71-80层舞雷龙方案	部位属性	9	百分比	150
99	测试方案	修改属性	基础防御力	百分比	100
99	测试方案	修改属性	水属性攻击力	固定值	100
99	测试方案	修改属性	火属性攻击力	百分比	100
99	测试方案	修改属性	雷属性攻击力	百分比	100
99	测试方案	修改属性	龙属性攻击力	百分比	100
99	测试方案	修改属性	冰属性攻击力	百分比	100
99	测试方案	修改属性	毒耐性	百分比	100
99	测试方案	修改属性	眠耐性	百分比	100
99	测试方案	修改属性	麻痹耐性	百分比	100
99	测试方案	修改属性	气绝耐性	百分比	100
99	测试方案	修改属性	缩放	百分比	100
99	测试方案	部位属性	7	百分比	100
99	测试方案	愤怒开关	是否愤怒		1
99	测试方案	部位属性	8	百分比	100
99	测试方案	部位属性	9	百分比	100
107	81层霸龙方案	修改属性	物理攻击力	百分比	250
107	81层霸龙方案	修改属性	最大生命值	百分比	175
107	81层霸龙方案	部位属性	7	百分比	150
107	81层霸龙方案	部位属性	8	百分比	150
107	81层霸龙方案	部位属性	9	百分比	150
108	82层双眠鸟方案	修改属性	物理攻击力	百分比	200
108	82层双眠鸟方案	修改属性	最大生命值	百分比	115
108	82层双眠鸟方案	部位属性	7	百分比	150
108	82层双眠鸟方案	部位属性	8	百分比	150
108	82层双眠鸟方案	部位属性	9	百分比	150
109	83层冥雷龙方案	修改属性	物理攻击力	百分比	300
109	83层冥雷龙方案	修改属性	最大生命值	百分比	200
109	83层冥雷龙方案	部位属性	7	百分比	150
109	83层冥雷龙方案	部位属性	8	百分比	150
109	83层冥雷龙方案	部位属性	9	百分比	150
110	84层轰龙兄弟方案	修改属性	物理攻击力	百分比	225
110	84层轰龙兄弟方案	修改属性	最大生命值	百分比	135
110	84层轰龙兄弟方案	部位属性	7	百分比	150
110	84层轰龙兄弟方案	部位属性	8	百分比	150
110	84层轰龙兄弟方案	部位属性	9	百分比	150
111	85层激昂金狮子delay方案	修改属性	物理攻击力	百分比	225
111	85层激昂金狮子delay方案	修改属性	最大生命值	百分比	115
111	85层激昂金狮子delay方案	部位属性	7	百分比	150
111	85层激昂金狮子delay方案	部位属性	8	百分比	150
111	85层激昂金狮子delay方案	部位属性	9	百分比	150
112	86层单劫龙方案	修改属性	物理攻击力	百分比	325
112	86层单劫龙方案	修改属性	最大生命值	百分比	225
112	86层单劫龙方案	部位属性	7	百分比	150
112	86层单劫龙方案	部位属性	8	百分比	150
112	86层单劫龙方案	部位属性	9	百分比	150
113	87层单狱狼龙方案	修改属性	物理攻击力	百分比	330
113	87层单狱狼龙方案	修改属性	最大生命值	百分比	200
113	87层单狱狼龙方案	部位属性	7	百分比	150
113	87层单狱狼龙方案	部位属性	8	百分比	140
113	87层单狱狼龙方案	部位属性	9	百分比	170
#============End of sheet============

#============Begin of sheet============
@Sheet=大剑
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	大剑	1	0		1	1	1	60010	1	1																															
2	大剑	1	0		1	1	1	60030	3	1																															
3	大剑	1	0		1	1	1	60060	1	1																															
4	大剑	1	0		1	1	1	60040	1	1																															
5	大剑	1	0		1	1	1	60050	3	1				1	60070	3	1																								
6	大剑	1	0		1	1	1	60022	1	1																															
7	大剑	1	0		1	1	1	60080	1	1																															
8	大剑	1	0		1	1	1	60011	1	1																															
9	大剑	1	0		1	1	1	60051	4	1																															
10	大剑	1	0		1	1	1	60110	3	1				1	60090	3	1																								
11	大剑	1	0		1	1	1	60120	3	1																															
12	大剑	1	0		1	1	1	60100	11	1																															
13	大剑	1	0		1	1	1	60230	11	1																															
14	大剑	1	0		1	1	1	60150	11	1																															
15	大剑	1	0		1	1	1	60140	3	1				1	60071	3	1																								
16	大剑	1	0		1	1	1	60081	11	1																															
17	大剑	1	0		1	1	1	60091	11	1																															
18	大剑	1	0		1	1	1	60170	11	1																															
19	大剑	1	0		1	1	1	60121	11	1																															
20	大剑	1	0		2	1	300	60232	3	1				99999999	60152	3	1																								
21	大剑	1	0		2	1	180	60060	21	1				99999999	60100	21	1																								
22	大剑	1	0		2	1	180	60140	21	1				99999999	60040	21	1																								
23	大剑	1	0		2	1	180	60041	21	1				99999999	60024	21	1																								
24	大剑	1	0		2	1	180	60070	21	1				99999999	60080	21	1																								
25	大剑	1	0		3	1	210	60090	24	1				210	60110	24	1				99999999	60011	24	1																	
26	大剑	1	0		2	1	180	60230	21	1				99999999	60232	21	1																								
27	大剑	1	0		2	1	180	60081	23	1				99999999	60030	21	1																								
28	大剑	1	0		2	1	180	60152	21	1				99999999	60050	23	1																								
29	大剑	1	0		2	1	180	60120	23	1				99999999	60121	21	1																								
30	大剑	1	0		5	1	1	60143	22	1																															
31	大剑	1	0		5	1	1	60190	31	1																															
32	大剑	1	0		5	1	1	60210	31	1																															
33	大剑	1	0		5	1	1	60141	31	1																															
34	大剑	1	0		5	1	1	60260	31	1																															
35	大剑	1	0		5	1	1	60200	32	1																															
36	大剑	1	0		5	1	1	60390	33	1																															
37	大剑	1	0		5	1	1	60211	31	1																															
38	大剑	1	0		5	1	1	60231	31	1																															
39	大剑	1	0		5	1	1	60251	33	1																															
40	大剑	1	0		5	1	1	60171	33	1																															
41	大剑	1	0		1	1	1	60012	41	1																															
42	大剑	1	0		2	1	180	60152	42	1				99999999	60190	42	1																								
43	大剑	1	0		5	1	1	60261	41	1																															
44	大剑	1	0		2	1	180	60140	42	1				99999999	60191	42	1																								
45	大剑	1	0		4	1	1	60120	42	1	60091	42	1																												
46	大剑	1	0		2	1	180	60230	42	1				99999999	60231	42	1																								
47	大剑	1	0		5	1	1	60490	44	1																															
48	大剑	1	0		3	1	180	60070	43	1				180	60071	43	1				99999999	60210	43	1																	
49	大剑	1	0		2	1	180	60100	42	1				99999999	60200	42	1																								
50	大剑	1	0		5	1	1	60300	41	1																															
51	大剑	1	0		5	1	1	60102	51	1																															
52	大剑	1	0		2	1	180	60121	52	1				99999999	60280	52	1																								
53	大剑	1	0		3	1	180	60080	53	1				180	60081	53	1				99999999	60490	53	1																	
54	大剑	1	0		2	1	180	60141	52	1				99999999	60250	52	1																								
55	大剑	1	0		5	1	1	60480	51	1																															
56	大剑	1	0		2	1	180	60190	52	1				99999999	60210	52	1																								
57	大剑	1	0		5	1	1	60481	51	1																															
58	大剑	1	0		4	1	180	60091	52	1	60121	52	1																												
59	大剑	1	0		2	1	180	60202	52	1				99999999	60231	52	1																								
60	大剑	1	0		5	1	1	60420	57	1																															
61	大剑	1	0	120	1	1	1	60870	61	1																															
62	大剑	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	大剑	1	0	120	1	1	1	60151	64	1																															
64	大剑	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	大剑	1	0	120	1	1	1	60900	61	1																															
66	大剑	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	大剑	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	大剑	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	大剑	1	0	120	1	1	1	60880	65	1																															
70	大剑	1	0	120	1	1	1	60134	61	1																															
71	大剑	1	0	150	1	1	1	60910	71	1																															
72	大剑	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	大剑	1	0	150	1	1	1	60491	71	1																															
74	大剑	1	0	150	1	1	1	60212	71	1																															
75	大剑	1	0	150	1	1	1	60391	71	1																															
76	大剑	1	0	150	1	1	1	60630	71	1																															
77	大剑	1	0	150	1	1	1	60218	71	1																															
78	大剑	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	大剑	1	0	150	1	1	1	60281	71	1																															
80	大剑	1	0	150	1	1	1	60440	74	1																															
81	大剑	1	0	150	1	1	1	60450	107	1																															
82	大剑	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	大剑	1	0	150	1	1	1	60441	109	1																															
84	大剑	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	大剑	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	大剑	1	0	150	1	1	1	60470	112	1																															
87	大剑	1	0	150	1	1	1	60910	113	1																															
88	大剑	1	0	150	1	1	1	60871	113	1																															
89	大剑	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	大剑	1	0	150	1	1	1	60631	113	1																															
91	大剑	1	0	150	1	1	1	60710	113	1																															
92	大剑	1	0	150	1	1	1	60301	113	1																															
93	大剑	1	0	150	1	1	1	60890	113	1																															
94	大剑	1	0	150	1	1	1	60920	113	1																															
95	大剑	1	0	150	1	1	1	60360	113	1																															
96	大剑	1	0	150	1	1	1	60361	113	1																															
97	大剑	1	0	150	1	1	1	60670	113	1																															
98	大剑	1	0	150	1	1	1	60800	113	1																															
99	大剑	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=大锤
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	大锤	1	0		1	1	1	60030	3	1																															
2	大锤	1	0		1	1	1	60010	1	1																															
3	大锤	1	0		1	1	1	60050	3	1																															
4	大锤	1	0		1	1	1	60040	1	1																															
5	大锤	1	0		1	1	1	60022	3	1				1	60020	3	1																								
6	大锤	1	0		1	1	1	60011	1	1																															
7	大锤	1	0		1	1	1	60051	4	1																															
8	大锤	1	0		1	1	1	60080	1	1																															
9	大锤	1	0		1	1	1	60070	1	1		0																													
10	大锤	1	0		1	1	1	60041	3	1				1	60024	3	1																								
11	大锤	1	0		1	1	1	60230	11	1																															
12	大锤	1	0		1	1	1	60120	3	1																															
13	大锤	1	0		1	1	1	60100	11	1																															
14	大锤	1	0		1	1	1	60150	11	1																															
15	大锤	1	0		1	1	1	60071	3	1				1	60081	3	1																								
16	大锤	1	0		1	1	1	60091	11	1																															
17	大锤	1	0		1	1	1	60121	11	1																															
18	大锤	1	0		1	1	1	60232	11	1																															
19	大锤	1	0		1	1	1	60130	11	1																															
20	大锤	1	0		2	1	300	60152	2	1				99999999	60140	2	1																								
21	大锤	1	0		2	1	180	60100	21	1				99999999	60060	21	1																								
22	大锤	1	0		2	1	180	60051	23	1				99999999	60070	21	1																								
23	大锤	1	0		2	1	180	60081	23	1				99999999	60022	21	1																								
24	大锤	1	0		2	1	180	60170	21	1				99999999	60024	21	1																								
25	大锤	1	0		3	1	210	60230	24	1				210	60150	24	1				99999999	60080	24	1																	
26	大锤	1	0		2	1	180	60120	23	1				99999999	60091	21	1																								
