#TSV
#============Begin of sheet============
@Sheet=关卡评价奖励
奖励ID	评价	物品1	数量1	物品2	数量2	物品3	数量3	物品4	数量4
108	2	4423	1						
108	3	4439	1						
108	4	4415	1						
108	5	4431	1						
108	6	4415	1						
108	7	4407	1						
108	8	4423	1						
108	9	4439	1						
108	10	4431	1						
109	1	4406	2						
109	2	4422	2						
109	3	4438	2						
109	4	4414	2						
109	5	4430	2						
109	6	4414	2						
109	7	4406	2						
109	8	4422	2						
109	9	4438	2						
109	10	4430	2						
#============End of sheet============

#============Begin of sheet============
@Sheet=关卡额外目标奖励
额外目标奖励ID	素材ID	相对几率	绑定类型
1	1	50	3
1	2	50	3
2	1	50	3
2	2	50	3
#============End of sheet============

#============Begin of sheet============
@Sheet=关卡胜利结算表
关卡ID	奖励经验系数	奖励非绑定金钱系数	奖励绑定金钱系数	奖励农场点数系数	关卡固定奖励素材表ID	关卡随机奖励素材表ID	随机奖励素材min	随机奖励素材max	怪物基本素材min	怪物基本素材max	部位破坏素材min	部位破坏素材max	捕获素材min	捕获素材max	关卡评价奖励索引	关卡武器奖励索引	艾露猫经验系数	宠物亲密度	委托副本	特殊关卡	普通关卡	猎团竞技点数	等级奖励ID	VIP保底奖励ID
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						
100101	120	0	100	0	100101	100101	2	2	1	2	1	1	5	5		0	80	5			1			1
100102	240	0	100	0	100102	100102	2	3	2	2	1	1	5	5		0	80	5			1			1
100103	300	0	100	0	100103	100103	3	3	2	3	1	2	5	5		0	80	5			1			1
100111	120	0	100	0	100111	100111	2	2	1	2	1	1	5	5		0	80	5			1			2
100112	240	0	100	0	100112	100112	2	3	2	2	1	1	5	5		0	80	5			1			2
100113	300	0	100	0	100113	100113	3	3	2	3	1	2	5	5		0	80	5			1			2
100201	120	0	100	0	100201	100201	2	2	1	2	1	1	5	5		0	80	5			1			3
100202	240	0	100	0	100202	100202	2	3	2	2	1	1	5	5		0	80	5			1			3
100203	300	0	100	0	100203	100203	3	3	2	3	1	2	5	5		0	80	5			1			3
100211	120	0	100	0	100211	100211	2	2	1	2	1	1	5	5		0	80	5			1			4
100212	240	0	100	0	100212	100212	2	3	2	2	1	1	5	5		0	80	5			1			4
100213	300	0	100	0	100213	100213	3	3	2	3	1	2	5	5		0	80	5			1			4
100221	120	0	100	0	100221	100221	2	2	1	2	1	1	5	5		0	80	5			1			6
100222	240	0	100	0	100222	100222	2	3	2	2	1	1	5	5		0	80	5			1			6
100223	300	0	100	0	100223	100223	3	3	2	3	1	2	5	5		0	80	5			1			6
100301	120	0	100	0	100301	100301	2	2	1	2	1	1	5	5		0	80	5			1			5
100302	240	0	100	0	100302	100302	2	3	2	2	1	1	5	5		0	80	5			1			5
100303	300	0	100	0	100303	100303	3	3	2	3	1	2	5	5		0	80	5			1			5
100311	120	0	100	0	100311	100311	2	2	1	2	1	1	5	5		0	80	5			1			7
100312	240	0	100	0	100312	100312	2	3	2	2	1	1	5	5		0	80	5			1			7
100313	300	0	100	0	100313	100313	3	3	2	3	1	2	5	5		0	80	5			1			7
100331	120	0	100	0	100331	100331	2	2	1	2	1	1	5	5		0	80	5			1			11
100332	240	0	100	0	100332	100332	2	3	2	2	1	1	5	5		0	80	5			1			11
100333	300	0	100	0	100333	100333	3	3	2	3	1	2	5	5		0	80	5			1			11
100401	120	0	100	0	100401	100401	2	2	1	2	1	1	5	5		0	80	5			1			8
100402	240	0	100	0	100402	100402	2	3	2	2	1	1	5	5		0	80	5			1			8
100403	300	0	100	0	100403	100403	3	3	2	3	1	2	5	5		0	80	5			1			8
100411	120	0	100	0	100411	100411	2	2	1	2	1	1	5	5		0	80	5			1			9
100412	240	0	100	0	100412	100412	2	3	2	2	1	1	5	5		0	80	5			1			9
100413	300	0	100	0	100413	100413	3	3	2	3	1	2	5	5		0	80	5			1			9
100421	120	0	100	0	100421	100421	2	2	1	2	1	1	5	5		0	80	5			1			12
100422	240	0	100	0	100422	100422	2	3	2	2	1	1	5	5		0	80	5			1			12
100423	300	0	100	0	100423	100423	3	3	2	3	1	2	5	5		0	80	5			1			12
100501	120	0	100	0	100501	100501	2	2	1	2	1	1	5	5		0	80	5			1			14
100502	240	0	100	0	100502	100502	2	3	2	2	1	1	5	5		0	80	5			1			14
100503	300	0	100	0	100503	100503	3	3	2	3	1	2	5	5		0	80	5			1			14
100511	120	0	100	0	100511	100511	2	2	1	2	1	1	5	5		0	80	5			1			13
100512	240	0	100	0	100512	100512	2	3	2	2	1	1	5	5		0	80	5			1			13
100513	300	0	100	0	100513	100513	3	3	2	3	1	2	5	5		0	80	5			1			13
100611	120	0	100	0	100611	100611	2	2	1	2	1	1	5	5		0	80	5			1			17
100612	240	0	100	0	100612	100612	2	3	2	2	1	1	5	5		0	80	5			1			17
100613	300	0	100	0	100613	100613	3	3	2	3	1	2	5	5		0	80	5			1			17
100321	120	0	100	0	100321	100321	2	2	1	2	1	1	5	5		0	80	5			1			10
100322	240	0	100	0	100322	100322	2	3	2	2	1	1	5	5		0	80	5			1			10
100323	300	0	100	0	100323	100323	3	3	2	3	1	2	5	5		0	80	5			1			10
100621	120	0	100	0	100621	100621	2	2	1	2	1	1	5	5		0	80	5			1			16
100622	240	0	100	0	100622	100622	2	3	2	2	1	1	5	5		0	80	5			1			16
100623	300	0	100	0	100623	100623	3	3	2	3	1	2	5	5		0	80	5			1			16
100701	120	0	100	0	100701	100701	2	2	1	2	1	1	5	5		0	80	5			1			20
100702	240	0	100	0	100702	100702	2	3	2	2	1	1	5	5		0	80	5			1			20
100703	300	0	100	0	100703	100703	3	3	2	3	1	2	5	5		0	80	5			1			20
100711	120	0	100	0	100711	100711	2	2	1	2	1	1	5	5		0	80	5			1			19
100712	240	0	100	0	100712	100712	2	3	2	2	1	1	5	5		0	80	5			1			19
100713	300	0	100	0	100713	100713	3	3	2	3	1	2	5	5		0	80	5			1			19
100801	120	0	100	0	100801	100801	2	2	1	2	1	1	5	5		0	80	5			1			21
100802	240	0	100	0	100802	100802	2	3	2	2	1	1	5	5		0	80	5			1			21
100803	300	0	100	0	100803	100803	3	3	2	3	1	2	5	5		0	80	5			1			21
100631	120	0	100	0	100631	100631	2	2	1	2	1	1	5	5		0	80	5			1			29
100632	240	0	100	0	100632	100632	2	3	2	2	1	1	5	5		0	80	5			1			29
100633	300	0	100	0	100633	100633	3	3	2	3	1	2	5	5		0	80	5			1			29
100521	1800	0	500	0	100521	0	2	2	1	2	1	1	5	5		0	80	5			1		2	
100522	0	0	100	0	100522	0	2	3	2	2	1	1	5	5		0	80	5			1		2	
100523	0	0	100	0	100523	0	3	3	2	3	1	2	5	5		0	80	5			1		2	
101101	120	0	100	0	101101	101101	2	2	1	2	1	1	5	5		0	80	5			1			30
101102	240	0	100	0	101102	101102	2	3	2	2	1	1	5	5		0	80	5			1			30
101103	300	0	100	0	101103	101103	3	3	2	3	1	2	5	5		0	80	5			1			30
100601	120	0	100	0	100601	100601	2	2	1	2	1	1	5	5		0	80	5			1			22
100602	240	0	100	0	100602	100602	2	3	2	2	1	1	5	5		0	80	5			1			22
100603	300	0	100	0	100603	100603	3	3	2	3	1	2	5	5		0	80	5			1			22
100721	120	0	100	0	100721	100721	2	2	1	2	1	1	5	5		0	80	5			1			18
100722	240	0	100	0	100722	100722	2	3	2	2	1	1	5	5		0	80	5			1			18
100723	300	0	100	0	100723	100723	3	3	2	3	1	2	5	5		0	80	5			1			18
100731	120	0	100	0	100731	100731	2	2	1	2	1	1	5	5		0	80	5			1			25
100732	240	0	100	0	100732	100732	2	3	2	2	1	1	5	5		0	80	5			1			25
100733	300	0	100	0	100733	100733	3	3	2	3	1	2	5	5		0	80	5			1			25
100741	120	0	100	0	100741	100741	2	2	1	2	1	1	5	5		0	80	5			1			15
100742	240	0	100	0	100742	100742	2	3	2	2	1	1	5	5		0	80	5			1			15
100743	300	0	100	0	100743	100743	3	3	2	3	1	2	5	5		0	80	5			1			15
100811	120	0	100	0	100811	100811	2	2	1	2	1	1	5	5		0	80	5			1			14
100812	240	0	100	0	100812	100812	2	3	2	2	1	1	5	5		0	80	5			1			14
100813	300	0	100	0	100813	100813	3	3	2	3	1	2	5	5		0	80	5			1			14
100821	120	0	100	0	100821	100821	2	2	1	2	1	1	5	5		0	80	5			1			23
100822	240	0	100	0	100822	100822	2	3	2	2	1	1	5	5		0	80	5			1			23
100823	300	0	100	0	100823	100823	3	3	2	3	1	2	5	5		0	80	5			1			23
101011	120	0	100	0	101011	101011	2	2	1	2	1	1	5	5		0	80	5			1			26
101012	240	0	100	0	101012	101012	2	3	2	2	1	1	5	5		0	80	5			1			26
101013	300	0	100	0	101013	101013	3	3	2	3	1	2	5	5		0	80	5			1			26
101021	120	0	100	0	101021	101021	2	2	1	2	1	1	5	5		0	80	5			1			27
101022	240	0	100	0	101022	101022	2	3	2	2	1	1	5	5		0	80	5			1			27
101023	300	0	100	0	101023	101023	3	3	2	3	1	2	5	5		0	80	5			1			27
101001	120	0	100	0	101001	101001	2	2	1	2	1	1	5	5		0	80	5			1			28
101002	240	0	100	0	101002	101002	2	3	2	2	1	1	5	5		0	80	5			1			28
101003	300	0	100	0	101003	101003	3	3	2	3	1	2	5	5		0	80	5			1			28
101111	120	0	100	0	101111	101111	2	2	1	2	1	1	5	5		0	80	5			1			29
101112	240	0	100	0	101112	101112	2	3	2	2	1	1	5	5		0	80	5			1			29
101113	300	0	100	0	101113	101113	3	3	2	3	1	2	5	5		0	80	5			1			29
120201	120	0	100	0	120201	120201	2	2	1	2	1	1	5	5		0	80	5			1			31
120202	240	0	100	0	120202	120202	2	3	2	2	1	1	5	5		0	80	5			1			31
120203	300	0	100	0	120203	120203	3	3	2	3	1	2	5	5		0	80	5			1			31
210101	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210102	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210103	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210104	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210105	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210106	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210107	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210108	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210109	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210110	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210111	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210112	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210113	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210114	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210115	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
210116	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
192224	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	100	5						
200101	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200102	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200103	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200104	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200105	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200106	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200107	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200108	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200109	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200110	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200111	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200112	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200113	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200114	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200115	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200116	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200117	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200118	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200119	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200120	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200121	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200122	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200123	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200124	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200125	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200126	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200127	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200128	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200129	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200130	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200131	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200132	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200133	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200134	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200135	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200136	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200201	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200202	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200203	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200204	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200205	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200206	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200207	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200208	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200209	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200210	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200211	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200212	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200213	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200214	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200215	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200216	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200217	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200218	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200219	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200220	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200221	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200222	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200223	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200224	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200225	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200226	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200227	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200228	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200229	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200230	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200231	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200232	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200233	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200234	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200235	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200301	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200302	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200303	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200304	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200305	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200306	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200307	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200308	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200309	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200310	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200311	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200312	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200313	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200314	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200315	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200316	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200317	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200318	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200319	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200320	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200321	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200322	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200323	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200324	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200325	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200326	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200327	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200328	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200329	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200330	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200331	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200332	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200333	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200334	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200335	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200336	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200337	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200338	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200339	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200340	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200341	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200342	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200343	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200401	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200402	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200403	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200404	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200405	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200406	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200407	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200408	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200409	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200410	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200411	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200412	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200413	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200414	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200415	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200416	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200417	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200418	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200419	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200420	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200421	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200422	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200423	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200424	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200425	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200426	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200427	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200428	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200429	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200430	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200431	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200432	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200433	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200434	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200435	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200436	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200437	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200501	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200502	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200503	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200504	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200505	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200506	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200507	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200508	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200509	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200510	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200511	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200512	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200513	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200514	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200515	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200516	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200517	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200518	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200519	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200520	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200521	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200522	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200523	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200524	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200525	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200526	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200527	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200528	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200529	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200530	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200531	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200532	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
200533	80	0	150	0	0	0	0	0	4	4	1	1	1	3		0	80	5	1					
