#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	14	80202	0		1			4	fm_01	获得首饰<2>(猎团营地艾瑞克处购买)	完成以下挑战中的2项：		1	3	0	0		2	4	
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	14	80212	0		1			4	fm_01	获得首饰<2>(猎团营地艾瑞克处购买)	完成以下挑战中的2项：		1	3	0	0		2	4	
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	14	80222	0		1			4	fm_01	获得首饰<2>(猎团营地艾瑞克处购买)	完成以下挑战中的2项：		1	3	0	0		2	4	
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	14	80232	0		1			4	fm_01	获得首饰<2>(猎团营地艾瑞克处购买)	完成以下挑战中的2项：		1	3	0	0		2	4	
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	14	80242	0		1			4	fm_01	获得首饰<2>(猎团营地艾瑞克处购买)	完成以下挑战中的2项：		1	3	0	0		2	4	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60100	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60041	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60120	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60230	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60140	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	512	60081	0		1			5	card_hunt_12	捕获<2>	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	908	100622	0		4			5	card_hunt_12	挑战眠鸟达成白金	达成以下目标：		1	3	0	0		3	2	
10004		三星猎人	1	0	100	100		2	0	0	0	0	0	0	4	908	100612	0		4			5	card_hunt_12	挑战金毛兽王达成白金	达成以下目标：		1	3	0	0		3	2	
10005		黄金之星·叁	1	0	100	100		3	0	0	0	0	0	0	4	14	80009	0		1			6	clear_13	"获得首饰<2>(\'教官的旧项链\'派生)"	完成以下挑战：		1	3	0	0		3	4	
10005		黄金之星·叁	1	0	100	100		3	0	0	0	0	0	0	4	107	1	0		10			6	clear_13	武器派生10次	完成以下挑战：		1	3	0	0		3	4	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	4	516	60130	12		1			7	monster_09	破坏<2>的背翅	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	4	516	60130	38		1			7	monster_09	破坏<2>的尾巴	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	4	516	60130	16		1			7	monster_09	破坏<2>的<3>	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	4	516	60130	20		1			7	monster_09	破坏<2>的左爪	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	4	516	60130	30		1			7	monster_09	破坏<2>的右爪	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	3	15057	0	0		1			7	monster_09	《<2>》	达成以下目标：		1	3	0	0		4	2	
10006		四星猎人	1	0	100	100		3	0	0	0	0	0	0	3	15058	0	0		1			7	monster_09	《<2>》	达成以下目标：		1	3	0	0		4	2	
10007		黄金之星·肆	1	0	100	100		4	0	0	0	0	0	0	3	11010	0	0		1			8	special_06	《<2>》	获得以下挑战卡片：		1	3	0	0		4	1	
10007		黄金之星·肆	1	0	100	100		4	0	0	0	0	0	0	3	15073	0	0		1			8	special_06	《<2>》	获得以下挑战卡片：		1	3	0	0		4	1	
10007		黄金之星·肆	1	0	100	100		4	0	0	0	0	0	0	3	11286	0	0		1			8	special_06	《<2>》	获得以下挑战卡片：		1	3	0	0		4	1	
10008		五星猎人	1	0	100	100		4	0	0	0	0	0	0	3	15029	0	0		1			9	competition_13	《<2>》	获得以下挑战卡片：		1	3	0	0		5	1	
10008		五星猎人	1	0	100	100		4	0	0	0	0	0	0	3	15063	0	0		1			9	competition_13	《<2>》	获得以下挑战卡片：		1	3	0	0		5	1	
10008		五星猎人	1	0	100	100		4	0	0	0	0	0	0	3	15064	0	0		1			9	competition_13	《<2>》	获得以下挑战卡片：		1	3	0	0		5	1	
10009		黄金之星·伍	1	0	100	100		5	0	0	0	0	0	0	4	532	100707	0		1			10	clear_09	无伤击败“挑战！片耳黑狼鸟”	完成以下挑战：		1	3	0	0		5	1	
10009		黄金之星·伍	1	0	100	100		5	0	0	0	0	0	0	4	532	101001	0		1			10	clear_09	无伤击败“挑战！祸星龙”	完成以下挑战：		1	3	0	0		5	1	
10009		黄金之星·伍	1	0	100	100		5	0	0	0	0	0	0	4	532	101106	0		1			10	clear_09	无伤击败“挑战！烈焰女王”	完成以下挑战：		1	3	0	0		5	1	
10009		黄金之星·伍	1	0	100	100		5	0	0	0	0	0	0	4	532	101027	0		1			10	clear_09	无伤击败“挑战！断刃一角龙”	完成以下挑战：		1	3	0	0		5	1	
10009		黄金之星·伍	1	0	100	100		5	0	0	0	0	0	0	3	15074	0	0		1			10	clear_09	获得卡片《<2>》	完成以下挑战：		1	3	0	0		5	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15114	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15115	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15116	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15117	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15118	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10010		六星猎人	1	0	100	100		5	0	0	0	0	0	0	3	15119	0	0		1			11	monster_87	《<2>》	获得以下挑战卡片：		1	3	0	0		6	1	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15139	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15120	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15121	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15122	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15123	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15137	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
10011		黄金之星·陆	1	0	100	100		6	0	0	0	0	0	0	3	15138	0	0		1			12	monster_96	《<2>》	获得以下挑战卡片：		1	3	0	0		6	2	
11000		初次锻造	1	1	5	5		1	0	0	0	0	0	0	4	108	1	0		1			1	card_weapon_01	装备锻造	完成以下装备打造：		1	1	0	0		1	4	
11001		初次派生	1	1	5	5		1	0	0	0	0	0	0	4	107	1	0		1			2	card_weapon_06	武器派生	完成以下装备打造：		1	1	0	0		1	4	
11002		初次镶嵌	1	1	10	10		1	0	0	0	0	0	0	4	104	2	0		1			3	fm_02	防具镶嵌	完成以下装备打造：		1	1	0	0		1	4	
11003		初次突破	1	1	10	10		1	0	0	0	0	0	0	4	538	2	1		1			4	fm_01	狩魂石突破·攻击等级提升1次	完成以下装备打造：		1	1	0	0		1	4	
11004		武器达人I	1	1	10	10		1	0	0	0	0	0	0	4	109	1	0		1			5	weapon_01	锻造或派生武器1次	达成以下目标：		1	1	0	0		1	4	
11005		武器达人II	1	1	10	10		1	0	0	0	0	11004	0	4	109	1	0		10			5	weapon_02	锻造或派生武器10次	达成以下目标：		2	1	0	0		1	4	
11006		武器达人III	1	1	10	10		1	0	0	0	0	11005	0	4	109	1	0		20			5	weapon_14	锻造或派生武器20次	达成以下目标：		3	1	0	0		1	4	
11007		武器达人IV	1	1	10	10		1	0	0	0	0	11006	0	4	109	1	0		35			5	weapon_08	锻造或派生武器35次	达成以下目标：		4	2	0	0		2	4	
11008		武器达人V	1	1	10	10		1	0	0	0	0	11007	0	4	109	1	0		50			5	weapon_06	锻造或派生武器50次	达成以下目标：		5	2	0	0		2	4	
11009		武器达人VI	1	1	20	20		1	0	0	0	0	11008	0	4	109	1	0		100			5	weapon_03	锻造或派生武器100次	达成以下目标：		6	3	0	0		3	4	
11010		护石狂人	1	1	20	20		3	0	0	0	0	0	0	4	110	0	0		30			6	fm_03	精铸护石30次	达成以下目标：		1	3	0	0		3	4	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53011	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53012	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53051	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53161	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53599	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133589	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11011		晓风派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134589	0		1			7	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53032	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53236	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53591	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133581	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134581	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133226	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11012		晓风派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134226	0		1			8	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53013	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53014	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53112	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53602	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53261	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53267	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133257	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11013		骨刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134257	0		1			9	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53014	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53021	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53116	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53135	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53742	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133742	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134742	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53639	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133629	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11014		骨刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134629	0		1			10	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	131003	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	132003	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	53155	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	53594	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	133584	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11015		骨刀派生系III·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	134584	0		1			11	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	131003	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53113	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53598	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133714	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133565	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134714	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11016		骨刀派生系IV·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134565	0		1			12	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53016	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53022	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53118	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53136	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53592	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134108	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134126	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11017		铁刀派生系I·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134582	0		1			13	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53022	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53036	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53119	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	132026	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133026	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134026	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133109	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11018		铁刀派生系II·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134109	0		1			14	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53016	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	131006	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53115	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	53152	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133703	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	133741	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
