#TSV
#============Begin of sheet============
@Sheet=EquipEnchant
编号	装备等级下限	装备等级上限	物品大类	物品中类	物品小类	装备品质	装备Rank	时效	效果BUFF	描述
171	28	55	4	1					30001003	Attack up 19
172	33	55	4	1					30001004	提升23点攻击力
173	38	55	4	1					30001005	提升29点攻击力
174	43	55	4	1					30001006	提升35点攻击力
175	48	55	4	1					30001007	提升44点攻击力
176	53	55	4	1					30001008	提升50点攻击力
177	3	55	4	2	1				30001009	提升7点生命力
178	13	55	4	2	1				30001010	提升8点生命力
179	23	55	4	2	1				30001011	提升10点生命力
180	28	55	4	2	1				30001012	提升12点生命力
181	33	55	4	2	1				30001013	提升14点生命力
182	38	55	4	2	1				30001014	提升17点生命力
183	43	55	4	2	1				30001015	提升20点生命力
184	48	55	4	2	1				30001016	提升25点生命力
185	53	55	4	2	1				30001017	提升28点生命力
186	3	55	4	2	2				30001018	提升11点生命力
187	13	55	4	2	2				30001019	提升13点生命力
188	23	55	4	2	2				30001020	提升16点生命力
189	28	55	4	2	2				30001021	提升17点生命力
190	33	55	4	2	2				30001022	提升20点生命力
191	38	55	4	2	2				30001023	提升25点生命力
192	43	55	4	2	2				30001024	提升29点生命力
193	48	55	4	2	2				30001025	提升33点生命力
194	53	55	4	2	2				30001026	提升36点生命力
										
										
										
										
										
										
										
										
										
										
										
#============End of sheet============

