#TSV
#============Begin of sheet============
@Sheet=人物buff80-83
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	DragonAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	IceAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	NonAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	PoisonAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	SleepyAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	ParalysisAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharDefence	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	AttackLevelDef	值修改	13								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10680	野猪的韧性		1					30000						时间更新,次数不变							0	1								人物属性修饰	CharMaxSta	值修改	25								buff15		野猪的体液让你的耐力得到恢复！								
10680	野猪的韧性		1					30000						时间更新,次数不变							0	1								人物属性修饰	CharStaRecovery	值修改	10								buff15		野猪的体液让你的耐力得到恢复！								
10681	怒气满(无图标)		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	10000																				
10682	猎人守护		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	20													605;705							
10682	猎人守护		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定加耐力	75																				
10683	攻之眠气		1					10000						时间更新,次数不变		1					1	1								伤害结果修饰	眠积蓄值	值修改	99999999								buff04		你的攻击可以让怪物睡眠，抓紧时间！								
10684	光虫萦绕		1					6000						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-35								buff19		光虫环绕着你，跑不快了！	47							
10684	光虫萦绕		1					6000						时间更新,次数不变		1					1	1								人物属性修饰	CharAnimSpeed	百分比修改	-35								buff19										
10685	金毛之力		1					30000						时间更新,次数叠加		20					1	1								人物属性修饰	PlayerAtk	百分比修改	150								buff02		金毛的力量！乘力量消失前赶紧攻击！	606;706							
10686	毒潭回血		1					720000	携带某ID基因时	80000005				时间更新,次数不变							0	1	EOT触发	立即触发				1000		固定百分比加血	20										buff14		以毒攻毒，站在毒潭中以恢复生命								
10687	连击之力		1					36000						时间更新,次数叠加		10					1	1								人物属性修饰	PlayerAtk	百分比修改	100																		
10688	连击之防		1					36000						时间更新,次数叠加		10					1	1								人物属性修饰	CharDefence	百分比修改	100																		
10689	超炎热		1					720000						时间更新,次数叠加		3					0	1	EOT触发					2000		固定百分比扣绿血	1										buff21		你感觉到超级炎热	46							
10689	超炎热		1					720000						时间更新,次数叠加		3					0	1								不能使用道具	1										buff14										
10689	超炎热		1					720000						时间更新,次数叠加		3					0	1								不能使用指定技能	100000501										buff14										
10690	燃烧		0	燃烧				40000						时间更新,次数不变							1	1	EOT触发					1000		火伤害	2										buff13		每秒钟损失一定的生命值	15							
10690																					1	1	翻滚							移除BUFF类型	燃烧																				
10691	友善的河狸兽		1					720000						时间更新,次数不变				10691	2		0	1								对怪物隐身											buff04		这是只非常友善的河狸兽，不会主动攻击你，你也不会攻击它		6435						
10692	感谢去除（河狸兽）		1					10000						时间更新,次数不变				10691	1		1	1								人物属性修饰	CharDefence	百分比修改	0																		
10693	友善的河狸兽		1					720000						时间更新,次数不变							0	1	EOT触发					10000		获得BUFF	10691																				
10694	烟雾弥漫		1					12000						时间更新,次数不变							1	1								对怪物隐身											buff04		你潜藏在烟雾中，怪物无法发现你！赶紧拿了东西跑吧！								
10695	恢复生命5%		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	30										buff04			1							
10696	慢性中毒		1					720000						时间更新,次数叠加		3					0	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff14		你正在缓慢地损失生命！不能食用药物或者睡觉。	14							
10696	慢性中毒		1					720000						时间更新,次数叠加		3					0	1								不能使用道具	1										buff14										
10696	慢性中毒		1					720000						时间更新,次数叠加		3					0	1								不能使用指定技能	100000501										buff14										
10696	慢性中毒		1					720000						时间更新,次数叠加		3					0	1								人物属性修饰	PlayerAtk	百分比修改	200								buff14										
10697	灭蛛之力		1					720000						时间更新,次数不变							0	1								伤害结果修饰	伤害	百分比修改	1000								buff02		子弹经过了特别处理，对付鬼狩蛛能造成更大的伤害！								
10698	友善的怪物		1					720000						时间更新,次数不变				10698	2		0	1								对怪物隐身											buff04		沙狸兽正在开心地玩耍，不会主动攻击你！		6437						
10699	感谢去除（沙狸兽）		1					10000						时间更新,次数不变				10698	1		1	1								人物属性修饰	CharDefence	百分比修改	0																		
10700	友善的沙狸兽		1					720000						时间更新,次数不变							0	1	EOT触发					10000		获得BUFF	10698																				
10701	恢复生命100%		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	100										buff04			1							
10702	热忱怒气		1					12000						时间更新,次数不变							1	1																			buff44		现在怒气可以快速增加了喵！赶紧打怪喵！	605;705							
10703	热忱怒气一百		1					500	携带某ID基因时	10702				时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	10000										buff04			627							
10704	连续怒气		1					18000						时间更新,次数不变							1	1																			buff44		在持续时间内杀掉怪物就能获得大量的怒气哦！	605;705							
10705	连续怒气一百		1					500	携带某ID基因时	10704				时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	10000										buff04			627							
10706	野猪怒气		1					720000						时间更新,次数不变							1	1																			buff44		虽然只能通过杀掉野猪才能获得大量怒气，但是持续时间很长！	605;705							
10707	野猪怒气一百		1					500	携带某ID基因时	10706				时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	10000										buff04			627							
10708	找到光源		1					500						时间更新,次数不变				10717	1		1	1																													
10709	连续怒气添加者		1					1100						时间更新,次数不变							1	1	EOT触发					1000		获得BUFF	10704																				
10710	耐力-20		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定扣耐力	百分比修改	20																			
10711	斩味消耗*3		1					0						时间更新,次数不变							1	1								斩味消耗修饰	百分比修改	200																			
10712	寒毛之力		1					24000						时间更新,次数叠加		20					1	1								人物属性修饰	PlayerAtk	百分比修改	100								buff02		雪猿的力量！乘力量消失前赶紧攻击！	606;706							
10713	冰冷彻骨		1					720000						时间更新,次数叠加		3					0	1	EOT触发	立即触发				2000		获得BUFF	10714										buff11		你正遭受体内外双重寒冷的袭击！不能食用药物或者睡觉。	45							
10713	冰冷彻骨		1					720000						时间更新,次数叠加		3					0	1								不能使用道具	1										buff11										
10713	冰冷彻骨		1					720000						时间更新,次数叠加		3					0	1								不能使用指定技能	100000501										buff11										
10714	冰冷彻骨		1					720000						时间更新,次数不变				10714	2		0	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff01		寒冷正在让你损失生命。	45							
10715	温暖的火堆		1					2000						时间更新,次数不变				10714	1		0	1	EOT触发	立即触发				1000		固定百分比加血	4										buff108		你正遭受体内外双重寒冷的袭击！不能食用药物或者睡觉。	45							
10715								2000																						指定buff效果免疫	10006																				
10716	热身的力量		1					720000						时间更新,次数叠加		20					0	1								人物属性修饰	PlayerAtk	百分比修改	30								buff72		通过讨伐小型怪物进行热身！身体越来越热越来越强！	621;721							
10716	热身的力量		1					720000						时间更新,次数叠加		20					0	1								人物属性修饰	CharDefence	百分比修改	20								buff72		通过讨伐小型怪物进行热身！身体越来越热越来越强！	621;721							
10717	工作压力		1					45000						时间更新,次数叠加		3		10717	2		0	1	EOT触发					45000		固定百分比扣绿血	200										buff64		45秒内没有赶到光源处就完蛋了喵！								
10718	工作压力		1					720000													0	1	EOT触发	立即触发				45000		获得BUFF	10717																				
10719	健步如飞		1					720000						时间更新,次数叠加		12					1	1								人物属性修饰	CharSpeed	百分比修改	5								buff20		为了活命你跑得越来越快了！	602;702							
10720	猫的鼓舞		1					30000						时间更新,次数叠加		1					1	1								人物属性修饰	PlayerAtk	百分比修改	100								buff26		在猫的鼓舞之下，你感觉力量充满全身	606;706							
10721	盛怒药水		1					60000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	1000										buff04		盛怒药水让你觉得怒意满满！	607							
10722	御石采集		1					1000																																											
10723	饥饿中		1											时间更新,次数不变				10723	2		1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff14		你正在忍受挨饿的痛苦!	14							
10724	AR		1											时间更新,次数叠加		10					0	1								人物属性修饰	PlayerAtk	百分比修改	100								buff72		通过讨伐小型怪物进行热身！身体越来越热越来越强！	621;721							
10724	AR		1											时间更新,次数叠加		10					0	1								人物属性修饰	CharDefence	百分比修改	100								buff72		通过讨伐小型怪物进行热身！身体越来越热越来越强！	621;721							
10725	恢复生命30%		1					720000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	50										buff04			1							
10726	猛毒(已删除)		0	毒				1500						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！	14							
10727	燃烧(已删除)		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	2										buff13		每秒钟损失一定的生命值	15							
10727																					1	1	翻滚							移除BUFF类型	燃烧																				
10728	饥饿去除		1					1000						时间更新,次数不变				10723	1		1	1								人物属性修饰	CharDefence	百分比修改	0																		
10729	杀戮者印章		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff75		杀戮!	800							
10730	狩猎者印章		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff76		狩猎!	801							
10731	探索者印章		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff77		探索!	802							
10732	采集者印章		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff78		采集!	803							
10733	霸者印章		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff79		霸者!	804							
10734	杀戮者印章(伪)		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff75		杀戮!	800							
10735	狩猎者印章(伪)		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff76		狩猎!	801							
10736	探索者印章(伪)		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff77		探索!	802							
10737	采集者印章(伪)		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff78		采集!	803							
10738	霸者印章(伪)		1											时间更新,次数不变				10729	1		0	1								人物属性修饰	CharDefence	百分比修改	0								buff79		霸者!	804							
10739	减速		0					978						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff19		速度降低								
10740	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10741	燃烧		0	燃烧				2000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
61001	正在搬运		1	搬运				0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	64	6416	0	6417	61	6417		
61001	正在搬运		1					0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-30																		
61002	正在搬运		1	搬运				0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	62	6416	0	6417	61	6417		
61002	正在搬运		1					0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-20																		
80000001	健步如飞		1					720000						时间更新,次数叠加		12					1	1								人物属性修饰	CharSpeed	百分比修改	5								buff20		为了活命你跑得越来越快了！	602;702							
80000002	真正的勇者		1					720000						时间更新,次数不变							0	1								不能使用道具	1										buff04		不使用道具来进行狩猎！								
80000003	耐心听讲							30000																						不能使用武器											buff80										
80000003	耐心听讲							30000						时间更新,次数不变							1	1								不能使用道具	1										buff80										
80000003	耐心听讲							30000						时间更新,次数不变							1	1								不能使用道具	5										buff80										
80000003	耐心听讲		0					30000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-100								buff80		速度降低								
80000003	耐心听讲							30000																						不能使用指定技能	100000101										buff80										
80000003	耐心听讲							30000																						不能使用指定技能	100000201										buff80										
80000003	耐心听讲							30000																						不能使用指定技能	100000301										buff80										
80000003	耐心听讲							30000																						不能使用指定技能	100000401										buff80										
80000004	攻击力提升30%		1					720000						时间更新,次数叠加		99					1	1								人物属性修饰	PlayerAtk	百分比修改	30								buff_icon_ATKup04_s		贺非的愤怒	800							
80000005	中毒		0	毒				10000						时间更新,次数不变		1		10167	5		1	1	EOT触发	延迟触发				1000		毒伤害	1										buff12		你中毒了！赶紧喝下解毒药吧！	14							
80000006	燃烧		0	燃烧				20000						时间更新,次数不变				10001	1		1	1	EOT触发					1000		固定百分比扣红血	2										buff13		你烧起来了！赶紧翻滚来灭火吧！	15							
80000006																					1	1	翻滚							移除BUFF类型	燃烧																				
80000007	正在搬运		1	搬运				0													1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	64	6416	0	6417	61	6417		
80000007	正在搬运		1					0													1	1								人物属性修饰	CharSpeed	百分比修改	-20																		
80000008	恢复生100%		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	100													1							
80000009								500						时间更新,次数不变							1	1																						807	4699						
80000010								500						时间更新,次数不变							1	1																						10							
80000011								500						时间更新,次数不变							1	1																						806							
80000012	急驱		1					30000						时间更新,次数不变							1	1								耐力消耗免疫											buff24		一定时间内耐力不消耗	10							
80000013	正在搬运		1	搬运		10001		0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	809	7034	0	7036	66	7036		
80000013	正在搬运		1	搬运		10001		0						时间更新,次数不变		1					1	1	放下搬运物品							生成场景物件	Bomb.LaoShanXieBucketBomb										buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	809	7034		7036		7036		
80000014	正在搬运		1	搬运		10002		0													1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	808	7035	0	7037	66	7037		
80000014	正在搬运		1	搬运		10002		0													1	1	放下搬运物品							生成场景物件	Bomb.BigBucketBomb										buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	808	7035		7037		7037		
80000015	侦测水龙		1					0						时间更新,次数不变							0	1								自动标记													一定时间内可以在小地图上看到怪物								
80000015	侦测水龙																													人物属性修饰	CharStaDdctPeriod	百分比修改	900										一定时间内可以在小地图上看到怪物								
80000015	侦测水龙																													人物属性修饰	RageSpeed	百分比修改	-100																		
80000015	侦测水龙																													人物属性修饰	RageRatio	百分比修改	-100																		
80000016								500						时间更新,次数不变							1	1																						613							
80000017	领队		1					0						时间更新,次数不变							1	1																			buff83		你现在是领队，伙伴都跟随着你！请带领大家完成狩猎吧！								
80000018	强走		1					60000						时间更新,次数不变							1	1								耐力消耗免疫											buff24		一定时间内耐力不消耗	47	3202		3203				
80000019								500						时间更新,次数不变							1	1																						807	4700						
80000020								500						时间更新,次数不变							1	1																						807	4701						
80000021								500						时间更新,次数不变							1	1																						807	4702						
80000022	奥义觉醒		1											时间更新,次数不变							1	1	EOT触发	立即触发				500		增加怒气	10000										buff44		你获得了源源不断的奥义之力！	627							
80000023								500						时间更新,次数不变							1	1																						807	4703						
80000024								500						时间更新,次数不变							1	1																						807	4704						
