#TSV
#============Begin of sheet============
@Sheet=系统提示
提示ID	提示内容	提示位置1	信息颜色1	提示位置2	信息颜色2	提示位置3	信息颜色3	提示位置4	信息颜色4	提示位置5	信息颜色5	对应icon
6236	多拍打腿部才能获得鲜嫩的炸腿！	3	10	1	1							
6237	虽然一样大，但也是有好坏的阿！	3	10	1	1							
6238	猪之海与怒之海洋，谁能淹没谁？	3	10	1	1							
6239	让沙尘来得更猛烈些吧！	3	10	1	1							
6240	阿 打错部位河狸兽生气拉！快跑！	3	10	1	1							
6241	王和子民的羁绊是如此深厚，你又如何破解？	3	10	1	1							
6242	恩 这样才能让尾巴茁壮成长！	3	10	1	1							
6245	她在湖边等着你	3	10	1	1							
6246	看到小蓝速龙的痛苦，蓝速龙王愤怒了	3	10	1	1							
6247	阿！左腿好疼！大怪鸟愤怒了！	3	10	1	1							
6248	阿！右腿好疼！大怪鸟愤怒了！	3	10	1	1							
6249	渺小的牺牲者只会被遗忘	3	10	1	1							
6250	猎人要越挫越勇喵！给你特别的守护喵！	3	10	1	1							
6251	还是经受不了诱惑阿！猎人！	3	10	1	1							
6252	加油！雄火龙就快出现了喵！	3	10	1	1							
6253	遗骸洞穴	10	1	1	1							
6254	前往幽暗的洞穴吧，遗骸留下的部分机关诅咒会祝你一臂之力！	3	10	1	1							
6255	近沙者，头也；近水者，尾也！	3	10	1	1							
6256	野猪的油脂会让你的武器更锋利！	3	10	1	1							
6257	香菇猪的苔藓会让你恢复生命！	3	10	1	1							
6258	让你来修整河狸兽的尾巴，没让你修理蓝速龙呀	3	10	1	1							
6259	右手！	3	10	1	1							
6260	左手！	3	10	1	1							
6261	盾蟹是不吃香蕉的！	3	10	1	1							
6262	阿！撑死啦	3	10	1	1							
6263	猪全身都是宝哦！	3	10	1	1							
6264	但是也不能滥用！	3	10	1	1							
6265	去2区证明这一点吧！猎人	3	10	1	1							
6266	分不清头和尾?	3	10	1	1							
6267	分不清沙和水？	3	10	1	1							
6268	帮桃毛兽的剃毛！就在大沼泽！	3	10	1	1							
6269	先来剃手上的哦！	3	10	1	1							
6270	左手右手都要剃干净！	3	10	1	1							
6271	然后是头部和尾巴上的！桃毛兽王最最吸引人的地方！	3	10	1	1							
6281	奥义球出现了！踩踏增加奥义槽！	3	10	1	1							
6282	防御球出现了！踩踏加防御！	3	10	1	1							
6283	躲开攻击球！否则怪物将会愤怒！	3	10	1	1							
6284	生命球出现了！踩踏加HP！	3	10	1	1							
6285	麻痹光束出现了！踩踏后砍怪加麻痹！	3	10	1	1							
6286	王道光束出现了！不踩的话怪物将会愤怒！	3	10	1	1							
6287	需要修剪尾巴的家伙在3区哦！	3	10	1	1							
6288	王和它的子民正在3区聚会呢！	3	10	1	1							
6289	一群迷路的蓝速龙王跑到了沙漠的三区。	3	10	1	1							
6290	阿 谁让你剃这个地方的毛拉！	3	10	1	1							
6291	这是王和猎人的对决！喽罗一边去！	3	10	1	1							
6292	速龙三王正在3区等着你	3	10	1	1							
6293	阿！你杀了无辜的喽罗！你的荣誉让你痛苦不堪！	3	10	1	1							
6294	荣誉给你带来力量！	3	10	1	1							
6295	看着兄弟的倒下，剩下的王变得更加强大了！	3	10	1	1							
6296	昨天的猎人宴会害得你肚子疼！	3	10	1	1							
6297	肚子变得好受些了！	3	10	1	1							
6298	阿,你变得更难受了!	3	10	1	1							
6299	蓝速龙的体液能让你稍微跑得快些！	3	10	1	1							
6300	肚子一阵绞痛！啊！好痛苦！	3	10	1	1							
6301	突然又好受了些！	3	10	1	1							
6302	阿！回复药看来对肚子疼没有什么帮助！	3	10	1	1							
6303	你觉得你的肚子30秒后要爆炸了！	3	10	1	1							
6304	这次你的任务是用炸弹来狩猎！	3	10	1	1							
6305	炸什么都可以！	3	10	1	1							
6306	炸河狸兽可以更快地检查炸弹的威力！	3	10	1	1							
6307	突然一种神奇的力量覆盖在了你身上	3	10	1	1							
6308	阿!过度的狂怒让你身心疲惫了!	3	10	1	1							
6309	用炸弹来讨伐野猪！让烤肉的香味漫溢！	3	10	1	1							
6310	虽然快接近狩猎的终点！肚子却越来越不争气了！	3	10	1	1							
6311	听说猪的香味可以让肚子好受些！	3	10	1	1							
6312	精灵鹿的迷香可以让时间过得更快！	3	10	1	1							
6313	这次的目标是训练猎人在短时间内提升自己的能力！	3	10	1	1							
6314	你说方法？当然是通过狩猎！从猎物身上学习！	3	10	1	1							
6315	最后的提醒，真正的猎人的狩猎是有节制的！	3	10	1	1							
6316	香菇猪的菌苔可以让你更有活力！	3	10	1	1							
6317	蓝速龙的体液可以让你像它一样迅速！	3	10	1	1							
6318	野猪！力量的象征！	3	10	1	1							
6319	小盾蟹可以教你如何学会更好的防御！	3	10	1	1							
6320	好多不听话的小鸟阿，用你手中的飞刀讨伐它们吧！	3	10	1	1							
6321	有更多的鸟飞了过来！	3	10	1	1							
6322	又有更多的鸟飞了过来！	3	10	1	1							
6323	这应该就是最后的了！坚持住！	3	10	1	1							
6324	大的吃大的，小的吃小的！这样喂得才快哦！	3	10	1	1							
6325	这次你将面对最强的河狸兽!	3	10	1	1							
6326	为了让你能够在10分钟内讨伐它!我会教授你最强的奥意!	3	10	1	1							
6327	攻击他的尾巴根部！	3	10	1	1							
6328	对!盯着头部猛攻!可以造成最大的伤害喵！	3	10	1	1							
6329	不是这里喵！是攻击头部喵！	3	10	1	1							
6330	为了下次的烤肉大会，这次的狩猎目标是野猪！	3	10	1	1							
6331	无论大小统统都要！	3	10	1	1							
6332	使用奥义一起横冲直撞吧！	3	10	1	1							
6333	你能面对一大波电龙吗？	3	10	1	1							
6334	前往4区，迎战同生共死的沙狸兽夫妇吧！	3	10	1	1							
6335	沙狸兽丈夫快死啦！不过妻子濒死之前是不能撇下她的！	3	10	1	1							
6336	沙狸兽妻子快死啦！不过丈夫濒死之前是不能撇下他的！	3	10	1	1							
6337	沙狸兽夫妇均进入濒死状态，好好利用这个机会吧！	3	10	1	1							
6338	沙狸兽丈夫死亡，请在被觉察前消灭他的爱侣，否则将有生命危险喵！	3	10	1	1							
6339	沙狸兽妻子死亡，请在被觉察前消灭她的爱侣，否则将有生命危险喵！	3	10	1	1							
6340	这次你要和河狸兽远程对峙喵！	3	10	1	1							
6341	拿起补给箱里的弹弹球！这是你的武器喵！	3	10	1	1							
6342	消灭所有的小河狸兽喵！	3	10	1	1							
6343	不好！沙狸兽妻子愤怒了喵！	3	10	1	1							
6344	不好！沙狸兽丈夫愤怒了喵！	3	10	1	1							
6345	加油！猫车的服务会陪伴猎人到底喵！	3	10	1	1							
6346	阿！超强河狸兽的大哥出现了喵！	3	10	1	1							
6347	用剃刀剃手部的毛发	3	10	1	1							
6348	用剃刀剃头部的毛发	3	10	1	1							
6349	光虫出现了喵！	3	10	1	1							
6350	抓到光虫了喵！	3	10	1	1							
6351	快来红光这里获取猫猫的鼓舞喵！	3	10	1	1							
6352	绿光可以治疗猎人喵！	3	10	1	1							
6353	快来白光！用眠气来对付眠鸟！	3	10	1	1							
6354	黄色之光让你奥义槽充盈！	3	10	1	1							
6355	麻痹的粉尘从飞虫身上掉落了喵！	3	10	1	1							
6356	你沾上了麻痹粉尘喵！赶紧杀飞虫喵！	3	10	1	1							
6357	隐秘的任务书上写着:不要碰蓝色的怪物！	3	10	1	1							
6358	隐秘的任务书上写着:洞中皆是罪恶，请消灭之！	3	10	1	1							
6359	隐秘的任务书上写着:消灭长满菌类的生物！	3	10	1	1							
6360	隐秘的任务书上写着:现在是保护鸟类的季节！	3	10	1	1							
6361	隐秘的任务书上写着:横冲直撞者隐藏着信息！	3	10	1	1							
6362	2区出现了热源喵！赶紧去喵！	3	10	1	1							
6363	热源出现了喵！在3区喵！	3	10	1	1							
6364	喵！喵！喵！喵！4区喵！	3	10	1	1							
6365	5区的可怕的地方喵！热源喵！	3	10	1	1							
6366	6区也出现了喵！	3	10	1	1							
6367	这次是7区出了热源喵！	3	10	1	1							
6368	天然的热气让你稍微好受点了喵	3	10	1	1							
6369	如果…你是孤身一人喵!那猪就是你的队友喵!	3	10	1	1							
6370	这种状况下不能使用营地喵!	3	10	1	1							
6371	桃毛兽王开始吃香蕉拉！抓紧时间从小桃毛兽那里拿香蕉喵！	3	10	1	1							
6372	小桃毛兽开吃吃香蕉拉！	3	10	1	1							
6373	对！不断地连续攻击它！强化自己喵！	3	10	1	1							
6374	紫色的泡泡出现拉，有毒的一定要避开哦！	3	10	1	1							
6375	红色的泡泡出现拉，遇到了会让你减速哦！	3	10	1	1							
6376	又一只河狸兽加入了战斗！	3	10	1	1							
6377	野猪让你更有活力，更有韧性！	3	10	1	1							
6378	你觉得肚子在往不好的方向发展，还是多准备比较好！	3	10	1	1							
6379	这个时节要保护鸟类喵！	3	10	1	1							
6380	执行了错误的指令喵！	3	10	1	1							
6381	你执行了正确的指令喵！	3	10	1	1							
6382	指令：请勿攻击蓝速龙	3	10	1	1							
6383	指令：消灭洞穴中的怪物	3	10	1	1							
6384	指令：消灭长着菌类的生物	3	10	1	1							
6385	指令：请勿攻击大怪鸟	3	10	1	1							
6386	情报指南书上写着：真正的情报指南书不知道被哪个香菇猪当香菇吃掉了！	3	10	1	1							
6387	"被嚼过的指南书上写着：受伤的蓝速龙王在<FONT COLOR=\"\#00FF00\" >3区</FONT>，请直接捕获它！不过陷阱和捕获玉好像被<FONT COLOR=\"\#00FF00\" >2区</FONT>的野猪和<FONT COLOR=\"\#00FF00\" >4区</FONT>的小蓝速龙吞食了..."	3	10	1	1							
6388	"从<FONT COLOR=\"\#00FF00\" >香菇猪</FONT>处获取情报指南书并阅读"	3	10	1	1							
6389	直接捕获或击败受伤的蓝速龙王	3	10	1	1							
6390	光源出现了喵！	3	10	1	1							
6391	这里！这里！	3	10	1	1							
6392	又有了！快来！	3	10	1	1							
6393	小心怪物喵！这里有喵！	3	10	1	1							
6394	看到了光喵！	3	10	1	1							
6395	光源出现了喵！	3	10	1	1							
6396	这到底是什么喵？	3	10	1	1							
6397	光虫喵？	3	10	1	1							
6398	抓回去让学士研究喵！	3	10	1	1							
6399	就是这样喵！攻击钳子来获得蟹壳素喵！	3	10	1	1							
6400	又有更多的小毒怪鸟出现了喵！	3	10	1	1							
6411	猎人要坚持住喵！不要浪费毒潭喵！	3	10	1	1							
6412	这是最后一波毒怪鸟喵！	3	10	1	1							
6413	你喝下了盆子里仅存的水然后捡起了水盆	3	10	1	1							
6414	有更多的小蓝速龙来2区了！	3	10	1	1							
6415	1区来了好多更凶猛的小蓝速龙！	3	10	1	1							
6416	你获得了怪物的蛋！	10	1	1	1							
6417	你的蛋碎了！	10	1	1	1							
6418	经过仔细分析，你发现要合成一个宝藏探测器，需要1个探测头，1根曲柄及1套齿轮组。	3	10	1	1							
6419	从野猪处获取探测头	3	10	1	1							
6420	秘密卷卷轴上写着：宝藏藏于地下	3	10	1	1							
6421	秘密卷轴上写着：挖宝藏肯定惊动了上面的怪物！那个就是讨伐的目标！	3	10	1	1							
6422	去洞穴中挖掘曲柄	3	10	1	1							
6423	去神庙废墟处寻找齿轮	3	10	1	1							
6424	蓝速龙王出现了喵！	3	10	1	1							
6425	大野猪王出现了喵！	3	10	1	1							
6426	这次一下子出现了2只喵！	3	10	1	1							
6427	就是这样！用蛋丢大怪鸟的头部！	3	10	1	1							
6428	一定要丢头部！这样才疼！	3	10	1	1							
6429	野猪出现了喵!赶快消灭喵!	3	10	1	1							
6430	野猪打扰采蜜进度拉	3	10	1	1							
6431	小桃毛兽出现拉！猎人快快来！	3	10	1	1							
6432	更多的小桃毛兽出现拉！	3	10	1	1							
6433	调查的猫猫受到惊吓！调查进度降低了！	3	10	1	1							
6434	猫猫被吓到拉！！！采集的进度降低拉！	3	10	1	1							
6435	河狸兽心情很好！不会攻击你了！	3	10	1	1							
6436	河狸兽生气啦！赶紧跑开一会儿！	3	10	1	1							
6437	怪物们对你没有兴趣了喵！	3	10	1	1							
6438	沙狸兽生气啦！赶紧跑开一会儿！	3	10	1	1							
6439	3区又来了好多小蓝速龙！	3	10	1	1							
6440	2区！小蓝速龙又出现了！	3	10	1	1							
6441	好像是最后的了喵！在3区喵	3	10	1	1							
6442	你打开了任务书，上面写着“蜜蜂带来秘密”	3	10	1	1							
6443	解开蜜蜂的秘密	3	10	1	1							
6444	你打开了任务书，只见上面写着“诱惑物和情报在3区散步”	3	10	1	1							
6445	你打开了任务书，上面写着“诱惑物引来可怕的鸟儿，这，就是你的目标！”	3	10	1	1							
6446	你把肉放在了地上，然后你听到了鸟的叫声从3区传来	3	10	1	1							
6447	(可选)前往3区寻找秘密	3	10	1	1							
6448	合成并使用香菇猪肉诱饵	3	10	1	1							
6449	讨伐受过伤的青怪鸟	3	10	1	1							
6450	采集进度	3	10	1	1							
6451	最大的野猪出现了喵	3	10	1	1							
6452	吸引了更多的野猪喵	3	10	1	1							
6453	野猪越来越大了喵	3	10	1	1							
6454	飞虫吵到桃毛兽拉！它生气啦！	3	10	1	1							
6455	飞虫出现拉！快消灭它们！不能让他们吵到桃毛兽呀！	3	10	1	1							
6456	空	3	10	1	1							
6457	有新的炸弹送来了喵！用完的猎人可以去拿喵！	3	10	1	1							
6458	最后的炸弹送来了喵！请珍惜使用喵！	3	10	1	1							
6459	就是这个部位喵！好厉害喵！	3	10	1	1							
6460	要攻击钳子喵！	3	10	1	1							
6461	大名盾蟹出现了喵！试验继续喵！	3	10	1	1							
6462	又有新的道具送来了喵！快去补给箱里拿喵！	3	10	1	1							
6463	更多的道具放置在补给里了喵！	3	10	1	1							
6464	补给的香蕉送来啦！要珍惜使用喵！	3	10	1	1							
6465	你觉得毒素已经积累了好多要发作拉！	3	10	1	1							
6466	毒素发作了！好痛苦！	3	10	1	1							
6467	又有新的幼年将军蟹加出现了喵！	3	10	1	1							
6468	最后的怪物了喵！加油喵！	3	10	1	1							
6469	就是这样攻击头部喵！	3	10	1	1							
6470	错了喵！攻击头部喵！	3	10	1	1							
6471	探测器读数	3	10	1	1							
6472	后续的落雷针到了喵！快去补给箱里拿喵！	3	10	1	1							
6473	最后一批落雷针到了喵！加油喵！	3	10	1	1							
6474	安眠度	3	10	1	1							
6475	飞虫泛滥度	3	10	1	1							
6476	采集到的蟹腿菇	3	10	1	1							
6477	考古进度	3	10	1	1							
6478	杀死怪物让你更有斗志,跑得更快了喵!	3	10	1	1							
6479	修行点数	3	10	1	1							
6480	有新的补给品送到了喵！	3	10	1	1							
6481	"<FONT COLOR=\"\#00FF00\" >[小窍门]先碰触4区地上的麻痹粉尘，然后才能轻易打败飞虫。</FONT>"	1	1									
6482	泡泡的速度变快了喵！猎人小心！	3	10	1	1							
6483	超高速泡炮出现了！	3	10	1	1							
6484	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用闪光弹来阻止小桃毛兽的行动！</FONT>"	1	1									
6485	"<FONT COLOR=\"\#00FF00\" >[小窍门]攻击幼年将军蟹的头部尖刺可以造成重大伤害。</FONT>"	1	1									
6486	"<FONT COLOR=\"\#00FF00\" >[小窍门]收集秘宝的碎片来合成森林的秘宝</FONT>"	1	1									
6487	"<FONT COLOR=\"\#00FF00\" >[小窍门]攻击雪狮子的头部来造成更高的伤害</FONT>"	1	1									
6488	热身度	3	10	1	1							
6489	"<FONT COLOR=\"\#00FF00\" >[小窍门]攻击小型怪物来提高热身度，这样才会更强大</FONT>"	1	1									
6490	猎人已经超级强大拉！可以去对付电龙拉！	3	10	1	1							
6491	康复度	3	10	1	1							
6492	暖气出现了喵！	3	10	1	1							
6493	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败蓝速龙可以让猎人跑得更快</FONT>"	1	1									
6494	"<FONT COLOR=\"\#00FF00\" >[小窍门]补给箱中有喵丁灵，可以帮助猎人撑到5区</FONT>"	1	1									
6495	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败毒怪鸟来恢复生命</FONT>"	1	1									
6496	"<FONT COLOR=\"\#00FF00\" >[小窍门]靠近温暖的火堆来恢复生命</FONT>"	1	1									
6497	"<FONT COLOR=\"\#00FF00\" >[小窍门]食用冰冻肉片来恢复耐力</FONT>"	1	1									
6498	"<FONT COLOR=\"\#00FF00\" >[小窍门]落雷不分敌我，一定要躲开</FONT>"	1	1									
6499	"<FONT COLOR=\"\#00FF00\" >[小窍门]3区的火堆使用了特制的香料，可以消灭靠近的飞虫</FONT>"	1	1									
4500	野猪的力量	1	1									
4501	速龙的速度	1	1									
4502	盾蟹的防御	1	1									
4503	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败各种怪物可以让猎人变的更强大</FONT>"	1	1									
4504	"<FONT COLOR=\"\#00FF00\" >[小窍门]可以使用陷阱和闪光弹来干扰雌火龙</FONT>"	1	1									
4505	"<FONT COLOR=\"\#00FF00\" >[小窍门]喝下药水后击败野猪来增加奥义槽</FONT>"	1	1									
4506	"<FONT COLOR=\"\#00FF00\" >[小窍门]着火的小雪狮子非常容易被击败</FONT>"	1	1									
4507	"<FONT COLOR=\"\#00FF00\" >[小窍门]不能光顾着收集光源，控制怪物数量也很重要</FONT>"	1	1									
4508	"<FONT COLOR=\"\#00FF00\" >[小窍门]交纳物品的任务需要将物品交纳到交纳箱中才达成目标</FONT>"	1	1									
4509	"<FONT COLOR=\"\#00FF00\" >[小窍门]捕获怪物时需要先使用陷阱困住怪物，并再对其投掷2个捕获玉</FONT>"	1	1									
4510	"<FONT COLOR=\"\#00FF00\" >[小窍门]一定要躲开大野猪王，专心消灭小野猪</FONT>"	1	1									
4511	大野猪王来保护小野猪了喵！	3	10	1	1							
4512	"<FONT COLOR=\"\#00FF00\" >[小窍门]消灭任何野猪都能增加奥义槽，请好好利用</FONT>"	1	1									
4513	"<FONT COLOR=\"\#00FF00\" >[小窍门]请利用药水和猫车复活后的守护效果来击败怪物</FONT>"	1	1									
4514	"<FONT COLOR=\"\#00FF00\" >[小窍门]请击败小野猪来获取具体的指令信息</FONT>"	1	1									
4515	"<FONT COLOR=\"\#00FF00\" >[小窍门]站在毒潭中可以恢复生命，但也不能持续站在其中</FONT>"	1	1									
4516	"<FONT COLOR=\"\#00FF00\" >[小窍门]消灭香菇猪可以恢复生命</FONT>"	1	1									
4517	"<FONT COLOR=\"\#00FF00\" >[小窍门]2区可以区采集到硬化蛋壳，对大怪鸟的头部投掷硬化蛋壳来击败它。</FONT>"	1	1									
4518	大型麋鹿出现了喵！	3	10	1	1							
4519	这难道是雪山鹿王嘛喵？	3	10	1	1							
4520	"<FONT COLOR=\"\#00FF00\" >[小窍门]引诱雪山鹿来撞爆桶来击败它。</FONT>"	1	1									
4521	"<FONT COLOR=\"\#00FF00\" >[小窍门]越大的雪山鹿需要的爆桶也越多。</FONT>"	1	1									
4522	"<FONT COLOR=\"\#00FF00\" >[小窍门]喝下怒气药水后的一定时间内击败小型怪物可以增加奥义槽</FONT>"	1	1									
4523	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败小黄速龙来获得让怪物麻痹的能力</FONT>"	1	1									
4524	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用音爆弹配合沙尘玉来击败怪物</FONT>"	1	1									
4525	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败沙龙王可以更快地完成实验</FONT>"	1	1									
4526	"<FONT COLOR=\"\#00FF00\" >[小窍门]飞虫多的时候可以使用闪光玉来解围</FONT>"	1	1									
4527	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用睡眠玉来让盾蟹睡觉</FONT>"	1	1									
4528	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用呼呼玉来让怪物睡觉</FONT>"	1	1									
4529	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用鸟之灭绝者来消灭幼年大怪鸟</FONT>"	1	1									
4530	"<FONT COLOR=\"\#00FF00\" >[小窍门]使用迷你陷阱来捕捉小毒怪鸟</FONT>"	1	1									
4531	新的补给品已送达	3	10	1	1							
4532	好像可以把某种石头镶嵌进去。	10	1	1	1							
4533	绿色御石被镶嵌进去了！	10	1	1	1							
4534	白色御石被镶嵌进去了！	10	1	1	1							
4535	青色御石被镶嵌进去了！	10	1	1	1							
4536	红色御石被镶嵌进去了！	10	1	1	1							
4537	紫色御石被镶嵌进去了！	10	1	1	1							
4538	带领伙伴前往5区	1	1									
4539	镶嵌绿色御石	1	1									
4540	镶嵌白色御石	1	1									
4541	镶嵌青色御石	1	1									
4542	镶嵌红色御石	1	1									
4543	镶嵌紫色御石	1	1									
4544	带领伙伴前往8区	1	1									
4545	采集水晶	1	1									
4546	狩猎烈焰女王	1	1									
4547	饱食度	1	1									
4548	"<FONT COLOR=\"\#00FF00\" >[小窍门]击败香菇猪来恢复生命</FONT>"	1	1									
4549	"<FONT COLOR=\"\#00FF00\" >[小窍门]猫车休假中，只有1次机会！</FONT>"	1	1									
4550	你觉得肚子越来越痛了！	1	1									
4551	你觉得天气越来越热了！	1	1									
4552	"<FONT COLOR=\"\#00FF00\" >[小窍门]碰触水盆来回复生命</FONT>"	1	1									
4553	"<FONT COLOR=\"\#00FF00\" >[小窍门]赶紧跑到5区！碰触暖气来回复生命！</FONT>"	1	1									
4554	成长度	1	1									
4555	击败所有狩猎者	1	1									
4556	狩猎大怪鸟	1	1									
4557	探索所有区域	1	1									
4558	交纳龙蛋	1	1									
4559	击败所有杀戮者	1	1									
4560	击败所有狩猎者	1	1									
4561	距离下一波	1	1									
4562	"<FONT COLOR=\"\#00FF00\" >[小窍门]交纳脱离券来结束战斗的话可以保留分数！</FONT>"	1	1									
4563	带领伙伴前往3区	1	1									
4564	狩猎7区的将军镰蟹	1	1									
4565	蓝速龙在2区出现了喵！	1	1									
4566	蓝速龙又出现了喵！这次在3区喵！猎人快快去喵！	1	1									
4567	带领伙伴前往5区	1	1									
4568	狩猎鬼狩蛛	1	1									
4569	狩猎岩龙	1	1									
4570	前往4区援助莉莉	1	1									
4571	狩猎骇狩蛛	1	1									
4572	狩猎大野猪王	1	1									
4573	带领伙伴回到营地	1	1									
4574	击败3区的雌火龙	1	1									
4575	雌火龙逃跑了！	1	1									
4576	狩猎雪狮子王	1	1									
4577	前往7区寻找伙伴	1	1									
4578	击败所有小雪狮子	1	1									
4579	狩猎7区的雪狮子王	1	1									
4580	带领伙伴前往4区	1	1									
4581	探查发生了什么	1	1									
4582	探查更多线索	1	1									
4583	狩猎黑狼鸟	1	1									
4584	7区出现了小黄速龙！	1	1									
4585	警报！6区大量小黄速龙出现！	1	1									
4586	3区出现小黄速龙！	1	1									
4587	5区！最后的小黄速龙！	1	1									
4588	3区！小桃毛兽出现了！	1	1									
4589	这次是4区！	1	1									
4590	1区！小桃毛兽又出现了！	1	1									
4591	小桃毛兽在5区出现了！	1	1									
4592	3区！最后的小桃毛兽！	1	1									
4593	3区！小野猪出现了！	1	1									
4594	这次是4区！	1	1									
4595	5区！小野猪又出现了！	1	1									
4596	小野猪在7区出现了！	1	1									
4597	6区！最后的小野猪！	1	1									
4598	3区！小镰蟹出现了！	1	1									
4599	这次是5区！	1	1									
4600	6区！小镰蟹又出现了！	1	1									
4601	小镰蟹在7区出现了！	1	1									
4602	8区！最后的镰蟹！	1	1									
4603	2区！小雪狮子出现了！	1	1									
4604	这次是4区！	1	1									
4605	6区！小雪狮子又出现了！	1	1									
4606	小雪狮子在8区出现了！	1	1									
4607	1区！最后的雪狮子！	1	1									
4608	猎王对决比赛将在20秒后开始！	1	1									
4609	第一局！开始！	1	1									
4610	第二局！开始！	1	1									
4611	第三局！开始！	1	1									
4612	第一局！红队胜利！	1	1									
4613	第一局！蓝队胜利！	1	1									
4614	第二局！红队胜利！	1	1									
4615	第二局！蓝队胜利！	1	1									
4616	第三局！红队胜利！	1	1									
4617	第三局！蓝队胜利！	1	1									
4618	第二局在20秒后开始！	1	1									
4619	第三局在20秒后开始！	1	1									
4620	狩神争霸开始！	1	1									
4621	请进入竞技场开始狩神争霸比赛！	1	1									
4622	"<FONT COLOR=\"\#00FF00\" >[小窍门]请从补给箱中获取脱离券</FONT>"	1	1									
4623	最终分数：0分！	1	1									
4624	最终分数：1分！	1	1									
4625	最终分数：2分！	1	1									
4626	最终分数：3分！	1	1									
4627	最终分数：4分！	1	1									
4628	最终分数：5分！	1	1									
4629	最终分数：6分！	1	1									
4630	最终分数：7分！	1	1									
4631	最终分数：8分！	1	1									
4632	最终分数：9分！	1	1									
4633	最终分数：10分！	1	1									
4634	最终裁决！红队胜出！	1	1									
4635	最终裁决！蓝队胜出！	1	1									
4636	使用投掷道具消灭3区的小河狸兽！	1	1									
4637	使用投掷道具消灭4区的野猪！	1	1									
4638	使用投掷道具消灭7区的沙龙！	1	1									
4639	使用投掷道具消灭5区的奇面族！	1	1									
4640	使用投掷道具消灭2区的黄速龙！	1	1									
4641	使用投掷道具消灭3区的镰蟹！	1	1									
4642	使用爆桶消灭5区的小沙狸兽！	1	1									
4643	使用爆桶消灭5区的野猪！	1	1									
4644	使用爆桶消灭1区的小毒怪鸟！	1	1									
4645	使用爆桶消灭6区的小电龙！	1	1									
4646	使用爆桶消灭2区的小尾晶蝎！	1	1									
4647	使用爆桶消灭7区的小冰雷鸟！	1	1									
4648	后续的爆桶已经运送到了补给箱！	1	1									
4649	使用弩车消灭6区的小怪鸟	1	1									
4650	使用弩车消灭7区的黄速龙	1	1									
4651	使用弩车消灭1区的飞虫	1	1									
4652	使用弩车消灭4区的雷光虫	1	1									
4653	使用弩车消灭5区的蛇龙	1	1									
4654	使用弩车消灭5区的小雪狮子	1	1									
