#TSV
#============Begin of sheet============
@Sheet=关卡内狩猎包静态数据
狩猎包ID	狩猎包名称	是否保留时装	装备ID	物品ID	物品数量	狩猎包关卡类型
145	包笛子活动	0	60014			
145	包笛子活动	0	60015			
146	铳枪活动	0	58022			
146	铳枪活动	0	60061			
146	铳枪活动	0	60062			
146	铳枪活动	0	60063			
146	铳枪活动	0	60064			
146	铳枪活动	0	60065			
147	长枪活动	0	57022			
147	长枪活动	0	60061			
147	长枪活动	0	60062			
147	长枪活动	0	60063			
147	长枪活动	0	60064			
147	长枪活动	0	60065			
151	铳枪狩猎包	0	58042			
151	铳枪狩猎包	0	60131			
151	铳枪狩猎包	0	60132			
151	铳枪狩猎包	0	60133			
151	铳枪狩猎包	0	60134			
151	铳枪狩猎包	0	60135			
152	大剑狩猎包	0	50053			
152	大剑狩猎包	0	60131			
152	大剑狩猎包	0	60132			
152	大剑狩猎包	0	60133			
152	大剑狩猎包	0	60134			
152	大剑狩猎包	0	60135			
153	太刀狩猎包	0	52051			
153	太刀狩猎包	0	60151			
153	太刀狩猎包	0	60152			
153	太刀狩猎包	0	60153			
153	太刀狩猎包	0	60154			
153	太刀狩猎包	0	60155			
154	弩炮狩猎包	0	51053			
154	弩炮狩猎包	0	60146			
154	弩炮狩猎包	0	60147			
154	弩炮狩猎包	0	60148			
154	弩炮狩猎包	0	60149			
154	弩炮狩猎包	0	60150			
161	铳枪狩猎包	0	58044			
161	铳枪狩猎包	0	60121			
161	铳枪狩猎包	0	60122			
161	铳枪狩猎包	0	60123			
161	铳枪狩猎包	0	60124			
161	铳枪狩猎包	0	60125			
162	锤狩猎包	0	54054			
162	锤狩猎包	0	60131			
162	锤狩猎包	0	60132			
162	锤狩猎包	0	60133			
162	锤狩猎包	0	60134			
162	锤狩猎包	0	60135			
163	双刀狩猎包	0	55051			
163	双刀狩猎包	0	60161			
163	双刀狩猎包	0	60162			
163	双刀狩猎包	0	60163			
163	双刀狩猎包	0	60164			
163	双刀狩猎包	0	60165			
164	弓狩猎包	0	59052			
164	弓狩猎包	0	60156			
164	弓狩猎包	0	60157			
164	弓狩猎包	0	60158			
164	弓狩猎包	0	60159			
164	弓狩猎包	0	60160			
171	铳枪狩猎包	0	58042			
171	铳枪狩猎包	0	60141			
171	铳枪狩猎包	0	60142			
171	铳枪狩猎包	0	60143			
171	铳枪狩猎包	0	60144			
171	铳枪狩猎包	0	60145			
172	太刀狩猎包	0	52053			
172	太刀狩猎包	0	60151			
172	太刀狩猎包	0	60152			
172	太刀狩猎包	0	60153			
172	太刀狩猎包	0	60154			
172	太刀狩猎包	0	60155			
173	双刀狩猎包	0	55051			
173	双刀狩猎包	0	60161			
173	双刀狩猎包	0	60162			
173	双刀狩猎包	0	60163			
173	双刀狩猎包	0	60164			
173	双刀狩猎包	0	60165			
174	弓狩猎包	0	59053			
174	弓狩猎包	0	60156			
174	弓狩猎包	0	60157			
174	弓狩猎包	0	60158			
174	弓狩猎包	0	60159			
174	弓狩猎包	0	60160			
181	铳枪狩猎包	0	58045			
181	铳枪狩猎包	0	60121			
181	铳枪狩猎包	0	60122			
181	铳枪狩猎包	0	60123			
181	铳枪狩猎包	0	60124			
181	铳枪狩猎包	0	60125			
182	大剑狩猎包	0	50053			
182	大剑狩猎包	0	60131			
182	大剑狩猎包	0	60132			
182	大剑狩猎包	0	60133			
182	大剑狩猎包	0	60134			
182	大剑狩猎包	0	60135			
183	锤狩猎包	0	54054			
183	锤狩猎包	0	60131			
183	锤狩猎包	0	60132			
183	锤狩猎包	0	60133			
183	锤狩猎包	0	60134			
183	锤狩猎包	0	60135			
184	弩炮狩猎包	0	51054			
184	弩炮狩猎包	0	60146			
184	弩炮狩猎包	0	60147			
184	弩炮狩猎包	0	60148			
184	弩炮狩猎包	0	60149			
184	弩炮狩猎包	0	60150			
191	奇面舞会套	0	64421			
191	奇面舞会套	0	64422			
191	奇面舞会套	0	64423			
191	奇面舞会套	0	64424			
191	奇面舞会套	0	64425			
201	雪山片手包	0	130534			
201	雪山片手包	0	64426			
201	雪山片手包	0	64427			
201	雪山片手包	0	64428			
201	雪山片手包	0	64429			
201	雪山片手包	0	64430			
202	雪山双刀包	0	150534			
202	雪山双刀包	0	64426			
202	雪山双刀包	0	64427			
202	雪山双刀包	0	64428			
202	雪山双刀包	0	64429			
202	雪山双刀包	0	64430			
203	雪山大剑包	0	100537			
203	雪山大剑包	0	64426			
203	雪山大剑包	0	64427			
203	雪山大剑包	0	64428			
203	雪山大剑包	0	64429			
203	雪山大剑包	0	64430			
204	雪山太刀包	0	120534			
204	雪山太刀包	0	64426			
204	雪山太刀包	0	64427			
204	雪山太刀包	0	64428			
204	雪山太刀包	0	64429			
204	雪山太刀包	0	64430			
205	雪山锤子包	0	140534			
205	雪山锤子包	0	64426			
205	雪山锤子包	0	64427			
205	雪山锤子包	0	64428			
205	雪山锤子包	0	64429			
205	雪山锤子包	0	64430			
206	雪山笛子包	0	160024			
206	雪山笛子包	0	64426			
206	雪山笛子包	0	64427			
206	雪山笛子包	0	64428			
206	雪山笛子包	0	64429			
206	雪山笛子包	0	64430			
207	雪山长枪包	0	170011			
207	雪山长枪包	0	64426			
207	雪山长枪包	0	64427			
207	雪山长枪包	0	64428			
207	雪山长枪包	0	64429			
207	雪山长枪包	0	64430			
208	雪山铳枪包	0	180026			
208	雪山铳枪包	0	64426			
208	雪山铳枪包	0	64427			
208	雪山铳枪包	0	64428			
208	雪山铳枪包	0	64429			
208	雪山铳枪包	0	64430			
209	雪山弩炮包	0	110534			
209	雪山弩炮包	0	64431			
209	雪山弩炮包	0	64432			
209	雪山弩炮包	0	64433			
209	雪山弩炮包	0	64434			
209	雪山弩炮包	0	64435			
210	雪山弓包	0	190534			
210	雪山弓包	0	64431			
210	雪山弓包	0	64432			
210	雪山弓包	0	64433			
210	雪山弓包	0	64434			
210	雪山弓包	0	64435			
301	双刀猎人包	0	55137	59	10	
301	双刀猎人包	0	61041	60	10	
301	双刀猎人包	0	61042	64	10	
301	双刀猎人包	0	61043	434	2	
301	双刀猎人包	0	61044	63	2	
301	双刀猎人包	0	61045			
302	大剑猎人包	0	50086			
302	大剑猎人包	0	61101	59	10	
302	大剑猎人包	0	61102	60	10	
302	大剑猎人包	0	61103	64	5	
302	大剑猎人包	0	61104			
302	大剑猎人包	0	61105			
303	巨锤猎人包	0	54132	59	10	
303	巨锤猎人包	0	61051	418	5	
303	巨锤猎人包	0	61052	60	10	
303	巨锤猎人包	0	61053	64	5	
303	巨锤猎人包	0	61054	434	2	
303	巨锤猎人包	0	61055			
304	弩炮猎人包	0	51083	59	10	
304	弩炮猎人包	0	61366	60	10	
304	弩炮猎人包	0	61367	434	2	
304	弩炮猎人包	0	61368	7201	1	
304	弩炮猎人包	0	61369	7214	10	
304	弩炮猎人包	0	61370	7218	40	
305	片手猎人包	0	53161	418	10	
305	片手猎人包	0	61241	60	10	
305	片手猎人包	0	61242	64	10	
305	片手猎人包	0	61243	63	2	
305	片手猎人包	0	61244			
305	片手猎人包	0	61245			
305	片手猎人包	0	80112			
306	双刀猎人包	0	55173	418	10	
306	双刀猎人包	0	61251	60	10	
306	双刀猎人包	0	61252	64	10	
306	双刀猎人包	0	61253	4807	2	
306	双刀猎人包	0	61254			
306	双刀猎人包	0	61255			
306	双刀猎人包	0	80012			
307	大剑猎人包	0	50174	418	10	
307	大剑猎人包	0	61031	60	10	
307	大剑猎人包	0	61032	64	10	
307	大剑猎人包	0	61033	4807	2	
307	大剑猎人包	0	61034			
307	大剑猎人包	0	61035			
307	大剑猎人包	0	80012			
308	太刀猎人包	0	52161	418	10	
308	太刀猎人包	0	61211	60	10	
308	太刀猎人包	0	61212	64	10	
308	太刀猎人包	0	61213	63	2	
308	太刀猎人包	0	61214			
308	太刀猎人包	0	61215			
308	太刀猎人包	0	80112			
309	巨锤猎人包	0	54194	418	10	
309	巨锤猎人包	0	61361	60	10	
309	巨锤猎人包	0	61362	64	10	
309	巨锤猎人包	0	61363	61	1	
309	巨锤猎人包	0	61364			
309	巨锤猎人包	0	61365			
309	巨锤猎人包	0	80014			
310	笛子猎人包	0	56164	418	10	
310	笛子猎人包	0	61471	60	10	
310	笛子猎人包	0	61472	64	10	
310	笛子猎人包	0	61473	82	1	
310	笛子猎人包	0	61474			
310	笛子猎人包	0	61475			
310	笛子猎人包	0	80014			
311	长枪猎人包	0	57165	418	10	
311	长枪猎人包	0	61291	60	10	
311	长枪猎人包	0	61292	64	10	
311	长枪猎人包	0	61293	4806	2	
311	长枪猎人包	0	61294			
311	长枪猎人包	0	61295			
311	长枪猎人包	0	80012			
312	铳枪猎人包	0	58151	418	10	
312	铳枪猎人包	0	61301	60	10	
312	铳枪猎人包	0	61302	64	10	
312	铳枪猎人包	0	61303	4806	2	
312	铳枪猎人包	0	61304			
312	铳枪猎人包	0	61305			
312	铳枪猎人包	0	80012			
313	弩炮猎人包	0	51165	418	10	
313	弩炮猎人包	0	61026	60	10	
313	弩炮猎人包	0	61027	7202	99	
313	弩炮猎人包	0	61028	7203	60	
313	弩炮猎人包	0	61029	7208	40	
313	弩炮猎人包	0	61030	7220	20	
313	弩炮猎人包	0	80012			
314	弓箭猎人包	0	59171	418	10	
314	弓箭猎人包	0	61426	60	10	
314	弓箭猎人包	0	61427	434	2	
314	弓箭猎人包	0	61428	4806	2	
314	弓箭猎人包	0	61429	7226	1	
314	弓箭猎人包	0	61430	62	1	
314	弓箭猎人包	0	80014			
401	近战狩猎包	0	53071	59	10	
401	近战狩猎包	0	60001	60	10	
401	近战狩猎包	0	60002	64	10	
401	近战狩猎包	0	60003			
401	近战狩猎包	0	60004			
401	近战狩猎包	0	60005			
402	弩手狩猎包	0		59	10	
402	弩手狩猎包	0		60	10	
402	弩手狩猎包	0		7201	1	
402	弩手狩猎包	0		7214	10	
403	弓手狩猎包	0		59	10	
403	弓手狩猎包	0		60	10	
403	弓手狩猎包	0		7226	2	
403	弓手狩猎包	0		7228	2	
403	弓手狩猎包	0		11	1	
501	冒险者套装	0	138001			
501	冒险者套装	0	64416			
501	冒险者套装	0	64417			
501	冒险者套装	0	64418			
501	冒险者套装	0	64419			
501	冒险者套装	0	64420			
601	眠鸟片手包	0	53100			
601	眠鸟片手包	0	61161			
601	眠鸟片手包	0	61162			
601	眠鸟片手包	0	61163			
601	眠鸟片手包	0	61164			
601	眠鸟片手包	0	61165			
602	星龙弩炮包	0	51101			
602	星龙弩炮包	0	60226			
602	星龙弩炮包	0	60227			
602	星龙弩炮包	0	60228			
602	星龙弩炮包	0	60229			
602	星龙弩炮包	0	60230			
603	星龙弓箭包	0	59101			
603	星龙弓箭包	0	60226			
603	星龙弓箭包	0	60227			
603	星龙弓箭包	0	60228			
603	星龙弓箭包	0	60229			
603	星龙弓箭包	0	60230			
604	眠鸟锤子包	0	54096			
604	眠鸟锤子包	0	61161			
604	眠鸟锤子包	0	61162			
604	眠鸟锤子包	0	61163			
604	眠鸟锤子包	0	61164			
604	眠鸟锤子包	0	61165			
605	眠鸟片手包	0	53100			
605	眠鸟片手包	0	61161			
605	眠鸟片手包	0	61162			
605	眠鸟片手包	0	61163			
605	眠鸟片手包	0	61164			
605	眠鸟片手包	0	61165			
606	眠鸟大剑包	0	50096			
606	眠鸟大剑包	0	61161			
606	眠鸟大剑包	0	61162			
606	眠鸟大剑包	0	61163			
606	眠鸟大剑包	0	61164			
606	眠鸟大剑包	0	61165			
607	眠鸟太刀包	0	52093			
607	眠鸟太刀包	0	61161			
607	眠鸟太刀包	0	61162			
607	眠鸟太刀包	0	61163			
607	眠鸟太刀包	0	61164			
607	眠鸟太刀包	0	61165			
608	眠鸟双刀	0	55098			
608	眠鸟头铠	0	61161			
608	眠鸟腕铠	0	61162			
608	眠鸟胸铠	0	61163			
608	眠鸟腰铠	0	61164			
608	眠鸟腿铠	0	61165			
901	晓风短剑	0	130006			
901	晓风头盔	0	60001			
901	晓风腕甲	0	60002			
901	晓风铠甲	0	60003			
901	晓风腰甲	0	60004			
901	晓风重靴	0	60005			
902	晓风太刀	0	52011			
902	晓风头盔	0	60001			
902	晓风腕甲	0	60002			
902	晓风铠甲	0	60003			
902	晓风腰甲	0	60004			
902	晓风重靴	0	60005			
903	晓风大剑	0	50011			
903	晓风头盔	0	60001			
903	晓风腕甲	0	60002			
903	晓风铠甲	0	60003			
903	晓风腰甲	0	60004			
903	晓风重靴	0	60005			
904	新手弩炮包	0	51011			
904	新手弩炮包	0	60001			
904	新手弩炮包	0	60002			
904	新手弩炮包	0	60003			
904	新手弩炮包	0	60004			
904	新手弩炮包	0	60005			
905	晓风大锤	0	54011			
905	晓风头盔	0	60001			
905	晓风腕甲	0	60002			
905	晓风铠甲	0	60003			
905	晓风腰甲	0	60004			
905	晓风重靴	0	60005			
906	晓风弓	0	59011			
906	晓风头盔	0	60001			
906	晓风腕甲	0	60002			
906	晓风铠甲	0	60003			
906	晓风腰甲	0	60004			
906	晓风重靴	0	60005			
907	晓风双刀	0	55011			
907	晓风头盔	0	60001			
907	晓风腕甲	0	60002			
907	晓风铠甲	0	60003			
907	晓风腰甲	0	60004			
907	晓风重靴	0	60005			
701	喵喵大剑包	0	50131			
701	喵喵大剑包	0	61001			
701	喵喵大剑包	0	61002			
701	喵喵大剑包	0	61003			
701	喵喵大剑包	0	61004			
701	喵喵大剑包	0	61005			
702	喵喵弩炮包	0	51131			
702	喵喵弩炮包	0	61006			
702	喵喵弩炮包	0	61007			
702	喵喵弩炮包	0	61008			
702	喵喵弩炮包	0	61009			
702	喵喵弩炮包	0	61010			
703	喵喵太刀包	0	52131			
703	喵喵太刀包	0	61001			
703	喵喵太刀包	0	61002			
703	喵喵太刀包	0	61003			
703	喵喵太刀包	0	61004			
703	喵喵太刀包	0	61005			
704	喵喵片手包	0	53131			
704	喵喵片手包	0	61001			
704	喵喵片手包	0	61002			
704	喵喵片手包	0	61003			
704	喵喵片手包	0	61004			
704	喵喵片手包	0	61005			
705	喵喵大锤包	0	54131			
705	喵喵大锤包	0	61001			
705	喵喵大锤包	0	61002			
705	喵喵大锤包	0	61003			
705	喵喵大锤包	0	61004			
705	喵喵大锤包	0	61005			
706	喵喵双刀包	0	55131			
706	喵喵双刀包	0	61001			
706	喵喵双刀包	0	61002			
706	喵喵双刀包	0	61003			
706	喵喵双刀包	0	61004			
706	喵喵双刀包	0	61005			
707	喵喵弓包	0	59131			
707	喵喵弓包	0	61006			
707	喵喵弓包	0	61007			
707	喵喵弓包	0	61008			
707	喵喵弓包	0	61009			
707	喵喵弓包	0	61010			
708	喵喵铳枪包	0	58121			
708	喵喵铳枪包	0	61001			
708	喵喵铳枪包	0	61002			
708	喵喵铳枪包	0	61003			
708	喵喵铳枪包	0	61004			
708	喵喵铳枪包	0	61005			
709	喵喵笛子包	0	56121			
709	喵喵笛子包	0	61001			
709	喵喵笛子包	0	61002			
709	喵喵笛子包	0	61003			
709	喵喵笛子包	0	61004			
709	喵喵笛子包	0	61005			
710	喵喵长枪包	0	57121			
710	喵喵长枪包	0	61001			
710	喵喵长枪包	0	61002			
710	喵喵长枪包	0	61003			
710	喵喵长枪包	0	61004			
710	喵喵长枪包	0	61005			
711	喵喵斩斧包	0	210121			
711	喵喵斩斧包	0	61001			
711	喵喵斩斧包	0	61002			
711	喵喵斩斧包	0	61003			
711	喵喵斩斧包	0	61004			
711	喵喵斩斧包	0	61005			
211	千狩大剑包	0	50061			
211	千狩大剑包	0	60131			
211	千狩大剑包	0	60132			
211	千狩大剑包	0	60133			
211	千狩大剑包	0	60134			
211	千狩大剑包	0	60135			
212	千狩太刀包	0	52061			
212	千狩太刀包	0	60131			
212	千狩太刀包	0	60132			
212	千狩太刀包	0	60133			
212	千狩太刀包	0	60134			
212	千狩太刀包	0	60135			
213	千狩片手包	0	53062			
213	千狩片手包	0	60131			
213	千狩片手包	0	60132			
213	千狩片手包	0	60133			
213	千狩片手包	0	60134			
213	千狩片手包	0	60135			
214	千狩大锤包	0	54061			
214	千狩大锤包	0	60131			
214	千狩大锤包	0	60132			
214	千狩大锤包	0	60133			
214	千狩大锤包	0	60134			
214	千狩大锤包	0	60135			
215	千狩双刀包	0	55062			
215	千狩双刀包	0	60131			
215	千狩双刀包	0	60132			
215	千狩双刀包	0	60133			
215	千狩双刀包	0	60134			
215	千狩双刀包	0	60135			
216	千狩铳枪包	0	58051			
216	千狩铳枪包	0	60131			
216	千狩铳枪包	0	60132			
216	千狩铳枪包	0	60133			
216	千狩铳枪包	0	60134			
216	千狩铳枪包	0	60135			
217	千狩笛子包	0	56052			
217	千狩笛子包	0	60131			
217	千狩笛子包	0	60132			
217	千狩笛子包	0	60133			
217	千狩笛子包	0	60134			
217	千狩笛子包	0	60135			
218	千狩长枪包	0	57051			
218	千狩长枪包	0	60131			
218	千狩长枪包	0	60132			
218	千狩长枪包	0	60133			
218	千狩长枪包	0	60134			
218	千狩长枪包	0	60135			
219	千狩弩包	0	51061			
219	千狩弩包	0	60156			
219	千狩弩包	0	60157			
219	千狩弩包	0	60158			
219	千狩弩包	0	60159			
219	千狩弩包	0	60160			
220	千狩弓包	0	59062			
220	千狩弓包	0	60156			
220	千狩弓包	0	60157			
220	千狩弓包	0	60158			
220	千狩弓包	0	60159			
220	千狩弓包	0	60160			
221	千狩大剑包	0	50076			
221	千狩大剑包	0	60131			
221	千狩大剑包	0	60132			
221	千狩大剑包	0	60133			
221	千狩大剑包	0	60134			
221	千狩大剑包	0	60135			
222	千狩太刀包	0	52076			
222	千狩太刀包	0	60131			
222	千狩太刀包	0	60132			
222	千狩太刀包	0	60133			
222	千狩太刀包	0	60134			
222	千狩太刀包	0	60135			
223	千狩片手包	0	53076			
223	千狩片手包	0	60131			
223	千狩片手包	0	60132			
223	千狩片手包	0	60133			
223	千狩片手包	0	60134			
223	千狩片手包	0	60135			
224	千狩大锤包	0	54076			
224	千狩大锤包	0	60131			
224	千狩大锤包	0	60132			
224	千狩大锤包	0	60133			
224	千狩大锤包	0	60134			
224	千狩大锤包	0	60135			
225	千狩双刀包	0	55076			
225	千狩双刀包	0	60131			
225	千狩双刀包	0	60132			
225	千狩双刀包	0	60133			
225	千狩双刀包	0	60134			
225	千狩双刀包	0	60135			
226	千狩铳枪包	0	58066			
226	千狩铳枪包	0	60131			
226	千狩铳枪包	0	60132			
226	千狩铳枪包	0	60133			
226	千狩铳枪包	0	60134			
226	千狩铳枪包	0	60135			
227	千狩笛子包	0	56066			
227	千狩笛子包	0	60131			
227	千狩笛子包	0	60132			
227	千狩笛子包	0	60133			
227	千狩笛子包	0	60134			
227	千狩笛子包	0	60135			
228	千狩长枪包	0	57067			
228	千狩长枪包	0	60131			
228	千狩长枪包	0	60132			
228	千狩长枪包	0	60133			
228	千狩长枪包	0	60134			
228	千狩长枪包	0	60135			
229	千狩弩包	0	51076			
229	千狩弩包	0	60156			
229	千狩弩包	0	60157			
229	千狩弩包	0	60158			
229	千狩弩包	0	60159			
229	千狩弩包	0	60160			
230	千狩弓包	0	59076			
230	千狩弓包	0	60156			
230	千狩弓包	0	60157			
230	千狩弓包	0	60158			
230	千狩弓包	0	60159			
230	千狩弓包	0	60160			
231	千狩大剑包	0	50087			
231	千狩大剑包	0	60201			
231	千狩大剑包	0	60202			
231	千狩大剑包	0	60203			
231	千狩大剑包	0	60204			
231	千狩大剑包	0	60205			
232	千狩太刀包	0	52087			
232	千狩太刀包	0	60201			
232	千狩太刀包	0	60202			
232	千狩太刀包	0	60203			
232	千狩太刀包	0	60204			
232	千狩太刀包	0	60205			
233	千狩片手包	0	53087			
233	千狩片手包	0	60201			
233	千狩片手包	0	60202			
233	千狩片手包	0	60203			
233	千狩片手包	0	60204			
233	千狩片手包	0	60205			
234	千狩大锤包	0	54087			
234	千狩大锤包	0	60201			
234	千狩大锤包	0	60202			
234	千狩大锤包	0	60203			
234	千狩大锤包	0	60204			
234	千狩大锤包	0	60205			
235	千狩双刀包	0	55087			
235	千狩双刀包	0	60201			
235	千狩双刀包	0	60202			
235	千狩双刀包	0	60203			
235	千狩双刀包	0	60204			
235	千狩双刀包	0	60205			
236	千狩铳枪包	0	58077			
236	千狩铳枪包	0	60201			
236	千狩铳枪包	0	60202			
236	千狩铳枪包	0	60203			
236	千狩铳枪包	0	60204			
236	千狩铳枪包	0	60205			
237	千狩笛子包	0	56077			
237	千狩笛子包	0	60201			
237	千狩笛子包	0	60202			
237	千狩笛子包	0	60203			
237	千狩笛子包	0	60204			
237	千狩笛子包	0	60205			
238	千狩长枪包	0	57077			
238	千狩长枪包	0	60201			
238	千狩长枪包	0	60202			
238	千狩长枪包	0	60203			
238	千狩长枪包	0	60204			
238	千狩长枪包	0	60205			
239	千狩弩包	0	51087			
239	千狩弩包	0	60206			
239	千狩弩包	0	60207			
239	千狩弩包	0	60208			
239	千狩弩包	0	60209			
239	千狩弩包	0	60210			
240	千狩弓包	0	59087			
240	千狩弓包	0	60206			
