#TSV
#============Begin of sheet============
@Sheet=称号信息
ID	名称	类型	分组	经验加成	序号	期限(秒)	有效时间开始	有效时间结束	获取来源	BuffLV1	显示LV1	描述LV1	BuffLV2	显示LV2	描述LV2	BuffLV3	显示LV3	描述LV3	BuffLV4	显示LV4	描述LV4	BuffLV5	显示LV5	描述LV5	称号特殊效果	称号颜色	称号参数
102	天地狩王·玖	1	0	0	102				天地争锋狩猎季中表现突出的猎人专属称号																		
103	天地狩王·拾	1	0	0	103				天地争锋狩猎季中表现突出的猎人专属称号																		
104	天造地设	1	0	0	104				七夕活动狩猎场中达成特定条件可获得																		
105	大爱无疆	1	0	0	105				七夕活动狩猎场中达成特定条件可获得																		
106	同性相吸	1	0	0	106				七夕活动狩猎场中达成特定条件可获得																		
107	单身喵之怒	1	0	0	107				七夕活动狩猎场中达成特定条件可获得																		
108	森林的保护神	1	0	0	108				七夕活动狩猎场中达成特定条件可获得																		
109	天空的庇佑者	1	0	0	109				七夕活动狩猎场中达成特定条件可获得																		
110	大地的守卫者	1	0	0	110				七夕活动狩猎场中达成特定条件可获得																		
111	处女座	1	0	0	111				在活动《星盘占卜 最闪耀的巨星！》中获得																		
112	天岩震殿	1	0	0	112				完成主线任务“合战”	12100039	受伤后10秒内攻击+20	携带后受伤后10秒内攻击+20															
113	锖岚司掌	1	0	0	113				完成主线任务“迎击”	12100041	水属性攻击+12	携带后水属性攻击+12															
114	天秤座	1	0	0	114				在活动《星盘占卜 最闪耀的巨星！》中获得																		
115	天蝎座	1	0	0	115				在活动《星盘占卜 最闪耀的巨星！》中获得																		
116	月下雷鸣	1	0	0	116				在活动《月下雷鸣 征程再起》中获得																		
117	极限王者	1	0	0	117		2017/1/17 0:00:00	2017/2/27 23:59:59	在活动《极限挑战》中获得																1		
118	极限强者	1	0	0	118		2017/1/17 0:00:00	2017/2/27 23:59:59	在活动《极限挑战》中获得																2		
119	小巨人	1	0	0	119				活动限定称号。身高够高才能摘到更多的礼物哦！																2		
120	梅城冒险王	1	0	0	120	604800			《梅城大冒险》奖励秘境中领取全部奖励	12100042	攻击力+8，附带脚印特效	携带后攻击力+8，附带脚印特效															
121	射手座	1	0	0	121				在活动《星盘占卜 最闪耀的巨星！》中获得																		
122	冰原骑士	1	0	0	122				冻土冰牙讨伐战活动中获得																		
123	终焉吞噬者	1	0	0	123				吞噬者终极讨伐战活动中获得																		
124	万人迷	1	0	0	124				来自万人迷豪华礼包																		
125	摩羯座	1	0	0	125				在活动《星盘占卜 最闪耀的巨星！》中获得																		
126	幻影雷光	1	0	0	126				在活动《古塔幻兽》中获得																		
127	水瓶座	1	0	0	127				在活动《星盘占卜 最闪耀的巨星！》中获得																		
128	比翼双飞	1	0	0	128				情人节活动狩猎场中达成特定条件可获得																		
129	女王之选	1	0	0	129				情人节活动狩猎场中达成特定条件可获得																		
130	分开就分开	1	0	0	130				情人节活动狩猎场中达成特定条件可获得																		
131	F喵团的愤怒	1	0	0	131				情人节活动狩猎场中达成特定条件可获得																		
132	异端审判	1	0	0	132				情人节活动狩猎场中达成特定条件可获得																		
133	龙爹亲卫队	1	0	0	133				情人节活动狩猎场中达成特定条件可获得																		
134	龙妈亲卫队	1	0	0	134				情人节活动狩猎场中达成特定条件可获得																		
135	极限王者	1	0	0	135		2017/2/28 0:00:00	2017/4/3 23:59:59	在活动《极限挑战》中获得																1		
136	极限强者	1	0	0	136		2017/2/28 0:00:00	2017/4/3 23:59:59	在活动《极限挑战》中获得																2		
137	极限王者	1	0	0	137		2017/4/5 0:00:00	2017/5/8 23:59:59	在活动《极限挑战》中获得																1		
138	极限强者	1	0	0	138		2017/4/5 0:00:00	2017/5/8 23:59:59	在活动《极限挑战》中获得																2		
139	极限王者	1	0	0	139		2017/5/9 0:00:00	2017/6/19 23:59:59	在活动《极限挑战》中获得																1		
140	极限强者	1	0	0	140		2017/5/9 0:00:00	2017/6/19 23:59:59	在活动《极限挑战》中获得																2		
141	极限王者	1	0	0	141		2017/6/20 0:00:00	2017/7/24 23:59:59	在活动《极限挑战》中获得																1		
142	极限强者	1	0	0	142		2017/6/20 0:00:00	2017/7/24 23:59:59	在活动《极限挑战》中获得																2		
143	极限王者	1	0	0	143		2017/8/1 0:00:00	2017/9/4 23:59:59	在活动《极限挑战》中获得																1		
144	极限强者	1	0	0	144		2017/8/1 0:00:00	2017/9/4 23:59:59	在活动《极限挑战》中获得																2		
145	极限王者	1	0	0	145		2017/9/5 0:00:00	2017/10/9 23:59:59	在活动《极限挑战》中获得																1		
146	极限强者	1	0	0	146		2017/9/5 0:00:00	2017/10/9 23:59:59	在活动《极限挑战》中获得																2		
147	极限王者	1	0	0	147		2017/10/10 0:00:00	2017/11/13 23:59:59	在活动《极限挑战》中获得																1		
148	极限强者	1	0	0	148		2017/10/10 0:00:00	2017/11/13 23:59:59	在活动《极限挑战》中获得																2		
149	极限王者	1	0	0	149		2017/11/14 0:00:00	2017/12/18 23:59:59	在活动《极限挑战》中获得																1		
150	极限强者	1	0	0	150		2017/11/14 0:00:00	2017/12/18 23:59:59	在活动《极限挑战》中获得																2		
151	极限王者	1	0	0	151		2017/12/19 0:00:00	2018/1/22 23:59:59	在活动《极限挑战》中获得																1		
152	极限强者	1	0	0	152		2017/12/19 0:00:00	2018/1/22 23:59:59	在活动《极限挑战》中获得																2		
153	极限王者	1	0	0	153		2018/1/23 0:00:00	2018/2/12 23:59:59	在活动《极限挑战》中获得																1		
154	极限强者	1	0	0	154		2018/1/23 0:00:00	2018/2/12 23:59:59	在活动《极限挑战》中获得																2		
155	极限王者	1	0	0	155		2018/2/13 0:00:00	2018/3/19 23:59:59	在活动《极限挑战》中获得																1		
156	极限强者	1	0	0	156		2018/2/13 0:00:00	2018/3/19 23:59:59	在活动《极限挑战》中获得																2		
157	极限王者	1	0	0	157		2018/3/20 0:00:00	2018/4/23 23:59:59	在活动《极限挑战》中获得																1		
158	极限强者	1	0	0	158		2018/3/20 0:00:00	2018/4/23 23:59:59	在活动《极限挑战》中获得																2		
159	极限王者	1	0	0	159		2018/4/24 0:00:00	2018/5/28 23:59:59	在活动《极限挑战》中获得																1		
160	极限强者	1	0	0	160		2018/4/24 0:00:00	2018/5/28 23:59:59	在活动《极限挑战》中获得																2		
161	双鱼座	1	0	0	161				在活动《星盘占卜 最闪耀的巨星！》中获得																		
162	白羊座	1	0	0	162				在活动《星盘占卜 最闪耀的巨星！》中获得																		
163	金牛座	1	0	0	163				在活动《星盘占卜 最闪耀的巨星！》中获得																		
164	双子座	1	0	0	164				在活动《星盘占卜 最闪耀的巨星！》中获得																		
165	白色猎人	1	0	0	165				白色情人节活动限定称号																		
166	狩魂传承·兄弟齐心	1	0	0	166	2592000			猎人公会授予战队赛最强一批队伍的荣誉	12100047	龙耐性+10	携带后龙属性耐性+10															
167	特级劳模	1	0	0	167				劳动节活动限定称号，送给最勤劳的猎人																		
168	夏祭王	1	0	0	168				在活动《夏日庆典》中获得																		
169	狩猎达人	1	0	0	169	604800			心悦专属称号，7天时限	12100048	失衡值累积+10%	携带后失衡值累积+10%													2		
170	狩猎达人	1	0	0	170	2592000			心悦专属称号，30天时限	12100049	失衡值累积+10%	携带后失衡值累积+10%													2		
171	土豪猎人	1	0	0	171	604800			心悦专属称号，7天时限	12100050	绿血恢复速度增加8%	携带后绿血恢复速度增加8%													1		
172	土豪猎人	1	0	0	172	2592000			心悦专属称号，30天时限	12100051	绿血恢复速度增加8%	携带后绿血恢复速度增加8%													1		
173	异界的卫戍	1	0	0	173	604800			管家专属称号，7天时限	12100052	防御+20	携带后防御+20													2		
174	异界的卫戍	1	0	0	174	2592000			管家专属称号，30天时限	12100053	防御+20	携带后防御+20													2		
175	重口猎人	1	0	0	175				冰激凌活动限定称号																		
176	狩魂传承·兄弟齐聚	1	0	0	176	2592000			猎人公会授予战队赛最强一批队伍的荣誉	12100054	雷耐性+10	携带后雷属性耐性+10															
177	黑夜猎手	1	0	0	177				突袭！黑夜猎手活动中获得																		
178	激斗初体验	1	0	0	178				激斗狩猎活动中获得																		
179	激斗进阶	1	0	0	179				激斗狩猎活动中获得																		
180	完美的激斗狩猎	1	0	0	180				激斗狩猎活动中获得																2		
181	戈壁旅人	1	0	0	181				暑期抽奖送时装活动中获得																		
182	火龙终结者	1	0	0	182				银火解禁 火龙挑战状活动中获得																		
183	天地狩王·拾壹	1	0	0	183				天地争锋狩猎季中表现突出的猎人专属称号																		
184	狮子座	1	0	0	184				在活动《菲菲的星盘占卜》中获得																		
185	天地狩王·拾贰	1	0	0	185				天地争锋狩猎季中表现突出的猎人专属称号																		
186	皎月猎人	1	0	0	186				中秋月饼活动限定称号																		
188	天上天下天地无双狩神	1	0	0	188	2592000			《狩神修罗场》中第1名奖励，30天时限																1		
189	天上天下无双狩神	1	0	0	189	2592000			《狩神修罗场》中2-5名奖励，30天时限																1		
190	天上无双狩神	1	0	0	190	2592000			《狩神修罗场》中6-20名奖励，30天时限																2		
191	天下无双狩神	1	0	0	191	2592000			《狩神修罗场》中21-50名奖励，30天时限																2		
192	无双狩神	1	0	0	192	2592000			《狩神修罗场》中50-100名奖励，30天时限																		
193	猎心永存	1	0	0	193				猎心永存活动限定称号																		
194	天地狩王·拾叁	1	0	0	194				天地争锋狩猎季中表现突出的猎人专属称号																		
195	天地狩王·拾肆	1	0	0	195				天地争锋狩猎季中表现突出的猎人专属称号																		
196	天地狩王·拾伍	1	0	0	196				天地争锋狩猎季中表现突出的猎人专属称号																		
197	天地狩王·拾陆	1	0	0	197				天地争锋狩猎季中表现突出的猎人专属称号																		
198	天地狩王·拾柒	1	0	0	198				天地争锋狩猎季中表现突出的猎人专属称号																		
199	天地狩王·拾捌	1	0	0	199				天地争锋狩猎季中表现突出的猎人专属称号																		
200	天地狩王·拾玖	1	0	0	200				天地争锋狩猎季中表现突出的猎人专属称号																		
201	天地狩王·贰拾	1	0	0	201				天地争锋狩猎季中表现突出的猎人专属称号																		
202	年年高猎人	1	0	0	202				元旦年糕活动限定称号																		
203	荣耀归来	1	0	0	203	2592000			QQ浏览器专属称号，30天时限	12100055	攻击力+30	携带后攻击力+30													2		
204	人气之星	1	0	0	204	7776000			活动专属，90天时限																1		
205	MHO官方主播	1	0	0	205	2592000			官方推荐主播，30天时限																4		
206	官方御用主播	1	0	0	206	7776000			官方推荐主播，90天时限																3		
207	九页时装·豪者超神！	1	0	0	207				能把时装堆到商城背包第九页！怪猎项目组以此称号膜拜大神																1		
208	狩王	1	0	0	208																						
209	狩神	1	0	0	209																						
210	梅杰波尔坦首席教官	1	0	0	210				项目组以此称号敬献给全城最敬业的教官																3		
211	梅杰波尔坦狩神	1	0	0	211				梅杰波尔坦的狩猎指导专家，他们兢兢业业为梅城的建设贡献多年，是值得尊敬的技术大佬																4		
212	梅杰波尔坦首席教授	1	0	0	212				梅杰波尔坦博学的技术指导，兢兢业业为梅城的繁荣贡献多年，在生态与狩猎上颇有心得																3		
213	梅城之光	1	0	0	213				感谢您为照亮梅杰波尔坦点亮你手中的灯																1		
214	守护者之证	1	0	0	214				活跃梅杰波尔坦猎人社区的猎人们，提供了除狩猎以外丰富多彩的生活内容																1		
215	守护者之证	1	0	0	215	7776000			活跃梅杰波尔坦猎人社区的猎人们，提供了除狩猎以外丰富多彩的生活内容，90天时限																1		
216	梅杰波尔坦试炼杀神	1	0	0	216	7776000			敬献给在武器试练中，一年内全榜综合排名第一的神级杀手，90天时限																3		
220	微笑守护者	1	0	0	220	2592000			参与双微活动猎人的独有印记~	12100057	攻击力+20														4		
221	伏羲式·九霄环佩	1	0	0	221				活动专属称号																10	101,255,246,255;131,101,255,255	1000
222	钟离式·鹤鸣秋月	1	0	0	222				活动专属称号																10	246,255,107,255;107,255,201,255	1000
223	落霞式·彩凤鸣岐	1	0	0	223				活动专属称号																10	255,0,255,255;255,176,176,255	1000
224	甜蜜的诱惑	1	0	0	224				甜蜜糖果季活动限定称号																		
225	灵魂遗忘者	1	0	0	225				忘却灵魂的救赎者啊，请牺牲你的一切，为了卡瓦尼斯王国，前进吧！																2		
226	趣味之王	1	0	0	226				趣味活动限定称号																		
227	极限王者	1	0	0	227		2018/5/29 0:00:00	2018/7/2 23:59:59	在活动《极限挑战》中获得																1		
228	极限强者	1	0	0	228		2018/5/29 0:00:00	2018/7/2 23:59:59	在活动《极限挑战》中获得																2		
229	侏罗纪之王	1	0	0	229				活动专属称号																10	93,255,5,255;234,247,191,255	1000
230	极限王者	1	0	0	230		2018/7/3 0:00:00	2018/8/6 23:59:59	在活动《极限挑战》中获得																1		
231	极限强者	1	0	0	231		2018/7/3 0:00:00	2018/8/6 23:59:59	在活动《极限挑战》中获得																2		
232	夏日 回忆	1	0	0	232				活动专属称号																10	0,180,255,255;179,255,205,255	1000
233	极限王者	1	0	0	233		2018/8/7 0:00:00	2018/9/10 23:59:59	在活动《极限挑战》中获得																1		
234	极限强者	1	0	0	234		2018/8/7 0:00:00	2018/9/10 23:59:59	在活动《极限挑战》中获得																2		
235	指引明路的苍蓝星	1	0	0	235				王立学士琳蒂丝在自己笔记中如此写道——用来纪念所有踏上以及未能顺利踏上新大陆的猎人们																10	101,255,246,255;80,84,255,255	800
236	天地狩王·贰拾壹	1	0	0	236				天地争锋狩猎季中表现突出的猎人专属称号																		
237	天地狩王·贰拾贰	1	0	0	237				天地争锋狩猎季中表现突出的猎人专属称号																		
238	天地狩王·贰拾叁	1	0	0	238				天地争锋狩猎季中表现突出的猎人专属称号																		
239	天地狩王·贰拾肆	1	0	0	239				天地争锋狩猎季中表现突出的猎人专属称号																		
240	天地狩王·贰拾伍	1	0	0	240				天地争锋狩猎季中表现突出的猎人专属称号																		
241	天地狩王·贰拾陆	1	0	0	241				天地争锋狩猎季中表现突出的猎人专属称号																		
242	天地狩王·贰拾柒	1	0	0	242				天地争锋狩猎季中表现突出的猎人专属称号																		
243	天地狩王·贰拾捌	1	0	0	243				天地争锋狩猎季中表现突出的猎人专属称号																		
244	天地狩王·贰拾玖	1	0	0	244				天地争锋狩猎季中表现突出的猎人专属称号																		
245	天地狩王·叁拾	1	0	0	245				天地争锋狩猎季中表现突出的猎人专属称号																		
246	天地狩王·叁拾壹	1	0	0	246				天地争锋狩猎季中表现突出的猎人专属称号																		
247	天地狩王·叁拾贰	1	0	0	247				天地争锋狩猎季中表现突出的猎人专属称号																		
248	极限王者	1	0	0	248		2018/9/11 0:00:00	2018/10/15 23:59:59	在活动《极限挑战》中获得																1		
249	极限强者	1	0	0	249		2018/9/11 0:00:00	2018/10/15 23:59:59	在活动《极限挑战》中获得																2		
250	极限王者	1	0	0	250		2018/10/16 0:00:00	2018/11/19 23:59:59	在活动《极限挑战》中获得																1		
251	极限强者	1	0	0	251		2018/10/16 0:00:00	2018/11/19 23:59:59	在活动《极限挑战》中获得																2		
252	天上天下天地无双光棍	1	0	0	252				2018光棍节纪念称号。让你从孤单寂寞到一无所有，这就是爱情的真谛——来自舔狗之王的倾情馈赠。	12100058	攻击力+11，会心等级+5	携带后攻击力+11，会心等级+5													10	220,255,216,255;20,209,0,255	1000
253	极限王者	1	0	0	253		2018/11/20 0:00:00	2018/12/24 23:59:59	在活动《极限挑战》中获得																1		
254	极限强者	1	0	0	254		2018/11/20 0:00:00	2018/12/24 23:59:59	在活动《极限挑战》中获得																2		
255	极限王者	1	0	0	255		2018/12/25 0:00:00	2019/1/28 23:59:59	在活动《极限挑战》中获得																1		
256	极限强者	1	0	0	256		2018/12/25 0:00:00	2019/1/28 23:59:59	在活动《极限挑战》中获得																2		
257	究极战神·天下最强	1	0	0	257	31536000			“拯救！狩猎世界”活动称号，365天时限																10	255,252,6,255;255,6,6,255	1000
258	光芒四射·武运昌隆	1	0	0	258	31536000			“拯救！狩猎世界”活动称号，365天时限																10	255,255,255,255;255,192,0,255	1000
259	极限突破·国士无双	1	0	0	259	31536000			“拯救！狩猎世界”活动称号，365天时限																10	232,186,75,255;246,0,255,255	1000
260	怪物猎人守护团骑士	1	0	0	260	31536000			“拯救！狩猎世界”活动称号，365天时限																10	0,126,255,255;255,255,255,255	1000
261	MHO官方虎牙人气主播	1	0	0	261	2592000			虎牙直播活动，30天时限																3		
262	MHO官方斗鱼人气主播	1	0	0	262	2592000			斗鱼直播活动，30天时限																3		
263	卡牌使者	1	0	0	263	7776000			卡牌活动普通卡收集，90天期限	12100059	普通卡特效	附带普通卡特效													0		
264	卡牌大使	1	0	0	264	7776000			卡牌活动银卡收集，90天期限	12100060	银卡特效	附带银卡特效													2		
265	卡牌大师	1	0	0	265	7776000			卡牌活动金卡收集，90天期限	12100061	金卡特效	附带金卡特效													1		
266	秋香怒点唐伯虎	1	0	0	266	2592000			2018蛋拐新春赛诗会奖励称号。这就是爱情！30天时限																10	230,224,69,255;230,224,69,255	1000
267	六指狂草祝枝山	1	0	0	267	2592000			2018蛋拐新春赛诗会奖励称号。这就是爱情！30天时限																10	147,255,75,255;147,255,75,255	1000
268	诗琴书画文征明	1	0	0	268	2592000			2018蛋拐新春赛诗会奖励称号。这就是爱情！30天时限																10	238,226,170,255;238,226,170,255	1000
269	烟月文章徐祯卿	1	0	0	269	2592000			2018蛋拐新春赛诗会奖励称号。这就是爱情！30天时限																10	83,210,215,255;83,210,215,255	1000
270	黑穿龙竞速之王	1	0	0	270				《怪物猎人OL》贴吧黑穿龙竞速赛冠军	12100062	攻击力+18，会心等级+8	携带后攻击力+18，会心等级+8													10	58,91,153,255;223,193,24,255	1000
271	全村的希望	1	0	0	271	2592000			你是全村的希望，你是历史缺失的拼图，你是文明遗漏的珍宝，你是限量款，你是绝版独苗，你是天选之子，你是最后的晚餐。	12100063	攻击力+8，会心等级+8	携带后攻击力+8，会心等级+8													10	232,186,75,255;232,186,75,255	1000
272	极限王者	1	0	0	272		2019/1/29 0:00:00	2019/3/4 23:59:59	在活动《极限挑战》中获得																1		
273	极限强者	1	0	0	273		2019/1/29 0:00:00	2019/3/4 23:59:59	在活动《极限挑战》中获得																2		
