#TSV
#============Begin of sheet============
@Sheet=ManuNPCInfo
RowID	NPCID	生产分支ID	生产熟练度等级下限	生产熟练度等级上限
1	30008	1	1	1
2	30020	2	1	1
3	30103	2	1	1
4	30117	3	1	1
5	30136	1	1	1
#============End of sheet============

#============Begin of sheet============
@Sheet=ManuStudyInfo

#============End of sheet============

#============Begin of sheet============
@Sheet=ManuUnlockInfo

#============End of sheet============

#============Begin of sheet============
@Sheet=ManufactureDataInfo
id	name	branchId	subBranchId	subName	type	GraspActionProb	needProficiency	compProficiency	compProbability	cardID	compNeedManuID	cd	cdGroup	addPoint	highSteps	normalSteps	lowSteps	orderItemID1	item1name	orderItem1CountMin	orderItem1CountMax	orderItemID2	orderItem2Rate	orderItem2CountMin	orderItem2CountMax	useMoney	useVigour	intoneTime	materialItem1ID	materialItem1name	materialItem1Count	materialItem2ID	materialItem2name	materialItem2Count	materialItem3ID	materialItem3name	materialItem3Count	materialItem4ID	materialItem4name	materialItem4Count	materialItem5ID	materialItem5name	materialItem5Count	materialItem6ID	materialItem6name	materialItem6Count
105	铁镐	2	4	工具	105		0	0										6001	铁镐	1	1					0		500	21028	铁矿石	1	21088	棒状之骨	1	0	0	0									
106	捕虫网	2	4	工具	106		0	0										6011	捕虫网	1	1					0		500	21091	网	1	21085	龙骨【小】	1	0	0	0									
107	大便玉	2	6	耗材	121		0	0										1845	大便玉	1	1					0		500	21098	素材玉	1	21101	怪物粪便	1	0	0	0									
108	染色玉	2	6	耗材	108		0	0										25	染色玉	1	1					0		500	21001	黏着草	1	21019	染色果	1	0	0	0									
109	音爆玉	2	6	耗材	109		0	0										7	音爆玉	1	1					0		500	21098	素材玉	1	21095	炸药	1	0	0	0									
110	闪光玉	2	6	耗材	110		0	0										6	闪光玉	1	1					0		500	21098	素材玉	1	21076	光虫	2	0	0	0									
111	消臭玉	2	6	耗材	111		0	0										27	消臭玉	1	1					0		500	21098	素材玉	1	21388	霜降草	2	0	0	0									
112	烟雾玉	2	6	耗材	112		0	0										26	烟雾玉	1	1					0		500	21098	素材玉	1	21010	常春藤叶	2	0	0	0									
113	毒烟雾玉	2	6	耗材	113		0	0										28	毒烟雾玉	1	1					0		500	21098	素材玉	1	21083	毒蘑菇	1	0	0	0									
114	回家玉	2	6	耗材	114		0	0										29	回家玉	1	1					0		500	21098	素材玉	1	21389	兴奋蘑菇	1	0	0	0									
115	捕获用麻醉玉	2	6	耗材	115		0	0										30	捕获用麻醉玉	1	1					0		500	21098	素材玉	1	21162	捕获用麻醉药	1	0	0	0									
116	麻痹陷阱	2	5	陷阱	116		0	0										3	麻痹陷阱	1	1					0		500	21094	陷阱机关	1	21078	雷光虫	1	0	0	0									
117	回旋镖	2	6	耗材	117		0	0										32	回旋镖	1	1					0		500	5	砥石	1	21085	兽骨【小】	1	0	0	0									
118	小桶爆弹	2	6	耗材	118		0	0										37	小桶爆弹	1	1					0		500	21092	小桶	1	21002	火药草	1	0	0	0									
119	大桶爆弹	2	6	耗材	119		0	0										38	大桶爆弹	1	1					0		500	21093	大桶	1	21095	炸药	1	0	0	0									
120	落穴陷阱	2	5	陷阱	120		0	0										31	落穴	1	1					0		500	21094	陷阱机关	1	21091	网	1	0	0	0									
121	捕鱼套装	2	4	工具	121		0	0										6031	捕鱼套装	1	1					0		500	21001	黏着草	1	21112	兽骨【小】	1	0	0	0									
122	无尽染色玉	2	6	耗材	122		0	0										444	无尽染色玉	1	1					0		500	20006	增殖玉	6	25	染色玉	99	0	0	0									
123	无尽染色玉【G】	2	6	耗材	123		0	0										446	无尽染色玉【G】	1	1					0		500	20006	增殖玉	6	444	无尽染色玉	2	0	0	0									
124	无尽消臭玉	2	6	耗材	124		0	0										447	无尽消臭玉	1	1					0		500	20006	增殖玉	3	27	消臭玉	99	0	0	0									
125	无尽消臭玉【G】	2	6	耗材	125		0	0										448	无尽消臭玉【G】	1	1					0		500	20006	增殖玉	3	447	无尽消臭玉	2	0	0	0									
126	无尽音爆玉	2	6	耗材	126		0	0										449	无尽音爆玉	1	1					0		500	20006	增殖玉	6	7	音爆玉	99	0	0	0									
127	无尽音爆玉【G】	2	6	耗材	127		0	0										450	无尽音爆玉【G】	1	1					0		500	20006	增殖玉	6	449	无尽音爆玉	2	0	0	0									
128	无尽闪光玉	2	6	耗材	128		0	0										451	无尽闪光玉	1	1					0		500	20006	增殖玉	6	6	闪光玉	99	0	0	0									
129	无尽闪光玉【G】	2	6	耗材	129		0	0										452	无尽闪光玉【G】	1	1					0		500	20006	增殖玉	6	451	无尽闪光玉	2	0	0	0									
130	无尽大便玉	2	6	耗材	130		0	0										453	无尽大便玉	1	1					0		500	20006	增殖玉	3	1845	大便玉	99	0	0	0									
131	无尽大便玉【G】	2	6	耗材	131		0	0										454	无尽大便玉【G】	1	1					0		500	20006	增殖玉	3	453	无尽大便玉	2	0	0	0									
132	无尽捕获玉	2	6	耗材	132		0	0										455	无尽捕获玉	1	1					0		500	20006	增殖玉	6	30	捕获玉	99	0	0	0									
133	无尽捕获玉【G】	2	6	耗材	133		0	0										456	无尽捕获玉【G】	1	1					0		500	20006	增殖玉	6	455	无尽捕获玉	2	0	0	0									
134	无尽砥石	2	6	耗材	134		0	0										457	无尽砥石	1	1					0		500	20006	增殖玉	3	5	砥石	99	0	0	0									
135	无尽砥石【G】	2	6	耗材	135		0	0										458	无尽砥石【G】	1	1					0		500	20006	增殖玉	3	457	无尽砥石	2	0	0	0									
136	无尽铁镐	2	4	工具	136		0	0										6002	无尽铁镐	1	1					0		500	20006	增殖玉	6	6001	铁镐	99	0	0	0									
137	无尽捕虫网	2	4	工具	137		0	0										6012	无尽捕虫网	1	1					0		500	20006	增殖玉	6	6011	捕虫网	99	0	0	0									
138	无尽黄金铁镐	2	4	工具	138		0	0										6103	无尽黄金铁镐	1	1					0		500	20006	增殖玉	9	6101	黄金铁镐	99	0	0	0									
139	无尽黄金捕虫网	2	4	工具	139		0	0										6104	无尽黄金捕虫网	1	1					0		500	20006	增殖玉	9	6102	黄金捕虫网	99	0	0	0									
140	宗师砥石【废除】	2	4	工具	140		0	0										40052	宗师砥石	1	1					0		500	40052	宗师砥石	1															
141	宗师砥石【废除】	2	4	工具	141		0	0										40052	宗师砥石	1	1					0		500	40052	宗师砥石	1															
142	无尽毒烟雾玉	2	6	耗材	142		0	0										385	无尽毒烟雾玉	1	1					0		500	20006	增殖玉	3	28	毒烟雾玉	99	0	0	0									
143	无尽毒烟雾玉【G】	2	6	耗材	143		0	0										386	无尽毒烟雾玉【G】	1	1					0		500	20006	增殖玉	3	385	无尽毒烟雾玉	2	0	0	0									
144	飞空爆弹	2	6	耗材	144		0	0										39	飞空爆弹	1	1					0		500	37	小桶爆弹	1	21096	飞虫之羽	1	0	0	0									
145	无尽小桶爆弹	2	6	耗材	145		0	0										101	无尽小桶爆弹	1	1					0		500	20006	增殖玉	3	37	小桶爆弹	99	0	0	0									
146	无尽大桶爆弹	2	6	耗材	146		0	0										102	无尽大桶爆弹	1	1					0		500	20006	增殖玉	6	38	大桶爆弹	99	0	0	0									
147	无尽飞空爆弹	2	6	耗材	147		0	0										103	无尽飞空爆弹	1	1					0		500	20006	增殖玉	3	39	飞空爆弹	99	0	0	0									
148	无尽大桶爆弹【G】	2	6	耗材	148		0	0										104	无尽大桶爆弹【G】	1	1					0		500	20006	增殖玉	9	45	大桶爆弹【G】	99	0	0	0									
149	无尽麻痹陷阱	2	5	耗材	149		0	0										105	无尽麻痹爆弹	1	1					0		500	20006	增殖玉	9	3	麻痹陷阱	99	0	0	0									
150	无尽落穴陷阱	2	5	耗材	150		0	0										106	无尽落穴爆弹	1	1					0		500	20006	增殖玉	9	31	落穴	99	0	0	0									
151	无尽『大师』麻痹陷阱	2	6	耗材	151		0	0										108	无尽『大师』麻痹陷阱	1	1					0		500	20006	增殖玉	9	4863	『大师』麻痹陷阱	99	0	0	0									
152	大师免疫药水(神)【废除】	1	3	药剂	152		0	0										107	大师免疫药水(神)	1	1					0		500	107	大师免疫药水(神)	1															
153	无尽回家玉	2	6	耗材	153		0	0										11581	无尽回家玉	1	1					0		500	20006	增殖玉	3	29	回家玉	99	0	0	0									
154	无尽回家玉【G】	2	6	耗材	154		0	0										11582	无尽回家玉【G】	1	1					0		500	20006	增殖玉	3	11581	无尽回家玉	2	0	0	0									
155	无尽烟雾玉	2	6	耗材	155		0	0										11688	无尽烟雾玉	1	1					0		500	20006	增殖玉	3	26	烟雾玉	99	0	0	0									
156	无尽烟雾玉【G】	2	6	耗材	156		0	0										11689	无尽烟雾玉【G】	1	1					0		500	20006	增殖玉	3	11688	无尽烟雾玉	2	0	0	0									
201	通常弹2级	2	6	耗材	201		0	0										7002	通常弹2级	99	99					0		500	21000	空心果	1	21022	针果	1	0	0	0									
202	通常弹3级	2	6	耗材	202		0	0										7003	通常弹3级	60	60					0		500	21000	空心果	1	21394	沙丁鱼	2	0	0	0									
203	彻甲榴弹1级	2	6	耗材	203		0	0										7004	彻甲榴弹1级	20	20					0		500	21000	空心果	1	21084	硝化蘑菇	2	0	0	0									
204	彻甲榴弹2级	2	6	耗材	204		0	0										7005	彻甲榴弹2级	20	20					0		500	21000	空心果	1	21395	破裂龙鱼	2	0	0	0									
205	彻甲榴弹3级	2	6	耗材	205		0	0										7006	彻甲榴弹3级	20	20					0		500	21391	空心骨【小】	2	21396	爆裂龙鱼	3	0	0	0									
206	散弹1级	2	6	耗材	206		0	0										7007	散弹1级	40	40					0		500	21000	空心果	1	21020	爆裂核桃	2	0	0	0									
207	散弹2级	2	6	耗材	207		0	0										7008	散弹2级	40	40					0		500	21000	空心果	1	21397	鱼_散弹2级	2	0	0	0									
208	散弹3级	2	6	耗材	208		0	0										7009	散弹3级	40	40					0		500	21391	空心骨【小】	2	21398	鱼_散弹3级	3	0	0	0									
209	贯通弹1级	2	6	耗材	209		0	0										7010	贯通弹1级	40	40					0		500	21000	空心果	1	21399	贯通果	2	0	0	0									
210	贯通弹2级	2	6	耗材	210		0	0										7011	贯通弹2级	40	40					0		500	21000	空心果	1	21400	鱼_贯通弹2级	2	0	0	0									
211	贯通弹3级	2	6	耗材	211		0	0										7012	贯通弹3级	40	40					0		500	21391	空心骨【小】	2	21401	针金枪鱼	3	0	0	0									
212	猛毒弹	2	6	耗材	212		0	0										7013	猛毒弹	20	20					100		500	21000	空心果	1	21083	毒蘑菇	3	19996	蓝湖石	1									
213	麻痹弹	2	6	耗材	213		0	0										7014	麻痹弹	20	20					100		500	21000	空心果	1	21082	麻痹蘑菇	5	19996	蓝湖石	1									
214	致眠弹	2	6	耗材	214		0	0										7020	致眠弹	20	20					100		500	21000	空心果	1	21004	睡眠草	5	19996	蓝湖石	1									
215	火焰弹	2	6	耗材	215		0	0										7015	火焰弹	40	40					100		500	21000	空心果	1	21002	火药草	5	19997	铃牙草	1									
216	水冷弹	2	6	耗材	216		0	0										7016	水冷弹	40	40					100		500	21000	空心果	1	21402	切味鱼	5	19997	铃牙草	1									
217	电击弹	2	6	耗材	217		0	0										7017	电击弹	40	40					100		500	21000	空心果	1	21076	光虫	5	19997	铃牙草	1									
218	冰结弹	2	6	耗材	218		0	0										7018	冰结弹	40	40					100		500	21000	空心果	1	21045	冰结晶	5	19997	铃牙草	1									
219	空填充器	2	6	耗材	219		0	0										21390	空填充器	5	5					0		500	21391	空心骨【小】	1	5	砥石	5	0	0	0									
220	强击液填充器	2	6	耗材	220		0	0										7221	强击液填充器	1	1					0		500	21390	空填充器	1	21084	硝化蘑菇	2	0	0	0									
221	接击液填充器	2	6	耗材	221		0	0										7222	接击液填充器	1	1					0		500	21390	空填充器	1	21402	切味鱼	2	0	0	0									
222	毒液填充器	2	6	耗材	222		0	0										7223	毒液填充器	1	1					0		500	21390	空填充器	1	21083	毒蘑菇	3	19996	蓝湖石	1									
223	眠液填充器	2	6	耗材	223		0	0										7224	眠液填充器	1	1					0		500	21390	空填充器	1	21004	睡眠草	3	19996	蓝湖石	1									
224	麻液填充器	2	6	耗材	224		0	0										7225	麻液填充器	1	1					0		500	21390	空填充器	1	21082	麻痹蘑菇	3	19996	蓝湖石	1									
225	强走药	1	3	药剂	225		0	0										11	强走药	1	1					0		500	19992	强走精华	1	21018	曼陀罗花	1	0	0	0									
226	觉醒药	1	3	药剂	226		0	0										437	觉醒药	1	1					0		500	19993	白化精华	1	21018	曼陀罗花	1	0	0	0									
227	音爆手雷	2	6	耗材	227		0	0										436	音爆手雷	1	1					0		500	21099	完整的鸣袋	1	21095	炸药	1	0	0	0									
228	毒肉	1	3	药剂	228		0	0										22	毒肉	1	1					0		500	15	烤熟的肉	1	21083	毒蘑菇	2	19991	神秘粉末	1									
229	眠肉	1	3	药剂	229		0	0										23	眠肉	1	1					0		500	15	烤熟的肉	1	21004	睡眠草	2	19991	神秘粉末	1									
230	麻肉	1	3	药剂	230		0	0										24	麻肉	1	1					0		500	15	烤熟的肉	1	21082	麻痹蘑菇	2	19991	神秘粉末	1									
232	大桶爆弹【G】	2	6	耗材	119		0	0										45	大桶爆弹【G】	1	1					0		500	38	大桶爆弹	1	21398	扩散凸眼金鱼	1												
301	水光原珠	3	7	技能珠	301		0	0										21103	水光原珠	1	1					0		500	21028	铁矿石	5	21010	常春藤叶	3	0	0	0									
302	阳翔原珠	3	7	技能珠	302		0	0										21104	阳翔原珠	1	1					0		500	21028	铁矿石	5	21058	山青虫	3	0	0	0									
303	修罗原珠	3	7	技能珠	303		0	0										21105	修罗原珠	1	1					0		500	21028	铁矿石	5	21067	苦虫	3	0	0	0									
304	琉璃原珠	3	7	技能珠	304		0	0										21106	琉璃原珠	1	1					0		500	21028	铁矿石	5	21402	切味鱼	3	0	0	0									
305	般若原珠	3	7	技能珠	305		0	0										21174	般若原珠	1	1					0		500	21028	铁矿石	5	21049	圆蚂蚱	3	0	0	0									
306	明王原珠	3	7	技能珠	306		0	0										21175	明王原珠	1	1					0		500	21028	铁矿石	5	21012	落阳草	3	0	0	0									
400	攻击珠【1】	3	7	技能珠	400		0	0										29001	攻击珠【1】	1	1					1000		500	21103	水光原珠	1	22580	怪鸟的靭翼	2	0	0	0									
401	攻击珠【2】	3	7	技能珠	401		0	0										29002	攻击珠【2】	1	1					1000		500	21103	水光原珠	1	22861	岩龙的重背壳	2	0	0	0									
402	攻击珠【3】	3	7	技能珠	402		0	0										29003	攻击珠【3】	1	1					3000		500	21103	水光原珠	1	22876	金毛兽王的重骨	2	19998	高级技能珠素材券	10									
403	防御珠【1】	3	7	技能珠	403		0	0										29004	防御珠【1】	1	1					1000		500	21103	水光原珠	2	22830	沙雷鸟的韧翼	1	0	0	0									
404	防御珠【2】	3	7	技能珠	404		0	0										29005	防御珠【2】	1	1					1000		500	21103	水光原珠	2	22875	金毛兽王的重牙	1	0	0	0									
405	防御珠【3】	3	7	技能珠	405		0	0										29006	防御珠【3】	1	1					3000		500	21103	水光原珠	1	22837	沙龙王的大储砂袋	2	19998	高级技能珠素材券	10									
406	体力珠【1】	3	7	技能珠	406		0	0										29007	体力珠【1】	1	1					1000		500	21103	水光原珠	1	22797	河狸兽的特等皮	2	0	0	0									
407	体力珠【2】	3	7	技能珠	407		0	0										29008	体力+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
408	体力珠【3】	3	7	技能珠	408		0	0										29009	体力+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
409	强弹珠【1】	3	7	技能珠	409		0	0										29010	强弹珠【1】	1	1					3000		500	21106	琉璃原珠	2	22948	红速龙王的特上皮	1	19998	高级技能珠素材券	10									
410	强弹珠【2】	3	7	技能珠	410		0	0										29011	通常强化+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
411	强弹珠【3】	3	7	技能珠	411		0	0										29012	通常强化+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
412	狩人珠【1】	3	7	技能珠	412		0	0										29013	猎人生活+1	1	1					0		500	0	0	0	0	0	0	0	0	0									
413	狩人珠【2】	3	7	技能珠	413		0	0										29014	猎人生活+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
414	狩人珠【3】	3	7	技能珠	414		0	0										29015	猎人生活+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
415	耐痹珠【1】	3	7	技能珠	415		0	0										29016	耐痹珠【1】	1	1					1000		500	21104	阳翔原珠	1	22940	黄速龙的厚鳞	2	0	0	0									
416	耐痹珠【2】	3	7	技能珠	416		0	0										29017	麻痹抵抗+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
417	耐痹珠【3】	3	7	技能珠	417		0	0										29018	麻痹抵抗+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
418	罠师珠【1】	3	7	技能珠	418		0	0										29019	高速设置+1	1	1					0		500	0	0	0	0	0	0	0	0	0									
419	罠师珠【2】	3	7	技能珠	419		0	0										29020	高速设置+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
420	罠师珠【3】	3	7	技能珠	420		0	0										29021	高速设置+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
421	皮剥珠【1】	3	7	技能珠	421		0	0										29022	剥取+1	1	1					0		500	0	0	0	0	0	0	0	0	0									
422	皮剥珠【2】	3	7	技能珠	422		0	0										29023	剥取+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
423	皮剥珠【3】	3	7	技能珠	423		0	0										29024	剥取+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
424	千里珠【1】	3	7	技能珠	424		0	0										29025	千里珠【1】	1	1					1000		500	21175	明王原珠	1	22909	星龙的刚角	2	0	0	0									
425	千里珠【2】	3	7	技能珠	425		0	0										29026	千里眼+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
426	千里珠【3】	3	7	技能珠	426		0	0										29027	千里眼+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
427	菌学珠【1】	3	7	技能珠	427		0	0										29028	菌学珠【1】	1	1					0		500	0	0	0	0	0	0	0	0	0									
428	菌学珠【2】	3	7	技能珠	428		0	0										29029	抗菌+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
429	菌学珠【3】	3	7	技能珠	429		0	0										29030	抗菌+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
430	食汉珠【1】	3	7	技能珠	430		0	0										29031	食汉珠【1】	1	1					1000		500	21175	明王原珠	2	22808	沙狸兽的刚爪	1	0	0	0									
431	食汉珠【2】	3	7	技能珠	431		0	0										29032	吃货+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
432	食汉珠【3】	3	7	技能珠	432		0	0										29033	吃货+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
433	速食珠【1】	3	7	技能珠	433		0	0										29034	速食+1	1	1					0		500	0	0	0	0	0	0	0	0	0									
434	速食珠【2】	3	7	技能珠	434		0	0										29035	速食+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
435	速食珠【3】	3	7	技能珠	435		0	0										29036	速食+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
436	观察珠【1】	3	7	技能珠	436		0	0										29037	观察珠【1】	1	1					1000		500	21175	明王原珠	1	22887	毒鸟的紫韧翼	2	0	0	0									
437	观察珠【2】	3	7	技能珠	437		0	0										29038	观察眼+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
438	观察珠【3】	3	7	技能珠	438		0	0										29039	观察眼+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
439	采取珠【1】	3	7	技能珠	439		0	0										29040	采集+1	1	1					0		500	0	0	0	0	0	0	0	0	0									
440	采取珠【2】	3	7	技能珠	440		0	0										29041	采集+2	1	1					0		500	0	0	0	0	0	0	0	0	0									
441	采取珠【3】	3	7	技能珠	441		0	0										29042	采集+3	1	1					0		500	0	0	0	0	0	0	0	0	0									
