#TSV
#============Begin of sheet============
@Sheet=商城版本号
索引	当前版本号
1	13
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡
物品ID	折扣	折扣额度上限	商品范围
24959	90	50000	
24957	80	50000	
40273	70	50000	
40274	50	50000	
40275	10	50000	
40578	10	70000	
40579	20	70000	
40580	30	70000	
40581	40	70000	
40582	50	70000	
40583	60	70000	
40584	70	70000	
40585	80	70000	
40586	90	70000	
40605	10	100000	
40637	80	50000	
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡测试数据
物品ID	折扣	折扣额度上限	商品范围
2	95		
#============End of sheet============

#============Begin of sheet============
@Sheet=点券商城
索引ID	组ID	是否显示	图标ICON	女性图标ICON	结算类型	商品名称	物品ID	贩卖数量	类型	子类型	推荐区	销售标志	价格	优惠价格	会员价格	蓝钻会员价格	免费	会员免费	打折卡是否有效	是否可赠送/索取	是否购买自动使用	开始贩售时间	结束贩售时间	购买上限	限制周期	是否取消上架	功能名称	功能参数	BtlSvr不可购买	VIP等级限制	QQ会员限制	人物等级限制	增加VIP经验	排序参数	微信支付信息	是否是VIP物品	模型类型	模型信息	模型动作	性别限制
42	3	0	ma001_02		点券	浪人·喧哗（胸部）	762133	1	人物服饰	胸部			3960		3860	3860										1														0
43	4	1	ma001_05		点券	浪人·喧哗（腰部）	762140	1	人物服饰	腰部			380		360	360										1														0
44	4	1	ma001_05		点券	浪人·喧哗（腰部）	762141	1	人物服饰	腰部			980		960	960										1														0
45	4	0	ma001_05		点券	浪人·喧哗（腰部）	762142	1	人物服饰	腰部			3160		3060	3060										1														0
46	4	0	ma001_05		点券	浪人·喧哗（腰部）	762143	1	人物服饰	腰部			3160		3060	3060										1														0
47	5	1	ma001_04		点券	浪人·喧哗（腿部）	762150	1	人物服饰	足部			280		260	260										1														0
48	5	1	ma001_04		点券	浪人·喧哗（腿部）	762151	1	人物服饰	足部			680		660	660										1														0
49	5	0	ma001_04		点券	浪人·喧哗（腿部）	762152	1	人物服饰	足部			2360		2260	2260										1														0
50	5	0	ma001_04		点券	浪人·喧哗（腿部）	762153	1	人物服饰	足部			2360		2260	2260										1														0
51	6	1	ma005_01		点券	高级合金头铠	762210	1	人物服饰	头部			500		475	475										1														0
52	6	0	ma005_01		点券	高级合金头铠	762211	1	人物服饰	头部			1000		950	950										1														0
53	6	0	ma005_01		点券	高级合金头铠	762212	1	人物服饰	头部			2500		2375	2375										1														0
54	6	0	ma005_01		点券	高级合金头铠	762213	1	人物服饰	头部			3000		2850	2850										1														0
55	7	1	ma005_03		点券	高级合金腕铠	762220	1	人物服饰	腕部			500		475	475										1														0
56	7	0	ma005_03		点券	高级合金腕铠	762221	1	人物服饰	腕部			1000		950	950										1														0
57	7	0	ma005_03		点券	高级合金腕铠	762222	1	人物服饰	腕部			2500		2375	2375										1														0
58	7	0	ma005_03		点券	高级合金腕铠	762223	1	人物服饰	腕部			3000		2850	2850										1														0
59	8	1	ma005_02		点券	高级合金胸铠	762230	1	人物服饰	胸部			500		475	475										1														0
60	8	0	ma005_02		点券	高级合金胸铠	762231	1	人物服饰	胸部			1000		950	950										1														0
61	8	0	ma005_02		点券	高级合金胸铠	762232	1	人物服饰	胸部			2500		2375	2375										1														0
62	8	0	ma005_02		点券	高级合金胸铠	762233	1	人物服饰	胸部			3000		2850	2850										1														0
63	9	1	ma005_005		点券	高级合金腰铠	762240	1	人物服饰	腰部			500		475	475										1														0
64	9	0	ma005_005		点券	高级合金腰铠	762241	1	人物服饰	腰部			1000		950	950										1														0
65	9	0	ma005_005		点券	高级合金腰铠	762242	1	人物服饰	腰部			2500		2375	2375										1														0
66	9	0	ma005_005		点券	高级合金腰铠	762243	1	人物服饰	腰部			3000		2850	2850										1														0
67	10	1	ma005_04		点券	高级合金腿铠	762250	1	人物服饰	足部			500		475	475										1														0
68	10	0	ma005_04		点券	高级合金腿铠	762251	1	人物服饰	足部			1000		950	950										1														0
69	10	0	ma005_04		点券	高级合金腿铠	762252	1	人物服饰	足部			2500		2375	2375										1														0
70	10	0	ma005_04		点券	高级合金腿铠	762253	1	人物服饰	足部			3000		2850	2850										1														0
71	11	1	ma011_01		点券	洋葱骑士套装（头部）	762310	1	人物服饰	头部			588		559	559										1														0
72	11	0	ma011_01		点券	洋葱骑士套装（头部）	762311	1	人物服饰	头部			2058		1956	1956										1														0
73	11	0	ma011_01		点券	洋葱骑士套装（头部）	762312	1	人物服饰	头部			2500		2375	2375										1														0
74	11	0	ma011_01		点券	洋葱骑士套装（头部）	762313	1	人物服饰	头部			4688		4454	4454										1														0
75	12	1	ma011_03		点券	洋葱骑士套装（腕部）	762320	1	人物服饰	腕部			418		398	398										1														0
76	12	0	ma011_03		点券	洋葱骑士套装（腕部）	762321	1	人物服饰	腕部			1468		1395	1395										1														0
77	12	0	ma011_03		点券	洋葱骑士套装（腕部）	762322	1	人物服饰	腕部			2500		2375	2375										1														0
78	12	0	ma011_03		点券	洋葱骑士套装（腕部）	762323	1	人物服饰	腕部			3358		3191	3191										1														0
79	13	1	ma011_02		点券	洋葱骑士套装（胸部）	762330	1	人物服饰	胸部			588		559	559										1														0
80	13	0	ma011_02		点券	洋葱骑士套装（胸部）	762331	1	人物服饰	胸部			2058		1956	1956										1														0
81	13	0	ma011_02		点券	洋葱骑士套装（胸部）	762332	1	人物服饰	胸部			2500		2375	2375										1														0
82	13	0	ma011_02		点券	洋葱骑士套装（胸部）	762333	1	人物服饰	胸部			4688		4454	4454										1														0
83	14	1	ma011_05		点券	洋葱骑士套装（腰部）	762340	1	人物服饰	腰部			488		464	464										1														0
84	14	0	ma011_05		点券	洋葱骑士套装（腰部）	762341	1	人物服饰	腰部			1688		1604	1604										1														0
85	14	0	ma011_05		点券	洋葱骑士套装（腰部）	762342	1	人物服饰	腰部			2500		2375	2375										1														0
86	14	0	ma011_05		点券	洋葱骑士套装（腰部）	762343	1	人物服饰	腰部			3888		3694	3694										1														0
87	15	1	ma011_04		点券	洋葱骑士套装（腿部）	762350	1	人物服饰	足部			418		398	398										1														0
88	15	0	ma011_04		点券	洋葱骑士套装（腿部）	762351	1	人物服饰	足部			1468		1395	1395										1														0
89	15	0	ma011_04		点券	洋葱骑士套装（腿部）	762352	1	人物服饰	足部			2500		2375	2375										1														0
90	15	0	ma011_04		点券	洋葱骑士套装（腿部）	762353	1	人物服饰	足部			3388		3219	3219										1														0
91		1	mart_vip_gift_bigger_1		猎币	商会的赠礼	2101	1	功能	扩展			0		0	0										1														0
92	16	1	ma005_001		点券	奥兹·铁皮人套装（头部）	762510	1	人物服饰	头部			588		559	559										1														0
93	16	0	ma005_001		点券	奥兹·铁皮人套装（头部）	762511	1	人物服饰	头部			2058		1956	1956										1														0
94	16	0	ma005_001		点券	奥兹·铁皮人套装（头部）	762512	1	人物服饰	头部			2500		2375	2375										1														0
95	16	0	ma005_001		点券	奥兹·铁皮人套装（头部）	762513	1	人物服饰	头部			4688		4454	4454										1														0
96	17	1	ma005_003		点券	奥兹·铁皮人套装（腕部）	762520	1	人物服饰	腕部			418		398	398										1														0
97	17	0	ma005_003		点券	奥兹·铁皮人套装（腕部）	762521	1	人物服饰	腕部			1468		1395	1395										1														0
98	17	0	ma005_003		点券	奥兹·铁皮人套装（腕部）	762522	1	人物服饰	腕部			2500		2375	2375										1														0
99	17	0	ma005_003		点券	奥兹·铁皮人套装（腕部）	762523	1	人物服饰	腕部			3358		3191	3191										1														0
100	18	1	ma005_002		点券	奥兹·铁皮人套装（胸部）	762530	1	人物服饰	胸部			588		559	559										1														0
101	18	0	ma005_002		点券	奥兹·铁皮人套装（胸部）	762531	1	人物服饰	胸部			2058		1956	1956										1														0
102	18	0	ma005_002		点券	奥兹·铁皮人套装（胸部）	762532	1	人物服饰	胸部			2500		2375	2375										1														0
103	18	0	ma005_002		点券	奥兹·铁皮人套装（胸部）	762533	1	人物服饰	胸部			4688		4454	4454										1														0
104	19	1	ma005_0005		点券	奥兹·铁皮人套装（腰部）	762540	1	人物服饰	腰部			488		464	464										1														0
105	19	0	ma005_0005		点券	奥兹·铁皮人套装（腰部）	762541	1	人物服饰	腰部			1688		1604	1604										1														0
106	19	0	ma005_0005		点券	奥兹·铁皮人套装（腰部）	762542	1	人物服饰	腰部			2500		2375	2375										1														0
107	19	0	ma005_0005		点券	奥兹·铁皮人套装（腰部）	762543	1	人物服饰	腰部			3888		3694	3694										1														0
108	20	1	ma005_004		点券	奥兹·铁皮人套装（腿部）	762550	1	人物服饰	足部			418		398	398										1														0
109	20	0	ma005_004		点券	奥兹·铁皮人套装（腿部）	762551	1	人物服饰	足部			1468		1395	1395										1														0
110	20	0	ma005_004		点券	奥兹·铁皮人套装（腿部）	762552	1	人物服饰	足部			2500		2375	2375										1														0
111	20	0	ma005_004		点券	奥兹·铁皮人套装（腿部）	762553	1	人物服饰	足部			3388		3219	3219										1														0
112		1	ma001_pl_m_hb	ma001_pl_f_hb	猎币	浪人·喧哗套装	40138	1	人物服饰	其他			15800		14800	14800					1					1														0
113		1	ma005_pl_m	ma005_pl_f	猎币	奥兹·铁皮人套装礼包	40139	1	人物服饰	其他			19888		18894	18894					1					1														0
114		1	ma011_pl_m	ma011_pl_f	点券	洋葱骑士套装	40140	1	合作	会员			16800		15800				1	1											QQ会员						1	762313;762323;762333;762343;762353;		0
115		1	mart_key_06		猎币	龙之钥匙	40020	1	功能	辅助			300		300	300										1														0
116		1	mart_key_06		猎币	龙之钥匙X10	40020	10	功能	辅助			2888		2600	2600										1														0
117		1	mart_key_06		猎币	龙之钥匙X50	40020	50	功能	辅助			14888		11166	11166										1														0
118		1	mart_vip		猎币	VIP会员卡（感恩福利）	40141	1	功能	辅助			100		100	100					1			1	永久	1														0
119		1	Mart_dragonkey_01		猎币	遗迹石板	40018	1	功能	辅助			300		300	280			1	1														983						0
120		1	Mart_dragonkey_01		猎币	遗迹石板（10个）	40018	10	功能	辅助			2888		2800	2680			1	1														984						0
121		1	Mart_dragonkey_01		猎币	遗迹石板（50个）	40018	50	功能	辅助			14888		12800	12600			1	1														985						0
122		1	Mart_dragonkey_02		猎币	密林石板	40019	1	功能	辅助			300		300	300										1														0
123		1	Mart_dragonkey_02		猎币	密林石板X10	40019	10	功能	辅助			2888		2600	2600										1														0
124		1	Mart_dragonkey_02		猎币	密林石板X50	40019	50	功能	辅助			14888		11166	11166										1														0
125		1	Mart_dragonkey_03		猎币	冻土石板	40020	1	功能	辅助			300		300	300										1														0
126		1	Mart_dragonkey_03		猎币	冻土石板X10	40020	10	功能	辅助			2888		2600	2600										1														0
127		1	Mart_dragonkey_03		猎币	冻土石板X50	40020	50	功能	辅助			14888		11166	11166										1														0
128		1	mart_pay_goods_blue		点券	会员限购礼包·壹	40149	1	功能	限购		限购	1200	480	1200	1200								1	每日	1				1				1013						0
129		1	mart_pay_goods_green		点券	会员限购礼包·贰	40150	1	功能	限购		限购	2500	980	2500	2500								1	每日	1				2				1014						0
130		1	mart_pay_goods_yellow		点券	会员限购礼包·叁	40151	1	功能	限购		限购	4000	1880	4000	4000								1	每日	1				3				1015						0
131		1	mart_cat_scroll_bigger_3		猎币	强化保底券	24001	1	功能	辅助			500		500	500										1														0
132		1	mart_whetstone_bigger_2		猎币	宗师砥石（10个）	40052	10	功能	增益			2400		2280	2280			1	1														1026						0
133		1	mart_meat_bigger		猎币	特级烤肉（10个）	40057	10	功能	恢复			1400		1360	1360			1	1														1028						0
134		1	mart_medcine_white_bigger		猎币	古龙精华（10个）	40043	10	功能	恢复			2800		2680	2680			1	1														1022						0
135		1	mart_firework1_bigger_small		猎币	花火·雉（10个）	40071	10	功能	辅助			2800		2680	2680			1	1						1														0
136		1	mart_firework1_bigger_middle		猎币	花火·凰（10个）	40072	10	功能	辅助			4600		4380	4380			1	1						1														0
137		1	mart_medcine_purple_mart		猎币	心眼药剂	40145	1	功能	增益			250		240	240			1	1		2015/12/24 0:0:0				1														0
138		1	mart_medcine_purple_mart		猎币	心眼药剂（10个）	40145	10	功能	增益			2400		2280	2280			1	1		2015/12/24 0:0:0				1														0
139		1	mart_medcine_orange_bigger		猎币	大师守护药剂	40143	1	功能	增益			200		190	190			1	1		2015/12/24 0:0:0				1								1035						0
140		1	mart_medcine_orange_bigger		猎币	大师守护药剂（10个）	40143	10	功能	增益			1900		1780	1780			1	1		2015/12/24 0:0:0				1								1036						0
141		1	mart_medcine_immunity_01_bigger		猎币	大师免疫药剂·心	40144	1	合作	会员		限购	200		190	190			1			2015/12/24 0:0:0		5	每日						QQ会员									0
142		1	mart_medcine_immunity_01_bigger		猎币	大师免疫药剂·心（10个）	40144	10	合作	会员		限购	1900		1780	1780			1			2015/12/24 0:0:0		3	每日						QQ会员									0
143		1	mart_medcine_immunity_03_bigger		猎币	大师免疫药剂·体	40148	1	合作	会员		限购	200		190	190			1			2015/12/24 0:0:0		5	每日						QQ会员									0
144		1	mart_medcine_immunity_03_bigger		猎币	大师免疫药剂·体（10个）	40148	10	合作	会员		限购	1900		1780	1780			1			2015/12/24 0:0:0		3	每日						QQ会员									0
145		1	mart_medcine_immunity_02_bigger		猎币	大师免疫药剂·智	40147	1	合作	心悦		限购	200		190	190			1			2015/12/24 0:0:0		5	每日						心悦									0
146		1	mart_medcine_immunity_02_bigger		猎币	大师免疫药剂·智（10个）	40147	10	合作	心悦		限购	1900		1780	1780			1			2015/12/24 0:0:0		3	每日						心悦									0
147		1	mart_shop		猎币	猎场补给券	40152	1	功能	增益			500		480	480			1	1														1037						0
148		1	mart_shop		猎币	猎场补给券（5个）	40152	5	功能	增益			2400		2280	2280			1	1														1038						0
149		1	mart_pick_yellow_mart		猎币	黄金铁镐（10个）	6101	10	功能	辅助			500		480	480			1	1		2015/12/24 0:0:0	2017/2/14 3:0:0																	0
150		1	mart_pick_yellow_mart		猎币	黄金铁镐（50个）	6101	50	功能	辅助			2400		2280	2280			1	1		2015/12/24 0:0:0	2017/2/14 3:0:0																	0
151		1	mart_string_yellow_mart		猎币	黄金捕虫网（10个）	6102	10	功能	辅助			500		480	480			1	1		2015/12/24 0:0:0	2017/2/14 3:0:0																	0
152		1	mart_string_yellow_mart		猎币	黄金捕虫网（50个）	6102	50	功能	辅助			2400		2280	2280			1	1		2015/12/24 0:0:0	2017/2/14 3:0:0																	0
153		1	mart_jade_guar		猎币	突破保护石	40153	1	功能	辅助			500		480	480			1	1						1								840						0
154		1	mart_jade_guar		猎币	突破保护石（10个）	40153	10	功能	辅助			4800		4580	4580			1	1						1								840						0
155	21	1	ma006_01		点券	皇家火枪手（头部）	764710	1	人物服饰	头部			360		340	340										1														0
156	21	1	ma006_01		点券	皇家火枪手（头部）	764711	1	人物服饰	头部			960		900	900										1								2020						0
157	21	0	ma006_01		点券	皇家火枪手（头部）	764712	1	人物服饰	头部			3460		3280	3280										1														0
158	21	0	ma006_01		点券	皇家火枪手（头部）	764713	1	人物服饰	头部			3460		3280	3280										1														0
159	22	1	ma006_03		点券	皇家火枪手（腕部）	764720	1	人物服饰	腕部			260		240	240										1														0
160	22	1	ma006_03		点券	皇家火枪手（腕部）	764721	1	人物服饰	腕部			560		530	530										1														0
161	22	0	ma006_03		点券	皇家火枪手（腕部）	764722	1	人物服饰	腕部			2060		1960	1960										1								2021						0
162	22	0	ma006_03		点券	皇家火枪手（腕部）	764723	1	人物服饰	腕部			2060		1960	1960										1														0
163	23	1	ma006_02		点券	皇家火枪手（胸部）	764730	1	人物服饰	胸部			360		340	340										1														0
164	23	1	ma006_02		点券	皇家火枪手（胸部）	764731	1	人物服饰	胸部			960		900	900										1								2022						0
165	23	0	ma006_02		点券	皇家火枪手（胸部）	764732	1	人物服饰	胸部			3460		3280	3280										1														0
166	23	0	ma006_02		点券	皇家火枪手（胸部）	764733	1	人物服饰	胸部			3460		3280	3280										1														0
167	24	1	ma006_05		点券	皇家火枪手（腰部）	764740	1	人物服饰	腰部			360		340	340										1														0
168	24	1	ma006_05		点券	皇家火枪手（腰部）	764741	1	人物服饰	腰部			860		820	820										1								2023						0
169	24	0	ma006_05		点券	皇家火枪手（腰部）	764742	1	人物服饰	腰部			2760		2720	2720										1														0
170	24	0	ma006_05		点券	皇家火枪手（腰部）	764743	1	人物服饰	腰部			2760		2720	2720										1														0
171	25	0	ma006_04		点券	皇家火枪手（腿部）	764750	1	人物服饰	足部			260		240	240										1														0
172	25	1	ma006_04		点券	皇家火枪手（腿部）	764751	1	人物服饰	足部			660		530	530										1								2024						0
173	25	0	ma006_04		点券	皇家火枪手（腿部）	764752	1	人物服饰	足部			2060		1960	1960										1														0
174	25	0	ma006_04		点券	皇家火枪手（腿部）	764753	1	人物服饰	足部			2060		1960	1960										1														0
175		1	ma006_pl_m	ma006_pl_f	点券	皇家火枪手套装礼包	40156	1	人物服饰	其他		打折	15800	13800	14800	14800					1					1								2019						0
176	26	0	p_ma_014_3		猎币	发条喵武器	92005	1	艾露服饰	武器			9999		9999	9999										1														0
177	26	1	p_ma_014_3		猎币	发条喵武器	92006	1	艾露服饰	武器			1360		1280	1280			1	1														3006						0
178	26	0	p_ma_014_3		猎币	发条喵武器	92007	1	艾露服饰	武器			2860		2760	2760			1	1																				0
179	26	0	p_ma_014_3		猎币	发条喵武器	92008	1	艾露服饰	武器			9999		9999	9999										1														0
180	27	0	p_ma_018_3		猎币	武士喵刀	92009	1	艾露服饰	武器			9999		9999	9999										1														0
181	27	1	p_ma_018_3		猎币	武士喵刀	92010	1	艾露服饰	武器			880		860	860			1	1														3010						0
182	27	0	p_ma_018_3		猎币	武士喵刀	92011	1	艾露服饰	武器			1960		1880	1880			1	1																				0
183	27	0	p_ma_018_3		猎币	武士喵刀	92012	1	艾露服饰	武器			9999		9999	9999										1														0
184	28	0	p_ma_014_1		猎币	发条喵头盔	93020	1	艾露服饰	头部			9999		9999	9999										1														0
185	28	1	p_ma_014_1		猎币	发条喵头盔	93021	1	艾露服饰	头部			860		780	780			1	1														3007						0
186	28	0	p_ma_014_1		猎币	发条喵头盔	93022	1	艾露服饰	头部			1660		1560	1560			1	1																				0
187	28	0	p_ma_014_1		猎币	发条喵头盔	93023	1	艾露服饰	头部			9999		9999	9999										1														0
188	29	0	p_ma_014_2		猎币	发条喵护甲	93025	1	艾露服饰	身体			9999		9999	9999										1														0
189	29	1	p_ma_014_2		猎币	发条喵护甲	93026	1	艾露服饰	身体			560		520	520			1	1														3008						0
190	29	0	p_ma_014_2		猎币	发条喵护甲	93027	1	艾露服饰	身体			1160		1060	1060			1	1																				0
191	29	0	p_ma_014_2		猎币	发条喵护甲	93028	1	艾露服饰	身体			9999		9999	9999										1														0
192	30	0	p_ma_018_1		猎币	武士喵兜	93030	1	艾露服饰	头部			9999		9999	9999										1														0
193	30	1	p_ma_018_1		猎币	武士喵兜	93031	1	艾露服饰	头部			560		520	520			1	1														3011						0
194	30	0	p_ma_018_1		猎币	武士喵兜	93032	1	艾露服饰	头部			1160		1080	1080			1	1																				0
195	30	0	p_ma_018_1		猎币	武士喵兜	93033	1	艾露服饰	头部			9999		9999	9999										1														0
196	31	0	p_ma_018_2		猎币	武士喵服	93035	1	艾露服饰	身体			9999		9999	9999										1														0
197	31	1	p_ma_018_2		猎币	武士喵服	93036	1	艾露服饰	身体			380		360	360			1	1														3012						0
198	31	0	p_ma_018_2		猎币	武士喵服	93037	1	艾露服饰	身体			760		720	720			1	1																				0
199	31	0	p_ma_018_2		猎币	武士喵服	93038	1	艾露服饰	身体			9999		9999	9999										1														0
200		1	p_ma_014_4		点券	发条喵套装	40157	1	艾露服饰	其他		打折	7680	5680	7280	7280			1	1														3005						0
201		1	p_ma_018_4		点券	武士喵套装	40158	1	艾露服饰	其他		打折	5280	3880	4980	4980			1	1														3009						0
202		1	mart_storehouse_ticket_bigger		猎币	收纳之书	40100	1	功能	辅助			100	100	100	100				1														1023						0
203		1	Mart_vip_box01		点券	1元福利包	40159	1	功能	限购		限购	2000	100	2000									1	永久	1								1010						0
204		1	Mart_vip_box02		点券	30天会员首充礼包	40160	1	功能	限购		限购	5000	1680	5000									1	永久	1														0
205		1	Mart_vip_box03		点券	90天会员首充礼包	40161	1	功能	限购		限购	14000	4680	14000									1	永久	1														0
206		1	Mart_vip_box04		点券	360天会员首充礼包	40162	1	功能	限购		限购	48000	16800	48000									1	永久	1														0
207	32	1	ma012_01		点券	福尔摩斯（头部）	763910	1	人物服饰	头部			480		460											1														0
208	32	1	ma012_01		点券	福尔摩斯（头部）	763911	1	人物服饰	头部			1280		1180											1								2014						0
209	32	0	ma012_01		点券	福尔摩斯（头部）	763912	1	人物服饰	头部			4480		4260											1														0
210	32	0	ma012_01		点券	福尔摩斯（头部）	763913	1	人物服饰	头部			4480		4260											1														0
211	33	1	ma012_03		点券	福尔摩斯（腕部）	763920	1	人物服饰	腕部			360		340											1														0
212	33	1	ma012_03		点券	福尔摩斯（腕部）	763921	1	人物服饰	腕部			780		750											1								2015						0
213	33	0	ma012_03		点券	福尔摩斯（腕部）	763922	1	人物服饰	腕部			2680		2560											1														0
214	33	0	ma012_03		点券	福尔摩斯（腕部）	763923	1	人物服饰	腕部			2680		2560											1														0
215	34	1	ma012_02		点券	福尔摩斯（胸部）	763930	1	人物服饰	胸部			480		460											1														0
216	34	1	ma012_02		点券	福尔摩斯（胸部）	763931	1	人物服饰	胸部			1280		1180											1								2016						0
217	34	0	ma012_02		点券	福尔摩斯（胸部）	763932	1	人物服饰	胸部			4480		4260											1														0
218	34	0	ma012_02		点券	福尔摩斯（胸部）	763933	1	人物服饰	胸部			4480		4260											1														0
219	35	1	ma012_05		点券	福尔摩斯（腰部）	763940	1	人物服饰	腰部			380		360											1														0
220	35	1	ma012_05		点券	福尔摩斯（腰部）	763941	1	人物服饰	腰部			1080		980											1								2017						0
221	35	0	ma012_05		点券	福尔摩斯（腰部）	763942	1	人物服饰	腰部			3580		3360											1														0
222	35	0	ma012_05		点券	福尔摩斯（腰部）	763943	1	人物服饰	腰部			3580		3360											1														0
223	36	0	ma012_04		点券	福尔摩斯（腿部）	763950	1	人物服饰	足部			280		260											1														0
224	36	1	ma012_04		点券	福尔摩斯（腿部）	763951	1	人物服饰	足部			780		760											1								2018						0
225	36	0	ma012_04		点券	福尔摩斯（腿部）	763952	1	人物服饰	足部			2680		2560											1														0
