#TSV
#============Begin of sheet============
@Sheet=属性开启
开启编号	属性条数	物品最低等级	物品最高等级	开启需要次数	开启需要点券
1	2	1	1	10	0
2	2	2	5	10	10
3	2	6	10	10	10
4	2	11	15	20	10
5	2	16	20	20	10
6	2	21	25	30	10
7	2	26	30	30	10
8	2	31	35	40	10
9	2	36	40	40	10
10	2	41	45	50	10
11	2	46	50	50	10
12	2	51	55	60	10
13	2	56	60	60	10
14	2	61	65	70	10
15	2	66	70	70	10
16	2	71	75	80	10
17	2	76	80	80	10
18	2	81	85	90	10
19	2	86	90	90	10
20	2	91	95	100	10
21	2	96	100	100	10
22	3	1	1	30	200
23	3	2	5	30	200
24	3	6	10	30	200
25	3	11	15	60	200
26	3	16	20	60	200
27	3	21	25	90	200
28	3	26	30	90	200
29	3	31	35	120	200
30	3	36	40	120	200
31	3	41	45	150	200
32	3	46	50	150	200
33	3	51	55	180	200
34	3	56	60	180	200
35	3	61	65	210	200
36	3	66	70	210	200
37	3	71	75	240	200
38	3	76	80	240	200
39	3	81	85	270	200
40	3	86	90	270	200
41	3	91	95	300	200
42	3	96	100	300	200
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸品质权重
精铸品质	权重	备注
1	50	白；负面装备被动技-1~2
2	500	绿；低级装备被动技+1
3	100	粉；低级装备被动技+2
4	10	蓝；高级装备被动技+1
5	1	紫；高级装备被动技+2
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸属性
属性ID	说明	品质	物品最小等级	物品最大等级	功能	被动技ID	被动技值
77	Spd Eating	1	1	99		5	-2
78	Carving	1	1	99		10	-2
79	Health	1	1	99		12	-2
80	Recov Spd	1	1	99		15	-2
81	Protection	1	1	99		19	-2
82	Element Res	1	1	99		20	-2
83	Potential	1	1	99		22	-2
84	Eating	1	1	99		25	-2
85	Constitution	1	1	99		29	-2
86	Gas Res	1	1	99		31	-2
87	团队之星	1	1	99		35	-2
88	Normal Up	1	1	99		37	-2
89	Tremor Res	1	1	99		38	-2
90	Resilience	1	1	99		39	-2
91	Hormone	1	1	99		40	-2
92	Sleep	1	1	99		42	-2
93	Sense	1	1	99		43	-2
94	Guard B.	1	1	99		45	-2
95	Stam Recov	1	1	99		47	-2
96	Para C+	1	1	99		49	-2
97	Guts	1	1	99		50	-2
98	Challenger	1	1	99		51	-2
99	Anti-Bacterial	1	1	99		52	-2
100	Mud/Snow	1	1	99		55	-2
101	Wind Res	1	1	99		57	-2
102	贯通强化	1	1	99		63	-2
103	Ambush	1	1	99		64	-2
104	毒抗性	1	1	99		65	-2
105	Poison C+	1	1	99		66	-2
106	Spread Shot Up	1	1	99		70	-2
107	Ele.Atk up	1	1	99		16	-2
108	Destroyer	1	1	99		21	-2
109	Fencing	1	1	99		24	-2
110	Tenderizer	1	1	99		26	-2
111	贯通弹解放	1	1	99		27	-2
112	Pellet S+	1	1	99		30	-2
113	Status	1	1	99		33	-2
114	Crag S+	1	1	99		34	-2
115	Earplugs	1	1	99		44	-2
116	Fire Atk	1	1	99		46	-2
117	Evade Dis	1	1	99		48	-2
118	填装术	1	1	99		53	-2
119	Survivor	1	1	99		54	-2
120	StaminaDwn	1	1	99		58	-2
121	Desperation	1	1	99		59	-2
122	Eagle-Eyed	1	1	99		60	-2
123	Wide-Range	1	1	99		61	-2
124	Sharpness	1	1	99		67	-2
125	Cold Res	1	1	99		68	-2
126	Water Atk	1	1	99		71	-2
127	Thunder Atk	1	1	99		72	-2
128	Ice Atk	1	1	99		73	-2
129	Attack	2	1	99		1	1
130	Crit Eye	2	1	99		3	1
131	Spd Eating	2	1	99		5	1
132	Carving	2	1	99		10	1
133	Health	2	1	99		12	1
134	Recov Spd	2	1	99		15	1
135	Protection	2	1	99		19	1
136	Element Res	2	1	99		20	1
137	Potential	2	1	99		22	1
138	Eating	2	1	99		25	1
139	Constitution	2	1	99		29	1
140	Gas Res	2	1	99		31	1
141	团队之星	2	1	99		35	1
142	Normal Up	2	1	99		37	1
143	Tremor Res	2	1	99		38	1
144	Resilience	2	1	99		39	1
145	Hormone	2	1	99		40	1
146	Sleep	2	1	99		42	1
147	Sense	2	1	99		43	1
148	Guard B.	2	1	99		45	1
149	Stam Recov	2	1	99		47	1
150	Para C+	2	1	99		49	1
151	Guts	2	1	99		50	1
152	Challenger	2	1	99		51	1
153	Anti-Bacterial	2	1	99		52	1
154	Mud/Snow	2	1	99		55	1
155	Wind Res	2	1	99		57	1
156	贯通强化	2	1	99		63	1
157	Ambush	2	1	99		64	1
158	毒抗性	2	1	99		65	1
159	Poison C+	2	1	99		66	1
160	Spread Shot Up	2	1	99		70	1
161	Attack	3	1	99		1	2
162	Crit Eye	3	1	99		3	2
163	Spd Eating	3	1	99		5	2
164	Carving	3	1	99		10	2
165	Health	3	1	99		12	2
166	Recov Spd	3	1	99		15	2
167	Protection	3	1	99		19	2
168	Element Res	3	1	99		20	2
169	Potential	3	1	99		22	2
170	Eating	3	1	99		25	2
171	Constitution	3	1	99		29	2
172	Gas Res	3	1	99		31	2
173	团队之星	3	1	99		35	2
174	Normal Up	3	1	99		37	2
175	Tremor Res	3	1	99		38	2
176	Resilience	3	1	99		39	2
177	Hormone	3	1	99		40	2
178	Sleep	3	1	99		42	2
179	Sense	3	1	99		43	2
180	Guard B.	3	1	99		45	2
181	Stam Recov	3	1	99		47	2
182	Para C+	3	1	99		49	2
183	Guts	3	1	99		50	2
184	Challenger	3	1	99		51	2
185	Anti-Bacterial	3	1	99		52	2
186	Mud/Snow	3	1	99		55	2
187	Wind Res	3	1	99		57	2
188	贯通强化	3	1	99		63	2
189	Ambush	3	1	99		64	2
190	毒抗性	3	1	99		65	2
191	Poison C+	3	1	99		66	2
192	Spread Shot Up	3	1	99		70	2
193	Ele.Atk up	4	1	99		16	1
194	Destroyer	4	1	99		21	1
195	Fencing	4	1	99		24	1
196	Tenderizer	4	1	99		26	1
197	贯通弹解放	4	1	99		27	1
198	Pellet S+	4	1	99		30	1
199	Status	4	1	99		33	1
200	Crag S+	4	1	99		34	1
201	Earplugs	4	1	99		44	1
202	Fire Atk	4	1	99		46	1
203	Evade Dis	4	1	99		48	1
204	填装术	4	1	99		53	1
205	Survivor	4	1	99		54	1
206	StaminaDwn	4	1	99		58	1
207	Desperation	4	1	99		59	1
208	Eagle-Eyed	4	1	99		60	1
209	Wide-Range	4	1	99		61	1
210	Sharpness	4	1	99		67	1
211	Cold Res	4	1	99		68	1
212	Water Atk	4	1	99		71	1
213	Thunder Atk	4	1	99		72	1
214	Ice Atk	4	1	99		73	1
215	Ele.Atk up	5	1	99		16	2
216	Destroyer	5	1	99		21	2
217	Fencing	5	1	99		24	2
218	Tenderizer	5	1	99		26	2
219	贯通弹解放	5	1	99		27	2
220	Pellet S+	5	1	99		30	2
221	Status	5	1	99		33	2
222	Crag S+	5	1	99		34	2
223	Earplugs	5	1	99		44	2
224	Fire Atk	5	1	99		46	2
225	Evade Dis	5	1	99		48	2
226	填装术	5	1	99		53	2
227	Survivor	5	1	99		54	2
228	StaminaDwn	5	1	99		58	2
229	Desperation	5	1	99		59	2
230	Eagle-Eyed	5	1	99		60	2
231	Wide-Range	5	1	99		61	2
232	Sharpness	5	1	99		67	2
233	Cold Res	5	1	99		68	2
234	Water Atk	5	1	99		71	2
235	Thunder Atk	5	1	99		72	2
236	Ice Atk	5	1	99		73	2
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸花费
精铸次数	金钱花费	点券花费
1	1000	0
2	1000	0
3	1000	0
4	1000	0
5	1000	0
6	1000	0
7	2000	0
8	3000	0
9	4000	0
10	5000	0
11	6000	0
12	7000	0
13	8000	0
14	9000	0
15	10000	0
16	11000	0
17	12000	0
18	13000	0
19	14000	0
20	15000	0
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸花费系数
等级	系数
1	100
2	100
3	100
4	100
5	100
6	100
7	100
8	100
9	100
10	100
11	100
12	100
13	100
14	100
15	100
16	100
17	100
18	100
19	100
20	100
21	100
22	100
23	100
24	100
25	100
26	100
27	100
28	100
29	100
30	100
31	100
32	100
33	100
34	100
35	100
36	100
37	100
38	100
39	100
40	100
41	100
42	100
43	100
44	100
45	100
46	100
47	100
48	100
49	100
50	100
51	100
52	100
53	100
54	100
55	100
56	100
57	100
58	100
59	100
60	100
61	100
62	100
63	100
64	100
65	100
66	100
67	100
68	100
69	100
70	100
71	100
72	100
73	100
74	100
75	100
76	100
77	100
78	100
79	100
80	100
81	100
82	100
83	100
84	100
#============End of sheet============

#============Begin of sheet============
@Sheet=锁定花费
锁定属性条数	点券花费
1	10
2	100
#============End of sheet=======
