#TSV
#============Begin of sheet============
@Sheet=宠物装备打造
配方ID	配方名称	装备系列	搜索关键字	NpcID	UnlockLevelID	配方类型	锻造代币ID	锻造代币抵扣金额	锻造代币使用上限	装备类型	打造种类	使用等级	使用星级	远近类型	生成物品1ID	生成数量1	生成率1	生成物品2ID	生成数量2	生成率2	副产物ID	副产数量	副产生成率	消耗金钱	原料1ID	数量1	原料2ID	数量2	原料3ID	数量3	原料4ID	数量4	原料5ID	数量5	原料6ID	数量6	原料7ID	数量7	原料8ID	数量8	原料9ID	数量9	原料10ID	数量10
9099	尉官喵斗气甲·改					2				3	4	4	1	1	91061	1	100							24000	21420	8	4848	2																
9100	剑客喵护身盔·改					2				2	6	4	3	1	91062	1	100							24000	21420	8	4848	2																
9101	剑客喵护身甲·改					2				3	6	4	3	1	91063	1	100							24000	21420	8	4848	2																
9102	骁将喵斗气盔·改					2				2	4	4	1	1	91064	1	100							26000	21420	8	4848	2																
9103	骁将喵斗气甲·改					2				3	4	4	1	1	91065	1	100							26000	21420	8	4848	2																
9104	师范代喵护身盔·改					2				2	6	4	3	1	91066	1	100							26000	21420	8	4848	2																
9105	师范代喵护身甲·改					2				3	6	4	3	1	91067	1	100							26000	21420	8	4848	2																
9106	军团长喵斗气盔·改					2				2	4	4	1	1	91068	1	100							28000	21420	8	4848	2																
9107	军团长喵斗气甲·改					2				3	4	4	1	1	91069	1	100							28000	21420	8	4848	2																
9108	师匠喵护身盔·改					2				2	6	4	3	1	91070	1	100							28000	21420	8	4848	2																
9109	师匠喵护身甲·改					2				3	6	4	3	1	91071	1	100							28000	21420	8	4848	2																
9110	村丁喵斗气盔·极					2				2	1	5	1	1	91072	1	100							30000	21420	8	4848	2																
9111	村丁喵护身盔·极					2				2	1	5	3	1	91073	1	100							30000	21420	8	4848	2																
9112	村丁喵斗气甲·极					2				3	1	5	1	1	91074	1	100							30000	21420	8	4848	2																
9113	村丁喵护身甲·极					2				3	1	5	3	1	91075	1	100							30000	21420	8	4848	2																
#============End of sheet============

#============Begin of sheet============
@Sheet=装备打造
配方ID	FeatureTags	配方名称	搜索关键字	NpcID	UnlockLevelID	配方类型	锻造代币ID	锻造代币抵扣金额	锻造代币使用上限	装备类型	打造种类	使用等级	使用星级	远近类型	生成物品1ID	生成数量1	生成率1	生成物品2ID	生成数量2	生成率2	副产物ID	副产数量	副产生成率	消耗金钱	原料1ID	数量1	原料2ID	数量2	原料3ID	数量3	原料4ID	数量4	原料5ID	数量5	原料6ID	数量6	原料7ID	数量7	原料8ID	数量8	原料9ID	数量9	原料10ID	数量10	类型素材1	类型素材点数1	类型素材2	类型素材点数2	类型素材3	类型素材点数3	类型素材4	类型素材点数4	类型素材5	类型素材点数5	类型素材6	类型素材点数6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
70013		龙光镭射双刀·S				1	0	0	0	2	1	1	0	1	413063	1	100							0	3454	4																																																
70014		龙光魔晶炮·S				1	0	0	0	2	1	1	0	1	413023	1	100							0	3454	4																																																
70015		辉光骑士剑·S				1	0	0	0	2	1	1	0	1	413843	1	100							0	3454	4																																																
70016		辉光离子炮·S				1	0	0	0	2	1	1	0	1	413873	1	100							0	3454	4																																																
70017		龙光魔晶长枪·S				1	0	0	0	2	1	1	0	1	412083	1	100							0	3454	4																																																
70018		龙光魔晶片手·S				1	0	0	0	2	1	1	0	1	411043	1	100							0	3454	4																																																
70019		龙光魔晶太刀·S				1	0	0	0	2	1	1	0	1	411033	1	100							0	3454	4																																																
70020		龙光魔晶双刀·S				1	0	0	0	2	1	1	0	1	411063	1	100							0	3454	4																																																
70021		鬼魅符文笔·S				1	0	0	0	2	1	1	0	1	403813	1	100							0	2695	3	2885	16																																														
70022		超电导弩炮·S				1	0	0	0	2	1	1	0	1	402823	1	100							0	2696	3	2885	16																																														
70023		铁血军刀·S				1	0	0	0	2	1	1	0	1	403433	1	100							0	2694	3	2885	16																																														
70024		皇家刺剑·S				1	0	0	0	2	1	1	0	1	402643	1	100							0	2693	3	2885	16																																														
70025		鬼魅炼金釜·S				1	0	0	0	2	1	1	0	1	403853	1	100							0	2697	3	2885	16																																														
70026		浪漫雪铲·S				1	0	0	0	2	1	1	0	1	403263	1	100							0	2699	3	2885	16																																														
70027		爱神之弓·S				1	0	0	0	2	1	1	0	1	403703	1	100							0	2698	3	2885	16																																														
70028		红鼓金锣铳·S				1	0	0	0	2	1	1	0	1	402073	1	100							0	2881	3	2885	16																																														
70029		大侦探之笛·S				1	0	0	0	2	1	1	0	1	403093	1	100							0	2700	3	2885	16																																														
70140		龙泉笛·S				1	0	0	0	2	1	1	0	1	437893	1	100							0	2700	4	2885	20																																														
70141		昊天罔极·S				1	0	0	0	2	1	1	0	1	437803	1	100							0	2698	4	2885	20																																														
70030		麒麟角.雷光				1	0	0	0	2	10	1	0	1	796613	1	100							0	796311	1	2690	16																																														
70031		月下雷鸣(头部)				1	0	0	0	2	10	1	0	1	795213	1	100							0	2690	13	2689	25	2688	17																																												
70032		月下雷鸣(腕部)				1	0	0	0	2	11	1	0	1	795223	1	100							0	2690	13	2689	25	2688	17																																												
70033		月下雷鸣(胸部)				1	0	0	0	2	12	1	0	1	795233	1	100							0	2690	13	2689	25	2688	17																																												
70034		月下雷鸣(腰部)				1	0	0	0	2	13	1	0	1	795243	1	100							0	2690	13	2689	25	2688	17																																												
70035		月下雷鸣(腿部)				1	0	0	0	2	14	1	0	1	795253	1	100							0	2690	13	2689	25	2688	17																																												
70036		喧哗浪人·樱(头部)				1	0	0	0	2	10	1	0	1	795313	1	100							0	2690	13	2689	25	2688	17																																												
70037		喧哗浪人·樱(腕部)				1	0	0	0	2	11	1	0	1	795323	1	100							0	2690	13	2689	25	2688	17																																												
70038		喧哗浪人·樱(胸部)				1	0	0	0	2	12	1	0	1	795333	1	100							0	2690	13	2689	25	2688	17																																												
70039		喧哗浪人·樱(腰部)				1	0	0	0	2	13	1	0	1	795343	1	100							0	2690	13	2689	25	2688	17																																												
70040		喧哗浪人·樱(腿部)				1	0	0	0	2	14	1	0	1	795353	1	100							0	2690	13	2689	25	2688	17																																												
70041		冰封雪人(头部)				1	0	0	0	2	10	1	0	1	784613	1	100							0	2690	13	2689	25	2688	17																																												
70042		冰封雪人(腕部)				1	0	0	0	2	11	1	0	1	784623	1	100							0	2690	13	2689	25	2688	17																																												
70043		冰封雪人(胸部)				1	0	0	0	2	12	1	0	1	784633	1	100							0	2690	13	2689	25	2688	17																																												
70044		冰封雪人(腰部)				1	0	0	0	2	13	1	0	1	784643	1	100							0	2690	13	2689	25	2688	17																																												
70045		冰封雪人(腿部)				1	0	0	0	2	14	1	0	1	784653	1	100							0	2690	13	2689	25	2688	17																																												
70046		幽灵忍者(头部)				1	0	0	0	2	10	1	0	1	783513	1	100							0	2690	13	2689	25	2688	17																																												
70047		幽灵忍者(腕部)				1	0	0	0	2	11	1	0	1	783523	1	100							0	2690	13	2689	25	2688	17																																												
70048		幽灵忍者(胸部)				1	0	0	0	2	12	1	0	1	783533	1	100							0	2690	13	2689	25	2688	17																																												
70049		幽灵忍者(腰部)				1	0	0	0	2	13	1	0	1	783543	1	100							0	2690	13	2689	25	2688	17																																												
70050		幽灵忍者(腿部)				1	0	0	0	2	14	1	0	1	783553	1	100							0	2690	13	2689	25	2688	17																																												
70051		诡影巫师(头部)				1	0	0	0	2	10	1	0	1	782413	1	100							0	2690	13	2689	25	2688	17																																												
70052		诡影巫师(腕部)				1	0	0	0	2	11	1	0	1	782423	1	100							0	2690	13	2689	25	2688	17																																												
70053		诡影巫师(胸部)				1	0	0	0	2	12	1	0	1	782433	1	100							0	2690	13	2689	25	2688	17																																												
70054		诡影巫师(腰部)				1	0	0	0	2	13	1	0	1	782443	1	100							0	2690	13	2689	25	2688	17																																												
70055		诡影巫师(腿部)				1	0	0	0	2	14	1	0	1	782453	1	100							0	2690	13	2689	25	2688	17																																												
70056		强袭钢魂(头部)				1	0	0	0	2	10	1	0	1	779213	1	100							0	2690	16	2689	30	2688	20																																												
70057		强袭钢魂(腕部)				1	0	0	0	2	11	1	0	1	779223	1	100							0	2690	16	2689	30	2688	20																																												
70058		强袭钢魂(胸部)				1	0	0	0	2	12	1	0	1	779233	1	100							0	2690	16	2689	30	2688	20																																												
70059		强袭钢魂(腰部)				1	0	0	0	2	13	1	0	1	779243	1	100							0	2690	16	2689	30	2688	20																																												
70060		强袭钢魂(腿部)				1	0	0	0	2	14	1	0	1	779253	1	100							0	2690	16	2689	30	2688	20																																												
70061		影武忍者(头部)				1	0	0	0	2	10	1	0	1	777413	1	100							0	2690	13	2689	25	2688	17																																												
70062		影武忍者(腕部)				1	0	0	0	2	11	1	0	1	777423	1	100							0	2690	13	2689	25	2688	17																																												
70063		影武忍者(胸部)				1	0	0	0	2	12	1	0	1	777433	1	100							0	2690	13	2689	25	2688	17																																												
70064		影武忍者(腰部)				1	0	0	0	2	13	1	0	1	777443	1	100							0	2690	13	2689	25	2688	17																																												
70065		影武忍者(腿部)				1	0	0	0	2	14	1	0	1	777453	1	100							0	2690	13	2689	25	2688	17																																												
70066		日冕圣甲(头部)				1	0	0	0	2	10	1	0	1	777313	1	100							0	2690	20	2689	39	2688	26																																												
70067		日冕圣甲(腕部)				1	0	0	0	2	11	1	0	1	777323	1	100							0	2690	20	2689	39	2688	26																																												
70068		日冕圣甲(胸部)				1	0	0	0	2	12	1	0	1	777333	1	100							0	2690	20	2689	39	2688	26																																												
70069		日冕圣甲(腰部)				1	0	0	0	2	13	1	0	1	777343	1	100							0	2690	20	2689	39	2688	26																																												
70070		日冕圣甲(腿部)				1	0	0	0	2	14	1	0	1	777353	1	100							0	2690	20	2689	39	2688	26																																												
70071		恶魔猎手(头部)				1	0	0	0	2	10	1	0	1	764313	1	100							0	2690	13	2689	28	2688	16																																												
70072		恶魔猎手(腕部)				1	0	0	0	2	11	1	0	1	764323	1	100							0	2690	10	2689	18	2688	12																																												
70073		恶魔猎手(胸部)				1	0	0	0	2	12	1	0	1	764333	1	100							0	2690	25	2689	46	2688	32																																												
70074		恶魔猎手(腰部)				1	0	0	0	2	13	1	0	1	764343	1	100							0	2690	10	2689	18	2688	13																																												
70075		恶魔猎手(腿部)				1	0	0	0	2	14	1	0	1	764353	1	100							0	2690	22	2689	40	2688	27																																												
70076		雪晶霓裳(头部)				1	0	0	0	2	10	1	0	1	764013	1	100							0	2690	16	2689	30	2688	20																																												
70077		雪晶霓裳(腕部)				1	0	0	0	2	11	1	0	1	764023	1	100							0	2690	16	2689	30	2688	20																																												
70078		雪晶霓裳(胸部)				1	0	0	0	2	12	1	0	1	764033	1	100							0	2690	16	2689	30	2688	20																																												
70079		雪晶霓裳(腰部)				1	0	0	0	2	13	1	0	1	764043	1	100							0	2690	16	2689	30	2688	20																																												
70080		雪晶霓裳(腿部)				1	0	0	0	2	14	1	0	1	764053	1	100							0	2690	16	2689	30	2688	20																																												
70081		兽王金箍				1	0	0	0	2	10	1	0	1	765311	1	100							0	2689	5	2688	5																																														
70082		谜之龙蛋				1	0	0	0	2	10	1	0	1	773111	1	100							0	2689	5	2688	5																																														
70083		神秘符咒				1	0	0	0	2	10	1	0	1	773211	1	100							0	2689	5	2688	5																																														
70084		超级火锅				1	0	0	0	2	10	1	0	1	771011	1	100							0	2689	5	2688	5																																														
70085		深潜头盔				1	0	0	0	2	10	1	0	1	771111	1	100							0	2689	5	2688	5																																														
70086		条纹眼镜				1	0	0	0	2	10	1	0	1	771411	1	100							0	2689	5	2688	5																																														
70087		圆框眼镜				1	0	0	0	2	10	1	0	1	772111	1	100							0	2689	5	2688	5																																														
70088		火烈鸟墨镜				1	0	0	0	2	10	1	0	1	771611	1	100							0	2689	5	2688	5																																														
70089		众神之主·庆典（随机）				1	0	0	0	2	15	1	0	1	2595	1	100							0	2690	6	2689	13	2688	12																																												
70090		炫动歌灵·庆典（随机）				1	0	0	0	2	15	1	0	1	2596	1	100							0	2690	6	2689	13	2688	12																																												
70091		蔷薇骑士·庆典（随机）				1	0	0	0	2	15	1	0	1	2597	1	100							0	2690	6	2689	13	2688	12																																												
70092		云游武僧·庆典（随机）				1	0	0	0	2	15	1	0	1	2598	1	100							0	2690	6	2689	13	2688	12																																												
70093		爆裂钢魂·黄金（随机）				1	0	0	0	2	15	1	0	1	2599	1	100							0	2690	6	2689	13	2688	12																																												
70094		幻色瓶				1	0	0	0	2	15	1	0	1	40204	1	100							0	2688	2																																																
70095		狩猎部·魂(头部)				1	0	0	0	2	10	1	0	1	764213	1	100							0	3233	5																																																
70096		狩猎部·魂(腕部)				1	0	0	0	2	11	1	0	1	764223	1	100							0	3233	5																																																
70097		狩猎部·魂(胸部)				1	0	0	0	2	12	1	0	1	764233	1	100							0	3233	10																																																
70098		狩猎部·魂(腰部)				1	0	0	0	2	13	1	0	1	764243	1	100							0	3233	10																																																
70099		狩猎部·魂(腿部)				1	0	0	0	2	14	1	0	1	764253	1	100							0	3233	15																																																
70100		甲虫头盔				1	0	0	0	2	10	1	0	1	760413	1	100							50000	21096	200																																																
70101		甲虫腕甲				1	0	0	0	2	11	1	0	1	760423	1	100							50000	21096	200																																																
70102		甲虫铠甲				1	0	0	0	2	12	1	0	1	760433	1	100							50000	21096	200																																																
70103		甲虫腰甲				1	0	0	0	2	13	1	0	1	760443	1	100							50000	21096	200																																																
70104		甲虫重靴				1	0	0	0	2	14	1	0	1	760453	1	100							50000	21096	200																																																
70105		甲虫战帽				1	0	0	0	2	10	1	0	1	760463	1	100							50000	21096	200																																																
70106		甲虫护手				1	0	0	0	2	11	1	0	1	760473	1	100							50000	21096	200																																																
70107		甲虫链甲				1	0	0	0	2	12	1	0	1	760483	1	100							50000	21096	200																																																
70108		甲虫裙甲				1	0	0	0	2	13	1	0	1	760493	1	100							50000	21096	200																																																
70109		甲虫轻靴				1	0	0	0	2	14	1	0	1	760503	1	100							50000	21096	200																																																
70110		赤甲虫头盔				1	0	0	0	2	10	1	0	1	760813	1	100							50000	21096	200																																																
70111		赤甲虫腕甲				1	0	0	0	2	11	1	0	1	760823	1	100							50000	21096	200																																																
70112		赤甲虫铠甲				1	0	0	0	2	12	1	0	1	760833	1	100							50000	21096	200																																																
70113		赤甲虫腰甲				1	0	0	0	2	13	1	0	1	760843	1	100							50000	21096	200																																																
70114		赤甲虫重靴				1	0	0	0	2	14	1	0	1	760853	1	100							50000	21096	200																																																
70115		赤甲虫战帽				1	0	0	0	2	10	1	0	1	760863	1	100							50000	21096	200																																																
70116		赤甲虫护手				1	0	0	0	2	11	1	0	1	760873	1	100							50000	21096	200																																																
70117		赤甲虫链甲				1	0	0	0	2	12	1	0	1	760883	1	100							50000	21096	200																																																
70118		赤甲虫裙甲				1	0	0	0	2	13	1	0	1	760893	1	100							50000	21096	200																																																
70119		赤甲虫轻靴				1	0	0	0	2	14	1	0	1	760903	1	100							50000	21096	200																																																
70120		以柔制刚(头部)				1	0	0	0	2	10	1	0	1	800413	1	100							0	2690	13	2689	25	2688	17																																												
70121		以柔制刚(腕部)				1	0	0	0	2	11	1	0	1	800423	1	100							0	2690	13	2689	25	2688	17																																												
70122		以柔制刚(胸部)				1	0	0	0	2	12	1	0	1	800433	1	100							0	2690	13	2689	25	2688	17																																												
70123		以柔制刚(腰部)				1	0	0	0	2	13	1	0	1	800443	1	100							0	2690	13	2689	25	2688	17																																												
70124		以柔制刚(腿部)				1	0	0	0	2	14	1	0	1	800453	1	100							0	2690	13	2689	25	2688	17																																												
70125		占星师(头部)				1	0	0	0	2	10	1	0	1	800513	1	100							0	2690	13	2689	25	2688	17																																												
70126		占星师(腕部)				1	0	0	0	2	11	1	0	1	800523	1	100							0	2690	13	2689	25	2688	17																																												
70127		占星师(胸部)				1	0	0	0	2	12	1	0	1	800533	1	100							0	2690	13	2689	25	2688	17																																												
70128		占星师(腰部)				1	0	0	0	2	13	1	0	1	800543	1	100							0	2690	13	2689	25	2688	17																																												
70129		占星师(腿部)				1	0	0	0	2	14	1	0	1	800553	1	100							0	2690	13	2689	25	2688	17																																												
70130		天秤十字军刀·S				1	0	0	0	2	1	1	0	1	417433	1	100							0	417233	1	10610	2	10611	1																																												
70131		天蝎猩红毒针·S				1	0	0	0	2	1	1	0	1	419283	1	100							0	419083	1	10610	2	10611	1																																												
70132		射手神域金矢·S				1	0	0	0	2	1	1	0	1	420103	1	100							0	419903	1	10610	2	10611	1																																												
70133		摩羯黄金圣剑·S				1	0	0	0	2	1	1	0	1	422613	1	100							0	422413	1	10610	2	10611	1																																												
70134		水瓶黄金弩·S				1	0	0	0	2	1	1	0	1	423823	1	100							0	423623	1	10610	2	10611	1																																												
70135		双鱼座黄金战刃·S				1	0	0	0	2	1	1	0	1	425663	1	100							0	425463	1	10610	2	10611	1																																												
70136		白羊星光灭绝·S				1	0	0	0	2	1	1	0	1	427653	1	100							0	427453	1	10610	2	10611	1																																												
70137		金牛黄金铳·S				1	0	0	0	2	1	1	0	1	429673	1	100							0	429473	1	10610	2	10611	1																																												
70138		双子黄金秘剑·S				1	0	0	0	2	1	1	0	1	430643	1	100							0	430443	1	10610	2	10611	1																																												
70142		阿修罗火系战袍(头部)				1	0	0	0	2	10	1	0	1	807013	1	100							0	2690	30	2689	49	2688	36																																												
70143		阿修罗火系战袍(腕部)				1	0	0	0	2	11	1	0	1	807023	1	100							0	2690	30	2689	49	2688	36																																												
70144		阿修罗火系战袍(胸部)				1	0	0	0	2	12	1	0	1	807033	1	100							0	2690	30	2689	49	2688	36																																												
70145		阿修罗火系战袍(腰部)				1	0	0	0	2	13	1	0	1	807043	1	100							0	2690	30	2689	49	2688	36																																												
70146		阿修罗火系战袍(腿部)				1	0	0	0	2	14	1	0	1	807053	1	100							0	2690	30	2689	49	2688	36																																												
31001		晓风弩炮				1				0	6	1	1	1	51011	1	100							50																					5	15											21474	2	10															
39001		晓风弓				1				0	5	1	1	1	59011	1	100							50																					5	15											21474	2	10															
36001		晓风竹铳				1				0	8	1	1	1	58001	1	100							50																					5	15											21474	2	10															
34001		晓风大锤				1				0	20	1	1	1	54011	1	100							50																					5	15											21474	2	10															
30001		晓风大剑				1				0	3	1	1	1	50011	1	100							50																					5	15											21474	2	10															
35001		晓风双剑				1				0	4	1	1	1	55011	1	100							50																					5	15											21474	2	10															
32001		晓风太刀				1				0	2	1	1	1	52011	1	100							50																					5	15											21474	2	10															
37001		晓风之枪				1				0	7	1	1	1	57001	1	100							50																					5	15											21474	2	10															
38001		晓风竹笛				1				0	9	1	1	1	56001	1	100							50																					5	15											21474	2	10															
33001		晓风短剑				1				0	1	1	1	1	53011	1	100							50																					5	15											21474	2	10															
36002		铁铸铳枪				1				0	8	1	1	1	58006	1	100							50																					5	15											21474	2	10															
34002		铁铸大锤				1				0	20	1	1	1	54016	1	100							50																					5	15											21474	2	10															
30002		铁铸大剑				1				0	3	1	1	1	50016	1	100							50																					5	15											21474	2	10															
