#TSV
#============Begin of sheet============
@Sheet=系统提示
提示ID	提示内容	提示位置1	信息颜色1	提示位置2	信息颜色2	提示位置3	信息颜色3	提示位置4	信息颜色4	提示位置5	信息颜色5	对应icon
7642	Go to Area 5	1	1									
7643	Defeat Genprey	1	1									
7644	Go to Area 9	1	1									
7645	Defeat Cephalos	1	1									
7646	Defeat Gendrome	1	1									
7647	Go to Area 10	1	1									
7648	Go to Area 9 and break the rock	1	1									
7649	Gather Sour Fruit	1	1									
7650	Sour Fruit Lily gathered	1	1									
7651	Defeat Melynx in Area 5,Area6	1	1									
7652	Go to Area 4	1	1									
7653	Defeat Melynx and destory the thief group	1	1									
7654	Get water ball from supply box and go to Area 3	1	1									
7655	Throw Water Balls on Shakalakas' gunpowder barrel	1	1									
7656	Hunt Genprey in Area 7	1	1									
7657	Hunt all Genpreys	1	1									
7658	Go to Area 7	1	1									
7659	Collect parts	1	1									
7660	Find the remaining parts in Cephalos	1	1									
7661	Go to Area 3	1	1									
7662	Training will fail if Lily has been attacked	1	1									
7663	Collect termites' nest	1	1									
7664	Collect termites' nest	1	1									
7665	Discover Rate	1	1									
7666	Campsite Rate	1	1									
7667	Defeat Rage Monsters	1	1									
7668	[Primary Quest]Give in Powder Rock	1	1									
7669	Defeat invaded monsters	1	1									
7670	Temporary quest failed	1	1									
7671	Temporary quest completed	1	1									
7672	Sensed a big monster	10	1									
7673	Big monster gone	10	1									
7674	Complete the minimum request,you can choose to return now	10	1									
7675	[Primary Quest]Hunt ant giant monster	1	1									
7676	[Primary Quest]Gain 1000 pts	1	1									
7677	Hunt leader	1	1									
7678	[Temporary Quest]Hunt 2 monsters' leader	1	1									
7679	Powder Rock exploded	10	1									
7680	You obtained Powder Rock	10	1									
7681	You obtained Ice Rock	10	1									
7682	Ah...Ice Rock	10	1									
7683	[Primary Quest]Give in Ice Rock	1	1									
7684	Use the detector to find the hide treasure	1	1									
7685	Dig over!	1	1									
7686	Felyne Theif appeared!	1	1									
7687	Hunt Rathian to find some clues.	1	1									
7688	Rahtlos sensed!	1	1									
7689	[Main Target]Defeat Rathian	1	1									
7690	Rathlos runned away!	1	1									
7691	Garuga is full of power!	10	1									
7692	Garuga is weak!	10	1									
7693	Garuga's scales are harder!	10	1									
7694	Garuga's scales are softer!	10	1									
7695	Garuga became energetic!	10	1									
7696	Garuga is leisure!	10	1									
7697	Monster defeated,dig time 5 secs added!	3	10									
7698	Time remaining	1	1									
7699	Give in the return ticket from supply box	1	1									
7700	Caravan Supply Felyne sended the supply	10	1									
7701	Supper remaining	1	1									
7702	Lit the Ult Firework and damaged the Nian hard!	3	10									
7703	The Fireworkyne appeared again!Beware its Firework!	3	8									
7704	Nyan!The new supply is sended!	3	10									
7705	Supper is taken!Drive away Nian!	3	8									
7706	Capture Dai Daimyo Ceanataur	1	1									
7707	You obtained Dragon's Treasure	10	1									
7708	Ah...Dragon's Treasure	10	1									
7709	Rescue Aptonoth in Area 10	1	1									
7710	Escort Aptonoth to camp	1	1									
7711	Drive away Genpreys	1	1									
7712	Aponoth Health	1	1									
7713	Hunt monsters	1	1									
7714	Hunt leader	1	1									
7715	Give in Dragon Scale Fruit	1	1									
7716	Give in Stone Iron Meteo	1	1									
7717	Give in Wargod Lucanidae	1	1									
7718	Gain 1000 pts	1	1									
7719	Give in Raw Element	1	1									
7720	Give in Powder Rock	1	1									
7721	Give in Ice Rock	1	1									
7722	Explore the Unknown Island	1	1									
7723	Give in Dragon's Treasure	1	1									
7724	Give in Adv Raw Element	1	1									
7725	Gain 3000 pts	1	1									
7726	Gain 5000 pts	1	1									
7727	Hunt Giant Monster	1	1									
7728	Give in Dragon's Treasure	1	1									
7729	Achieve 50 Discover Rate	1	1									
7730	Find the Truth in Area 3	1	1									
7731	Hunt Kut Ku	1	1									
7732	Check Area 4	1	1									
7733	Go to Area 6	1	1									
7734	Hunt Tigrex	1	1									
7735	Hunt Volcanic Monster	1	1									
7736	Kill Merphistophelin	1	1									
7737	Ticket has sent to Supply box	10	1									
7738	Mine and Exchange Ice Rock(s)	1	1									
7739	Mine Ice Rock(s) in Area 5	1	1									
7740	Turn in Ice Rock(s)	1	1									
7741	Hunt Slicemargl	1	1									
7742	Check Water Source in Area 6	1	1									
7743	Hunt Monoblos&White Monoblos	1	1									
7744	Hunt Monoblos&White Monoblos	1	1									
7745	Hunt White Monoblos	1	1									
7746	Check the Cannon in Area 1	1	1									
7747	Load the Rock into Cannon to Fire	1	1									
7748	Hunt Firefly	1	1									
7749	Fence Strength	1	1									
7750	Wall Strength	1	1									
7751	Wave of Monster Incoming	3	1									
7752	Lao Shan Lung Arrived!	3	1									
7753	Obtain Water Element Power	10	1									
7754	Obtain Fire Element Power	10	1									
7755	Obtain Lightning Element Power	10	1									
7756	Obtain Dragon Element Power	10	1									
7757	Obtain Ice Element Power	10	1									
7758	Obtain Poison Status Power	10	1									
7759	Obtain Sleep Status Power	10	1									
7760	Obtain Paralysis Status Power	10	1									
7761	Oxygen	3	10	1	1							
7762	Resource Point Not Enough	3	10	1	1							
7763	Ballistic Upgraded	3	10	1	1							
7764	Yama Tsukami is Starting Distributed Abnormal Gas!	1	1									
7765	The Abnormal Gas has Filled the Area! Hunters will Suffocate!	1	1									
7766	Yama Tsukami Fell!	1	1									
7767	The Gas has Dissipated!	1	1									
7768	The Competition Start in 20sec!	1	1									
7769	Apply for Commander Role	1	1									
7770	{人物名称} became the Commander	3	10									
7771	{人物名称} no longer the Commander	3	10									
7772	Resources has been Delivered	10	1									
7773	Commander has Summoned a Glider Wing	10	1									
7774	Commander has started the DragonLance	10	1									
7775	Commander is encouraging everyone!	10	1									
7776	Commander restore everyone's life!	10	1									
7777	{人物名称} has been denied to become a Commander	3	10									
7778	Collect the resource near Lily, and turn in	1	1									
7779	Talk to Bubble as commander	1	1									
7780	Talk to Bubble as commander, and use command to build ballistic	1	1									
7781	Collect ballistic bolt near by	1	1									
7782	Not available yet	3	10									
7783	Carved a large materal	10	1									
7784	Ah.. Material is scattered	10	1									
7785	Dragonlance is ready	10	1									
7786	Danger, please change the direction of the glider	10	1									
7787	Bomb	1	1									
7788	Use ballistic to shoot straw at Caeserber	1	1									
7789	Accept 艾琳's Invitation, learn wing glide from her	1	1									
7790	Can hunt as many monster as you like after payment	1	1									
7791	Skin Lao Shan Lung	1	1									
7792	Stop monster from fleeing	1	1									
7793	Kill Lao Shan Lung	1	1									
7794	One slip is enough	10	1									
#============End of sheet============

