#TSV
#============Begin of sheet============
@Sheet=人物普通buff10~12
10022	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-20								buff19		速度降低								
10023	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-30								buff19		速度降低								
10024	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-40								buff19		速度降低								
10025	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff19		速度降低								
10026	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-60								buff19		速度降低								
10027	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-70								buff19		速度降低								
10028	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-80								buff19		速度降低								
10029	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-90								buff19		速度降低								
10030	减速		0					1000						时间更新,次数不变				10030	1		1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff19		速度降低								
10031	猛毒		0	毒				1500						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10032	中毒		0	毒				5000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10033	中毒		0	毒				5000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	15										buff12		你中毒了！								
10034	中毒		0	毒				5000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10035	猫车守护		1					600000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		猫车守护传递	6	3	10036	10037;10040	1	移除BUFF	10040				buff05			59		57		57			
10035	猫车守护		1					600000						时间更新,次数不变				10035	2		1	1	被击中造成伤害时			1				被伤害结果修饰	伤害	百分比修改	-100	60									伤害抵消								
10036	传递效果		1					600000						时间更新,次数不变				10035	3		1	1	被击中造成伤害时			1				被伤害结果修饰	伤害	百分比修改	-100	60							buff05		伤害抵消	59		57		57			
10037			1																			1																						58							
10038	韧性免伤		1					10000														1	被击中时	2		1				被伤害结果修饰	伤害	百分比修改	-25	60							buff05										
10039	韧性免伤		1					15000														1	被击中时	2		1				被伤害结果修饰	伤害	百分比修改	-50	60							buff05										
10040	猫车守护		1					600000						时间更新,次数不变							1	1	EOT触发	立即触发				1000																56							
10041	中毒		0	毒				10000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10042	中毒		0	毒				10000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10043	中毒		0	毒				10000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	15										buff12		你中毒了！								
10044	中毒		0	毒				10000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10045	守护		1					25000						时间更新,次数不变							1	1	被伤害结果修饰							被伤害结果修饰	伤害	百分比修改	-100	60							buff05										
10046	回复力上升（光环）		1					1500						时间更新,次数不变							1	1								人物属性修饰	CharRejuPer	百分比修改	100																		
10047	防御增加50%		1					15000						时间更新,次数不变				10047	1		1	1								人物属性修饰	CharDefence	百分比修改	50								buff05										
10048	防御增加30%		1					45000						时间更新,次数不变				10047	2		1	1								人物属性修饰	CharDefence	百分比修改	30								buff05										
10049	攻击增加50%		1					15000						时间更新,次数不变				10049	1		1	1								人物属性修饰	PlayerAtk	百分比修改	50								buff10										
10050	攻击增加25%		1					45000						时间更新,次数不变				10049	1		1	1								人物属性修饰	PlayerAtk	百分比修改	25								buff10										
10051	中毒		0	毒				15000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10052	中毒		0	毒				15000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10053	中毒		0	毒				15000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	15										buff12		你中毒了！								
10054	中毒		0	毒				15000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10055	血量上限提升10%		1					180000						时间更新,次数不变							1	1								人物属性修饰	CharMaxHP	百分比修改	10								buff15										
10056	耳栓		1					30000						时间更新,次数不变							1	1								免疫	免疫指定buff	60004									buff04										
10056	听觉遮蔽		1					30000						时间更新,次数不变							1	1								免疫	免疫指定buff	60012																			
10057	防御提升30%		1					10000						时间更新,次数不变							1	1								人物属性修饰	CharDefence	百分比修改	30																		
10058	风压免疫		1					30000						时间更新,次数不变							1	1								免疫	免疫状态	风压									buff65										
10059	减速		0					10000						时间更新,次数不变		1		10525	2		1	1								人物属性修饰	CharSpeed	百分比修改	-80								buff19		行动困难！	52;54;55							
10061	中毒		0	毒				20000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！	14							
10062	中毒		0	毒				20000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！	14							
10063	中毒		0	毒				20000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	15										buff12		你中毒了！	14							
10064	中毒		0	毒				20000						时间更新,次数叠加		5					1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！	14							
10070	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10071	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10072	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10073	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10074	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10075	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10076	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10077	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10078	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10079	中毒		0	毒				5000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10080	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10081	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10082	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10083	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10084	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10085	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10086	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10087	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10088	中毒		0	毒				10000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10089	中毒		0	毒				10000						时间更新,次数不变				10167	4		1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10090	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10091	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10092	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10093	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10094	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10095	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10096	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10097	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10098	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10099	中毒		0	毒				15000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10100	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10101	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10102	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10103	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10104	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10105	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10106	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10107	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10108	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10109	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10110	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！								
10111	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10112	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10113	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10114	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10115	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10116	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10117	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10118	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10119	中毒		0	毒				25000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10120	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12		你中毒了！	18							
10121	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	10										buff12		你中毒了！								
10122	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	20										buff12		你中毒了！								
10123	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	30										buff12		你中毒了！								
10124	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	40										buff12		你中毒了！								
10125	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	50										buff12		你中毒了！								
10126	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	60										buff12		你中毒了！								
10127	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！								
10128	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！								
10129	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	3										buff12		你中毒了！								
10131	燃烧		0	燃烧				5000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10132	燃烧		0	燃烧				5000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10133	燃烧		0	燃烧				5000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	15										buff13		你燃烧了！								
10134	燃烧		0	燃烧				5000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10141	燃烧		0	燃烧				10000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10142	燃烧		0	燃烧				10000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10143	燃烧		0	燃烧				10000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	15										buff13		你燃烧了！								
10144	燃烧		0	燃烧				10000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10151	燃烧		0	燃烧				15000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10152	燃烧		0	燃烧				15000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10153	燃烧		0	燃烧				15000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	15										buff13		你燃烧了！								
10154	燃烧		0	燃烧				15000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10161	燃烧		0	燃烧				20000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10162	燃烧		0	燃烧				20000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10163	燃烧		0	燃烧				20000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	15										buff13		你燃烧了！								
10164	燃烧		0	燃烧				20000						时间更新,次数叠加		5					1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10165	中毒		0	毒				30000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		区域范围内加友方buff	10167	2									buff93		你的毒雾会向周围扩散	17							
10166	麻痹气息		0			1405005		30000						时间更新,次数不变							1	1	被击中时							获得BUFF	60005										buff56		翻滚会触发体内麻痹毒素	19							
10166	麻痹气息		0			1405005		30000						时间更新,次数不变							1	1	翻滚							移除BUFF组	15000000																				
10166	麻痹气息		0			1405005		30000						时间更新,次数不变							1	1	翻滚							获得BUFF	60005																				
10167	中毒		0	毒				25000						时间更新,次数不变				10167	3		1	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff12		你中毒了！	18							
10170	燃烧		0	燃烧				3000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！	15							
10171	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10172	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10173	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	30										buff13		你燃烧了！								
10174	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	40										buff13		你燃烧了！								
10175	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	50										buff13		你燃烧了！								
10176	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	60										buff13		你燃烧了！								
10177	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	70										buff13		你燃烧了！								
10178	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	80										buff13		你燃烧了！								
10179	燃烧		0	燃烧				5000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	90										buff13		你燃烧了！								
10180	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10181	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10182	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10183	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	30										buff13		你燃烧了！								
10184	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	40										buff13		你燃烧了！								
10185	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	50										buff13		你燃烧了！								
10186	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	60										buff13		你燃烧了！								
10187	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	70										buff13		你燃烧了！								
10188	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	80										buff13		你燃烧了！								
10189	燃烧		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	90										buff13		你燃烧了！								
10190	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10191	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10192	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10193	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	30										buff13		你燃烧了！								
10194	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	40										buff13		你燃烧了！								
10195	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	50										buff13		你燃烧了！								
10196	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	60										buff13		你燃烧了！								
10197	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	70										buff13		你燃烧了！								
10198	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	80										buff13		你燃烧了！								
10199	燃烧		0	燃烧				15000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	90										buff13		你燃烧了！								
10200	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10201	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10202	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10203	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	30										buff13		你燃烧了！								
10204	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	40										buff13		你燃烧了！								
10205	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	50										buff13		你燃烧了！								
10206	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	60										buff13		你燃烧了！								
10207	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	70										buff13		你燃烧了！								
10208	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	80										buff13		你燃烧了！								
10209	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	90										buff13		你燃烧了！								
10210	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10211	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
10212	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	20										buff13		你燃烧了！								
10213	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	30										buff13		你燃烧了！								
10214	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	40										buff13		你燃烧了！								
10215	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	50										buff13		你燃烧了！								
10216	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	60										buff13		你燃烧了！								
10217	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	70										buff13		你燃烧了！								
10218	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	80										buff13		你燃烧了！								
10219	燃烧		0	燃烧				25000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	90										buff13		你燃烧了！								
10220	燃烧		0	燃烧				30000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff13		你燃烧了！								
10221	燃烧		0	燃烧				30000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	10										buff13		你燃烧了！								
