#TSV
#============Begin of sheet============
@Sheet=Phonetics
Text	Phonetics
PVP2长枪	pvp2cq
QQ会员升级礼包【LV10】	qqhysjlblv10
QQ会员升级礼包【LV15】	qqhysjlblv15
QQ会员升级礼包【LV20】	qqhysjlblv20
QQ会员升级礼包【LV25】	qqhysjlblv25
QQ会员升级礼包【LV30】	qqhysjlblv30
QQ会员升级礼包【LV35】	qqhysjlblv35
QQ会员升级礼包【LV40】	qqhysjlblv40
QQ会员升级礼包【LV5】	qqhysjlblv5
QQ会员激活礼包	qqhyjhlb
QQ会员限购礼包	qqhyxglb
QQ会员预约礼包	qqhyyylb
QQ浏览器专属礼包	qqllqzslb
QQ浏览器新手礼包	qqllqxslb
QQ浏览器特权礼包	qqllqtqlb
QQ网吧专属礼包	qqwbzslb
QQ网吧巅峰礼包	qqwbdflb
QQ网吧成长礼包	qqwbczlb
QQ网吧精品礼包	qqwbjplb
TGC专属礼包	tgczslb
TGC尊享白金礼包	tgczxbjlb
TGC活动礼包	tgchdlb
TGC特别定制头盔	tgctbdztk
TGC特别定制护甲	tgctbdzhj
TGC特殊兑换券	tgctsdhq
TGC礼包	tgclb
TGC豪华礼包	tgchhlb
TGP专属新手礼包	tgpzsxslb
TGP专属礼包	tgpzslb
TGP中级特权礼包	tgpzjtqlb
TGP初级特权礼包	tgpcjtqlb
TGP奇烈专属礼包	tgpqlzslb
TGP尊享体验礼包	tgpzxtylb
TGP新手礼包	tgpxslb
TGP新春见面礼包	tgpxcjmlb
TGP狩魂礼包	tgpshlb
TGP白金礼包	tgpbjlb
TGP钻石礼包	tgpzslb
TGP高级特权礼包	tgpgjtqlb
TGP黄金礼包	tgphjlb
VIP会员卡	viphyk
VIP会员卡(30天)	viphyk30t
VIP会员卡(360天)	viphyk360t
VIP会员卡(3天)	viphyk3t
VIP会员卡(7天)	viphyk7t
VIP会员卡(90天)	viphyk90t
VIP会员卡(感恩福利）	viphykgefl
VIP卡	vipk
VIP周礼包	vipzlb
VIP基础会员卡	vipjchyk
VIP成长券·伍	vipczqw
VIP成长券·叁	vipczqs
VIP成长券·壹	vipczqy
VIP成长券·肆	vipczqs
VIP成长券·贰	vipczqe
VIP月礼包	vipylb
VIP每日礼包	vipmrlb
ceshimiao	ceshimiao
ceshiya	ceshiya
ko珠	koz
ko珠【1】	koz1
ko珠【2】	koz2
ko珠【3】	koz3
review枪管	reviewqg
review腕甲	reviewwj
“无双”神锤	wssc
“比翼双飞”对戒	bysfdj
《怪物猎人OL设定集》限定特典	gwlrolsdjxdtd
『50年前的英雄』	50nqdyx
『不传之秘』	bczm
『他城物语』	tcwy
『传说中的猎人』	cszdlr
『公会创始录』	ghcsl
『响彻云端的丧钟』	xcyddsz
『唤龙笛』	hld
『商队的传统』	sddct
『噬火者』的奖励	shzdjl
『坏灭的历史』	hmdls
『大师』染色玉	dsrsy
『大师』缓释型生命粉尘	dshsxsmfc
『大师』麻痹陷阱	dsmbxj
『大狩猎祭』	dslj
『大陆的工匠』	dldgj
『天苍地樱』	tcdy
『奇面族的观察记录』	qmzdgcjl
『奇面王的地位』	qmwddw
『宝物』战神锹甲虫	bwzsqjc
『宝物』浓缩野生精华	bwnsysjh
『宝物』石铁陨石	bwstys
『宝物』野生精华	bwysjh
『宝物』龙鳞果	bwllg
『巨影守候者』的奖励	jyshzdjl
『巨影狩猎者』的奖励	jyslzdjl
『巨影观察者』的奖励	jygczdjl
『巨影追踪者』的奖励	jyzzzdjl
『平民与猎人』	pmylr
『幽林怪谈』	ylgt
『料理风情』	llfq
『旧王的遗迹』	jwdyj
『时代变迁』	sdbq
『星龙的传闻』	xldcw
『星龙的真相』	xldzx
『有关西撒』	ygxs
『未公开的秘闻1』	wgkdmw1
『未公开的秘闻2』	wgkdmw2
『未公开的秘闻3』	wgkdmw3
『梅杰波尔坦开拓记』	mjbetktj
『永在否定』	yzfd
『烤肉的奥秘』	krdam
『猎人公会感谢祭』	lrghgxj
『王立书士队』	wlssd
『王立猎团』	wllt
『王立骑士团』	wlqst
『米拉德村纪事』	mldcjs
『粉色的手账』	fsdsz
『精算』严选蘑菇	jsyxmg
『精算』圆滚滚的橡子	jsyggdxz
『精算』奇面族的宝藏	jsqmzdbz
『精算』特产蘑菇	jstcmg
『精算』猛犸的舌头	jsmmdst
『精算』电龙幼崽	jsdlyz
『精算』白眼锹形虫	jsbyqxc
『精算』白色的肝	jsbsdg
『精算』白金鱼	jsbjy
『精算』秘密的口袋	jsmmdkd
『精算』秘密背包	jsmmbb
『精算』精选蜂王浆	jsjxfwj
『精算』蜂王浆	jsfwj
『精算』蟹黄	jsxh
『精算』金色小石子	jsjsxsz
『精算』金色石块	jsjssk
『精算』金色石大块	jsjssdk
『精算』金色蟋蟀	jsjsxs
『精算』银色小石子	jsysxsz
『精算』银色蟋蟀	jsysxs
『精算』风信子	jsfxz
『精算』黄金石碎片	jshjssp
『精算』黄金鱼	jshjy
『精算』黍老伯的赠礼	jsslbdzl
『群星眷顾之龙·报告一』	qxjgzlbgy
『艾露一族』	alyz
『艾露诗人传奇』	alsrcq
『芭丝商会』	bssh
『英雄的传统』	yxdct
『英雄的试炼场』	yxdslc
『贸易风』	myf
『贺菲游记』	hfyj
『远航西龙洋』	yhxly
『酒店经营手册』	jdjysc
『雪山的传说』	xsdcs
『飞空的梦想』	fkdmx
『鬼怒间火山』	gnjhs
『龙人族』	lrz
一堆喵喵币	ydmmb
一心一意	yxyy
一星与狩猎笛部件	yxysldbj
一星双刀部件	yxsdbj
一星大剑部件	yxdjbj
一星大锤部件	yxdcbj
一星太刀部件	yxtdbj
一星弩炮部件	yxnpbj
一星片手部件	yxpsbj
一星铳枪部件	yxcqbj
一星长弓部件	yxcgbj
一星长枪部件	yxcqbj
一桶啤酒	ytpj
一级原料种子	yjylzz
一虎刃	yhr
一虎刃=灭破	yhrmp
一虎刃=灭霸	yhrmb
一虎刃改	yhrg
一虎刃极	yhrj
一角龙刃翼	yjlry
一角龙厚壳	yjlhk
一角龙坚壳	yjljk
一角龙坚头壳	yjljtk
一角龙坚硬背甲	yjljybj
一角龙头盔	yjltk
一角龙头盔·R	yjltkr
一角龙头盔·S	yjltks
一角龙套装(头盔)	yjltztk
一角龙套装(战帽)	yjltzzm
一角龙套装(护手)	yjltzhs
一角龙套装(护甲)	yjltzhj
一角龙套装(护腰)	yjltzhy
一角龙套装(护腿)	yjltzht
一角龙套装(腕甲)	yjltzwj
一角龙套装(腰甲)	yjltzyj
一角龙套装(腿甲)	yjltztj
一角龙套装(近战)	yjltzjz
一角龙套装(远程)	yjltzyc
一角龙套装(铠甲)	yjltzkj
一角龙战帽	yjlzm
一角龙战帽·R	yjlzmr
一角龙战帽·S	yjlzms
一角龙护手	yjlhs
一角龙护手·R	yjlhsr
一角龙护手·S	yjlhss
一角龙护甲	yjlhj
一角龙护甲·R	yjlhjr
一角龙护甲·S	yjlhjs
一角龙护腰	yjlhy
一角龙护腰·R	yjlhyr
一角龙护腰·S	yjlhys
一角龙护腿	yjlht
一角龙护腿·R	yjlhtr
一角龙护腿·S	yjlhts
一角龙的刚翼	yjldgy
一角龙的坚壳	yjldjk
一角龙的坚甲	yjldjj
一角龙的壮牙	yjldzy
一角龙的尾巴	yjldwb
一角龙的延髓	yjldys
一角龙的心脏	yjldxz
一角龙的甲壳	yjldjk
一角龙的硬壳	yjldyk
一角龙的绝尾	yjldjw
一角龙的翼	yjldy
一角龙的背甲	yjldbj
一角龙的血液	yjldxy
一角龙的重壳	yjldzk
一角龙的重尾甲	yjldzwj
一角龙的重甲	yjldzj
一角龙的靭尾	yjldrw
一角龙的韧翼	yjldry
一角龙的骨髓	yjldgs
一角龙素材包	yjlscb
一角龙腕甲	yjlwj
一角龙腕甲·R	yjlwjr
一角龙腕甲·S	yjlwjs
一角龙腰甲	yjlyj
一角龙腰甲·R	yjlyjr
一角龙腰甲·S	yjlyjs
一角龙腿甲	yjltj
一角龙腿甲·R	yjltjr
一角龙腿甲·S	yjltjs
一角龙铠甲	yjlkj
一角龙铠甲·R	yjlkjr
一角龙铠甲·S	yjlkjs
一角龙靭尾	yjlrw
一角龙高阶素材包	yjlgjscb
一阶天赋书礼包	yjtfslb
一阶御石箱·白	yjysxb
一阶御石箱·紫	yjysxz
一阶御石箱·赤	yjysxc
一阶御石箱·金	yjysxj
一阶御石箱·青	yjysxq
七出霜月	qcsy
七夕专属礼包·伍	qxzslbw
七夕专属礼包·叁	qxzslbs
七夕专属礼包·壹	qxzslby
七夕专属礼包·肆	qxzslbs
七夕专属礼包·贰	qxzslbe
七夕专属礼包·陆	qxzslbl
七夕如意礼包	qxrylb
七夕情缘(头部)	qxqytb
七夕情缘(胸部)	qxqyxb
七夕情缘(腕部)	qxqywb
七夕情缘(腰部)	qxqyyb
七夕情缘(腿部)	qxqytb
七夕情缘套装	qxqytz
七夕活动礼包·伍	qxhdlbw
七夕活动礼包·叁	qxhdlbs
七夕活动礼包·壹	qxhdlby
七夕活动礼包·肆	qxhdlbs
七夕活动礼包·贰	qxhdlbe
七夕礼包	qxlb
七夕福利礼包	qxfllb
七夕钻戒	qxzj
七彩铃铛	qcld
七彩铃铛·S	qclds
七日签到礼	qrqdl
七级原料种子	qjylzz
七级捕虫网	qjbcw
七级武器玉	qjwqy
七级采草手套	qjccst
七级铁镐	qjtg
七级铠玉	qjky
七级首饰玉	qjssy
七色上尾羽	qsswy
七色尾羽根	qswyg
七色的尾羽	qsdwy
七轮环日	qlhr
七阳焚天	qyft
万人迷豪华礼包	wrmhhlb
万圣节糖果·草莓	wsjtgcm
万圣节糖果·葡萄	wsjtgpt
万圣节糖果·蓝莓	wsjtglm
万圣节糖果·青柠	wsjtgqn
万圣节糖果·香橙	wsjtgxc
万圣节糖果礼盒	wsjtglh
万圣诡影礼包	wsgylb
万圣鬼影	wsgy
万圣鬼影·S	wsgys
万圣魅影	wsmy
万圣魅影·S	wsmys
万宝战锤	wbzc
万宝战锤【战嚎】	wbzczh
万宝战锤【战慄】	wbzczl
三刀流	sdl
三叶奉行	syfx
三叶奉行【大藏】	syfxdc
三叶奉行【玄蕃】	syfxxf
三射刃 · 试作型	ssrszx
三日签到礼	srqdl
三星与狩猎笛部件	sxysldbj
三星双刀部件	sxsdbj
三星大剑部件	sxdjbj
三星大锤部件	sxdcbj
三星太刀部件	sxtdbj
三星弩炮部件	sxnpbj
三星片手部件	sxpsbj
三星猎人奖励包	sxlrjlb
三星猎人礼包	sxlrlb
三星铳枪部件	sxcqbj
三星长弓部件	sxcgbj
三星长枪部件	sxcqbj
三昧莲华	smlh
三眼珠【1】	syz1
三眼珠【3】	syz3
三级原料种子	sjylzz
三级捕虫网	sjbcw
三级武器玉	sjwqy
三级采草手套	sjccst
三级铁镐	sjtg
三级首饰玉	sjssy
三茉	sm
三车剔骨	sctg
三车剔骨=灭破	sctgmp
三车剔骨=灭霸	sctgmb
三车剔骨改	sctgg
三车剔骨极	sctgj
三阶星陨碎片·冰	sjxyspb
三阶星陨碎片·水	sjxysps
三阶星陨碎片·火	sjxysph
三阶星陨碎片·雷	sjxyspl
三阶星陨碎片·龙	sjxyspl
三面鼓·乌勒	smgwl
三面鼓·乌勒改	smgwlg
三面鼓【乌勒】	smgwl
三面鼓【凛夜】	smgly
三面鼓【雪国】	smgxg
上乘防具	scfj
上兽骨	ssg
上古武器残片	sgwqcp
上古龙木双刃	sglmsr
上古龙木大锤	sglmdc
上古龙木太刀	sglmtd
上古龙木巨剑	sglmjj
上古龙木弓	sglmg
上古龙木弩	sglmn
上古龙木短匕	sglmdb
上古龙木笛	sglmd
上古龙木铳枪	sglmcq
上古龙木长枪	sglmcq
上岩龙头壳	syltk
上忍喵护身甲	srmhsj
上忍喵护身甲·改	srmhsjg
上忍喵护身盔	srmhsk
上忍喵护身盔·改	srmhskg
上忍护身刃	srhsr
上忍护身刃·改	srhsrg
上晶石端材	sjsdc
上班族素材补给包	sbzscbjb
上秘石端材	smsdc
上等的卷角	sddjj
上选蟹膏	sxxg
上铠玉	sky
上骨质端材	sgzdc
上龙头壳	sltk
上龙木端材	slmdc
上龙骨	slg
下忍喵护身甲	xrmhsj
下忍喵护身甲·改	xrmhsjg
下忍喵护身盔	xrmhsk
下忍喵护身盔·改	xrmhskg
下忍护身刃	xrhsr
下忍护身刃·改	xrhsrg
不删档测试资格	bsdcszg
不删档特殊时装	bsdtssz
不安珠	baz
不屈包	bqb
不思议笛	bsyd
不思议笛【奔】	bsydb
不思议笛【流】	bsydl
不思议笛【潺】	bsydc
不新鲜的蘑菇	bxxdmg
不明的体液	bmdty
不明的武器秘传书	bmdwqmcs
不明确的药剂	bmqdyj
不死虫	bsc
不死虫粉末	bscfm
不灭的龙血	bmdlx
不详的喙	bxdh
不详的青喙	bxdqh
不败者的笔记	bbzdbj
不限号圣诞礼包	bxhsdlb
不限号铁血礼包	bxhtxlb
丑陋的臼齿	cldjc
专区会员专属礼包	zqhyzslb
专区会员新手礼包	zqhyxslb
世界传声筒	sjcst
丘比特之箭	qbtzj
业弓【凌虐】	ygln
业弓【折磨】	ygzm
业弓【辱没】	ygrm
业火珠【3】	yhz3
业炎的秘宝	yydmb
业炎袋	yyd
业炎雷霆	yylt
业炎雷霆+蓄能枪管	yyltxnqg
业炎雷霆【明灭】	yyltmm
业炎雷霆【灼花】	yyltzh
业炎雷霆改+蓄能枪管	yyltgxnqg
业炎雷霆极+蓄能枪管	yyltjxnqg
丛林弓	clg
丛林弓三重改	clgszg
丛林弓二重改	clgezg
丛林弓改	clgg
东方的武技书	dfdwjs
丢失的货品	dsdhp
丧钟	sz
丧钟·古铜	szgt
丧钟【澄鸣】	szcm
丧钟【蝉泣】	szcq
丧钟【鸣蝉】	szmc
丧钟改	szg
丧钟极	szj
中型烟花礼包	zxyhlb
中型粽子礼包	zxzzlb
中忍喵护身甲	zrmhsj
中忍喵护身甲·改	zrmhsjg
中忍喵护身盔	zrmhsk
中忍喵护身盔·改	zrmhskg
中忍护身刃	zrhsr
中忍护身刃·改	zrhsrg
中秋·生产礼包	zqsclb
中秋·突破礼包	zqtplb
中秋·节日大礼	zqjrdl
中级仓库扩容道具	zjckkrdj
中级建筑材料	zjjzcl
中药草	zyc
中阶探索头盔	zjtstk
中阶探索腕甲	zjtswj
中阶探索腰甲	zjtsyj
中阶探索重靴	zjtszx
中阶探索铠甲	zjtskj
丰玉【丸带】	fywd
丰玉【丸带】·R	fywdr
丰玉【丸带】·S	fywds
丰玉【乌帽子】	fywmz
丰玉【乌帽子】·R	fywmzr
丰玉【乌帽子】·S	fywmzs
丰玉【具足】	fyjz
丰玉【具足】·R	fyjzr
丰玉【具足】·S	fyjzs
丰玉【大袖】	fydx
丰玉【大袖】·R	fydxr
丰玉【大袖】·S	fydxs
丰玉【胴体】	fydt
丰玉【胴体】·R	fydtr
丰玉【胴体】·S	fydts
临惊天双刀特效	ljtsdtx
乌木奇面族油彩	wmqmzyc
乌金龙脊弓	wjljg
乌锤【具足】	wcjz
乌锤【具足】·R	wcjzr
乌锤【胴体】	wcdt
乌锤【胴体】·R	wcdtr
乌锤【腰铠】	wcyk
乌锤【腰铠】·R	wcykr
乌锤【锁甲】	wcsj
乌锤【锁甲】·R	wcsjr
乌锤【面兜】	wcmd
乌锤【面兜】·R	wcmdr
乌骨草	wgc
乌骨草粉末	wgcfm
乐石·冰长	lsbc
乐石·奥陶	ysat
乐石·尤莱	lsyl
乐石·层侵	yscq
乐石·成铁	ysct
乐石·泥盆	ysnp
乐石·白垩	ysbe
乐石·白沸	lsbf
乐石·紫苏	lszs
乐石·蛇绿	lssl
乐石·造山	yszs
乐石·钛辉	lsth
九天昊无	jthw
九尾之尾	jwzw
九尾魂兽核心	jwhshx
九尾魂兽礼包	jwhslb
九炢烽锹	jzfq
九炢烽锹【火狱】	jzfqhy
九炢烽锹【炎狱】	jzfqyy
九炢烽锹【炼狱】	jzfqly
九级捕虫网	jjbcw
九级武器玉	jjwqy
九级采草手套	jjccst
九级铁镐	jjtg
九级铠玉	jjky
九级首饰玉	jjssy
乱步奇面舞会头盔	lbqmwhtk
乱步奇面舞会腕甲	lbqmwhwj
乱步奇面舞会腰甲	lbqmwhyj
乱步奇面舞会重靴	lbqmwhzx
乱步奇面舞会铠甲	lbqmwhkj
乱牙大剑	lydj
乱牙大剑·雪青	lydjxq
乱牙大剑【奔】	lydjb
乱牙大剑【涓】	lydjj
乱牙大剑【湍】	lydjt
二哈喵头盔	ehmtk
二哈喵武器	ehmwq
二哈喵胸甲	ehmxj
二星与狩猎笛部件	exysldbj
二星双刀部件	exsdbj
二星大剑部件	exdjbj
二星大锤部件	exdcbj
二星太刀部件	extdbj
二星弩炮部件	exnpbj
二星片手部件	expsbj
二星铳枪部件	excqbj
二星长弓部件	excgbj
二星长枪部件	excqbj
二级原料种子	ejylzz
二级采草手套	ejccst
二级首饰玉	ejssy
二重束电进化体	ezsdjht
二阶天赋书礼包	ejtfslb
二阶御石箱·白	ejysxb
二阶御石箱·紫	ejysxz
二阶御石箱·赤	ejysxc
二阶御石箱·金	ejysxj
二阶御石箱·青	ejysxq
二阶星陨碎片·冰	ejxyspb
二阶星陨碎片·水	ejxysps
二阶星陨碎片·火	ejxysph
二阶星陨碎片·雷	ejxyspl
二阶星陨碎片·龙	ejxyspl
云游武僧(头部)	yywstb
云游武僧(胸部)	yywsxb
云游武僧(腕部)	yywswb
云游武僧(腰部)	yywsyb
云游武僧(腿部)	yywstb
云游武僧·庆典(头部)	yywsqdtb
云游武僧·庆典(胸部)	yywsqdxb
云游武僧·庆典(腕部)	yywsqdwb
云游武僧·庆典(腰部)	yywsqdyb
云游武僧·庆典(腿部)	yywsqdtb
云游武僧·庆典（随机）	yywsqdsj
云鸠石	yjs
五出霜岳	wcsy
五味俱全的鸟龙肉	wwjqdnlr
五天镜反	wtjf
五天镜反·归一	wtjfgy
五天镜反·空	wtjfk
五常噬道【龙転】	wcsdlz
五度相位炮	wdxwp
五度相位炮·归一	wdxwpgy
五度相位炮·空	wdxwpk
五日签到礼	wrqdl
五星与狩猎笛部件	wxysldbj
五星剑盾=决绝	wxjdjj
五星剑盾=刚毅	wxjdgy
五星剑盾=正直	wxjdzz
五星双刀部件	wxsdbj
五星大剑部件	wxdjbj
五星大锤部件	wxdcbj
五星太刀部件	wxtdbj
五星弩炮部件	wxnpbj
五星片手部件	wxpsbj
五星猎人头饰	wxlrts
五星铳枪部件	wxcqbj
五星长弓部件	wxcgbj
五星长枪部件	wxcqbj
五炬熔心	wjrx
五烛辉映	wzhy
五相御神的凶眼	wxysdxy
五相御神的刀剑鳞	wxysddjl
五相御神的刚翼	wxysdgy
五相御神的刚蛮爪	wxysdgmz
五相御神的刚角	wxysdgj
五相御神的厚鳞	wxysdhl
五相御神的狂爪	wxysdkz
五相御神的绝剑尾	wxysdjjw
五相御神的邪鳞	wxysdxl
五相御神的重壳	wxysdzk
五相御神的重胸壳	wxysdzxk
五相御神随机防具礼包	wxyssjfjlb
五级原料种子	wjylzz
五级捕虫网	wjbcw
五级武器玉	wjwqy
五级采草手套	wjccst
五级铁镐	wjtg
五级首饰玉	wjssy
五车裂骨	wclg
