#TSV
#============Begin of sheet============
@Sheet=messagebox
提示ID	提示内容	提示框类型	模态类型	标题栏内容	按钮1内容	按钮2内容	按钮3内容	关闭此UI默认执行的按钮功能	倒计时时间	参数1	文字颜色	分组	特殊确认功能
8029	初始化GameStartup Interface失败！	1		提示	确定			1	0				
8030	创建测试信号失败！	1		提示	确定			1	0				
8031	与服务器断开连接，错误类型{数值}!	1		提示	确定			1	0			6	SpecialQuitGame
8032	加载失败！	1		提示	确定			1	0				
8033	副本随机天气错误,请联系服务器相关人士	1		提示	确定			1	0				
8034	"{字符串}\\n 是否要退出游戏?"	2		提示	确定	取消		2	0				
8035	服务器连接失败，错误类型{数值}，地址{字符串}	1		提示	确定			1	0			6	SpecialQuitGame
8036	连接副本服务器失败!	1		提示	确定			1	0				SpecialQuitGame
8037	向服务器同步副本UI操作数据错误	1		提示	确定			1	0				
8038	您与服务器的连接已中断。请尝试重新登陆！	1		提示	确定			1	0				SpecialQuitGame
8039	发生严重错误，错误类型[{数值}][{数值}]!	1		提示	确定			1	0			6	SpecialQuitGame
8040	副本系统错误，进入副本失败	1		提示	确定			1					
8041	组队不符合副本队伍要求，进入副本失败	1		提示	确定			1					
8042	组队人数不够，进入副本失败	1		提示	确定			1					
8043	玩家{人物名称}任务需求错误，进入副本失败	1		提示	确定			1					
8044	玩家{人物名称}物品需求错误，进入副本失败	1		提示	确定			1					
8045	玩家{人物名称}金钱需求错误，进入副本失败	1		提示	确定			1					
8046	玩家{人物名称}行动力需求错误，进入副本失败	1		提示	确定			1					
8047	玩家{人物名称}工会级别需求错误，进入副本失败	1		提示	确定			1					
8048	玩家{人物名称}级别需求错误，进入副本失败	1		提示	确定			1					
8049	玩家{人物名称}疲劳度需求错误，进入副本失败	1		提示	确定			1					
8050	玩家{人物名称}星级需求错误，进入副本失败	1		提示	确定			1					
8051	玩家{人物名称}副本没有解锁，进入副本失败	1		提示	确定			1					
8052	玩家{人物名称}不在同一地图中，进入副本失败	1		提示	确定			1					
8053	其他错误类型，进入副本失败	1		提示	确定			1					
8054	防具上有高级精铸属性，是否要继续精铸？	2	1	提示	确定	取消		2	15		1	0	
8055	您确认要购买精铸属性条吗？	2		提示	确定	取消		2	15		1	0	
8056	对不起，您的帐号未激活！	1		提示	确定			1			1	6	SpecialQuitGame
8057	帐号已被封停，封停截止时间：{字符串} 。如有疑问请联系客服。	1		提示	退出游戏			1			1		SpecialQuitGame
8058	服务器爆满，{数值}名玩家排队等待中…	1		提示	取消			1			1		SpecialQuitGame
8059	您是猎团团长，无法删除角色，请先移交团长权限！	1		提示	确定			1			1		
8060	服务线路已经满员！	1		提示	确定			1			1		SpecialQuitGame
8061	是否确认删除该角色？	2		提示	确定	取消		2			1		
8062	已经与服务器断开链接	1		提示	确定			1			1	6	SpecialQuitGame
8063	是否确认恢复该角色吗？	2		提示	确定	取消		2			1		
8064	当前角色处于“删除”中，可以在7天内执行恢复角色操作！	1	1	提示	确定			1			1		
8065	角色名含有非法字符！	1	1	提示	确定			1			1	5	
8066	角色名至少需要包含2个字符！	1	1	提示	确定			1			1	5	
8067	角色名称不能超过10个汉字！	1	1	提示	确定			1			1	5	
8068	对不起,该角色名称已经被占用，请重新输入	1	1	提示	确定			1			1	5	
8069	是否进行Rank提升？	2		提示	确定	取消		2			1		
8070	请确认需要丢弃的物品数量	3		提示	确定	取消		2		max	1		
8071	"是否要丢弃该物品：\"{字符串}\"？"	2	1	提示	确定	取消		2			1		
8072	"请输入delete以确定要丢弃该物品：\"{字符串}\""	4	1	确认丢弃稀有物品	确定	取消		2			1		
8073	{物品名称}将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1		
8074	是否要扩充仓库容量？	2	1	提示	确定	取消		2			1		
8075	确认要解锁所有仓库？	2	1	提示	确定	取消		2			1		
8076	是否要扩充背包容量？	2	1	提示	确定	取消		2			1		
8077	本次精铸消耗：{数值}金钱+{数值}点券，是否继续？	2	1	提示	确定	取消		2			1		
8078	开启该条精铸属性需要消耗{数值}金钱，确认购买？	2	1	提示	确定	取消		2			1		
8079	请输入密码：	4		提示	确定	取消		2			1		
8080	是否要离开游戏当前所在狩猎场？离开后您将无法返回。	2		提示	确定	取消		1	10		1	0	
8081	目前服务器暂未开启，请留意官网公告	1		提示	确定			1	0				
8082	选择角色错误，错误类型={数值}	1		提示	确定			1	0				
8083	OH NO！服务器猫车了！ 让我们送您免费回城！	1		提示	确定			1	0				
8084	副本服务器已满，进入副本失败	1		提示	确定			1					
8085	客户端与服务器版本不匹配! 服务器版本[{数值}].[{数值}],客户端版本 [{数值}].[{数值}]!	1		提示	确定			1	0				SpecialQuitGame
8086	解锁狩猎场：{关卡}	1		提示	确定			1					
8087	服务器异常!请等候恢复~	1		提示	确定			1	0				
8088	服务器恢复!请继续狩猎吧~	1		提示	确定			1	0				
8089	队伍名称含有非法字符！修改失败	1		提示	确定			1					
8090	对不起，您的帐号在其他地方登录	1		提示	确定			1				6	SpecialQuitGame
8091	对不起，该帐号已经登录.请重新启动客户端尝试登录	1		提示	确定			1				6	SpecialQuitGame
8092	当前已接任务达到上限，无法接取更多的任务	1		提示	确定			1					
8093	"是否要删除猎友\"{字符串}\"？"	2		提示	确定	取消		2			1		
8094	你要拆分的数量	3	1	拆分物品	确定	取消		2			1		
8095	你要销毁的数量	3	1	销毁物品	确定	取消		2			1		
8096	你要拍卖的数量	3	1	拍卖物品	确定	取消		2			1		
8097	队友{人物名称}向你共享任务{任务名称}，你是否接受？	2		共享任务	确定	取消		2	30		1	7	
8098	你已经加入一个猎团了，无法创建新的猎团。	1	1	提示	确定			1					
8099	您已经加入一个猎团了，无法加入新的猎团。	1	1	提示	确定			1					
8100	等级不足，无法加入。	1	1	提示	确定			1					
8101	申请已发送，请耐心等待猎团回复。	1	1	提示	确定			1					
8102	玩家已有猎团，无法邀请。	1	1	提示	确定			1					
8103	玩家已下线，无法邀请。	1	1	提示	确定			1					
8104	您确定要退出猎团吗？	2	1	提示	确定	取消		2					
8105	您确定要把团长移交给{人物名称}吗？	1	1	提示	确定	取消		2					
8106	您确定要移除成员{人物名称}吗？	2	1	提示	确定	取消		2					
8107	是否读取当前装备方案?	2	1	提示	确定	取消		2			1		
8108	请输入装备方案描述:	4	1	提示	保存	取消		2			1		
8109	技能已满,无法装配。	1	1	提示	确定			1					
8110	技能点不足,无法装配。	1	1	提示	确定			1					
8111	根据艾露猫品质，已经装配{数值}个笛子技能了，不能再装配了。	1	1	提示	确定								
8112	请输入艾露猫的名字，最多10个字符	4	1	更改名字	确定	取消		2					
8113	更名成功，消耗一个{物品名称}	1	1	提示	确定			1					
8114	请输入艾露猫的个性宣言	5	1	更改个性宣言	确定	取消		2			1		
8115	您已经设置{艾露猫名称}为您的随行艾露猫，确定更改为{艾露猫名称}为您的随行艾露猫吗？	1	1	提示	确定	取消		2			1		
8116	{艾露猫名称}正在忙碌中，需要把它从庄园里收回才能设为随行艾露猫。	1	0	提示	确定						1		
8117	你确定要解雇{艾露猫名称}吗?	2	1	提示	确定	取消		2			1		
8118	{艾露猫名称}正在忙碌中，无法解雇它。	1	0	提示	确定						1		
8119	穿戴该装备会卸脱身上近远程类型或武器类型不一致的装备，是否继续？	2	1	提示	确定	取消		2			1		
8120	{人物名称}邀请你加入【{猎团名称}】猎团。	2	0	邀请入团	同意	拒绝		2	15		1	3	
8121	装备提升后会超过你的等级需求，是否继续突破？	2		提示	确定	取消		2	15		1	0	
8122	{字符串}	1		提示	确定			1					
8123	对不起，你没有足够的费用烹饪{字符串}	1		提示	确定			1					
8124	当前显示帧率过低，系统将自动为你优化设置	2		提示	确定	取消		2			1	0	
8125	自动设置完毕	1		提示	确定			1					
8126	确认要删除此邮件？	2	1	提示	确定	取消		2					
8127	确认删除猎友分组：{字符串}	2	1	提示	确定	取消		2					
8128	检测到有可用的手柄， 是否立刻进入手柄设置？	2	1	手柄设置	是	否		2					
8129	未接入手柄， 无法开启手柄模式	1	1	提示	确定			1					
8130	手柄断开，自动转入键鼠模式	1	1	提示	确定			1					
8131	你是新猎人还是老猎人？	2	1	设置	新猎人	老猎人		1					
8132	今日进入副本次数达到上限，进入副本失败	1		提示	确定			1					
8133	猎人你需要先选择一个狩猎包才能出发	1		提示	确定			1					
8134	组队密码设置错误，设置失败	1	1	提示	确定			1					
8135	请输入DELETE以确定要删除角色	4	1	提示	确定	取消		2			1	5	
8136	当前线路已经爆满，请重新选择其他线路！	1	1	提示	确定			1				10	
8137	你的今日经验上限提升了！	1		提示	确定								
8138	你今天的经验值已达到上限，无法继续获得！	1		提示	确定								
8139	确认要覆盖镶嵌的技能珠吗？	2		提示	确定	取消		2	15		1	0	
8140	"确认将\"{字符串}\"添加到黑名单？"	2	1	提示	确定	取消		2					
8141	"确认将\"{字符串}\"从黑名单中移除？"	2	1	提示	确定	取消		2					
8142	"确认将\"{字符串}\"从路人中移除？"	2	1	提示	确定	取消		2					
8143	Pvp房间已经开启，请点击确认按钮准备	2		提示	确定	取消		2	60				
8144	网络连接异常断开，是否重新连接?	2	1	断线重连	是	否		1	30			6	
8145	正在重新连接服务器	1		提示	确定			1					
8146	喵~根据你的等级、贡献度，今天可领猎团工资{数值}，是否确认领取？	2	1	提示	确定	取消		2					
8147	目前无法领取猎团工资！加入猎团后第二天起方可领取，猎团资金不足时停止发放。	1	1	猎团工资	确定			1					
8148	删除角色失败，你当前处于登陆保护状态。剩余{数值}秒。	1	1	提示	确定			1					
8149	是否确认解雇目标艾露猫	2		提示	确定	取消		2					
8150	您的设置未保存，确定要离开吗？	2	1	提示	确定	取消		2	15		1	0	
8151	登陆失败，角色{人物名称}数据版本不匹配。	1		提示	确定			1	0			6	SpecialQuitGame
8152	警告！解散猎团后将不可恢复！确认要解散猎团吗？	2	1	解散猎团	确定	取消		2	15				
8153	您的帐号被检测出安全方面的异常，您将被强制退出游戏！	1		提示	确定			1			1	6	SpecialQuitGame
8154	确认要升级猎团吗？确认后将立即升级，不可撤销！	2	1	提示	确定	取消		2					
8155	您确定要把团长移交给{人物名称}吗？移交操作不可撤掉！	2	1	提示	确定	取消		2					
8156	对不起，您的角色目前无法删除。请先退出副本。	2	1	提示	确定	取消		2					
8157	是否确认中止训练？	2	1	提示	确定	取消		2					
8158	是否要将属性【{字符串}】增加在该装备上？涂装成功后，涂装材料将被消耗掉。	2	1	提示	确定	取消		2					
8159	该装备原有的涂装属性将被新属性【{字符串}】替换，是否确认要继续涂装？	2	1	提示	确定	取消		2					
8160	是否确定解锁该商品？需花费猎团资金，解锁后可在猎团商店购买该商品。	2	1	提示	确定	取消		2					
8161	账户处于安全模式中，不能进行交易、丢弃等敏感操作。如需解除该模式，请点击下方解除按钮。	2	1	敏感操作提示	解除	关闭		2					
8162	你的账户已成功退出安全模式！	1		提示	确定			1					
8163	确认要恢复到初始的权限状态吗？该过程不可逆转。	2	1	恢复默认	确定	取消		2					
8164	点击开始校准按钮，进行手柄校准	1		提示	确定			1					
8165	XBOX360手柄为标准配置，不需要校准	1		提示	确定			1					
8166	存在未设置的按键，请校准全部按键	1		提示	确定			1					
8167	请校准方向键	1		提示	确定			1					
8168	请校准左摇杆	1		提示	确定			1					
8169	请校准右摇杆	1		提示	确定			1					
8170	请校准普通按键	1		提示	确定			1					
8171	请输入正确的方向	1		提示	确定			1					
8172	该流派暂无已解锁天赋，不可激活	1	1	提示	确定			2					
8173	由于每日经验上限限制，本次任务你可获得经验{数值}（损失经验{数值}），是否确认？	2	1	提示	确定	取消		2					
8174	确认要创建猎团吗？	2	1	创建猎团	确定	取消		2					
8175	物品操作失败，你当前处于登陆安全时间。剩余{数值}秒。	1	1	敏感操作提示	确定			1					
8176	是否切换到队长所在的线路？	2	1	提示	确定	取消		2					
8177	{人物名称}邀请你加入【{字符串}】战队。	2	1	提示	确定	取消		2	15				
8178	确定移除战队成员{人物名称}？	2	1	提示	确定	取消		2					
8179	你是否要离开【{字符串}】战队？	2	1	提示	确定	取消		2					
8180	你是否要将队长移交给{人物名称}？	2	1	提示	确定	取消		2					
8181	您是战队队长，无法删除角色，请先移交队长权限！	1		提示	确定			1			1		
8182	队长{人物名称}邀请你参加猎团赛？	2	1	提示	确定	拒绝		2					
8183	{字符串}	1		提示	确定			1				6	SpecialQuitGame
8184	无法找到ROOM	1	1	提示	确定			1					
8185	装备提升后会超过你的等级需求，是否继续升级？	2	1	提示	确定	取消		2	15		1	0	
8186	是否进行升级？	2	1	提示	确定	取消		2					
8187	请输入入队密码	4	1	入队申请	确定	取消		2			1		
8188	请输入delete以确定要删除角色	4	1	删除角色	确定	取消		2			1		
8189	请输入新营地名称（15字以内）	4	1	编辑猎团营地名称	确定	取消		2			1		
8190	首次更名免费！	4	1	艾露猫更名	确定	取消		2					
8191	更名将消耗1个{物品名称}！	4	1	艾露猫更名	确定	取消		2					
8192	没有足够的{物品名称}！可通过快速购买{物品名称}来更名。	1		提示	快速购买	取消		2					
8193	你确定花费{数值}点券或猎币购买并使用{物品名称}？	1		提示	确定	取消		2					
8194	无法快速购买，没有足够的点券或猎币！	1		提示	关闭			1					
8195	艾露猫更名成功！	1		提示	关闭			1					
8196	请输入艾露猫名字,最多20个字符	4	1	更改名字	确定	取消		2					
8197	请确定要取消此项投标？	2	1	提示	确定	取消		2					
8198	取消该单需要支付违约金{数值}银。确定要取消吗？	2	1	提示	确定	取消		2					
8199	对不起，违约金不足，无法取消投标！	2	1	提示	确定	取消		1					
8200	你确定要用{数值}金购买{物品名称}吗？	2	1	提示	确定	取消		2					
8201	对不起，此物品无法登记！	1		提示	关闭			1					
8202	请输入此分组新名称	4		更改分组名称	确定	取消		2			1		
8203	请输入猎友名称	4		添加猎友	确定	取消		2			1		
8204	请输入您的心情	4		设置心情	确定	取消		2			1		
8205	请输入分组名称	4		添加猎友分组	确定	取消		2			1		
8206	请输入入队密码	4		入队申请	确定	取消		2			1		
8207	{人物名称}邀请您加入战队！	2		提示	同意	拒绝		2	15		1	3	
8208	"<P ALIGN=\"Center\">确定要退出游戏吗？</P>\n<P ALIGN=\"Center\"><FONT COLOR=\"\#bc9361\">（退出前请注意是否有未领取的礼包）</FONT></P>"	2	1	提示	退出游戏	继续游戏		2			1	8	
8209	请输入申请留言	4	1	申请入团	确定	取消		2			1		
8210	技能珠为绑定物品，继续镶嵌该装备将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8211	由于非绑定材料不足，将使用银币或绑定材料补足，继续操作该装备将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8212	确定离开当前QT频道进入【队伍频道】吗？	2	1	提示	确定	取消		2					
8213	确定离开当前QT频道进入【猎团频道】吗？	2	1	提示	确定	取消		2					
8214	确定离开当前QT频道进入【怪物猎人官方频道】吗？	2	1	提示	确定	取消		2					
8215	确定离开当前QT频道进入【战队频道】吗？	2	1	提示	确定	取消		2					
8216	改名需消耗一个角色改名券	4	1	提示	确定	取消		2					
8217	没有足够的{物品名称}！可通过快速购买{物品名称}来更名。	1	1	提示	快速购买	取消		2					
8218	您确定花费{数值}点券购买并使用【{物品名称}】吗？	2	1	提示	确定	取消		2					
8219	点券不足，是否前往充值？	2	1	提示	确定	取消		2					
8220	角色名称不可用！错误原因：{字符串}	2	1	提示	重新输入	取消		2					
8221	角色改名成功！	2	1	提示	确定			2					
8222	金币不足将使用银币补足，继续操作该装备将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8223	金币不足将使用银币补足，继续操作该装备将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8224	由于非绑定材料不足，将使用银币或绑定材料补足，继续操作该装备将与你绑定，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8225	研磨剂数量不足	2	1	提示	确定	取消		1					
8226	获得的物品已发送至您的背包	2	1	提示	继续开箱	终止开箱		2					
8227	您的背包已满，获取物品将以邮件形式发送至邮箱	2	1	提示	继续开箱	终止开箱		2					
8228	堆叠含有绑定物品，继续操作将会使{物品名称}全部与你绑定，是否继续？	2	1	提示	确定	取消		2	15				
8229	是否学习猎团技能【{字符串}】，需要猎团资金{数值}	2	1	提示	确定	取消		2					
8230	您输入的价格达到了一口价的价格，您是否按这个价格直接购买物品？	2	1	提示	确定	取消		2					
8231	"您和队长不在同一线，是否转到队长所在\"{数值}\"线中？"	2		提示	确定	取消		2					
8232	请输入要拍卖的数量：	3	1	提示	确定	取消		2	0	max	1	0	
8233	你身上没有足够的【{字符串}】，是否前往商城购买	2	1	提示	确定	取消		2	0				
8234	在关卡内无法进入武器训练	1	1	提示	确定			1					
8235	恭喜！你们获得了此次比赛的胜利	1	1	比赛结果	确定			1	15				
8236	很遗憾，你们失败了	1	1	比赛结果	确定			1	15				
8237	报名成功	1	1	报名成功	确定			1	15				
8238	"<P ALIGN=\"Center\">{字符串}</P>"	1		习得天赋	确定								
8239	该操作将终止匹配，是否继续？	2		提示	确定	取消		2	15				
8240	您确定要花费{数值}点券购买吗？	2	1	购买	确定	取消		2	0				
8241	"您所持有的点券不足，无法购买\n请充值后再进行购买"	2	1	提示	立即充值	取消		2	0				
8242	交易成功，您获得了{数值}	1	1	提示	确定			2	0				
8243	您所持有的金币不足，无法出售！	1	1	提示	确定			2	0				
8244	您的手续费不足，无法出售！	1	1	提示	确定			2	0				
8245	您已超过了售卖上限，无法出售！	1	1	提示	确定			2	0				
8246	您确定要以{字符串}点券的价格出售{字符串}金币吗？交易成功后，点券将绑定为猎币发送至您的邮箱	2	1	提示	确定	取消		2	0				
8247	有队员不在线，是否仍然进入比赛？	2	1	提示	确定	取消		1	15				
8248	"更名将消耗1个{物品名称}！\n相关的功能尚未开放，敬请期待！"	1		提示	确定			1					
8249	当此前处于疲惫状态，请在{数值}分钟后再来	1	1	提示	确定			1	15				
8250	您确定要以{数值}点券购买{数值}金币吗？	2	1	提示	确定	取消		2					
8251	只有队长才可以选择关卡，请等待队长选择	1	1	提示	确定			1					
8252	您或您的队友没有登船凭证了，无法进入	1	1	提示	确定			1	15				
8253	队伍中有人处于疲惫状态	1	1	提示	确定			1	15				
8254	队伍中有人进入次数已经用完	1	1	提示	确定								
8255	您已开通VIP基础服务！有效期至{数值}年{数值}月{数值}日	1	1	开通成功	确定			1	0				
8256	您已开通VIP成长助力服务！有效期至{数值}年{数值}月{数值}日	1	1	开通成功	确定			1	0				
8257	您已开通VIP收益帮手服务！有效期至{数值}年{数值}月{数值}日	1	1	开通成功	确定			1	0				
8258	您已续费VIP基础服务！有效期至{数值}年{数值}月{数值}日	1	1	续费成功	确定			1	0				
8259	您已续费VIP成长助力服务！有效期至{数值}年{数值}月{数值}日	1	1	续费成功	确定			1	0				
8260	您已续费VIP收益帮手服务！有效期至{数值}年{数值}月{数值}日	1	1	续费成功	确定			1	0				
8261	您的VIP基础服务将于{数值}年{数值}月{数值}日{数值}时：{数值}分到期，是否续费？	2	1	会员到期	前往续费	以后再说		1	0				
8262	您的VIP基础服务于{数值}年{数值}月{数值}日{数值}时：{数值}分已到期，是否续费？	2	1	会员到期	前往续费	以后再说		1	0				
8263	您的VIP成长助力服务于{数值}年{数值}月{数值}日{数值}时：{数值}分已到期，是否续费？	2	1	会员到期	前往续费	以后再说		1	0				
8264	您的VIP收益帮手服务于{数值}年{数值}月{数值}日{数值}时：{数值}分已到期，是否续费？	2	1	会员到期	前往续费	以后再说		1	0				
8265	您的VIP基础服务有效期已达上限{数值}年{数值}月{数值}日！	1	1	温馨提示	确定			1	0				
8266	您的VIP成长助力服务有效期已达上限{数值}年{数值}月{数值}日！	1	1	温馨提示	确定			1	0				
8267	您的VIP收益帮手服务有效期已达上限{数值}年{数值}月{数值}日！	1	1	温馨提示	确定			1	0				
8268	客户端数据损坏，请重新安装官方客户端！	1		提示	确定			1				6	SpecialQuitGame
8269	您现在处于安全保护时间内，请稍后尝试此操作。剩余{数值}秒。	1	1	敏感操作提示	确定			1					
8270	{人物名称}邀请您加入团队！	2		提示	同意	拒绝		2	15		1	3	
8271	{人物名称}申请加入您的团队！	2		提示	同意	拒绝		2	15		1	1	
8272	转移后突破等级降低，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8273	是否进行转移？	2	1	提示	确定	取消		2	15		1	0	
8274	转移后{字符串}将与你绑定，是否进行转移？	2	1	提示	确定	取消		2	15		1	0	
8275	将重置角色形象,是否继续?	2		提示	同意	拒绝		2	15		1	1	
8276	升级后{字符串}将与你绑定，是否继续升级？	2		提示	确定	取消		2	15		1	0	
8277	弹劾团长需要支付{数值}金币，确定要弹劾吗？	2		弹劾	确定	取消		2	15		1	0	
8278	兑换素材足够！	1	1	提示	确定			1					
8279	兑换成功，{字符串}已放入你的背包。	1	1	提示	确定			1					
8280	解锁{字符串}需要{数量}个{字符串},是否确定消耗	2	1	提示	确定	取消		2					
8281	{字符串}数量不足，无法解锁	1	1	提示	确定			1					
8282	确定要拆卸并销毁{字符串}技能珠吗?	2	1	提示	确定	取消		2					
8283	升级后孔数减少，技能珠将被销毁，是否继续升级？	2	1	提示	确定	取消		2	15		1	0	
8284	{人物名称}邀请您的队友加入团队！	2		提示	同意	拒绝		2	15		1	3	
8285	请先复活自己！	2	1	提示	确定			1	15		1	0	
8286	你确定要消耗{字符串}来加速时间吗？	2	1	提示	确定	取消		2					
8287	精算点/庄园喵坷垃不足，无法加速	1	1	提示	确定								
8288	是否要消耗{数量}个{物品名称}解锁此技能栏？	2	1	提示	确定	取消		2					
8289	点券不足，无法购买！	1	1	提示	确定			1	0				
8290	请输入要发送的数量：	3	1	提示	确定	取消		2	0	max	1	0	
8291	"<P ALIGN=\"Center\">确定要消耗<FONT COLOR=\"\#30ff30\">{数值}</FONT>{字符串}吗？</P>\n<P ALIGN=\"Center\">猎币不足时，将消耗点券</P>"	2	1	提示	确定	取消		2	15		1	0	
8292	金币不足是否前往随身货币交易所购买?	1	1	提示	确定	取消		2					
8293	购买失败，您的点券不足	2	1	提示	快速购买	取消		2	0				
8294	购买成功！您已获得30天VIP特权	1	1	提示	确定			1	0				
8295	成为VIP即可开启随时邮箱功能，是否前往开启VIP?(也可前往米拉德村或梅杰波尔坦的信差艾露秋梨欧处收取邮件）	2	1	提示	是	否		2					
8296	是否支付{数值}个【收纳之书】解锁10个仓库格子？	2	1	提示	确定	取消		2					
8297	你确定要花费{数量}点券 续费{数量}天吗？	2	1	提示	确定	取消		2					
8298	续费成功！VIP猎人有效期限到{字符串}	1	1	提示	确定			1	0				
8299	你确定要花费{数量}点券 开通{字符串}吗？	2	1	提示	确定	取消		2	0				
8300	恭喜您，已经开通{字符串}，享受到更多VIP特权！VIP猎人有效期限到{数值}年{数值}月{数值}日。	1	1	提示	确定			1	0				
8301	{字符串}。如需解除该模式，请点击下方解除按钮。	2	1	敏感操作提示	解除	关闭		2					
8302	{字符串}不足！可点击【快速购买】{字符串}	2	1	提示	快速购买	关闭		2	0				
8303	角色等级达到10级后可使用举报功能。	1	1	提示	确定								
8304	您已达到今日举报上限，举报信息提交失败。	1	1	提示	确定								
8305	你是否要让{字符串}学习{字符串}	2	1	提示	确定	取消		2	0				
8306	是否确认需要遗忘此技能？	2	1	提示	确定	取消		2	0				
8307	请按O打开艾露猫界面，在技能分页点击空的技能栏后选择书籍鼠标右键学习！	1	1	提示	确定								
8308	您将对玩家{字符串}进行举报	2	1	提示	确认提交	取消		2	0				
8309	角色数量已达到创建上限	1	1	提示	确定			1			1	5	
8310	举报信息已发送	1	1	提示	确定								
8311	您今天的举报次数已达上限	1	1	提示	确定								
8312	您今天对该玩家的举报次数已达上限	1	1	提示	确定								
8313	确定要取消排队吗？	2	1	提示	确定	取消		1	0				
8314	您的举报过于频繁，请稍后再试	1	1	提示	确定								
8315	请直接点击仓库界面进行扩容	1	1	提示	确定			1	0				
8316	"上架成功！\n交易成功后，实际收入将发送至您的邮箱，请注意查收！"	1	1	上架	确定			1					
8317	上架失败！	1	1	上架	确定			1					
8318	部分物品超出可携带上限（或背包已满），已自动发送至您的仓库保存^_^	1		提示	确定			1				9	
