#TSV
#============Begin of sheet============
@Sheet=装备升级信息
ID	目标索引	装备ID	提升后物品id	强化等级下降	Rank等级下降	需求猎人星级	需求强化等级	需求装备物品等级	派生代币ID	派生代币抵扣金额	派生代币使用上限	需求金钱	需求素材ID1	所需数量1	需求素材ID2	所需数量2	需求素材ID3	所需数量3	需求素材ID4	所需数量4	需求素材ID5	所需数量5	需求素材ID6	所需数量6	类型素材1	类型素材点数1	类型素材2	类型素材点数2	类型素材3	类型素材点数3	类型素材4	类型素材点数4	类型素材5	类型素材点数5	类型素材6	类型素材点数6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
50074	50074	80082	80084	0	0	0	0					3500	21421	20																																								
50075	50075	80084	80085	0	0	0	0					5000	21421	40																																								
50076	50076	80085	80086	0	0	0	0					7000	21422	30																																								
50077	50077	80086	80087	0	0	0	0					9500	21422	35																																								
50078	50078	80087	80088	0	0	0	0					12500	21422	40																																								
50079	50079	80088	80089	0	0	0	0					16000	21422	70																																								
50080	50080	80089	80090	0	0	0	0					20000	21423	80																																								
50081	50081	80090	80091	0	0	0	0					24500	21423	85																																								
50082	50082	80091	80092	0	0	0	0					29500	21424	95																																								
50083	50083	80092	80093	0	0	0	0					35000	21425	100																																								
50084	50084	80093	80094	0	0	0	0					40500	21426	10																																								
50085	50085	80094	80095	0	0	0	0					46000	21426	15																																								
50086	50086	80095	80096	0	0	0	0					51500	21426	20																																								
50087	50087	80096	80097	0	0	0	0					57000	21426	25																																								
50088	50088	80097	80098	0	0	0	0					62500	21426	35																																								
50089	50089	80098	80099	0	0	0	0					68000	21426	50																																								
50090	50090	80099	80100	0	0	0	0					73500	21426	60																																								
50091	50091	80101	80102	0	0	0	0					2500	21421	15																																								
50092	50092	80102	80104	0	0	0	0					3500	21421	20																																								
50093	50093	80104	80105	0	0	0	0					5000	21421	40																																								
50094	50094	80105	80106	0	0	0	0					7000	21422	30																																								
50095	50095	80106	80107	0	0	0	0					9500	21422	35																																								
50096	50096	80107	80108	0	0	0	0					12500	21422	40																																								
50097	50097	80108	80109	0	0	0	0					16000	21422	70																																								
50098	50098	80109	80110	0	0	0	0					20000	21423	80																																								
50099	50099	80110	80111	0	0	0	0					24500	21423	85																																								
50100	50100	80111	80112	0	0	0	0					29500	21424	95																																								
50101	50101	80112	80113	0	0	0	0					35000	21425	100																																								
50102	50102	80113	80114	0	0	0	0					40500	21426	10																																								
50103	50103	80114	80115	0	0	0	0					46000	21426	15																																								
50104	50104	80115	80116	0	0	0	0					51500	21426	20																																								
50105	50105	80116	80117	0	0	0	0					57000	21426	25																																								
50106	50106	80117	80118	0	0	0	0					62500	21426	35																																								
50107	50107	80118	80119	0	0	0	0					68000	21426	50																																								
50108	50108	80119	80120	0	0	0	0					73500	21426	60																																								
50109	50109	80020	80121	0	0	0	0					79000	21426	70																																								
50110	50110	80121	80122	0	0	0	0					84500	21426	80																																								
50111	50111	80122	80123	0	0	0	0					90000	21426	90																																								
50112	50112	80123	80124	0	0	0	0					95500	21426	100																																								
50113	50113	80124	80125	0	0	0	0					101000	21426	110																																								
50114	50114	80125	80126	0	0	0	0					106500	21426	120																																								
50115	50115	80040	80127	0	0	0	0					79000	21426	70																																								
50116	50116	80127	80128	0	0	0	0					84500	21426	80																																								
50117	50117	80128	80129	0	0	0	0					90000	21426	90																																								
50118	50118	80129	80130	0	0	0	0					95500	21426	100																																								
50119	50119	80130	80131	0	0	0	0					101000	21426	110																																								
50120	50120	80131	80132	0	0	0	0					106500	21426	120																																								
50121	50121	80060	80133	0	0	0	0					79000	21426	70																																								
50122	50122	80133	80134	0	0	0	0					84500	21426	80																																								
50123	50123	80134	80135	0	0	0	0					90000	21426	90																																								
50124	50124	80135	80136	0	0	0	0					95500	21426	100																																								
50125	50125	80136	80137	0	0	0	0					101000	21426	110																																								
50126	50126	80137	80138	0	0	0	0					106500	21426	120																																								
50127	50127	80080	80139	0	0	0	0					79000	21426	70																																								
50128	50128	80139	80140	0	0	0	0					84500	21426	80																																								
50129	50129	80140	80141	0	0	0	0					90000	21426	90																																								
50130	50130	80141	80142	0	0	0	0					95500	21426	100																																								
50131	50131	80142	80143	0	0	0	0					101000	21426	110																																								
50132	50132	80143	80144	0	0	0	0					106500	21426	120																																								
50133	50133	80100	80145	0	0	0	0					79000	21426	70																																								
50134	50134	80145	80146	0	0	0	0					84500	21426	80																																								
50135	50135	80146	80147	0	0	0	0					90000	21426	90																																								
50136	50136	80147	80148	0	0	0	0					95500	21426	100																																								
50137	50137	80148	80149	0	0	0	0					101000	21426	110																																								
50138	50138	80149	80150	0	0	0	0					106500	21426	120																																								
50139	50139	80120	80151	0	0	0	0					79000	21426	70																																								
50140	50140	80151	80152	0	0	0	0					84500	21426	80																																								
50141	50141	80152	80153	0	0	0	0					90000	21426	90																																								
50142	50142	80153	80154	0	0	0	0					95500	21426	100																																								
50143	50143	80154	80155	0	0	0	0					101000	21426	110																																								
50144	50144	80155	80156	0	0	0	0					106500	21426	120																																								
50145	50145	80402	80403	0	0	0	0					2500	21421	15																																								
50146	50146	80403	80404	0	0	0	0					3500	21421	20																																								
50147	50147	80404	80405	0	0	0	0					5000	21421	40																																								
50148	50148	80405	80406	0	0	0	0					7000	21422	30																																								
50149	50149	80406	80407	0	0	0	0					9500	21422	35																																								
50150	50150	80407	80408	0	0	0	0					12500	21422	40																																								
50151	50151	80408	80409	0	0	0	0					16000	21422	70																																								
50152	50152	80409	80410	0	0	0	0					20000	21423	80																																								
50153	50153	80410	80411	0	0	0	0					24500	21423	85																																								
50154	50154	80411	80412	0	0	0	0					29500	21424	95																																								
50155	50155	80412	80413	0	0	0	0					35000	21425	100																																								
50156	50156	80413	80414	0	0	0	0					40500	21426	10																																								
50157	50157	80414	80415	0	0	0	0					46000	21426	15																																								
50158	50158	80415	80416	0	0	0	0					51500	21426	20																																								
50159	50159	80416	80417	0	0	0	0					57000	21426	25																																								
50160	50160	80417	80418	0	0	0	0					62500	21426	35																																								
50161	50161	80418	80419	0	0	0	0					68000	21426	50																																								
50162	50162	80419	80420	0	0	0	0					73500	21426	60																																								
50163	50163	80420	80421	0	0	0	0					79000	21426	70																																								
50164	50164	80421	80422	0	0	0	0					84500	21426	80																																								
50165	50165	80422	80423	0	0	0	0					90000	21426	90																																								
50166	50166	80423	80424	0	0	0	0					95500	21426	100																																								
50167	50167	80424	80425	0	0	0	0					101000	21426	110																																								
50168	50168	80425	80426	0	0	0	0					106500	21426	120																																								
50169	50169	80427	80428	0	0	0	0					2500	21421	15																																								
50170	50170	80428	80429	0	0	0	0					3500	21421	20																																								
50171	50171	80429	80430	0	0	0	0					5000	21421	40																																								
50172	50172	80430	80431	0	0	0	0					7000	21422	30																																								
50173	50173	80431	80432	0	0	0	0					9500	21422	35																																								
50174	50174	80432	80433	0	0	0	0					12500	21422	40																																								
50175	50175	80433	80434	0	0	0	0					16000	21422	70																																								
50176	50176	80434	80435	0	0	0	0					20000	21423	80																																								
50177	50177	80435	80436	0	0	0	0					24500	21423	85																																								
50178	50178	80436	80437	0	0	0	0					29500	21424	95																																								
50179	50179	80437	80438	0	0	0	0					35000	21425	100																																								
50180	50180	80438	80439	0	0	0	0					40500	21426	10																																								
50181	50181	80439	80440	0	0	0	0					46000	21426	15																																								
50182	50182	80440	80441	0	0	0	0					51500	21426	20																																								
50183	50183	80441	80442	0	0	0	0					57000	21426	25																																								
50184	50184	80442	80443	0	0	0	0					62500	21426	35																																								
50185	50185	80443	80444	0	0	0	0					68000	21426	50																																								
50186	50186	80444	80445	0	0	0	0					73500	21426	60																																								
50187	50187	80445	80446	0	0	0	0					79000	21426	70																																								
50188	50188	80446	80447	0	0	0	0					84500	21426	80																																								
50189	50189	80447	80448	0	0	0	0					90000	21426	90																																								
50190	50190	80448	80449	0	0	0	0					95500	21426	100																																								
50191	50191	80449	80450	0	0	0	0					101000	21426	110																																								
50192	50192	80450	80451	0	0	0	0					106500	21426	120																																								
50193	50193	80452	80453	0	0	0	0					2500	21421	15																																								
50194	50194	80453	80454	0	0	0	0					3500	21421	20																																								
50195	50195	80454	80455	0	0	0	0					5000	21421	40																																								
50196	50196	80455	80456	0	0	0	0					7000	21422	30																																								
50197	50197	80456	80457	0	0	0	0					9500	21422	35																																								
50198	50198	80457	80458	0	0	0	0					12500	21422	40																																								
50199	50199	80458	80459	0	0	0	0					16000	21422	70																																								
50200	50200	80459	80460	0	0	0	0					20000	21423	80																																								
50201	50201	80460	80461	0	0	0	0					24500	21423	85																																								
50202	50202	80461	80462	0	0	0	0					29500	21424	95																																								
50203	50203	80462	80463	0	0	0	0					35000	21425	100																																								
50204	50204	80463	80464	0	0	0	0					40500	21426	10																																								
50205	50205	80464	80465	0	0	0	0					46000	21426	15																																								
50206	50206	80465	80466	0	0	0	0					51500	21426	20																																								
50207	50207	80466	80467	0	0	0	0					57000	21426	25																																								
50208	50208	80467	80468	0	0	0	0					62500	21426	35																																								
50209	50209	80468	80469	0	0	0	0					68000	21426	50																																								
50210	50210	80469	80470	0	0	0	0					73500	21426	60																																								
50211	50211	80470	80471	0	0	0	0					79000	21426	70																																								
50212	50212	80471	80472	0	0	0	0					84500	21426	80																																								
50213	50213	80472	80473	0	0	0	0					90000	21426	90																																								
50214	50214	80473	80474	0	0	0	0					95500	21426	100																																								
50215	50215	80474	80475	0	0	0	0					101000	21426	110																																								
50216	50216	80475	80476	0	0	0	0					106500	21426	120																																								
50217	50217	80157	80158	0	0	0	0					2500	21421	15																																								
50218	50218	80158	80159	0	0	0	0					3500	21421	20																																								
50219	50219	80159	80160	0	0	0	0					5000	21421	40																																								
50220	50220	80160	80161	0	0	0	0					7000	21422	30																																								
50221	50221	80161	80162	0	0	0	0					9500	21422	35																																								
50222	50222	80162	80163	0	0	0	0					12500	21422	40																																								
50223	50223	80163	80164	0	0	0	0					16000	21422	70																																								
50224	50224	80164	80165	0	0	0	0					20000	21423	80																																								
50225	50225	80165	80166	0	0	0	0					24500	21423	85																																								
50226	50226	80166	80167	0	0	0	0					29500	21424	95																																								
50227	50227	80167	80168	0	0	0	0					35000	21425	100																																								
50228	50228	80168	80169	0	0	0	0					40500	21426	10																																								
50229	50229	80169	80170	0	0	0	0					46000	21426	15																																								
50230	50230	80170	80171	0	0	0	0					51500	21426	20																																								
50231	50231	80171	80172	0	0	0	0					57000	21426	25																																								
50232	50232	80172	80173	0	0	0	0					62500	21426	35																																								
50233	50233	80173	80174	0	0	0	0					68000	21426	50																																								
50234	50234	80174	80175	0	0	0	0					73500	21426	60																																								
50235	50235	80175	80176	0	0	0	0					79000	21426	70																																								
50236	50236	80176	80177	0	0	0	0					84500	21426	80																																								
50237	50237	80177	80178	0	0	0	0					90000	21426	90																																								
50238	50238	80178	80179	0	0	0	0					95500	21426	100																																								
50239	50239	80179	80180	0	0	0	0					101000	21426	110																																								
50240	50240	80180	80181	0	0	0	0					106500	21426	120																																								
10481	12219	50013	101003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
10491	12220	101003	102003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
10492	12221	102003	103003	0	0	1	0	1	21451	2000	11	47000	21115	12	21118	12	23231	2	23216	2																																		
10493	12222	103003	104003	0	0	1	0	1	21451	2000	36	145000	21119	30	23226	1	23217	1	23232	1																																		
12481	12227	51013	111003	0	0	1	0	1				3600	21114	30	21087	30																																						
12491	12228	111003	112003	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
16481	12230	53013	131003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
16491	12231	131003	132003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
16492	12232	132003	133003	0	0	1	0	1	21451	2000	11	47000	21115	12	21118	12	23210	2	23237	2																																		
16493	12956	133003	134003	0	0	1	0	1	21451	2000	36	145000	21119	30	23199	1	23259	1	23232	1																																		
14481	12239	52013	121003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
14491	12240	121003	122003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
14492	12241	122003	123003	0	0	1	0	1	21451	2000	11	47000	21115	12	21118	12	23204	2	23201	2																																		
14493	12242	123003	124003	0	0	1	0	1	21451	2000	36	145000	21119	30	23208	1	23262	1	23235	1																																		
14494	12243	124003	125003	0	0	1	0	1	21451	2000	50	200000	21119	30	23325	1	23328	1	23386	1																																		
28481	12224	59013	191003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
28491	12225	191003	192003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
18481	12216	54013	141003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
18491	12217	141003	142003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
18492	12218	142003	143003	0	0	1	0	1	21451	2000	11	47000	21115	12	21118	12	23189	2	23192	2																																		
18493	12958	143003	144003	0	0	1	0	1	21451	2000	36	145000	21119	30	23190	1	23229	1	23238	1																																		
20481	12236	55014	151004	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
20491	12237	151004	152004	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
24481	12245	57004	171003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
24491	12246	171003	172004	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
24492	12247	172004	173004	0	0	1	0	1	21451	2000	11	47000	21115	12	21118	12	23195	2	23234	2																																		
24493	12964	173004	174004	0	0	1	0	1	21451	2000	36	145000	21119	30	23211	1	23265	1	23238	1																																		
22481	12213	58003	181003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
22491	12214	181003	182003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
26481	12233	56003	161003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
26491	12234	161003	162003	0	0	1	0	1	21451	2000	1	4000	21114	30	21087	30																																						
30351	12954	210003	211003	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
10791	10747	50016	101006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
10821	10748	101006	102006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23123	3	23126	3																																		
12791	10755	51016	111006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
12821	10756	111006	112006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23311	3	23406	3																																		
16791	10758	53016	131006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
16821	10759	131006	132006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23123	3	23126	3																																		
14791	10767	52017	121007	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
14821	10768	121007	122007	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23135	3	23138	3																																		
14822	10769	122007	123007	0	0	1	0	1	21451	2000	25	100000	21044	10	21032	10	23139	2	23142	2																																		
14823	10770	123007	124007	0	0	1	0	1	21451	2000	50	200000	21047	10	21033	10	23160	1	23163	1																																		
28791	10752	59016	191006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
28821	10753	191006	192006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23120	3	23308	3																																		
18791	10744	54016	141006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
18821	10745	141006	142006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23117	3	23305	3																																		
18822	10746	142006	143006	0	0	1	0	1	21451	2000	8	35000	21044	10	21032	10	23213	2	23228	2																																		
18823	12960	143006	144006	0	0	1	0	1	21451	2000	36	145000	21047	10	21033	10	23211	1	23241	1																																		
20791	10764	55016	151006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
20821	10765	151006	152006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23320	3	23132	3																																		
24791	10772	57006	171006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
24821	10773	171006	172006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23299	3	23290	3																																		
24822	10774	172006	173006	0	0	1	0	1	21451	2000	8	35000	21044	10	21032	10	23231	2	23225	2																																		
24823	12966	173006	174006	0	0	1	0	1	21451	2000	36	145000	21047	10	21033	10	23256	1	23241	1																																		
22791	10741	58006	181006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
22821	10742	181006	182006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23302	3	23114	3																																		
22822	10743	182006	183006	0	0	1	0	1	21451	2000	8	35000	21044	10	21032	10	23186	2	23198	2																																		
22823	12962	183006	184006	0	0	1	0	1	21451	2000	36	145000	21047	10	21033	10	23202	1	23235	1																																		
26791	10761	56006	161006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
26821	10762	161006	162006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23317	3	23129	3																																		
30221	12838	210006	211006	0	0	1	0	1				3600	21028	6	21030	6	21029	6	21041	6																																		
30222	12839	211006	212006	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23317	3	23129	3																																		
10911	10485	50712	101702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
10912	10477	101702	102702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23329	3	23179	2																																		
10913	10469	102702	103702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23330	2	23180	2																																		
10914	10461	103702	104702	0	0	1	0	1	21451	2000	60	240000	21033	30	23184	1	23181	1	23322	1																																		
12911	10486	51712	111702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
12912	10478	111702	112702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23324	3	23327	2																																		
12913	10470	112702	113702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23124	2	23145	2																																		
12914	10462	113702	114702	0	0	1	0	1	21451	2000	60	240000	21033	30	23168	3	23169	2	23375	2																																		
16911	10487	53712	131702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
16912	10479	131702	132702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23158	3	23320	2																																		
16913	10471	132702	133702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23165	2	23171	2																																		
16914	10463	133702	134702	0	0	1	0	1	21451	2000	60	240000	21033	30	23408	1	23307	1	23310	1																																		
14911	10489	52712	121702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
14912	10481	121702	122702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23329	3	23323	2																																		
14913	10473	122702	123702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23180	2	23183	2																																		
14914	10465	123702	124702	0	0	1	0	1	21451	2000	60	240000	21033	30	23172	1	23178	1	23184	1																																		
18911	10484	54712	141702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
18912	10476	141702	142702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23296	3	23320	2																																		
18913	10468	142702	143702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23177	2	23374	2																																		
18914	10460	143702	144702	0	0	1	0	1	21451	2000	60	240000	21033	30	23168	3	23183	3	23322	1																																		
20911	10488	55712	151702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
20912	10480	151702	152702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23284	3	23173	2																																		
20913	10472	152702	153702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23168	2	23321	2																																		
20914	10464	153702	154702	0	0	1	0	1	21451	2000	60	240000	21033	30	23322	1	23146	1	23160	1																																		
24911	10490	57702	171702	0	0	1	0	1	21451	2000	1	4000	21040	30	21050	30																																						
24912	10482	171702	172702	0	0	1	0	1	21451	2000	6	24000	21043	30	21031	30	23167	3	23176	3																																		
24913	10474	172702	173702	0	0	1	0	1	21451	2000	32	128000	21032	30	21044	30	23321	2	23324	2																																		
24914	10466	173702	174702	0	0	1	0	1	21451	2000	60	240000	21033	30	23307	1	23353	1	23119	1																																		
10111	10535	50011	101001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
10211	10545	101001	102001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
12111	10531	51011	111001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
12211	10541	111001	112001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
16111	10540	53011	131001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
16211	10546	131001	132001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
14111	10537	52011	121001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
14211	10548	121001	122001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
28111	10532	59011	191001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
28211	10542	191001	192001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
18111	10534	54011	141001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
18211	10544	141001	142001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
20111	10536	55011	151001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
20211	10547	151001	152001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
24111	10538	57001	171001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
24211	10549	171001	172001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
22111	10533	58001	181001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
22211	10543	181001	182001	0	0	1	0	1	21451	2000	4	16000	21043	10	21031	10	23188	3	23191	3																																		
26111	10539	56001	161001	0	0	1	0	1				3600	21112	6	21085	6	21088	6	21089	6																																		
