#TSV
#============Begin of sheet============
@Sheet=亚种怪物武器模型ID
avatarid	partid	modelfile1	modelfile2	usecustomcolor	customcolor	texture	secondary_usecustomcolor	secondary_customcolor	secondary_texture	surfacetype	customeffect	effect_pos	effect_angle	effect_scale	effect_bone	effect_worlddir	customeffect_slave	effect_slave_pos	effect_slave_angle	effect_slave_scale	effect_slave_bone	effect_slave_worlddir
310202	31	Objects/weapons/d/em004_we_d/em004_we_d.chr		0	0,0,0	Objects/weapons/d/em004_u01_we_d/em004_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320202	32	Objects/weapons/c/em004_we_c/em004_we_c.chr		0	0,0,0	Objects/weapons/c/em004_u01_we_c/em004_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330202	33	Objects/weapons/q/em004_we_q/em004_we_q_z.chr	Objects/weapons/q/em004_we_q/em004_we_q_y.chr	0	0,0,0	Objects/weapons/q/em004_u01_we_q/em004_u01_we_q.mtl			Objects/weapons/q/em004_u01_we_q/em004_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340202	34	Objects/weapons/p/em004_we_p/em004_we_p_z.chr	Objects/weapons/p/em004_we_p/em004_we_p_y.chr	0	0,0,0	Objects/weapons/p/em004_u01_we_p/em004_u01_we_p.mtl			Objects/weapons/p/em004_u01_we_p/em004_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350202	35	Objects/weapons/n/em004_we_n/em004_we_n.chr		0	0,0,0	Objects/weapons/n/em004_u01_we_n/em004_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360202	36	Objects/weapons/s/em004_we_s/em004_we_s_z.chr	Objects/weapons/s/em004_we_s/em004_we_s_y.chr	0	0,0,0	Objects/weapons/s/em004_u01_we_s/em004_u01_we_s.mtl			Objects/weapons/s/em004_u01_we_s/em004_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370202	37	Objects/weapons/t/em004_we_t/em004_we_t_z.chr	Objects/weapons/t/em004_we_t/em004_we_t_y.chr	0	0,0,0	Objects/weapons/t/em004_u01_we_t/em004_u01_we_t.mtl			Objects/weapons/t/em004_u01_we_t/em004_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380202	38	Objects/weapons/f/em004_we_f/em004_we_f.chr		0	0,0,0	Objects/weapons/f/em004_u01_we_f/em004_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390202	39	Objects/weapons/u/em004_we_u/em004_we_u_z.chr	Objects/weapons/u/em004_we_u/em004_we_u_y.chr	0	0,0,0	Objects/weapons/u/em004_u01_we_u/em004_u01_we_u.mtl			Objects/weapons/u/em004_u01_we_u/em004_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400202	40	Objects/weapons/g/em004_we_g/em004_we_g_z.chr	Objects/weapons/g/em004_we_g/em004_we_g_y.chr	0	0,0,0	Objects/weapons/g/em004_u01_we_g/em004_u01_we_g.mtl			Objects/weapons/g/em004_u01_we_g/em004_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310203	31	Objects/weapons/d/em008_we_d/em008_we_d.chr		0	0,0,0	Objects/weapons/d/em008_u01_we_d/em008_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320203	32	Objects/weapons/c/em008_we_c/em008_we_c.chr		0	0,0,0	Objects/weapons/c/em008_u01_we_c/em008_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330203	33	Objects/weapons/q/em008_we_q/em008_we_q_z.chr	Objects/weapons/q/em008_we_q/em008_we_q_y.chr	0	0,0,0	Objects/weapons/q/em008_u01_we_q/em008_u01_we_q.mtl			Objects/weapons/q/em008_u01_we_q/em008_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340203	34	Objects/weapons/p/em008_we_p/em008_we_p_z.chr	Objects/weapons/p/em008_we_p/em008_we_p_y.chr	0	0,0,0	Objects/weapons/p/em008_u01_we_p/em008_u01_we_p.mtl			Objects/weapons/p/em008_u01_we_p/em008_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350203	35	Objects/weapons/n/em008_we_n/em008_we_n.chr		0	0,0,0	Objects/weapons/n/em008_u01_we_n/em008_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360203	36	Objects/weapons/s/em008_we_s/em008_we_s_z.chr	Objects/weapons/s/em008_we_s/em008_we_s_y.chr	0	0,0,0	Objects/weapons/s/em008_u01_we_s/em008_u01_we_s.mtl			Objects/weapons/s/em008_u01_we_s/em008_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370203	37	Objects/weapons/t/em008_we_t/em008_we_t_z.chr	Objects/weapons/t/em008_we_t/em008_we_t_y.chr	0	0,0,0	Objects/weapons/t/em008_u01_we_t/em008_u01_we_t.mtl			Objects/weapons/t/em008_u01_we_t/em008_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380203	38	Objects/weapons/f/em008_we_f/em008_we_f.chr		0	0,0,0	Objects/weapons/f/em008_u01_we_f/em008_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390203	39	Objects/weapons/u/em008_we_u/em008_we_u_z.chr	Objects/weapons/u/em008_we_u/em008_we_u_y.chr	0	0,0,0	Objects/weapons/u/em008_u01_we_u/em008_u01_we_u.mtl			Objects/weapons/u/em008_u01_we_u/em008_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400203	40	Objects/weapons/g/em008_we_g/em008_we_g_z.chr	Objects/weapons/g/em008_we_g/em008_we_g_y.chr	0	0,0,0	Objects/weapons/g/em008_u01_we_g/em008_u01_we_g.mtl			Objects/weapons/g/em008_u01_we_g/em008_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310204	31	Objects/weapons/d/em007_we_d/em007_we_d.chr		0	0,0,0	Objects/weapons/d/em007_u01_we_d/em007_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320204	32	Objects/weapons/c/em007_we_c/em007_we_c.chr		0	0,0,0	Objects/weapons/c/em007_u01_we_c/em007_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330204	33	Objects/weapons/q/em007_we_q/em007_we_q_z.chr	Objects/weapons/q/em007_we_q/em007_we_q_y.chr	0	0,0,0	Objects/weapons/q/em007_u01_we_q/em007_u01_we_q.mtl			Objects/weapons/q/em007_u01_we_q/em007_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340204	34	Objects/weapons/p/em007_we_p/em007_we_p_z.chr	Objects/weapons/p/em007_we_p/em007_we_p_y.chr	0	0,0,0	Objects/weapons/p/em007_u01_we_p/em007_u01_we_p.mtl			Objects/weapons/p/em007_u01_we_p/em007_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350204	35	Objects/weapons/n/em007_we_n/em007_we_n.chr		0	0,0,0	Objects/weapons/n/em007_u01_we_n/em007_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360204	36	Objects/weapons/s/em007_we_s/em007_we_s_z.chr	Objects/weapons/s/em007_we_s/em007_we_s_y.chr	0	0,0,0	Objects/weapons/s/em007_u01_we_s/em007_u01_we_s.mtl			Objects/weapons/s/em007_u01_we_s/em007_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370204	37	Objects/weapons/t/em007_we_t/em007_we_t_z.chr	Objects/weapons/t/em007_we_t/em007_we_t_y.chr	0	0,0,0	Objects/weapons/t/em007_u01_we_t/em007_u01_we_t.mtl			Objects/weapons/t/em007_u01_we_t/em007_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380204	38	Objects/weapons/f/em007_we_f/em007_we_f.chr		0	0,0,0	Objects/weapons/f/em007_u01_we_f/em007_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390204	39	Objects/weapons/u/em007_we_u/em007_we_u_z.chr	Objects/weapons/u/em007_we_u/em007_we_u_y.chr	0	0,0,0	Objects/weapons/u/em007_u01_we_u/em007_u01_we_u.mtl			Objects/weapons/u/em007_u01_we_u/em007_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400204	40	Objects/weapons/g/em007_we_g/em007_we_g_z.chr	Objects/weapons/g/em007_we_g/em007_we_g_y.chr	0	0,0,0	Objects/weapons/g/em007_u01_we_g/em007_u01_we_g.mtl			Objects/weapons/g/em007_u01_we_g/em007_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310205	31	Objects/weapons/d/em005_we_d/em005_we_d.chr		0	0,0,0	Objects/weapons/d/em005_u01_we_d/em005_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320205	32	Objects/weapons/c/em005_we_c/em005_we_c.chr		0	0,0,0	Objects/weapons/c/em005_u01_we_c/em005_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330205	33	Objects/weapons/q/em005_we_q/em005_we_q_z.chr	Objects/weapons/q/em005_we_q/em005_we_q_y.chr	0	0,0,0	Objects/weapons/q/em005_u01_we_q/em005_u01_we_q.mtl			Objects/weapons/q/em005_u01_we_q/em005_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340205	34	Objects/weapons/p/em005_we_p/em005_we_p_z.chr	Objects/weapons/p/em005_we_p/em005_we_p_y.chr	0	0,0,0	Objects/weapons/p/em005_u01_we_p/em005_u01_we_p.mtl			Objects/weapons/p/em005_u01_we_p/em005_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350205	35	Objects/weapons/n/em005_we_n/em005_we_n.chr		0	0,0,0	Objects/weapons/n/em005_u01_we_n/em005_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360205	36	Objects/weapons/s/em005_we_s/em005_we_s_z.chr	Objects/weapons/s/em005_we_s/em005_we_s_y.chr	0	0,0,0	Objects/weapons/s/em005_u01_we_s/em005_u01_we_s.mtl			Objects/weapons/s/em005_u01_we_s/em005_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370205	37	Objects/weapons/t/em005_we_t/em005_we_t_z.chr	Objects/weapons/t/em005_we_t/em005_we_t_y.chr	0	0,0,0	Objects/weapons/t/em005_u01_we_t/em005_u01_we_t.mtl			Objects/weapons/t/em005_u01_we_t/em005_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380205	38	Objects/weapons/f/em005_we_f/em005_we_f.chr		0	0,0,0	Objects/weapons/f/em005_u01_we_f/em005_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390205	39	Objects/weapons/u/em005_we_u/em005_we_u_z.chr	Objects/weapons/u/em005_we_u/em005_we_u_y.chr	0	0,0,0	Objects/weapons/u/em005_u01_we_u/em005_u01_we_u.mtl			Objects/weapons/u/em005_u01_we_u/em005_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400205	40	Objects/weapons/g/em005_we_g/em005_we_g_z.chr	Objects/weapons/g/em005_we_g/em005_we_g_y.chr	0	0,0,0	Objects/weapons/g/em005_u01_we_g/em005_u01_we_g.mtl			Objects/weapons/g/em005_u01_we_g/em005_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310206	31	Objects/weapons/d/em012_we_d/em012_we_d.chr		0	0,0,0	Objects/weapons/d/em012_u01_we_d/em012_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320206	32	Objects/weapons/c/em012_we_c/em012_we_c.chr		0	0,0,0	Objects/weapons/c/em012_u01_we_c/em012_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330206	33	Objects/weapons/q/em012_we_q/em012_we_q_z.chr	Objects/weapons/q/em012_we_q/em012_we_q_y.chr	0	0,0,0	Objects/weapons/q/em012_u01_we_q/em012_u01_we_q.mtl			Objects/weapons/q/em012_u01_we_q/em012_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340206	34	Objects/weapons/p/em012_we_p/em012_we_p_z.chr	Objects/weapons/p/em012_we_p/em012_we_p_y.chr	0	0,0,0	Objects/weapons/p/em012_u01_we_p/em012_u01_we_p.mtl			Objects/weapons/p/em012_u01_we_p/em012_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350206	35	Objects/weapons/n/em012_we_n/em012_we_n.chr		0	0,0,0	Objects/weapons/n/em012_u01_we_n/em012_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360206	36	Objects/weapons/s/em012_we_s/em012_we_s_z.chr	Objects/weapons/s/em012_we_s/em012_we_s_y.chr	0	0,0,0	Objects/weapons/s/em012_u01_we_s/em012_u01_we_s.mtl			Objects/weapons/s/em012_u01_we_s/em012_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370206	37	Objects/weapons/t/em012_we_t/em012_we_t_z.chr	Objects/weapons/t/em012_we_t/em012_we_t_y.chr	0	0,0,0	Objects/weapons/t/em012_u01_we_t/em012_u01_we_t.mtl			Objects/weapons/t/em012_u01_we_t/em012_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380206	38	Objects/weapons/f/em012_we_f/em012_we_f.chr		0	0,0,0	Objects/weapons/f/em012_u01_we_f/em012_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390206	39	Objects/weapons/u/em012_we_u/em012_we_u_z.chr	Objects/weapons/u/em012_we_u/em012_we_u_y.chr			Objects/weapons/u/em012_u01_we_u/em012_u01_we_u.mtl			Objects/weapons/u/em012_u01_we_u/em012_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400206	40	Objects/weapons/g/em012_we_g/em012_we_g_z.chr	Objects/weapons/g/em012_we_g/em012_we_g_y.chr			Objects/weapons/g/em012_u01_we_g/em012_u01_we_g.mtl			Objects/weapons/g/em012_u01_we_g/em012_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310207	31	Objects/weapons/d/em009_we_d/em009_we_d.chr		0	0,0,0	Objects/weapons/d/em009_u01_we_d/em009_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320207	32	Objects/weapons/c/em009_we_c/em009_we_c.chr		0	0,0,0	Objects/weapons/c/em009_u01_we_c/em009_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330207	33	Objects/weapons/q/em009_we_q/em009_we_q_z.chr	Objects/weapons/q/em009_we_q/em009_we_q_y.chr	0	0,0,0	Objects/weapons/q/em009_u01_we_q/em009_u01_we_q.mtl			Objects/weapons/q/em009_u01_we_q/em009_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340207	34	Objects/weapons/p/em009_we_p/em009_we_p_z.chr	Objects/weapons/p/em009_we_p/em009_we_p_y.chr	0	0,0,0	Objects/weapons/p/em009_u01_we_p/em009_u01_we_p.mtl			Objects/weapons/p/em009_u01_we_p/em009_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350207	35	Objects/weapons/n/em009_we_n/em009_we_n.chr		0	0,0,0	Objects/weapons/n/em009_u01_we_n/em009_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360207	36	Objects/weapons/s/em009_we_s/em009_we_s_z.chr	Objects/weapons/s/em009_we_s/em009_we_s_y.chr	0	0,0,0	Objects/weapons/s/em009_u01_we_s/em009_u01_we_s.mtl			Objects/weapons/s/em009_u01_we_s/em009_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370207	37	Objects/weapons/t/em009_we_t/em009_we_t_z.chr	Objects/weapons/t/em009_we_t/em009_we_t_y.chr	0	0,0,0	Objects/weapons/t/em009_u01_we_t/em009_u01_we_t.mtl			Objects/weapons/t/em009_u01_we_t/em009_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380207	38	Objects/weapons/f/em009_we_f/em009_we_f.chr		0	0,0,0	Objects/weapons/f/em009_u01_we_f/em009_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390207	39	Objects/weapons/u/em009_we_u/em009_we_u_z.chr	Objects/weapons/u/em009_we_u/em009_we_u_y.chr	0	0,0,0	Objects/weapons/u/em009_u01_we_u/em009_u01_we_u.mtl			Objects/weapons/u/em009_u01_we_u/em009_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400207	40	Objects/weapons/g/em009_we_g/em009_we_g_z.chr	Objects/weapons/g/em009_we_g/em009_we_g_y.chr	0	0,0,0	Objects/weapons/g/em009_u01_we_g/em009_u01_we_g.mtl			Objects/weapons/g/em009_u01_we_g/em009_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310208	31	Objects/weapons/d/em010_we_d/em010_we_d.chr		0	0,0,0	Objects/weapons/d/em010_u01_we_d/em010_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320208	32	Objects/weapons/c/em010_we_c/em010_we_c.chr		0	0,0,0	Objects/weapons/c/em010_u01_we_c/em010_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330208	33	Objects/weapons/q/em010_we_q/em010_we_q_z.chr	Objects/weapons/q/em010_we_q/em010_we_q_y.chr	0	0,0,0	Objects/weapons/q/em010_u01_we_q/em010_u01_we_q.mtl			Objects/weapons/q/em010_u01_we_q/em010_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340208	34	Objects/weapons/p/em010_we_p/em010_we_p_z.chr	Objects/weapons/p/em010_we_p/em010_we_p_y.chr	0	0,0,0	Objects/weapons/p/em010_u01_we_p/em010_u01_we_p.mtl			Objects/weapons/p/em010_u01_we_p/em010_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350208	35	Objects/weapons/n/em010_we_n/em010_we_n.chr		0	0,0,0	Objects/weapons/n/em010_u01_we_n/em010_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360208	36	Objects/weapons/s/em010_we_s/em010_we_s_z.chr	Objects/weapons/s/em010_we_s/em010_we_s_y.chr	0	0,0,0	Objects/weapons/s/em010_u01_we_s/em010_u01_we_s.mtl			Objects/weapons/s/em010_u01_we_s/em010_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370208	37	Objects/weapons/t/em010_we_t/em010_we_t_z.chr	Objects/weapons/t/em010_we_t/em010_we_t_y.chr	0	0,0,0	Objects/weapons/t/em010_u01_we_t/em010_u01_we_t.mtl			Objects/weapons/t/em010_u01_we_t/em010_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380208	38	Objects/weapons/f/em010_we_f/em010_we_f.chr		0	0,0,0	Objects/weapons/f/em010_u01_we_f/em010_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390208	39	Objects/weapons/u/em010_we_u/em010_we_u_z.chr	Objects/weapons/u/em010_we_u/em010_we_u_y.chr	0	0,0,0	Objects/weapons/u/em010_u01_we_u/em010_u01_we_u.mtl			Objects/weapons/u/em010_u01_we_u/em010_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400208	40	Objects/weapons/g/em010_we_g/em010_we_g_z.chr	Objects/weapons/g/em010_we_g/em010_we_g_y.chr	0	0,0,0	Objects/weapons/g/em010_u01_we_g/em010_u01_we_g.mtl			Objects/weapons/g/em010_u01_we_g/em010_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310209	31	Objects/weapons/d/em013_we_d/em013_we_d.chr		0	0,0,0	Objects/weapons/d/em013_u01_we_d/em013_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
