#TSV
#============Begin of sheet============
@Sheet=开箱子
开包物品ID	开包物品名称	消耗材料	开包时间	道具添加模式	随机物品组Min	随机物品组Max	绑定类型	重复选择物品组	物品组ID	相对概率	随机物品次数Min	随机物品次数Max
549	初级耐绝原珠	0	1000		0	0	3	0	54	0	0	0
550	中级耐绝原珠	0	1000		0	0	3	0	55	0	0	0
551	初级装填原珠	0	1000		0	0	3	0	56	0	0	0
552	中级装填原珠	0	1000		0	0	3	0	57	0	0	0
553	初级异攻原珠	0	1000		0	0	3	0	58	0	0	0
554	中级异攻原珠	0	1000		0	0	3	0	59	0	0	0
555	初级增榴原珠	0	1000		0	0	3	0	60	0	0	0
556	中级增榴原珠	0	1000		0	0	3	0	61	0	0	0
557	初级团队原珠	0	1000		0	0	3	0	62	0	0	0
558	中级团队原珠	0	1000		0	0	3	0	63	0	0	0
559	初级陷阱原珠	0	1000		0	0	3	0	64	0	0	0
560	中级陷阱原珠	0	1000		0	0	3	0	65	0	0	0
561	初级通弹原珠	0	1000		0	0	3	0	66	0	0	0
562	中级通弹原珠	0	1000		0	0	3	0	67	0	0	0
563	初级震地原珠	0	1000		0	0	3	0	68	0	0	0
564	中级震地原珠	0	1000		0	0	3	0	69	0	0	0
565	初级坚韧原珠	0	1000		0	0	3	0	70	0	0	0
566	中级坚韧原珠	0	1000		0	0	3	0	71	0	0	0
567	初级红线原珠	0	1000		0	0	3	0	72	0	0	0
568	中级红线原珠	0	1000		0	0	3	0	73	0	0	0
569	初级耐眠原珠	0	1000		0	0	3	0	74	0	0	0
570	中级耐眠原珠	0	1000		0	0	3	0	75	0	0	0
571	初级加眠原珠	0	1000		0	0	3	0	76	0	0	0
572	中级加眠原珠	0	1000		0	0	3	0	77	0	0	0
573	初级气息原珠	0	1000		0	0	3	0	78	0	0	0
574	中级气息原珠	0	1000		0	0	3	0	79	0	0	0
575	初级听力原珠	0	1000		0	0	3	0	80	0	0	0
576	中级听力原珠	0	1000		0	0	3	0	81	0	0	0
577	初级回耐原珠	0	1000		0	0	3	0	82	0	0	0
578	中级回耐原珠	0	1000		0	0	3	0	83	0	0	0
579	初级回避原珠	0	1000		0	0	3	0	84	0	0	0
580	中级回避原珠	0	1000		0	0	3	0	85	0	0	0
581	初级加麻原珠	0	1000		0	0	3	0	86	0	0	0
582	中级加麻原珠	0	1000		0	0	3	0	87	0	0	0
583	初级根性原珠	0	1000		0	0	3	0	88	0	0	0
584	中级根性原珠	0	1000		0	0	3	0	89	0	0	0
585	初级挑战原珠	0	1000		0	0	3	0	90	0	0	0
586	中级挑战原珠	0	1000		0	0	3	0	91	0	0	0
587	初级抗菌原珠	0	1000		0	0	3	0	92	0	0	0
588	中级抗菌原珠	0	1000		0	0	3	0	93	0	0	0
589	盾蟹贝囊	0	1000		0	0	3	0	117	0	0	0
590	登录礼包【壹】	0	1000		0	0	2	0	742	0	0	0
590	登录礼包【壹】	0	1000		0	0	2	0	737	0	0	0
590	登录礼包【壹】	0	1000		0	0	2	0	725	0	0	0
591	登录礼包【贰】	0	1000		0	0	2	0	742	0	0	0
591	登录礼包【贰】	0	1000		0	0	2	0	738	0	0	0
591	登录礼包【贰】	0	1000		0	0	2	0	121	0	0	0
591	登录礼包【贰】	0	1000		0	0	2	0	726	0	0	0
592	登录礼包【叁】	0	1000		0	0	2	0	742	0	0	0
592	登录礼包【叁】	0	1000		0	0	2	0	739	0	0	0
592	登录礼包【叁】	0	1000		0	0	2	0	121	0	0	0
592	登录礼包【叁】	0	1000		0	0	2	0	727	0	0	0
593	登录礼包【肆】	0	1000		0	0	2	0	206	0	0	0
593	登录礼包【肆】	0	1000		0	0	2	0	742	0	0	0
593	登录礼包【肆】	0	1000		0	0	2	0	740	0	0	0
593	登录礼包【肆】	0	1000		0	0	2	0	729	0	0	0
593	登录礼包【肆】	0	1000		0	0	2	0	728	0	0	0
594	登录礼包【伍】	0	1000		0	0	2	0	206	0	0	0
594	登录礼包【伍】	0	1000		0	0	2	0	742	0	0	0
594	登录礼包【伍】	0	1000		0	0	2	0	741	0	0	0
594	登录礼包【伍】	0	1000		0	0	2	0	731	0	0	0
594	登录礼包【伍】	0	1000		0	0	2	0	730	0	0	0
595	登录礼包【陆】	0	1000		0	0	2	0	193	0	0	0
595	登录礼包【陆】	0	1000		0	0	2	0	742	0	0	0
595	登录礼包【陆】	0	1000		0	0	2	0	741	0	0	0
595	登录礼包【陆】	0	1000		0	0	2	0	733	0	0	0
595	登录礼包【陆】	0	1000		0	0	2	0	732	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	194	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	735	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	742	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	263	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	741	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	736	0	0	0
596	登录礼包【柒】	0	1000		0	0	2	0	734	0	0	0
632	采取胚珠	0	1000		0	0	3	0	632	0	0	0
633	偷袭胚珠	0	1000		0	0	3	0	633	0	0	0
634	耐毒胚珠	0	1000		0	0	3	0	634	0	0	0
635	潜伏胚珠	0	1000		0	0	3	0	635	0	0	0
636	散弹胚珠	0	1000		0	0	3	0	636	0	0	0
637	铁壁胚珠	0	1000		0	0	3	0	637	0	0	0
638	流水胚珠	0	1000		0	0	3	0	638	0	0	0
639	火炎胚珠	0	1000		0	0	3	0	639	0	0	0
640	耐污胚珠	0	1000		0	0	3	0	640	0	0	0
641	贯通胚珠	0	1000		0	0	3	0	641	0	0	0
642	雷光胚珠	0	1000		0	0	3	0	642	0	0	0
643	冰结胚珠	0	1000		0	0	3	0	643	0	0	0
644	生存胚珠	0	1000		0	0	3	0	644	0	0	0
645	防风胚珠	0	1000		0	0	3	0	645	0	0	0
646	冰河胚珠	0	1000		0	0	3	0	646	0	0	0
647	强走胚珠	0	1000		0	0	3	0	647	0	0	0
648	转起胚珠	0	1000		0	0	3	0	648	0	0	0
649	剑豪胚珠	0	1000		0	0	3	0	649	0	0	0
650	爆发胚珠	0	1000		0	0	3	0	650	0	0	0
651	热血胚珠	0	1000		0	0	3	0	651	0	0	0
701	艾露的宝物袋	0	1000		0	0	3	0	190	0	0	0
701	艾露的宝物袋	0	1000		0	0	3	0	191	0	0	0
702	风化矿石	0	1000		0	0	3	0	702	0	0	0
703	加工过的蜂蜜	0	1000		0	0	3	0	703	0	0	0
704	昆虫标本	0	1000		0	0	3	0	704	0	0	0
705	不明确的药剂	0	1000		0	0	3	0	705	0	0	0
706	鱼类化石	0	1000		0	0	3	0	706	0	0	0
707	基础艾露武器涂料袋	0	1000		0	0	3	0	707	0	0	0
708	普通艾露武器涂料袋	0	1000		0	0	3	0	708	0	0	0
709	高级艾露武器涂料袋	0	1000		0	0	3	0	709	0	0	0
710	极品艾露武器涂料袋	0	1000		0	0	3	0	710	0	0	0
711	一星武器部件	0	1000		0	0	3	0	711	0	0	0
712	二星武器部件	0	1000		0	0	3	0	712	0	0	0
713	三星武器部件	0	1000		0	0	3	0	713	0	0	0
714	四星武器部件	0	1000		0	0	3	0	714	0	0	0
715	五星武器部件	0	1000		0	0	3	0	715	0	0	0
716	美食生产配方书	0	1000		0	0	3	0	716	0	0	0
717	发明生产配方书	0	1000		0	0	3	0	717	0	0	0
718	珠宝生产配方书	0	1000		0	0	3	0	718	0	0	0
719	秘石端材包	0	1000		0	0	3	0	719	0	0	0
720	艾露猫的秘籍袋	0	1000		0	0	3	0	720	0	0	0
721	基础艾露防具涂料袋	0	1000		0	0	3	0	721	0	0	0
722	普通艾露防具涂料袋	0	1000		0	0	3	0	722	0	0	0
723	高级艾露防具涂料袋	0	1000		0	0	3	0	723	0	0	0
724	极品艾露防具涂料袋	0	1000		0	0	3	0	724	0	0	0
729	猎户时装宝箱	0	1000		0	0	3	0	201	0	0	0
729	猎户时装宝箱	0	1000		0	0	3	0	202	0	0	0
729	猎户时装宝箱	0	1000		0	0	3	0	203	0	0	0
729	猎户时装宝箱	0	1000		0	0	3	0	204	0	0	0
729	猎户时装宝箱	0	1000		0	0	3	0	205	0	0	0
730	金色套件宝箱	0	1000		0	0	3	1	236	0	0	0
731	银色套件宝箱	0	1000		0	0	3	0	237	0	0	0
732	强化素材宝箱【红】	0	1000		0	0	3	1	224	0	0	0
733	强化素材宝箱【银】	0	1000		0	0	3	1	225	0	0	0
734	强化素材宝箱【金】	0	1000		0	0	3	1	226	0	0	0
735	强化素材宝箱【紫】	0	1000		0	0	3	1	227	0	0	0
736	精选矿石包	0	1000		0	0	3	1	228	0	0	0
737	精选昆虫包	0	1000		0	0	3	1	229	0	0	0
738	精选草药包	0	1000		0	0	3	1	230	0	0	0
739	精选骨头包	0	1000		0	0	3	1	231	0	0	0
740	精选原珠包	0	1000		0	0	3	1	232	0	0	0
741	精选粉尘包	0	1000		0	0	3	1	233	0	0	0
742	精选狩猎券包	0	1000		0	0	3	0	216	0	0	0
742	精选狩猎券包	0	1000		0	0	3	0	234	0	0	0
743	精选工匠作品包	0	1000		0	0	3	1	235	0	0	0
744	伙伴的答谢礼包	0	1000		0	0	3	1	238	0	0	0
745	庄园好礼	0	1000		0	0	3	1	239	0	0	0
746	工匠好礼	0	1000		0	0	3	1	228	0	0	0
747	飒爽套装-眼罩	0	1000		0	0	3	1	240	0	0	0
748	飒爽套装-其他	0	1000		0	0	3	0	241	0	0	0
748	飒爽套装-其他	0	1000		0	0	3	0	242	0	0	0
748	飒爽套装-其他	0	1000		0	0	3	0	243	0	0	0
748	飒爽套装-其他	0	1000		0	0	3	0	244	0	0	0
749	TGC活动礼包	0	1000		0	0	3	0	245	0	0	0
749	TGC活动礼包	0	1000		0	0	3	0	246	0	0	0
749	TGC活动礼包	0	1000		0	0	3	0	247	0	0	0
750	端午节礼盒	0	1000		0	0	3	0	248	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	249	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	250	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	251	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	252	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	253	0	0	0
751	神秘装备宝箱	0	1000		0	0	3	0	254	0	0	0
752	怪奇时装宝箱	0	1000		0	0	3	0	255	0	0	0
752	怪奇时装宝箱	0	1000		0	0	3	0	256	0	0	0
752	怪奇时装宝箱	0	1000		0	0	3	0	257	0	0	0
752	怪奇时装宝箱	0	1000		0	0	3	0	258	0	0	0
752	怪奇时装宝箱	0	1000		0	0	3	0	259	0	0	0
753	幸运礼盒	0	1000		0	0	3	0	260	0	0	0
753	幸运礼盒	0	1000		0	0	3	0	261	0	0	0
753	幸运礼盒	0	1000		0	0	3	0	262	0	0	0
754	特权礼盒	0	1000		0	0	3	0	263	0	0	0
754	特权礼盒	0	1000		0	0	3	0	264	0	0	0
754	特权礼盒	0	1000		0	0	3	0	265	0	0	0
754	特权礼盒	0	1000		0	0	3	0	266	0	0	0
755	高级特权礼盒	0	1000		0	0	3	0	263	0	0	0
755	高级特权礼盒	0	1000		0	0	3	0	267	0	0	0
755	高级特权礼盒	0	1000		0	0	3	0	268	0	0	0
755	高级特权礼盒	0	1000		0	0	3	0	269	0	0	0
756	子弹包【通常弹】	0	1000		0	0	3	0	280	0	0	0
756	子弹包【通常弹】	0	1000		0	0	3	0	281	0	0	0
756	子弹包【通常弹】	0	1000		0	0	3	0	282	0	0	0
757	子弹包【彻甲榴弹】	0	1000		0	0	3	0	283	0	0	0
757	子弹包【彻甲榴弹】	0	1000		0	0	3	0	284	0	0	0
757	子弹包【彻甲榴弹】	0	1000		0	0	3	0	285	0	0	0
758	子弹包【散弹】	0	1000		0	0	3	0	286	0	0	0
758	子弹包【散弹】	0	1000		0	0	3	0	287	0	0	0
758	子弹包【散弹】	0	1000		0	0	3	0	288	0	0	0
759	子弹包【贯通弹】	0	1000		0	0	3	0	289	0	0	0
759	子弹包【贯通弹】	0	1000		0	0	3	0	290	0	0	0
759	子弹包【贯通弹】	0	1000		0	0	3	0	291	0	0	0
760	填充器包	0	1000		0	0	3	0	292	0	0	0
760	填充器包	0	1000		0	0	3	0	293	0	0	0
760	填充器包	0	1000		0	0	3	0	294	0	0	0
760	填充器包	0	1000		0	0	3	0	295	0	0	0
761	庄园日常任务奖励1	0	1000		0	0	2	0	761	0	0	0
761	庄园日常任务奖励1	0	1000		0	0	2	0	762	0	0	0
761	庄园日常任务奖励1	0	1000		0	0	2	0	763	0	0	0
761	庄园日常任务奖励1	0	1000		0	0	2	0	764	0	0	0
762	庄园日常任务奖励2	0	1000		0	0	2	0	763	0	0	0
762	庄园日常任务奖励2	0	1000		0	0	2	0	764	0	0	0
762	庄园日常任务奖励2	0	1000		0	0	2	0	765	0	0	0
763	感恩成长礼包【Lv11】	0	1000		0	0	2	0	2561	0	0	0
763	感恩成长礼包【Lv11】	0	1000		0	0	2	0	2563	0	0	0
763	感恩成长礼包【Lv11】	0	1000		0	0	2	0	2562	0	0	0
764	感恩成长礼包【Lv15】	0	1000		0	0	2	0	2561	0	0	0
764	感恩成长礼包【Lv15】	0	1000		0	0	2	0	2564	0	0	0
765	感恩成长礼包【Lv18】	0	1000		0	0	2	0	2561	0	0	0
765	感恩成长礼包【Lv18】	0	1000		0	0	2	0	2565	0	0	0
766	感恩成长礼包【Lv20】	0	1000		0	0	2	0	2566	0	0	0
800	不删档预测试A等级礼包5	0	1000		0	0	2	0	2230	0	0	0
800	不删档预测试A等级礼包5	0	1000		0	0	2	0	2231	0	0	0
800	不删档预测试A等级礼包5	0	1000		0	0	2	0	2232	0	0	0
800	不删档预测试A等级礼包5	0	1000		0	0	2	0	2233	0	0	0
800	不删档预测试A等级礼包5	0	1000		0	0	2	0	2234	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2240	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2241	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2242	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2243	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2244	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2245	0	0	0
801	不删档预测试A等级礼包10	0	1000		0	0	2	0	2246	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2250	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2251	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2252	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2253	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2254	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2255	0	0	0
802	不删档预测试A等级礼包15	0	1000		0	0	2	0	2256	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2260	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2261	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2262	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2263	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2264	0	0	0
803	不删档预测试A等级礼包20	0	1000		0	0	2	0	2265	0	0	0
804	不删档预测试A等级礼包25	0	1000		0	0	2	0	2270	0	0	0
804	不删档预测试A等级礼包25	0	1000		0	0	2	0	2271	0	0	0
804	不删档预测试A等级礼包25	0	1000		0	0	2	0	2272	0	0	0
804	不删档预测试A等级礼包25	0	1000		0	0	2	0	2273	0	0	0
804	不删档预测试A等级礼包25	0	1000		0	0	2	0	2274	0	0	0
805	不删档预测试A等级礼包30	0	1000		0	0	2	0	2280	0	0	0
805	不删档预测试A等级礼包30	0	1000		0	0	2	0	2281	0	0	0
805	不删档预测试A等级礼包30	0	1000		0	0	2	0	2282	0	0	0
805	不删档预测试A等级礼包30	0	1000		0	0	2	0	2283	0	0	0
805	不删档预测试A等级礼包30	0	1000		0	0	2	0	2284	0	0	0
806	不删档预测试A等级礼包35	0	1000		0	0	2	0	2290	0	0	0
806	不删档预测试A等级礼包35	0	1000		0	0	2	0	2291	0	0	0
806	不删档预测试A等级礼包35	0	1000		0	0	2	0	2292	0	0	0
806	不删档预测试A等级礼包35	0	1000		0	0	2	0	2293	0	0	0
806	不删档预测试A等级礼包35	0	1000		0	0	2	0	2294	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2300	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2301	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2302	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2303	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2304	0	0	0
807	不删档预测试A等级礼包40	0	1000		0	0	2	0	2305	0	0	0
808	升级礼包【Lv45】	0	1000		0	0	2	0	806	0	0	0
808	升级礼包【Lv45】	0	1000		0	0	2	0	803	0	0	0
808	升级礼包【Lv45】	0	1000		0	0	2	0	813	0	0	0
809	升级礼包【Lv50】	0	1000		0	0	2	0	806	0	0	0
809	升级礼包【Lv50】	0	1000		0	0	2	0	803	0	0	0
809	升级礼包【Lv50】	0	1000		0	0	2	0	814	0	0	0
809	升级礼包【Lv50】	0	1000		0	0	2	0	823	0	0	0
810	升级礼包【Lv55】	0	1000		0	0	2	0	806	0	0	0
810	升级礼包【Lv55】	0	1000		0	0	2	0	803	0	0	0
810	升级礼包【Lv55】	0	1000		0	0	2	0	815	0	0	0
810	升级礼包【Lv55】	0	1000		0	0	2	0	824	0	0	0
811	升级礼包【Lv60】	0	1000		0	0	2	0	196	0	0	0
812	升级礼包【Lv65】	0	1000		0	0	2	0	143	0	0	0
813	升级礼包【Lv70】	0	1000		0	0	2	0	119	0	0	0
814	升级礼包【Lv75】	0	1000		0	0	2	0	197	0	0	0
815	升级礼包【Lv80】	0	1000		0	0	2	0	270	0	0	0
816	升级礼包【Lv85】	0	1000		0	0	2	0	206	0	0	0
817	升级礼包【Lv90】	0	1000		0	0	2	0	144	0	0	0
818	升级礼包【Lv95】	0	1000		0	0	2	0	198	0	0	0
819	升级礼包【Lv100】	0	1000		0	0	2	0	192	0	0	0
850	在线礼包1	0	1000		0	0	2	0	850	0	0	0
851	在线礼包2	0	1000		0	0	2	0	851	0	0	0
851	在线礼包2	0	1000		0	0	2	0	856	0	0	0
851	在线礼包2	0	1000		0	0	2	0	902	0	0	0
852	在线礼包3	0	1000		0	0	2	0	853	0	0	0
852	在线礼包3	0	1000		0	0	2	0	857	0	0	0
853	在线礼包4	0	1000		0	0	2	0	905	0	0	0
853	在线礼包4	0	1000		0	0	2	0	855	0	0	0
854	在线礼包5	0	1000		0	0	2	0	854	0	0	0
854	在线礼包5	0	1000		0	0	2	0	855	0	0	0
900	连续登录礼包1	0	1000		0	0	2	0	900	0	0	0
900	连续登录礼包1	0	1000		0	0	2	0	901	0	0	0
900	连续登录礼包1	0	1000		0	0	2	0	906	0	0	0
901	连续登录礼包2	0	1000		0	0	2	0	902	0	0	0
901	连续登录礼包2	0	1000		0	0	2	0	901	0	0	0
901	连续登录礼包2	0	1000		0	0	2	0	907	0	0	0
902	连续登录礼包3	0	1000		0	0	2	0	902	0	0	0
