#TSV
#============Begin of sheet============
@Sheet=VIP保底奖励策略
VIP奖励索引ID	道具ID	道具名称	道具数量	相对概率	对应关卡	绑定类型
13	15208	青怪鸟的爪	1	100	青怪鸟	3
13	15209	青怪鸟的鳞	1	100	青怪鸟	3
13	15210	青怪鸟的翼	1	100	青怪鸟	3
14	15244	电龙的翼	1	100	电龙	3
14	15245	柔软的皮	1	100	电龙	3
14	15246	电龙的牙	1	100	电龙	3
15	15433	岩龙的翼	1	100	岩龙	3
15	15434	岩龙的头壳	1	100	岩龙	3
15	15435	岩龙的背壳	1	100	岩龙	3
16	15226	眠鸟的爪	1	100	眠鸟	3
16	15227	稀释的眠液	1	100	眠鸟	3
16	15228	破损的眠袋	1	100	眠鸟	3
17	15262	金毛兽王的毛	1	100	金毛兽王	3
17	15263	金毛兽王的皮	1	100	金毛兽王	3
17	15264	金毛兽王的牙	1	100	金毛兽王	3
18	15463	骇狩蛛的爪	1	100	骇狩蛛	3
18	15464	骇狩蛛的甲壳	1	100	骇狩蛛	3
18	15465	骇狩蛛的眼	1	100	骇狩蛛	3
19	21226	毒鸟的紫翼	1	100	紫毒鸟	3
19	21227	橡胶质的紫皮	1	100	紫毒鸟	3
19	21228	紫毒鸟的嘴	1	100	紫毒鸟	3
20	21244	镰蟹的爪	1	100	镰蟹	3
20	21245	镰蟹的甲壳	1	100	镰蟹	3
20	21246	镰蟹的脚	1	100	镰蟹	3
21	21263	雪狮子的皮	1	100	雪狮子王	3
21	21264	雪狮子的大骨	1	100	雪狮子王	3
21	21267	雪狮子的爪	1	100	雪狮子王	3
22	15643	微光的体液	1	100	星龙	3
22	15644	星龙的腹甲	1	100	星龙	3
22	15645	星龙的角	1	100	星龙	3
23	15493	蓝色的鬃毛	1	100	冰雷鸟	3
23	15494	冰雷鸟的皮	1	100	冰雷鸟	3
23	15495	冰雷鸟的翼	1	100	冰雷鸟	3
24	15523	红电龙的翼	1	100	红电龙	3
24	15524	魅惑色的皮	1	100	红电龙	3
24	15525	红电龙的牙	1	100	红电龙	3
25	15553	银眠鸟的爪	1	100	银眠鸟	3
25	15554	浑浊的眠液	1	100	银眠鸟	3
25	15555	萎缩的眠袋	1	100	银眠鸟	3
26	15583	尾晶蝎的爪	1	100	尾晶蝎	3
26	15584	尾晶蝎的毛	1	100	尾晶蝎	3
26	15585	尾晶蝎的甲壳	1	100	尾晶蝎	3
27	15613	一角龙的翼	1	100	一角龙	3
27	15614	一角龙的甲壳	1	100	一角龙	3
27	15615	一角龙的骨髓	1	100	一角龙	3
28	15673	寒光的体液	1	100	祸星龙	3
28	15674	祸星龙的腹甲	1	100	祸星龙	3
28	15675	祸星龙的角	1	100	祸星龙	3
29	21208	黑狼鸟的翼爪	1	100	黑狼鸟	3
29	21209	黑狼鸟的鳞	1	100	黑狼鸟	3
29	21210	黑狼鸟的甲壳	1	100	黑狼鸟	3
30	21281	雌火龙的鳞	1	100	雌火龙	3
30	21282	雌火龙之棘	1	100	雌火龙	3
30	21285	雌火龙的爪	1	100	雌火龙	3
31	15941	吞渊龙的骨板甲	1	100	吞渊龙	3
31	15942	吞渊龙的岩壳	1	100	吞渊龙	3
31	15943	炮铁砂	1	100	吞渊龙	3
32	15971	水龙之鳍	1	100	水龙	3
32	15972	水龙之鳞	1	100	水龙	3
32	15973	水龙之翼膜	1	100	水龙	3
33	22059	雄火龙的鳞	1	100	雄火龙	3
33	22060	雄火龙的优质鳞	1	100	雄火龙	3
34	16081	剑豪镰蟹的爪	1	100	剑豪镰蟹	3
34	16093	剑豪镰蟹的尖爪	1	100	剑豪镰蟹	3
35	16099	晶岩龙的翼	1	100	晶岩龙	3
35	16113	晶岩龙的刚翼	1	100	晶岩龙	3
36	16120	战鬼河狸兽的爪	1	100	战鬼河狸兽	3
36	16130	战鬼河狸兽的尖爪	1	100	战鬼河狸兽	3
37	16141	独耳黑狼鸟的翼爪	1	100	片耳黑狼鸟	3
37	16153	独耳黑狼鸟的刚翼爪	1	100	片耳黑狼鸟	3
38	16171	断刃一角龙的翼	1	100	断角一角龙	3
38	16185	断刃一角龙的刚翼	1	100	断角一角龙	3
39	16197	烈焰的龙爪	1	100	烈焰雌火龙	3
39	16209	烈焰的刚龙爪	1	100	烈焰雌火龙	3
40	16015	红速龙王的爪	1	100	红速龙王	3
40	16027	红速龙王的尖爪	1	100	红速龙王	3
41	16033	白速龙王的爪	1	100	白速龙王	3
41	16045	白速龙王的尖爪	1	100	白速龙王	3
42	15523	红电龙的翼	1	100	红电龙	3
42	15543	红电龙的刚翼	1	100	红电龙	3
43	15493	蓝色的鬃毛	1	100	冰雷鸟	3
43	15513	湛蓝的刚鬃	1	100	冰雷鸟	3
44	15673	寒光的体液	1	100	祸星龙	3
44	15693	妖光的体液	1	100	祸星龙	3
45	15613	一角龙的翼	1	100	一角龙	3
45	15633	一角龙的刚翼	1	100	一角龙	3
46	22083	轰龙的上鳞	1	100	轰龙	3
46	22084	轰龙的坚壳	1	100	轰龙	3
47	22110	剑极狼的刚毛	1	100	剑极狼	3
47	22111	剑极狼的上腕甲	1	100	剑极狼	3
48	22205	角龙的坚壳	1	100	角龙	3
48	22206	角龙的锐牙	1	100	角龙	3
49	22133	电甲虫的坚壳	1	100	电甲虫	3
49	22134	电甲虫的薄羽	1	100	电甲虫	3
50	22309	灰晶蝎的尖爪	1	100	灰晶蝎	3
50	22310	灰晶蝎的刚毛	1	100	灰晶蝎	3
51	22245	砂岩龙的坚壳	1	100	砂岩龙	3
51	22246	砂岩龙的坚头壳	1	100	砂岩龙	3
52	22181	苍火龙的上鳞	1	100	苍火龙	3
52	22182	苍火龙的坚壳	1	100	苍火龙	3
53	22156	樱火龙的上鳞	1	100	樱火龙	3
53	22157	樱火龙的坚壳	1	100	樱火龙	3
54	22286	眠鸟的纯金毛	1	100	金眠鸟	3
54	22287	眠鸟的纯金爪	1	100	金眠鸟	3
55	22360	荒厄龙的鳞	1	100	荒厄龙	3
55	22361	荒厄龙的甲壳	1	100	荒厄龙	3
56	22333	腐朽的龙鳞	1	100	钢龙	3
56	22334	钢之上龙鳞	1	100	钢龙	3
57	22252	铠龙的甲壳	1	100	铠龙	3
57	22253	铠龙的头壳	1	100	铠龙	3
58	8	药草	1	40	下位狩猎VIP保底	3
58	459	抵消果实	1	14	下位狩猎VIP保底	3
58	21001	黏着草	1	15	下位狩猎VIP保底	3
58	21010	常春藤叶	1	15	下位狩猎VIP保底	3
58	21019	染色果	1	15	下位狩猎VIP保底	3
58	4827	【精算】风信子	1	1	下位狩猎VIP保底	3
58	21177	小石子	1	5	下位狩猎VIP保底	3
58	21039	圆盘石	1	5	下位狩猎VIP保底	3
58	5	砥石	1	15	下位狩猎VIP保底	3
58	21029	燕雀石	1	15	下位狩猎VIP保底	3
58	21040	大地结晶	1	15	下位狩猎VIP保底	3
58	21030	辉龙石	1	15	下位狩猎VIP保底	3
58	21041	光水晶	1	15	下位狩猎VIP保底	3
58	21028	铁矿石	1	14	下位狩猎VIP保底	3
58	4824	小金石	1	1	下位狩猎VIP保底	3
58	21391	空心骨	1	10	下位狩猎VIP保底	3
58	21112	兽骨[小]	1	10	下位狩猎VIP保底	3
58	21085	龙骨[小]	1	10	下位狩猎VIP保底	3
58	21088	棒状之骨	1	10	下位狩猎VIP保底	3
58	21089	迷之骨	1	10	下位狩猎VIP保底	3
58	21113	兽骨[中]	1	25	下位狩猎VIP保底	3
58	21086	龙骨[中]	1	25	下位狩猎VIP保底	3
58	21076	光虫	1	20	下位狩猎VIP保底	3
58	21067	苦虫	1	19	下位狩猎VIP保底	3
58	21058	山青虫	1	15	下位狩猎VIP保底	3
58	21069	不死虫	1	15	下位狩猎VIP保底	3
58	21050	黏着白蚁	1	15	下位狩猎VIP保底	3
58	21051	红角蝶	1	15	下位狩猎VIP保底	3
58	21059	杀人蜂幼虫	1	15	下位狩猎VIP保底	3
58	21060	土蜂幼虫	1	15	下位狩猎VIP保底	3
58	4826	【精算】白眼锹形虫	1	1	下位狩猎VIP保底	3
58	21387	蜘蛛的巢穴	1	40	下位狩猎VIP保底	3
58	21100	蜂蜜	1	60	下位狩猎VIP保底	3
58	21048	虫之死骸	1	39	下位狩猎VIP保底	3
58	4823	蜂皇蜜	1	1	下位狩猎VIP保底	3
58	21081	蓝蘑菇	1	40	下位狩猎VIP保底	3
58	21082	麻痹蘑菇	1	30	下位狩猎VIP保底	3
58	4825	【精算】特产蘑菇	1	1	下位狩猎VIP保底	3
58	21389	兴奋蘑菇	1	10	下位狩猎VIP保底	3
59	8	药草	1	40	上位狩猎VIP保底	3
59	459	抵消果实	1	13	上位狩猎VIP保底	3
59	21001	黏着草	1	14	上位狩猎VIP保底	3
59	21010	常春藤叶	1	14	上位狩猎VIP保底	3
59	21019	染色果	1	9	上位狩猎VIP保底	3
59	21023	龟壳果	1	9	上位狩猎VIP保底	3
59	4827	【精算】风信子	1	1	上位狩猎VIP保底	3
59	21177	小石子	1	5	上位狩猎VIP保底	3
59	21039	圆盘石	1	5	上位狩猎VIP保底	3
59	5	砥石	1	12	上位狩猎VIP保底	3
59	21029	燕雀石	1	7	上位狩猎VIP保底	3
59	21040	大地结晶	1	7	上位狩猎VIP保底	3
59	21030	辉龙石	1	10	上位狩猎VIP保底	3
59	21041	光水晶	1	10	上位狩猎VIP保底	3
59	21028	铁矿石	1	10	上位狩猎VIP保底	3
59	21043	辉水晶	1	16	上位狩猎VIP保底	3
59	4824	小金石	1	2	上位狩猎VIP保底	3
59	21031	灵鹤石	1	16	上位狩猎VIP保底	3
59	21391	空心骨[小]	1	5	上位狩猎VIP保底	3
59	21113	兽骨[小]	1	5	上位狩猎VIP保底	3
59	21086	龙骨[小]	1	5	上位狩猎VIP保底	3
59	21088	棒状之骨	1	5	上位狩猎VIP保底	3
59	21089	迷之骨	1	10	上位狩猎VIP保底	3
59	21113	兽骨[中]	1	10	上位狩猎VIP保底	3
59	21086	龙骨[中]	1	10	上位狩猎VIP保底	3
59	21114	兽骨[大]	1	25	上位狩猎VIP保底	3
59	21087	龙骨[大]	1	25	上位狩猎VIP保底	3
59	21081	蓝蘑菇	1	40	上位狩猎VIP保底	3
59	21082	麻痹蘑菇	1	30	上位狩猎VIP保底	3
59	4825	【精算】特产蘑菇	1	1	上位狩猎VIP保底	3
59	21389	兴奋蘑菇	1	10	上位狩猎VIP保底	3
59	4951	锈块	1	2	上位狩猎VIP保底	3
59	21076	光虫	1	10	上位狩猎VIP保底	3
59	21067	苦虫	1	10	上位狩猎VIP保底	3
59	21058	山青虫	1	15	上位狩猎VIP保底	3
59	21069	不死虫	1	15	上位狩猎VIP保底	3
59	21050	黏着白蚁	1	16	上位狩猎VIP保底	3
59	21051	红角蝶	1	16	上位狩猎VIP保底	3
59	21053	蓝闪蝶	1	16	上位狩猎VIP保底	3
59	4826	【精算】白眼锹形虫	1	2	上位狩猎VIP保底	3
59	21060	土蜂幼虫	1	16	上位狩猎VIP保底	3
59	21062	龙目蜻蜓	1	16	上位狩猎VIP保底	3
60	4826	【精算】白眼锹形虫	1	2	G1位狩猎VIP保底	3
60	4827	【精算】风信子	1	1	G1位狩猎VIP保底	3
60	4825	【精算】特产蘑菇	1	1	G1位狩猎VIP保底	3
60	21044	暗水晶	1	16	G1位狩猎VIP保底	3
60	21032	白鹭石	1	16	G1位狩猎VIP保底	3
60	21088	棒状之骨	1	5	G1位狩猎VIP保底	3
60	21069	不死虫	1	15	G1位狩猎VIP保底	3
60	21010	常春藤叶	1	14	G1位狩猎VIP保底	3
60	21040	大地结晶	1	7	G1位狩猎VIP保底	3
60	459	抵消果实	1	13	G1位狩猎VIP保底	3
60	5	砥石	1	12	G1位狩猎VIP保底	3
60	21076	光虫	1	10	G1位狩猎VIP保底	3
60	21041	光水晶	1	10	G1位狩猎VIP保底	3
60	21023	龟壳果	1	9	G1位狩猎VIP保底	3
60	21063	黑蛾幼虫	1	16	G1位狩猎VIP保底	3
60	21051	红角蝶	1	16	G1位狩猎VIP保底	3
60	21052	红泥绿蚁	1	16	G1位狩猎VIP保底	3
60	21030	辉龙石	1	10	G1位狩猎VIP保底	3
60	21043	辉水晶	1	16	G1位狩猎VIP保底	3
60	21391	空心骨[小]	1	5	G1位狩猎VIP保底	3
60	21067	苦虫	1	10	G1位狩猎VIP保底	3
60	21081	蓝蘑菇	1	40	G1位狩猎VIP保底	3
60	21053	蓝闪蝶	1	16	G1位狩猎VIP保底	3
60	21031	灵鹤石	1	16	G1位狩猎VIP保底	3
60	21087	龙骨[大]	1	25	G1位狩猎VIP保底	3
60	21086	龙骨[小]	1	5	G1位狩猎VIP保底	3
60	21086	龙骨[中]	1	10	G1位狩猎VIP保底	3
60	21062	龙目蜻蜓	1	16	G1位狩猎VIP保底	3
60	21082	麻痹蘑菇	1	30	G1位狩猎VIP保底	3
60	21089	迷之骨	1	10	G1位狩猎VIP保底	3
60	21050	黏着白蚁	1	16	G1位狩猎VIP保底	3
60	21001	黏着草	1	14	G1位狩猎VIP保底	3
60	21019	染色果	1	9	G1位狩猎VIP保底	3
60	21058	山青虫	1	15	G1位狩猎VIP保底	3
60	21118	上龙骨	1	25	G1位狩猎VIP保底	3
60	21115	上兽骨	1	25	G1位狩猎VIP保底	3
60	21114	兽骨[大]	1	25	G1位狩猎VIP保底	3
60	21113	兽骨[小]	1	5	G1位狩猎VIP保底	3
60	21113	兽骨[中]	1	10	G1位狩猎VIP保底	3
60	21028	铁矿石	1	10	G1位狩猎VIP保底	3
60	21060	土蜂幼虫	1	16	G1位狩猎VIP保底	3
60	4824	小金石	1	2	G1位狩猎VIP保底	3
60	21177	小石子	1	5	G1位狩猎VIP保底	3
60	21389	兴奋蘑菇	1	10	G1位狩猎VIP保底	3
60	4951	锈块	1	2	G1位狩猎VIP保底	3
60	21029	燕雀石	1	7	G1位狩猎VIP保底	3
60	8	药草	1	40	G1位狩猎VIP保底	3
60	21039	圆盘石	1	5	G1位狩猎VIP保底	3
61	4826	【精算】白眼锹形虫	1	2	G2位狩猎VIP保底	3
61	4827	【精算】风信子	1	1	G2位狩猎VIP保底	3
61	4825	【精算】特产蘑菇	1	1	G2位狩猎VIP保底	3
61	21044	暗水晶	1	16	G2位狩猎VIP保底	3
61	21032	白鹭石	1	16	G2位狩猎VIP保底	3
61	21088	棒状之骨	1	5	G2位狩猎VIP保底	3
61	21069	不死虫	1	15	G2位狩猎VIP保底	3
61	21010	常春藤叶	1	14	G2位狩猎VIP保底	3
61	21040	大地结晶	1	7	G2位狩猎VIP保底	3
61	459	抵消果实	1	13	G2位狩猎VIP保底	3
61	5	砥石	1	12	G2位狩猎VIP保底	3
61	21076	光虫	1	10	G2位狩猎VIP保底	3
61	21041	光水晶	1	10	G2位狩猎VIP保底	3
61	21023	龟壳果	1	9	G2位狩猎VIP保底	3
61	21063	黑蛾幼虫	1	16	G2位狩猎VIP保底	3
61	21051	红角蝶	1	16	G2位狩猎VIP保底	3
61	21052	红泥绿蚁	1	16	G2位狩猎VIP保底	3
61	21030	辉龙石	1	10	G2位狩猎VIP保底	3
61	21043	辉水晶	1	16	G2位狩猎VIP保底	3
61	21391	空心骨[小]	1	5	G2位狩猎VIP保底	3
61	21067	苦虫	1	10	G2位狩猎VIP保底	3
61	21081	蓝蘑菇	1	40	G2位狩猎VIP保底	3
61	21053	蓝闪蝶	1	16	G2位狩猎VIP保底	3
61	21031	灵鹤石	1	16	G2位狩猎VIP保底	3
61	21087	龙骨[大]	1	25	G2位狩猎VIP保底	3
61	21086	龙骨[小]	1	5	G2位狩猎VIP保底	3
61	21086	龙骨[中]	1	10	G2位狩猎VIP保底	3
61	21062	龙目蜻蜓	1	16	G2位狩猎VIP保底	3
61	21082	麻痹蘑菇	1	30	G2位狩猎VIP保底	3
61	21089	迷之骨	1	10	G2位狩猎VIP保底	3
61	21050	黏着白蚁	1	16	G2位狩猎VIP保底	3
61	21001	黏着草	1	14	G2位狩猎VIP保底	3
61	21019	染色果	1	9	G2位狩猎VIP保底	3
61	21058	山青虫	1	15	G2位狩猎VIP保底	3
61	21118	上龙骨	1	25	G2位狩猎VIP保底	3
61	21115	上兽骨	1	25	G2位狩猎VIP保底	3
61	21114	兽骨[大]	1	25	G2位狩猎VIP保底	3
61	21113	兽骨[小]	1	5	G2位狩猎VIP保底	3
61	21113	兽骨[中]	1	10	G2位狩猎VIP保底	3
61	21028	铁矿石	1	10	G2位狩猎VIP保底	3
61	21060	土蜂幼虫	1	16	G2位狩猎VIP保底	3
61	4824	小金石	1	2	G2位狩猎VIP保底	3
61	21177	小石子	1	5	G2位狩猎VIP保底	3
61	21389	兴奋蘑菇	1	10	G2位狩猎VIP保底	3
61	4951	锈块	1	2	G2位狩猎VIP保底	3
61	21029	燕雀石	1	7	G2位狩猎VIP保底	3
61	8	药草	1	40	G2位狩猎VIP保底	3
61	21039	圆盘石	1	5	G2位狩猎VIP保底	3
61	21064	雪脉蜈蚣	1	16	G2位狩猎VIP保底	3
61	21054	阔足黑蚁	1	16	G2位狩猎VIP保底	3
61	21116	坚兽骨	1	25	G2位狩猎VIP保底	3
61	21119	坚龙骨	1	25	G2位狩猎VIP保底	3
61	21033	绯鸢石	1	16	G2位狩猎VIP保底	3
61	21047	纯水晶	1	16	G2位狩猎VIP保底	3
62	4826	【精算】白眼锹形虫	1	2	G3位狩猎VIP保底	3
62	4827	【精算】风信子	1	1	G3位狩猎VIP保底	3
62	4825	【精算】特产蘑菇	1	1	G3位狩猎VIP保底	3
62	21044	暗水晶	1	16	G3位狩猎VIP保底	3
62	21032	白鹭石	1	16	G3位狩猎VIP保底	3
62	21088	棒状之骨	1	5	G3位狩猎VIP保底	3
62	21069	不死虫	1	15	G3位狩猎VIP保底	3
62	21010	常春藤叶	1	14	G3位狩猎VIP保底	3
62	21040	大地结晶	1	7	G3位狩猎VIP保底	3
62	459	抵消果实	1	13	G3位狩猎VIP保底	3
62	5	砥石	1	12	G3位狩猎VIP保底	3
62	21076	光虫	1	10	G3位狩猎VIP保底	3
62	21041	光水晶	1	10	G3位狩猎VIP保底	3
62	21023	龟壳果	1	9	G3位狩猎VIP保底	3
62	21063	黑蛾幼虫	1	16	G3位狩猎VIP保底	3
62	21051	红角蝶	1	16	G3位狩猎VIP保底	3
62	21052	红泥绿蚁	1	16	G3位狩猎VIP保底	3
62	21030	辉龙石	1	10	G3位狩猎VIP保底	3
62	21043	辉水晶	1	16	G3位狩猎VIP保底	3
62	21391	空心骨[小]	1	5	G3位狩猎VIP保底	3
62	21067	苦虫	1	10	G3位狩猎VIP保底	3
62	21081	蓝蘑菇	1	40	G3位狩猎VIP保底	3
62	21053	蓝闪蝶	1	16	G3位狩猎VIP保底	3
62	21031	灵鹤石	1	16	G3位狩猎VIP保底	3
62	21087	龙骨[大]	1	25	G3位狩猎VIP保底	3
62	21086	龙骨[小]	1	5	G3位狩猎VIP保底	3
62	21086	龙骨[中]	1	10	G3位狩猎VIP保底	3
62	21062	龙目蜻蜓	1	16	G3位狩猎VIP保底	3
62	21082	麻痹蘑菇	1	30	G3位狩猎VIP保底	3
62	21089	迷之骨	1	10	G3位狩猎VIP保底	3
62	21050	黏着白蚁	1	16	G3位狩猎VIP保底	3
62	21001	黏着草	1	14	G3位狩猎VIP保底	3
62	21019	染色果	1	9	G3位狩猎VIP保底	3
62	21058	山青虫	1	15	G3位狩猎VIP保底	3
62	21118	上龙骨	1	25	G3位狩猎VIP保底	3
62	21115	上兽骨	1	25	G3位狩猎VIP保底	3
62	21114	兽骨[大]	1	25	G3位狩猎VIP保底	3
62	21113	兽骨[小]	1	5	G3位狩猎VIP保底	3
62	21113	兽骨[中]	1	10	G3位狩猎VIP保底	3
62	21028	铁矿石	1	10	G3位狩猎VIP保底	3
62	21060	土蜂幼虫	1	16	G3位狩猎VIP保底	3
62	4824	小金石	1	2	G3位狩猎VIP保底	3
62	21177	小石子	1	5	G3位狩猎VIP保底	3
62	21389	兴奋蘑菇	1	10	G3位狩猎VIP保底	3
62	4951	锈块	1	2	G3位狩猎VIP保底	3
62	21029	燕雀石	1	7	G3位狩猎VIP保底	3
62	8	药草	1	40	G3位狩猎VIP保底	3
62	21039	圆盘石	1	5	G3位狩猎VIP保底	3
62	21064	雪脉蜈蚣	1	16	G3位狩猎VIP保底	3
62	21054	阔足黑蚁	1	16	G3位狩猎VIP保底	3
62	21116	坚兽骨	1	25	G3位狩猎VIP保底	3
62	21119	坚龙骨	1	25	G3位狩猎VIP保底	3
62	21033	绯鸢石	1	16	G3位狩猎VIP保底	3
62	21047	纯水晶	1	16	G3位狩猎VIP保底	3
62	21117	重兽骨	1	25	G3位狩猎VIP保底	3
62	21120	重龙骨	1	25	G3位狩猎VIP保底	3
#============End of sheet============

#============Begin of sheet============
@Sheet=VIP奖励配置
VIP奖励策略ID	VIP等级	道具产出概率	经验系数	金币系数	绑银系数	农场经验系数	宠物经验系数	宠物亲密度系数	HR系数	勇气印记系数
1	1	0	0	0	10	0	0		0	0
1	2	0	10	0	10	0	0		0	0
1	3	0	20	0	20	0	0		0	0
1	4	0	20	0	20	0	0		0	0
1	5	0	30	0	30	0	0		0	0
1	6	300	30	0	30	0	0		0	0
1	0	300	30	0	0	0	0		0	0
2	1	0	0	0	0	0	0		0	0
2	2	0	0	0	0	0	0		0	0
2	3	0	0	0	0	0	0		0	0
2	4	0	0	0	0	0	0		0	0
2	5	0	0	0	0	0	0		0	0
2	0	0	0	0	0	0	0		0	0
#============End of sheet============

#============Begin of sheet============
@Sheet=Warning奖励
奖励索引ID	宝箱ID	min	max	绑定类型	绝对几率
2001	1111	2	2	3	10000
2002	1111	3	3	3	10000
2003	1111	2	2	3	10000
2003	1112	2	2	3	10000
2003	1113	2	4	3	10000
#============End of sheet============

#============Begin of sheet============
@Sheet=关卡基础奖励数值
关卡等级	基础经验	基础非绑定金钱	基础绑定金钱	基础农场点数	艾露猫基础经验	宠物亲密度	HR经验	勇气印记
1	400	200	200	0	100	5	40	100
2	400	200	200	0	100	5	40	100
3	400	200	200	0	100	5	40	100
4	400	200	200	0	100	5	40	100
5	400	200	200	0	100	5	40	100
6	400	200	200	0	100	5	40	100
7	400	200	200	0	100	5	40	100
8	400	200	200	0	100	5	40	100
9	400	200	200	0	100	5	40	100
10	700	300	300	0	100	5	40	100
11	700	300	300	0	150	5	40	100
12	700	300	300	0	150	5	40	100
13	700	300	300	0	150	5	40	100
14	700	300	300	0	150	5	40	100
15	700	300	300	0	150	5	40	100
16	700	300	300	0	150	5	40	100
17	700	300	300	0	150	5	40	100
18	700	300	300	0	150	5	40	100
19	700	300	300	0	150	5	40	100
20	800	400	400	0	150	5	40	100
21	800	400	400	0	200	5	40	100
22	800	400	400	0	200	5	40	100
23	800	400	400	0	200	5	40	100
24	800	400	400	0	200	5	40	100
25	800	400	400	0	200	5	40	100
26	800	400	400	0	200	5	40	100
27	800	400	400	0	200	5	40	100
28	800	400	400	0	200	5	40	100
29	800	400	400	0	200	5	40	100
30	900	500	500	0	200	5	40	100
31	900	500	500	0	250	5	40	100
32	900	500	500	0	250	5	40	100
33	900	500	500	0	250	5	40	100
34	900	500	500	0	250	5	40	100
35	900	500	500	0	250	5	40	100
36	900	500	500	0	250	5	40	100
37	900	500	500	0	250	5	40	100
38	900	500	500	0	250	5	40	100
39	900	500	500	0	250	5	40	100
40	1100	600	600	0	250	5	40	100
41	1100	600	600	0	250	5	41	100
42	1100	600	600	0	250	5	42	100
43	1100	600	600	0	250	5	43	100
44	1100	600	600	0	250	5	44	100
45	1100	600	600	0	250	5	45	100
46	1100	600	600	0	250	5	46	100
47	1100	600	600	0	250	5	47	100
48	1100	600	600	0	250	5	48	100
49	1100	700	700	0	250	5	49	100
50	1200	700	700	0	250	5	50	100
51	1200	700	700	0	300	5	50	100
52	1200	700	700	0	300	5	50	100
53	1200	700	700	0	300	5	50	100
54	1200	700	700	0	300	5	50	100
55	1200	700	700	0	300	5	50	100
56	1200	700	700	0	300	5	50	100
57	1200	700	700	0	300	5	50	100
58	1200	700	700	0	300	5	50	100
59	1200	700	700	0	300	5	50	100
60	1300	900	900	0	300	5	50	100
61	1300	900	900	0	300	5	50	100
62	1300	900	900	0	300	5	50	100
63	1300	900	900	0	300	5	50	100
64	1300	900	900	0	300	5	50	100
65	1300	900	900	0	300	5	50	100
66	1300	900	900	0	300	5	50	100
67	1300	900	900	0	300	5	50	100
68	1300	900	900	0	300	5	50	100
69	1300	900	900	0	300	5	50	100
70	1400	1000	1000	0	300	5	50	100
71	1400	1000	1000	0	300	5	50	100
72	1400	1000	1000	0	300	5	50	100
73	1400	1000	1000	0	300	5	50	100
74	1400	1000	1000	0	300	5	50	100
75	1400	1000	1000	0	300	5	50	100
76	1400	1000	1000	0	300	5	50	100
77	1400	1000	1000	0	300	5	50	100
78	1400	1000	1000	0	300	5	50	100
79	1400	1000	1000	0	300	5	50	100
80	1500	1200	1200	0	300	5	50	100
81	1500	1200	1200	0	300	5	50	100
82	1500	1200	1200	0	300	5	50	100
83	1500	1200	1200	0	300	5	50	100
84	1500	1200	1200	0	300	5	50	100
85	2400	1300	1300	0	300	5	50	100
86	2400	1300	1300	0	300	5	50	100
87	2400	1300	1300	0	300	5	50	100
88	2400	1300	1300	0	300	5	50	100
89	2400	1300	1300	0	300	5	50	100
90	2800	1400	1400	0	300	5	50	100
91	2800	1400	1400	0	300	5	50	100
92	2800	1400	1400	0	300	5	50	100
93	2800	1400	1400	0	300	5	50	100
94	2800	1400	1400	0	300	5	50	100
95	3100	1600	1600	0	300	5	50	100
96	3100	1600	1600	0	300	5	50	100
