#TSV
#============Begin of sheet============
@Sheet=Boss掉落
MonsterID	StrateID	MonsterLvMin	MonsterLvMax	PlayerLootChance	CatLootChance	ItemID	ItemAmountMin	ItemAmountMax	DeleteWhenFull	BuffID	RltvProp	BindType	艾露挖掘绑定类型	权重1	数量1min	数量1max	权重2	数量2min	数量2max	权重3	数量3min	数量3max	权重4	数量4min	数量4max	权重5	数量5min	数量5max
60010	3	0	200	3	1	22797	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	3	0	200	3	1	22798	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	3	0	200	3	1	22799	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60010	3	0	200	3	1	22800	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60010	4	0	200	3	1	22796	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	4	0	200	3	1	22797	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	4	0	200	3	1	22798	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	4	0	200	3	1	22799	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60010	4	0	200	3	1	22800	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60010	4	80	200	3	1	23188	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60010	4	120	200	3	1	23189	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60010	4	150	200	3	1	23190	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60011	1	0	200	3	1	22808	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	1	0	200	3	1	22809	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	1	0	200	3	1	22810	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	1	0	200	3	1	22811	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60011	1	0	200	3	1	22812	1	1	1	0	10	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60011	2	0	200	3	1	15124	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	2	0	200	3	1	15125	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	2	0	200	3	1	15126	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	2	0	200	3	1	15127	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60011	2	0	200	3	1	15128	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60011	3	0	200	3	1	22808	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	3	0	200	3	1	22809	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	3	0	200	3	1	22810	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	3	0	200	3	1	22811	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60011	3	0	200	3	1	22812	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60011	4	0	200	3	1	22808	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	4	0	200	3	1	22809	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	4	0	200	3	1	22810	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60011	4	0	200	3	1	22811	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60011	4	0	200	3	1	22812	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60011	4	80	200	3	1	23212	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60011	4	120	200	3	1	23213	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60011	4	150	200	3	1	23214	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60011	25	0	100	3	1	59	1	1	1	0	70	3																
60011	25	0	100	3	1	418	1	1	1	0	25	3																
60011	25	0	100	3	1	412	1	1	1	0	5	3																
60012	1	0	200	3	1	22645	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	1	0	200	3	1	22646	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	1	0	200	3	1	22647	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	1	0	200	3	1	22648	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60012	1	0	200	3	1	22649	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60012	1	0	200	3	1	22650	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60012	1	0	200	3	1	22651	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60012	2	0	200	3	1	16125	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	2	0	200	3	1	16126	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	2	0	200	3	1	16127	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	2	0	200	3	1	16128	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60012	2	0	200	3	1	16129	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60012	3	0	200	3	1	22645	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	3	0	200	3	1	22646	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	3	0	200	3	1	22647	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	3	0	200	3	1	22648	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60012	3	0	200	3	1	22649	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60012	4	0	200	3	1	22645	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	4	0	200	3	1	22646	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	4	0	200	3	1	22647	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60012	4	0	200	3	1	22648	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60012	4	0	200	3	1	22649	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60012	4	80	200	3	1	23230	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60012	4	120	200	3	1	23231	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60012	4	150	200	3	1	23232	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60020	1	0	200	3	1	22929	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	75	1	2
60020	1	0	200	3	1	22930	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	50	1	2
60020	1	0	200	3	1	22931	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	25	1	2
60020	1	0	200	3	1	22932	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60020	1	0	200	3	1	22933	1	1	1	0	12	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60020	1	0	200	3	1	22929	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60020	2	0	200	3	1	15021	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	2	0	200	3	1	15022	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	2	0	200	3	1	15023	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	2	0	200	3	1	15024	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60020	2	0	200	3	1	15025	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60020	3	0	200	3	1	22929	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	3	0	200	3	1	22930	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	3	0	200	3	1	22931	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	3	0	200	3	1	22932	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60020	3	0	200	3	1	22933	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60020	4	0	200	3	1	22929	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	4	0	200	3	1	22930	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	4	0	200	3	1	22931	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60020	4	0	200	3	1	22932	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60020	4	0	200	3	1	22933	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60020	4	80	200	3	1	23191	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60020	4	120	200	3	1	23192	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60020	4	150	200	3	1	23193	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60022	1	0	200	3	1	22945	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	75	1	2
60022	1	0	200	3	1	22946	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	50	1	2
60022	1	0	200	3	1	22947	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	25	1	2
60022	1	0	200	3	1	22948	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	75	1	3
60022	1	0	200	3	1	22949	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	50	1	3
60022	1	0	200	3	1	22950	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	25	1	3
60022	2	0	200	3	1	16021	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	2	0	200	3	1	16022	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	2	0	200	3	1	16023	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	2	0	200	3	1	16024	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60022	2	0	200	3	1	16025	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60022	3	0	200	3	1	22945	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	3	0	200	3	1	22946	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	3	0	200	3	1	22947	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	3	0	200	3	1	22948	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60022	3	0	200	3	1	22949	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60022	4	0	200	3	1	22945	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	4	0	200	3	1	22946	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	4	0	200	3	1	22947	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60022	4	0	200	3	1	22948	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60022	4	0	200	3	1	22949	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60022	4	80	200	3	1	23203	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60022	4	120	200	3	1	23204	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60022	4	150	200	3	1	23205	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60023	1	0	200	3	1	22945	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	1	0	200	3	1	22946	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	1	0	200	3	1	22947	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	1	0	200	3	1	22948	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60023	1	0	200	3	1	22949	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60023	1	0	200	3	1	22950	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60023	2	0	200	3	1	16021	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	2	0	200	3	1	16022	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	2	0	200	3	1	16023	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	2	0	200	3	1	16024	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60023	2	0	200	3	1	16025	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60023	3	0	200	3	1	22945	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	3	0	200	3	1	22946	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	3	0	200	3	1	22947	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	3	0	200	3	1	22948	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60023	3	0	200	3	1	22949	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60023	4	0	200	3	1	22945	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	4	0	200	3	1	22946	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	4	0	200	3	1	22947	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60023	4	0	200	3	1	22948	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60023	4	0	200	3	1	22949	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60023	4	80	200	3	1	23203	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60023	4	120	200	3	1	23204	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60023	4	150	200	3	1	23205	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60024	1	0	200	3	1	22951	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	1	0	200	3	1	22952	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	1	0	200	3	1	22953	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	1	0	200	3	1	22954	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60024	1	0	200	3	1	22955	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60024	1	0	200	3	1	22956	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60024	2	0	200	3	1	16039	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	2	0	200	3	1	16040	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	2	0	200	3	1	16041	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	2	0	200	3	1	16042	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60024	2	0	200	3	1	16043	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60024	3	0	200	3	1	22951	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	3	0	200	3	1	22952	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	3	0	200	3	1	22953	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	3	0	200	3	1	22954	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60024	3	0	200	3	1	22955	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60024	4	0	200	3	1	22951	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	4	0	200	3	1	22952	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	4	0	200	3	1	22953	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60024	4	0	200	3	1	22954	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60024	4	0	200	3	1	22955	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60024	4	80	200	3	1	23200	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60024	4	120	200	3	1	23201	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60024	4	150	200	3	1	23202	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60030	1	0	200	3	1	22936	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	1	0	200	3	1	22935	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	1	0	200	3	1	22934	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	1	0	200	3	1	22937	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60030	1	0	200	3	1	22938	1	1	1	0	12	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60030	1	0	200	3	1	22936	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60030	2	0	200	3	1	15038	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	2	0	200	3	1	15037	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	2	0	200	3	1	15036	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	2	0	200	3	1	15039	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60030	2	0	200	3	1	15040	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60030	3	0	200	3	1	22936	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	3	0	200	3	1	22935	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	3	0	200	3	1	22934	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	3	0	200	3	1	22937	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60030	3	0	200	3	1	22938	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60030	4	0	200	3	1	22936	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	4	0	200	3	1	22935	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	4	0	200	3	1	22934	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60030	4	0	200	3	1	22937	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60030	4	0	200	3	1	22938	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60030	4	80	200	3	1	23185	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60030	4	120	200	3	1	23186	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60030	4	150	200	3	1	23187	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60032	1	0	200	3	1	22936	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	1	0	200	3	1	22935	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	1	0	200	3	1	22934	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	1	0	200	3	1	22937	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60032	1	0	200	3	1	22938	1	1	1	0	12	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60032	1	0	200	3	1	22936	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60032	2	0	200	3	1	15038	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	2	0	200	3	1	15037	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	2	0	200	3	1	15036	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	2	0	200	3	1	15039	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60032	2	0	200	3	1	15040	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60032	3	0	200	3	1	22936	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	3	0	200	3	1	22935	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	3	0	200	3	1	22934	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	3	0	200	3	1	22937	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60032	3	0	200	3	1	22938	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60032	4	0	200	3	1	22936	1	1	1	0	500	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	4	0	200	3	1	22935	1	1	1	0	200	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	4	0	200	3	1	22934	1	1	1	0	160	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60032	4	0	200	3	1	22937	1	1	1	0	110	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60032	4	0	200	3	1	22938	1	1	1	0	44	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60032	4	80	200	3	1	23185	1	1	1	0	22	3	3	0	1	2	0	1	2	75	1	1	75	1	1	75	1	1
60032	4	120	200	3	1	23186	1	1	1	0	7	3	3	0	1	3	0	1	3	0	1	1	50	1	1	50	1	1
60032	4	150	200	3	1	23187	1	1	1	0	3	3	3	0	1	3	0	1	3	0	1	1	0	1	1	25	1	1
60040	1	0	200	3	1	22578	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60040	1	0	200	3	1	22579	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60040	1	0	200	3	1	22580	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
