#TSV
#============Begin of sheet============
@Sheet=DynamiteDamage
等级	关卡模式	难度	人对怪爆破伤系数	怪对人爆破伤系数
50	1	3	8.06142857142857	1
51	1	1	8.06142857142857	1
51	1	2	8.06142857142857	1
51	1	3	8.06142857142857	1
52	1	1	8.06142857142857	1
52	1	2	8.06142857142857	1
52	1	3	8.06142857142857	1
53	1	1	8.06142857142857	1
53	1	2	8.06142857142857	1
53	1	3	8.06142857142857	1
54	1	1	8.06142857142857	1
54	1	2	8.06142857142857	1
54	1	3	8.06142857142857	1
55	1	1	8.06142857142857	1
55	1	2	8.06142857142857	1
55	1	3	8.06142857142857	1
56	1	1	8.06142857142857	1
56	1	2	8.06142857142857	1
56	1	3	8.06142857142857	1
57	1	1	8.06142857142857	1
57	1	2	8.06142857142857	1
57	1	3	8.06142857142857	1
58	1	1	8.06142857142857	1
58	1	2	8.06142857142857	1
58	1	3	8.06142857142857	1
59	1	1	8.06142857142857	1
59	1	2	8.06142857142857	1
59	1	3	8.06142857142857	1
60	1	1	11.4486033519553	1
60	1	2	11.4486033519553	1
60	1	3	11.4486033519553	1
61	1	1	11.4486033519553	1
61	1	2	11.4486033519553	1
61	1	3	11.4486033519553	1
62	1	1	11.4486033519553	1
62	1	2	11.4486033519553	1
62	1	3	11.4486033519553	1
63	1	1	11.4486033519553	1
63	1	2	11.4486033519553	1
63	1	3	11.4486033519553	1
64	1	1	11.4486033519553	1
64	1	2	11.4486033519553	1
64	1	3	11.4486033519553	1
65	1	1	12.7636520351157	1
65	1	2	12.7636520351157	1
65	1	3	12.7636520351157	1
66	1	1	12.7636520351157	1
66	1	2	12.7636520351157	1
66	1	3	12.7636520351157	1
67	1	1	12.7636520351157	1
67	1	2	12.7636520351157	1
67	1	3	12.7636520351157	1
68	1	1	12.7636520351157	1
68	1	2	12.7636520351157	1
68	1	3	12.7636520351157	1
69	1	1	12.7636520351157	1
69	1	2	12.7636520351157	1
69	1	3	12.7636520351157	1
70	1	1	14.4058036711891	1
70	1	2	14.4058036711891	1
70	1	3	14.4058036711891	1
71	1	1	16.829209896249	1
71	1	2	16.829209896249	1
71	1	3	16.829209896249	1
72	1	1	16.829209896249	1
72	1	2	16.829209896249	1
72	1	3	16.829209896249	1
73	1	1	16.829209896249	1
73	1	2	16.829209896249	1
73	1	3	16.829209896249	1
74	1	1	16.829209896249	1
74	1	2	16.829209896249	1
74	1	3	16.829209896249	1
75	1	1	18.5476855546688	1
75	1	2	18.5476855546688	1
75	1	3	18.5476855546688	1
76	1	1	18.5476855546688	1
76	1	2	18.5476855546688	1
76	1	3	18.5476855546688	1
77	1	1	18.5476855546688	1
77	1	2	18.5476855546688	1
77	1	3	18.5476855546688	1
78	1	1	18.5476855546688	1
78	1	2	18.5476855546688	1
78	1	3	18.5476855546688	1
79	1	1	18.5476855546688	1
79	1	2	18.5476855546688	1
79	1	3	18.5476855546688	1
80	1	1	20.3846767757382	1
80	1	2	20.3846767757382	1
80	1	3	20.3846767757382	1
81	1	1	20.3846767757382	1
81	1	2	20.3846767757382	1
81	1	3	20.3846767757382	1
82	1	1	20.3846767757382	1
82	1	2	20.3846767757382	1
82	1	3	20.3846767757382	1
83	1	1	20.3846767757382	1
83	1	2	20.3846767757382	1
83	1	3	20.3846767757382	1
84	1	1	20.3846767757382	1
84	1	2	20.3846767757382	1
84	1	3	20.3846767757382	1
85	1	1	22.4586991221069	1
85	1	2	22.4586991221069	1
85	1	3	22.4586991221069	1
86	1	1	22.4586991221069	1
86	1	2	22.4586991221069	1
86	1	3	22.4586991221069	1
87	1	1	22.4586991221069	1
87	1	2	22.4586991221069	1
87	1	3	22.4586991221069	1
88	1	1	22.4586991221069	1
88	1	2	22.4586991221069	1
88	1	3	22.4586991221069	1
89	1	1	22.4586991221069	1
89	1	2	22.4586991221069	1
89	1	3	22.4586991221069	1
90	1	1	27.6757541899441	1
90	1	2	27.6757541899441	1
90	1	3	27.6757541899441	1
91	1	1	27.6757541899441	1
91	1	2	27.6757541899441	1
91	1	3	27.6757541899441	1
92	1	1	27.6757541899441	1
92	1	2	27.6757541899441	1
92	1	3	27.6757541899441	1
93	1	1	27.6757541899441	1
93	1	2	27.6757541899441	1
93	1	3	27.6757541899441	1
94	1	1	27.6757541899441	1
94	1	2	27.6757541899441	1
94	1	3	27.6757541899441	1
95	1	1	29.4013407821229	1
95	1	2	29.4013407821229	1
95	1	3	29.4013407821229	1
96	1	1	29.4013407821229	1
96	1	2	29.4013407821229	1
96	1	3	29.4013407821229	1
97	1	1	29.4013407821229	1
97	1	2	29.4013407821229	1
97	1	3	29.4013407821229	1
98	1	1	29.4013407821229	1
98	1	2	29.4013407821229	1
98	1	3	29.4013407821229	1
99	1	1	29.4013407821229	1
99	1	2	29.4013407821229	1
99	1	3	29.4013407821229	1
100	1	1	32.3215642458101	1
100	1	2	32.3215642458101	1
100	1	3	32.3215642458101	1
101	1	1	32.3215642458101	1
101	1	2	32.3215642458101	1
101	1	3	32.3215642458101	1
102	1	1	32.3215642458101	1
102	1	2	32.3215642458101	1
102	1	3	32.3215642458101	1
103	1	1	32.3215642458101	1
103	1	2	32.3215642458101	1
103	1	3	32.3215642458101	1
104	1	1	32.3215642458101	1
104	1	2	32.3215642458101	1
104	1	3	32.3215642458101	1
105	1	1	36.8346368715084	1
105	1	2	36.8346368715084	1
105	1	3	36.8346368715084	1
106	1	1	36.8346368715084	1
106	1	2	36.8346368715084	1
106	1	3	36.8346368715084	1
107	1	1	36.8346368715084	1
107	1	2	36.8346368715084	1
107	1	3	36.8346368715084	1
108	1	1	36.8346368715084	1
108	1	2	36.8346368715084	1
108	1	3	36.8346368715084	1
109	1	1	36.8346368715084	1
109	1	2	36.8346368715084	1
109	1	3	36.8346368715084	1
110	1	1	40.5512849162011	1
110	1	2	40.5512849162011	1
110	1	3	40.5512849162011	1
111	1	1	40.5512849162011	1
111	1	2	40.5512849162011	1
111	1	3	40.5512849162011	1
112	1	1	40.5512849162011	1
112	1	2	40.5512849162011	1
112	1	3	40.5512849162011	1
113	1	1	40.5512849162011	1
113	1	2	40.5512849162011	1
113	1	3	40.5512849162011	1
114	1	1	40.5512849162011	1
114	1	2	40.5512849162011	1
114	1	3	40.5512849162011	1
115	1	1	44.6661452513966	1
115	1	2	44.6661452513966	1
115	1	3	44.6661452513966	1
116	1	1	44.6661452513966	1
116	1	2	44.6661452513966	1
116	1	3	44.6661452513966	1
117	1	1	44.6661452513966	1
117	1	2	44.6661452513966	1
117	1	3	44.6661452513966	1
118	1	1	44.6661452513966	1
118	1	2	44.6661452513966	1
118	1	3	44.6661452513966	1
119	1	1	44.6661452513966	1
119	1	2	44.6661452513966	1
119	1	3	44.6661452513966	1
120	1	1	49.179217877095	1
120	1	2	49.179217877095	1
120	1	3	49.179217877095	1
121	1	1	49.179217877095	1
121	1	2	49.179217877095	1
121	1	3	49.179217877095	1
122	1	1	49.179217877095	1
122	1	2	49.179217877095	1
122	1	3	49.179217877095	1
123	1	1	49.179217877095	1
123	1	2	49.179217877095	1
123	1	3	49.179217877095	1
124	1	1	49.179217877095	1
124	1	2	49.179217877095	1
124	1	3	49.179217877095	1
125	1	1	54.0905027932961	1
125	1	2	54.0905027932961	1
125	1	3	54.0905027932961	1
126	1	1	54.0905027932961	1
126	1	2	54.0905027932961	1
126	1	3	54.0905027932961	1
127	1	1	54.0905027932961	1
127	1	2	54.0905027932961	1
127	1	3	54.0905027932961	1
128	1	1	54.0905027932961	1
128	1	2	54.0905027932961	1
128	1	3	54.0905027932961	1
129	1	1	54.0905027932961	1
129	1	2	54.0905027932961	1
129	1	3	54.0905027932961	1
130	1	1	59.5327374301676	1
130	1	2	59.5327374301676	1
130	1	3	59.5327374301676	1
131	1	1	59.5327374301676	1
131	1	2	59.5327374301676	1
131	1	3	59.5327374301676	1
132	1	1	59.5327374301676	1
132	1	2	59.5327374301676	1
132	1	3	59.5327374301676	1
133	1	1	59.5327374301676	1
133	1	2	59.5327374301676	1
133	1	3	59.5327374301676	1
134	1	1	59.5327374301676	1
134	1	2	59.5327374301676	1
134	1	3	59.5327374301676	1
135	1	1	65.5722905027933	1
135	1	2	65.5722905027933	1
135	1	3	65.5722905027933	1
136	1	1	65.5722905027933	1
136	1	2	65.5722905027933	1
136	1	3	65.5722905027933	1
137	1	1	65.5722905027933	1
137	1	2	65.5722905027933	1
137	1	3	65.5722905027933	1
138	1	1	65.5722905027933	1
138	1	2	65.5722905027933	1
138	1	3	65.5722905027933	1
139	1	1	65.5722905027933	1
139	1	2	65.5722905027933	1
139	1	3	65.5722905027933	1
140	1	1	72.1427932960894	1
140	1	2	72.1427932960894	1
140	1	3	72.1427932960894	1
141	1	1	72.1427932960894	1
141	1	2	72.1427932960894	1
141	1	3	72.1427932960894	1
142	1	1	72.1427932960894	1
142	1	2	72.1427932960894	1
142	1	3	72.1427932960894	1
143	1	1	72.1427932960894	1
143	1	2	72.1427932960894	1
143	1	3	72.1427932960894	1
144	1	1	72.1427932960894	1
144	1	2	72.1427932960894	1
144	1	3	72.1427932960894	1
145	1	1	79.4433519553073	1
145	1	2	79.4433519553073	1
145	1	3	79.4433519553073	1
146	1	1	79.4433519553073	1
146	1	2	79.4433519553073	1
146	1	3	79.4433519553073	1
147	1	1	79.4433519553073	1
147	1	2	79.4433519553073	1
147	1	3	79.4433519553073	1
148	1	1	79.4433519553073	1
148	1	2	79.4433519553073	1
148	1	3	79.4433519553073	1
149	1	1	79.4433519553073	1
149	1	2	79.4433519553073	1
149	1	3	79.4433519553073	1
150	1	1	87.4739664804469	1
150	1	2	87.4739664804469	1
150	1	3	87.4739664804469	1
151	1	1	87.4739664804469	1
151	1	2	87.4739664804469	1
151	1	3	87.4739664804469	1
152	1	1	87.4739664804469	1
152	1	2	87.4739664804469	1
152	1	3	87.4739664804469	1
153	1	1	87.4739664804469	1
153	1	2	87.4739664804469	1
153	1	3	87.4739664804469	1
154	1	1	87.4739664804469	1
154	1	2	87.4739664804469	1
154	1	3	87.4739664804469	1
155	1	1	96.367374301676	1
155	1	2	96.367374301676	1
155	1	3	96.367374301676	1
156	1	1	96.367374301676	1
156	1	2	96.367374301676	1
156	1	3	96.367374301676	1
157	1	1	96.367374301676	1
157	1	2	96.367374301676	1
157	1	3	96.367374301676	1
158	1	1	96.367374301676	1
158	1	2	96.367374301676	1
158	1	3	96.367374301676	1
159	1	1	96.367374301676	1
159	1	2	96.367374301676	1
159	1	3	96.367374301676	1
160	1	1	106.123575418994	1
160	1	2	106.123575418994	1
160	1	3	106.123575418994	1
161	1	1	106.123575418994	1
161	1	2	106.123575418994	1
161	1	3	106.123575418994	1
162	1	1	106.123575418994	1
162	1	2	106.123575418994	1
162	1	3	106.123575418994	1
163	1	1	106.123575418994	1
163	1	2	106.123575418994	1
163	1	3	106.123575418994	1
164	1	1	106.123575418994	1
164	1	2	106.123575418994	1
164	1	3	106.123575418994	1
165	1	1	116.87530726257	1
165	1	2	116.87530726257	1
165	1	3	116.87530726257	1
166	1	1	116.87530726257	1
166	1	2	116.87530726257	1
166	1	3	116.87530726257	1
167	1	1	116.87530726257	1
167	1	2	116.87530726257	1
167	1	3	116.87530726257	1
168	1	1	116.87530726257	1
168	1	2	116.87530726257	1
168	1	3	116.87530726257	1
169	1	1	116.87530726257	1
169	1	2	116.87530726257	1
169	1	3	116.87530726257	1
170	1	1	128.75530726257	1
170	1	2	128.75530726257	1
170	1	3	128.75530726257	1
171	1	1	128.75530726257	1
171	1	2	128.75530726257	1
171	1	3	128.75530726257	1
172	1	1	128.75530726257	1
172	1	2	128.75530726257	1
172	1	3	128.75530726257	1
173	1	1	128.75530726257	1
173	1	2	128.75530726257	1
173	1	3	128.75530726257	1
174	1	1	128.75530726257	1
174	1	2	128.75530726257	1
174	1	3	128.75530726257	1
175	1	1	141.829944134078	1
175	1	2	141.829944134078	1
175	1	3	141.829944134078	1
176	1	1	141.829944134078	1
176	1	2	141.829944134078	1
176	1	3	141.829944134078	1
177	1	1	141.829944134078	1
177	1	2	141.829944134078	1
177	1	3	141.829944134078	1
178	1	1	141.829944134078	1
178	1	2	141.829944134078	1
178	1	3	141.829944134078	1
179	1	1	141.829944134078	1
179	1	2	141.829944134078	1
179	1	3	141.829944134078	1
180	1	1	156.231955307263	1
180	1	2	156.231955307263	1
180	1	3	156.231955307263	1
181	1	1	156.231955307263	1
181	1	2	156.231955307263	1
181	1	3	156.231955307263	1
182	1	1	156.231955307263	1
182	1	2	156.231955307263	1
182	1	3	156.231955307263	1
183	1	1	156.231955307263	1
183	1	2	156.231955307263	1
183	1	3	156.231955307263	1
184	1	1	156.231955307263	1
184	1	2	156.231955307263	1
184	1	3	156.231955307263	1
185	1	1	172.160446927374	1
185	1	2	172.160446927374	1
185	1	3	172.160446927374	1
186	1	1	172.160446927374	1
186	1	2	172.160446927374	1
186	1	3	172.160446927374	1
187	1	1	172.160446927374	1
187	1	2	172.160446927374	1
187	1	3	172.160446927374	1
188	1	1	172.160446927374	1
188	1	2	172.160446927374	1
188	1	3	172.160446927374	1
189	1	1	172.160446927374	1
189	1	2	172.160446927374	1
189	1	3	172.160446927374	1
190	1	1	189.748156424581	1
190	1	2	189.748156424581	1
190	1	3	189.748156424581	1
191	1	1	189.748156424581	1
191	1	2	189.748156424581	1
191	1	3	189.748156424581	1
192	1	1	189.748156424581	1
192	1	2	189.748156424581	1
192	1	3	189.748156424581	1
193	1	1	189.748156424581	1
193	1	2	189.748156424581	1
193	1	3	189.748156424581	1
194	1	1	189.748156424581	1
194	1	2	189.748156424581	1
194	1	3	189.748156424581	1
195	1	1	209.061452513966	1
195	1	2	209.061452513966	1
195	1	3	209.061452513966	1
196	1	1	209.061452513966	1
196	1	2	209.061452513966	1
196	1	3	209.061452513966	1
197	1	1	209.061452513966	1
197	1	2	209.061452513966	1
197	1	3	209.061452513966	1
198	1	1	209.061452513966	1
198	1	2	209.061452513966	1
198	1	3	209.061452513966	1
199	1	1	209.061452513966	1
199	1	2	209.061452513966	1
199	1	3	209.061452513966	1
200	1	1	230.43217877095	1
200	1	2	230.43217877095	1
200	1	3	230.43217877095	1
#============End of sheet============

#============Begin of sheet============
@Sheet=LevelMatch
等级	关卡模式	难度	人物攻击系数	人物防御系数	人物属性防御系数	标准刀数	怪物全体防御力	怪物肉质倍率	计算小怪HP用刀数	人物攻击参数	难度斩味	战斗NPC攻击系数	毒倍率修正	眠倍率修正	麻倍率修正	爆倍率修正
1	1	1	57	40	46	30	1.98	1.33333333333333	1	57	0.75	57	4	4	4	4
1	1	2	72	53	46	33	1.98	1.33333333333333	1	72	0.75	72	4	4	4	4
1	1	3	90	66	63	33	1.98	1.33333333333333	1	90	0.75	90	4	4	4	4
1	2	1	78.375	44	50.6	30	1.98	1.33333333333333	1	78.375	0.75	57	4	4	4	4
1	2	2	99	58.3	50.6	33	1.98	1.33333333333333	1	99	0.75	72	4	4	4	4
1	2	3	123.75	72.6	69.3	33	1.98	1.33333333333333	1	123.75	0.75	90	4	4	4	4
1	3	1	85.5	48	55.2	30	1.98	1.33333333333333	1	85.5	0.75	57	4	4	4	4
1	3	2	108	63.6	55.2	33	1.98	1.33333333333333	1	108	0.75	72	4	4	4	4
1	3	3	135	79.2	75.6	33	1.98	1.33333333333333	1	135	0.75	90	4	4	4	4
1	4	1	136.8	52	59.8	30	1.98	1.33333333333333	1	136.8	0.75	57	4	4	4	4
1	4	2	172.8	68.9	59.8	33	1.98	1.33333333333333	1	172.8	0.75	72	4	4	4	4
1	4	3	216	85.8	81.9	33	1.98	1.33333333333333	1	216	0.75	90	4	4	4	4
1	5	1	57	40	46	30	1.98	1.33333333333333	1	57	0.75	57	4	4	4	4
1	5	2	72	53	46	33	1.98	1.33333333333333	1	72	0.75	72	4	4	4	4
1	5	3	90	66	63	33	1.98	1.33333333333333	1	90	0.75	90	4	4	4	4
2	1	1	61	41	48	30.5	1.96	1.33333333333333	1	61	0.75	61	3.625	3.625	3.625	3.625
2	1	2	76	55	48	34	1.96	1.33333333333333	1	76	0.75	76	3.625	3.625	3.625	3.625
2	1	3	95	68	65	34	1.96	1.33333333333333	1	95	0.75	95	3.625	3.625	3.625	3.625
2	2	1	83.875	45.1	52.8	30.5	1.96	1.33333333333333	1	83.875	0.75	61	3.625	3.625	3.625	3.625
2	2	2	104.5	60.5	52.8	34	1.96	1.33333333333333	1	104.5	0.75	76	3.625	3.625	3.625	3.625
2	2	3	130.625	74.8	71.5	34	1.96	1.33333333333333	1	130.625	0.75	95	3.625	3.625	3.625	3.625
2	3	1	91.5	49.2	57.6	30.5	1.96	1.33333333333333	1	91.5	0.75	61	3.625	3.625	3.625	3.625
2	3	2	114	66	57.6	34	1.96	1.33333333333333	1	114	0.75	76	3.625	3.625	3.625	3.625
2	3	3	142.5	81.6	78	34	1.96	1.33333333333333	1	142.5	0.75	95	3.625	3.625	3.625	3.625
2	4	1	146.4	53.3	62.4	30.5	1.96	1.33333333333333	1	146.4	0.75	61	3.625	3.625	3.625	3.625
2	4	2	182.4	71.5	62.4	34	1.96	1.33333333333333	1	182.4	0.75	76	3.625	3.625	3.625	3.625
2	4	3	228	88.4	84.5	34	1.96	1.33333333333333	1	228	0.75	95	3.625	3.625	3.625	3.625
2	5	1	61	41	48	30.5	1.96	1.33333333333333	1	61	0.75	61	3.625	3.625	3.625	3.625
2	5	2	76	55	48	34	1.96	1.33333333333333	1	76	0.75	76	3.625	3.625	3.625	3.625
2	5	3	95	68	65	34	1.96	1.33333333333333	1	95	0.75	95	3.625	3.625	3.625	3.625
3	1	1	64	42	50	31	1.94	1.33333333333333	1	64	0.75	64	3.25	3.25	3.25	3.25
3	1	2	81	57	50	35	1.94	1.33333333333333	1	81	0.75	81	3.25	3.25	3.25	3.25
3	1	3	101	71	67	35	1.94	1.33333333333333	1	101	0.75	101	3.25	3.25	3.25	3.25
3	2	1	88	46.2	55	31	1.94	1.33333333333333	1	88	0.75	64	3.25	3.25	3.25	3.25
3	2	2	111.375	62.7	55	35	1.94	1.33333333333333	1	111.375	0.75	81	3.25	3.25	3.25	3.25
3	2	3	138.875	78.1	73.7	35	1.94	1.33333333333333	1	138.875	0.75	101	3.25	3.25	3.25	3.25
3	3	1	96	50.4	60	31	1.94	1.33333333333333	1	96	0.75	64	3.25	3.25	3.25	3.25
3	3	2	121.5	68.4	60	35	1.94	1.33333333333333	1	121.5	0.75	81	3.25	3.25	3.25	3.25
3	3	3	151.5	85.2	80.4	35	1.94	1.33333333333333	1	151.5	0.75	101	3.25	3.25	3.25	3.25
3	4	1	153.6	54.6	65	31	1.94	1.33333333333333	1	153.6	0.75	64	3.25	3.25	3.25	3.25
3	4	2	194.4	74.1	65	35	1.94	1.33333333333333	1	194.4	0.75	81	3.25	3.25	3.25	3.25
3	4	3	242.4	92.3	87.1	35	1.94	1.33333333333333	1	242.4	0.75	101	3.25	3.25	3.25	3.25
3	5	1	64	42	50	31	1.94	1.33333333333333	1	64	0.75	64	3.25	3.25	3.25	3.25
3	5	2	81	57	50	35	1.94	1.33333333333333	1	81	0.75	81	3.25	3.25	3.25	3.25
3	5	3	101	71	67	35	1.94	1.33333333333333	1	101	0.75	101	3.25	3.25	3.25	3.25
4	1	1	68	44	51	31.5	1.92	1.33333333333333	1	68	0.75	68	2.875	2.875	2.875	2.875
4	1	2	85	59	51	36	1.92	1.33333333333333	1	85	0.75	85	2.875	2.875	2.875	2.875
4	1	3	106	74	70	36	1.92	1.33333333333333	1	106	0.75	106	2.875	2.875	2.875	2.875
4	2	1	93.5	48.4	56.1	31.5	1.92	1.33333333333333	1	93.5	0.75	68	2.875	2.875	2.875	2.875
4	2	2	116.875	64.9	56.1	36	1.92	1.33333333333333	1	116.875	0.75	85	2.875	2.875	2.875	2.875
4	2	3	145.75	81.4	77	36	1.92	1.33333333333333	1	145.75	0.75	106	2.875	2.875	2.875	2.875
4	3	1	102	52.8	61.2	31.5	1.92	1.33333333333333	1	102	0.75	68	2.875	2.875	2.875	2.875
4	3	2	127.5	70.8	61.2	36	1.92	1.33333333333333	1	127.5	0.75	85	2.875	2.875	2.875	2.875
4	3	3	159	88.8	84	36	1.92	1.33333333333333	1	159	0.75	106	2.875	2.875	2.875	2.875
4	4	1	163.2	57.2	66.3	31.5	1.92	1.33333333333333	1	163.2	0.75	68	2.875	2.875	2.875	2.875
4	4	2	204	76.7	66.3	36	1.92	1.33333333333333	1	204	0.75	85	2.875	2.875	2.875	2.875
4	4	3	254.4	96.2	91	36	1.92	1.33333333333333	1	254.4	0.75	106	2.875	2.875	2.875	2.875
4	5	1	68	44	51	31.5	1.92	1.33333333333333	1	68	0.75	68	2.875	2.875	2.875	2.875
4	5	2	85	59	51	36	1.92	1.33333333333333	1	85	0.75	85	2.875	2.875	2.875	2.875
4	5	3	106	74	70	36	1.92	1.33333333333333	1	106	0.75	106	2.875	2.875	2.875	2.875
5	1	1	71	46	53	32	1.9	1.33333333333333	1	71	0.75	71	2.5	2.5	2.5	2.5
5	1	2	89	61	53	37	1.9	1.33333333333333	1	89	0.75	89	2.5	2.5	2.5	2.5
5	1	3	112	76	73	37	1.9	1.33333333333333	1	112	0.75	112	2.5	2.5	2.5	2.5
5	2	1	97.625	50.6	58.3	32	1.9	1.33333333333333	1	97.625	0.75	71	2.5	2.5	2.5	2.5
5	2	2	122.375	67.1	58.3	37	1.9	1.33333333333333	1	122.375	0.75	89	2.5	2.5	2.5	2.5
5	2	3	154	83.6	80.3	37	1.9	1.33333333333333	1	154	0.75	112	2.5	2.5	2.5	2.5
5	3	1	106.5	55.2	63.6	32	1.9	1.33333333333333	1	106.5	0.75	71	2.5	2.5	2.5	2.5
5	3	2	133.5	73.2	63.6	37	1.9	1.33333333333333	1	133.5	0.75	89	2.5	2.5	2.5	2.5
5	3	3	168	91.2	87.6	37	1.9	1.33333333333333	1	168	0.75	112	2.5	2.5	2.5	2.5
5	4	1	170.4	59.8	68.9	32	1.9	1.33333333333333	1	170.4	0.75	71	2.5	2.5	2.5	2.5
5	4	2	213.6	79.3	68.9	37	1.9	1.33333333333333	1	213.6	0.75	89	2.5	2.5	2.5	2.5
5	4	3	268.8	98.8	94.9	37	1.9	1.33333333333333	1	268.8	0.75	112	2.5	2.5	2.5	2.5
5	5	1	71	46	53	32	1.9	1.33333333333333	1	71	0.75	71	2.5	2.5	2.5	2.5
5	5	2	89	61	53	37	1.9	1.33333333333333	1	89	0.75	89	2.5	2.5	2.5	2.5
5	5	3	112	76	73	37	1.9	1.33333333333333	1	112	0.75	112	2.5	2.5	2.5	2.5
6	1	1	74	48	56	32.5	1.88	1.33333333333333	1	74	0.75	74	2.46	2.46	2.46	2.46
6	1	2	93	64	56	38	1.88	1.33333333333333	1	93	0.75	93	2.46	2.46	2.46	2.46
6	1	3	116	80	76	38	1.88	1.33333333333333	1	116	0.75	116	2.46	2.46	2.46	2.46
6	2	1	101.75	52.8	61.6	32.5	1.88	1.33333333333333	1	101.75	0.75	74	2.46	2.46	2.46	2.46
