#TSV
#============Begin of sheet============
@Sheet=委托小组奖励
委托小组ID	奖励物品ID	奖励物品数量	每日奖励货币类型	每日奖励货币数量
100	24990	2	1	6
101	24990	3	1	7
102	24990	4	1	8
103	24990	5	1	9
104	24990	6	1	10
105	24990	7	1	11
106	24990	8	1	12
107	24990	9	1	13
108	24990	10	1	14
#============End of sheet============

#============Begin of sheet============
@Sheet=委托大组奖励
委托大组ID	奖励物品ID	奖励物品数量	消耗货币类型	消耗货币数量	是否需要解锁小组
101	求生道具包	0		60	5
101	求生道具包	0		7201	1000
101	求生道具包	0		7202	99
101	求生道具包	0		7203	60
101	求生道具包	0		7204	20
101	求生道具包	0		7205	20
101	求生道具包	0		7206	20
101	求生道具包	0		7207	40
101	求生道具包	0		7208	40
101	求生道具包	0		7209	40
101	求生道具包	0		7210	40
101	求生道具包	0		7211	40
101	求生道具包	0		7212	40
102	陷阱道具包	0		419	3
102	陷阱道具包	0		64	5
102	陷阱道具包	0		1231	3
102	陷阱道具包	0		1226	3
102	陷阱道具包	0		1230	3
102	陷阱道具包	0		7201	1000
102	陷阱道具包	0		7202	99
102	陷阱道具包	0		7203	60
102	陷阱道具包	0		7204	20
102	陷阱道具包	0		7205	20
102	陷阱道具包	0		7206	20
102	陷阱道具包	0		7207	40
102	陷阱道具包	0		7208	40
102	陷阱道具包	0		7209	40
102	陷阱道具包	0		7210	40
102	陷阱道具包	0		7211	40
102	陷阱道具包	0		7212	40
103	干扰道具包	0		419	3
103	干扰道具包	0		64	5
103	干扰道具包	0		1227	1
103	干扰道具包	0		1212	3
103	干扰道具包	0		1210	1
103	干扰道具包	0		7201	1000
103	干扰道具包	0		7202	99
103	干扰道具包	0		7203	60
103	干扰道具包	0		7204	20
103	干扰道具包	0		7205	20
103	干扰道具包	0		7206	20
103	干扰道具包	0		7207	40
103	干扰道具包	0		7208	40
103	干扰道具包	0		7209	40
103	干扰道具包	0		7210	40
103	干扰道具包	0		7211	40
103	干扰道具包	0		7212	40
104	医疗道具包	0		419	2
104	医疗道具包	0		1229	6
104	医疗道具包	0		64	5
104	医疗道具包	0		60	5
104	医疗道具包	0		7201	1000
104	医疗道具包	0		7202	99
104	医疗道具包	0		7203	60
104	医疗道具包	0		7204	20
104	医疗道具包	0		7205	20
104	医疗道具包	0		7206	20
104	医疗道具包	0		7207	40
104	医疗道具包	0		7208	40
104	医疗道具包	0		7209	40
104	医疗道具包	0		7210	40
104	医疗道具包	0		7211	40
104	医疗道具包	0		7212	40
105	万能道具包	0		419	2
105	万能道具包	0		1229	2
105	万能道具包	0		64	5
105	万能道具包	0		1227	1
105	万能道具包	0		1228	1
105	万能道具包	0		1226	1
105	万能道具包	0		1230	1
105	万能道具包	0		7201	1000
105	万能道具包	0		7202	99
105	万能道具包	0		7203	60
105	万能道具包	0		7204	20
105	万能道具包	0		7205	20
105	万能道具包	0		7206	20
105	万能道具包	0		7207	40
105	万能道具包	0		7208	40
105	万能道具包	0		7209	40
105	万能道具包	0		7210	40
105	万能道具包	0		7211	40
105	万能道具包	0		7212	40
106	双刀狩猎包	0	55119		1
106	双刀狩猎包	0	61141		1
106	双刀狩猎包	0	61142		1
106	双刀狩猎包	0	61143		1
106	双刀狩猎包	0	61144		1
106	双刀狩猎包	0	61145		1
58	眠鸟套装-眠鸟片手包	0	53062		
58	眠鸟套装-眠鸟片手包	0	60101		
58	眠鸟套装-眠鸟片手包	0	60102		
58	眠鸟套装-眠鸟片手包	0	60103		
58	眠鸟套装-眠鸟片手包	0	60104		
58	眠鸟套装-眠鸟片手包	0	60105		
59	临时59	0	60001		
60	临时60	0	60001		
601	眠鸟片手包	0	53100		
601	眠鸟片手包	0	61161		
601	眠鸟片手包	0	61162		
601	眠鸟片手包	0	61163		
601	眠鸟片手包	0	61164		
601	眠鸟片手包	0	61165		
602	星龙弩炮包	0	51101		
602	星龙弩炮包	0	60226		
602	星龙弩炮包	0	60227		
602	星龙弩炮包	0	60228		
602	星龙弩炮包	0	60229		
602	星龙弩炮包	0	60230		
603	星龙弓箭包	0	59100		
603	星龙弓箭包	0	60226		
603	星龙弓箭包	0	60227		
603	星龙弓箭包	0	60228		
603	星龙弓箭包	0	60229		
603	星龙弓箭包	0	60230		
604	眠鸟锤子包	0	54096		
604	眠鸟锤子包	0	61161		
604	眠鸟锤子包	0	61162		
604	眠鸟锤子包	0	61163		
604	眠鸟锤子包	0	61164		
604	眠鸟锤子包	0	61165		
605	眠鸟片手包	0	53100		
605	眠鸟片手包	0	61161		
605	眠鸟片手包	0	61162		
605	眠鸟片手包	0	61163		
605	眠鸟片手包	0	61164		
605	眠鸟片手包	0	61165		
606	眠鸟大剑包	0	50096		
606	眠鸟大剑包	0	61161		
606	眠鸟大剑包	0	61162		
606	眠鸟大剑包	0	61163		
606	眠鸟大剑包	0	61164		
606	眠鸟大剑包	0	61165		
607	眠鸟太刀包	0	52093		
607	眠鸟太刀包	0	61161		
607	眠鸟太刀包	0	61162		
607	眠鸟太刀包	0	61163		
607	眠鸟太刀包	0	61164		
607	眠鸟太刀包	0	61165		
608	眠鸟双刀	0	55098		
608	眠鸟头铠	0	61161		
608	眠鸟腕铠	0	61162		
608	眠鸟胸铠	0	61163		
608	眠鸟腰铠	0	61164		
608	眠鸟腿铠	0	61165		
901	晓风短剑	0	53011		
901	晓风头盔	0	60001		
901	晓风腕甲	0	60002		
901	晓风铠甲	0	60003		
901	晓风腰甲	0	60004		
901	晓风重靴	0	60005		
902	晓风太刀 	0	52011		
902	晓风头盔	0	60001		
902	晓风腕甲	0	60002		
902	晓风铠甲	0	60003		
902	晓风腰甲	0	60004		
902	晓风重靴	0	60005		
903	晓风大剑	0	50011		
903	晓风头盔	0	60001		
903	晓风腕甲	0	60002		
903	晓风铠甲	0	60003		
903	晓风腰甲	0	60004		
903	晓风重靴	0	60005		
904	新手弩炮+蓄力管	0	51011		
904	晓风头盔	0	60001		
904	晓风腕甲	0	60002		
904	晓风铠甲	0	60003		
904	晓风腰甲	0	60004		
904	晓风重靴	0	60005		
905	晓风大锤	0	54011		
905	晓风头盔	0	60001		
905	晓风腕甲	0	60002		
905	晓风铠甲	0	60003		
905	晓风腰甲	0	60004		
905	晓风重靴	0	60005		
906	晓风弓	0	59011		
906	晓风头盔	0	60001		
906	晓风腕甲	0	60002		
906	晓风铠甲	0	60003		
906	晓风腰甲	0	60004		
906	晓风重靴	0	60005		
907	晓风双刀	0	55011		
907	晓风头盔	0	60001		
907	晓风腕甲	0	60002		
907	晓风铠甲	0	60003		
907	晓风腰甲	0	60004		
907	晓风重靴	0	60005		
#============End of sheet============

#============Begin of sheet============
@Sheet=狩猎包组静态数据
狩猎包组ID	狩猎包组名称	可否重复选择	狩猎包ID1	狩猎包ID2	狩猎包ID3	狩猎包ID4	狩猎包ID5
1	太刀极意-河狸兽	1	2				
2	王者大剑-河狸兽	1	1				
3	全能片手-河狸兽	1	3				
4	粉碎之锤-河狸兽	1	4				
5	喧嚣弩炮-河狸兽	1	5				
6	太刀极意-大野猪王	1	7	12			
7	王者大剑-大野猪王	1	6	11			
8	全能片手-大野猪王	1	8	13			
9	粉碎之锤-大野猪王	1	9	14			
10	喧嚣弩炮-大野猪王	1	10	15			
11	太刀极意-蓝速龙王	1	2				
12	王者大剑-蓝速龙王	1	1				
13	全能片手-蓝速龙王	1	3				
14	粉碎之锤-蓝速龙王	1	4				
15	喧嚣弩炮-蓝速龙王	1	5				
16	太刀极意-大怪鸟	1	17				
17	王者大剑-大怪鸟	1	16				
18	全能片手-大怪鸟	1	18				
19	粉碎之锤-大怪鸟	1	19				
20	喧嚣弩炮-大怪鸟	1	20				
21	太刀极意-黄速龙王	1	17				
22	王者大剑-黄速龙王	1	16				
23	全能片手-黄速龙王	1	18				
24	粉碎之锤-黄速龙王	1	19				
25	喧嚣弩炮-黄速龙王	1	20				
26	太刀极意-毒怪鸟	1	32				
27	王者大剑-毒怪鸟	1	31				
28	全能片手-毒怪鸟	1	33				
29	粉碎之锤-毒怪鸟	1	34				
30	喧嚣弩炮-毒怪鸟	1	35				
31	太刀极意-沙狸兽	1	32				
32	王者大剑-沙狸兽	1	31				
33	全能片手-沙狸兽	1	33				
34	粉碎之锤-沙狸兽	1	34				
35	喧嚣弩炮-沙狸兽	1	35				
36	太刀极意-桃毛兽王	1	37	42			
37	王者大剑-桃毛兽王	1	36	41			
38	全能片手-桃毛兽王	1	38	43			
39	粉碎之锤-桃毛兽王	1	39	44			
40	喧嚣弩炮-桃毛兽王	1	40	45			
41	太刀极意-鬼狩猎蜘蛛	1	22	27			
42	王者大剑-鬼狩猎蜘蛛	1	21	26			
43	全能片手-鬼狩猎蜘蛛	1	23	28			
44	粉碎之锤-鬼狩猎蜘蛛	1	24	29			
45	喧嚣弩炮-鬼狩猎蜘蛛	1	25	30			
46	太刀极意-大名盾蟹	1	47				
47	王者大剑-大名盾蟹	1	46				
48	全能片手-大名盾蟹	1	48				
49	粉碎之锤-大名盾蟹	1	49				
50	喧嚣弩炮-大名盾蟹	1	50				
51	太刀极意-眠鸟	1	47				
52	王者大剑-眠鸟	1	46				
53	全能片手-眠鸟	1	48				
54	粉碎之锤-眠鸟	1	49				
55	喧嚣弩炮-眠鸟	1	50				
56	太刀极意-沙龙王	1	52	57			
57	王者大剑-沙龙王	1	51	56			
58	全能片手-沙龙王	1	53	58			
59	粉碎之锤-沙龙王	1	54	59			
60	喧嚣弩炮-沙龙王	1	55	60			
601	眠鸟片手包	1	601				
602	星龙远程包	1	602	603			
603	眠鸟近程包	1	604	605	606	607	
901	片手武器训练包	1	901				
902	太刀武器训练包	1	902				
903	大剑武器训练包	1	903				
904	弩炮武器训练包	1	904				
905	大锤武器训练包	1	905				
906	弓武器训练包	1	906				
907	双刀武器训练包	1	907				
100	PVP道具包	1	101	102	103	104	105
106	双刀狩猎包	1	106				
908	猎人挑战赛测试包	1	601	604	607	608	602
#============End of sheet============

#============Begin of sheet============
@Sheet=委托大组发布出发NPC
发布NPCID	委托大组ID
39006	1
30146	3,21
30134	4
30023	5
30123	5,14
30113	9
32090	11
32042	10
32095	12
32097	13
#============End of sheet============

#EOF
