#TSV
#============Begin of sheet============
@Sheet=技能珠
总表ID	物品名称	说明	物品等级	稀有度	图标ID	离开副本是否保留	RANK	物品主类	物品中类	物品子类	绑定类型	拥有上限	携带上限	堆叠上限	农场精算点数	可否摧毁	购买价格	出售价格	是否商城道具	可否分解	物品过期时间	物品过期Tag	模型资源(男)	模型资源(女)	角色等级需求	种族需求	星级职业需求	星级等级需求	需求技能1ID	需求技能1等级MIN	需求技能1等级MAX	需求技能2ID	需求技能2等级MIN	需求技能2等级MAX	猎团等级需求	宠物等级需求	性别需求	需求地区ID	需求LevelMode	需求关卡ID	物品使用次数	CD时间	共享CD组	CD下线是否保留	使用目标	动作技能	物品使用功能1名称	物品使用功能1参数1	物品使用功能1参数2	物品使用功能1参数3	物品使用功能2名称	物品使用功能2参数1	物品使用功能2参数2	物品使用功能2参数3	物品使用功能3名称	物品使用功能3参数1	物品使用功能3参数2	物品使用功能3参数3	物品使用功能4名称	物品使用功能4参数1	物品使用功能4参数2	物品使用功能4参数3	对应技能1ID	点数1	对应技能2ID	点数2	对应技能3ID	点数3	对应技能4ID	点数4	可否被偷窃	共享携带上限组ID	物品伤害信息	排序参数	镶嵌需求孔数	镶嵌需求装备等级Min	镶嵌需求装备等级Max	商城索引ID	素材分类_1	素材价值_1	素材分类_2	素材价值_2	素材分类_3	素材价值_3	素材分类_4	素材价值_4	素材分类_5	素材价值_5	素材分类_6	素材价值_6	素材分类_7	素材价值_7	素材分类_8	素材价值_8	素材分类_9	素材价值_9	素材分类_10	素材价值_10	副本中使用次数	随机狩猎奖励点	解绑道具	解绑道具数量
29011	强弹珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29011			2		999																									
29012	强弹珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	4	prop_sb_02	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	4	87	-1	0	0	0	0	0	29012			3		999																									
29013	狩人珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29013			1		999																									
29014	狩人珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29014			2		999																									
29015	狩人珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29015			3		999																									
29016	耐痹珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：麻痹抵抗+1，毒抵抗-1</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：阳翔原珠×1  黄速龙的厚鳞×2     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	21	-1	0	0	0	0	0	29016			1	1	999																									
29017	耐痹珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	3	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	21	-1	0	0	0	0	0	29017			2		999																									
29018	耐痹珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29018			3		999																									
29019	罠师珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29019			1		999																									
29020	罠师珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29020			2		999																									
29021	罠师珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29021			3		999																									
29022	皮剥珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29022			1		999																									
29023	皮剥珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29023			2		999																									
29024	皮剥珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29024			3		999																									
29025	千里珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：千里眼+2</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：明王原珠×1  星龙的刚角×2     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	29025			1	1	999																									
29026	千里珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29026			2		999																									
29027	千里珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29027			3		999																									
29028	菌学珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29028			1		999																									
29029	菌学珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29029			2		999																									
29030	菌学珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29030			3		999																									
29031	食汉珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：吃货+2</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：明王原珠×2  沙狸兽的刚爪×1     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	2	0	0	0	0	0	0	0	29031			1	1	999																									
29032	食汉珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29032			2		999																									
29033	食汉珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29033			3		999																									
29034	速食珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29034			1		999																									
29035	速食珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29035			2		999																									
29036	速食珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	4	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	29036			3		999																									
29037	观察珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：观察眼+2</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：明王原珠×1  毒鸟的紫韧翼×2     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	29037			1	1	999																									
29038	观察珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29038			2		999																									
29039	观察珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29039			3		999																									
29040	采取珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29040			1		999																									
29041	采取珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29041			2		999																									
29042	采取珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29042			3		999																									
29043	火炎珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：火属性攻击+1，水属性攻击-1</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：水光原珠×1  怪鸟的重鳞×2     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	13	-1	0	0	0	0	0	29043			1	1	999																									
29044	火炎珠【2】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：火属性攻击+3，水属性攻击-1</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：水光原珠×1  青怪鸟的重背甲×2  高级技能珠素材券×10</FONT><BR>"	1	3	prop_sb_02	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	13	-1	0	0	0	0	0	29044			2	1	999																									
29045	火炎珠【3】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：火属性攻击+5，水属性攻击-2</FONT><BR><FONT COLOR=\"\#6285C6\" ></FONT><BR>"	1	4	prop_sb_03	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	13	-2	0	0	0	0	0	29045			3	1	999																									
29046	速气珠【1】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29046			1		999																									
29047	速气珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29047			2		999																									
29048	速气珠【3】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29048			3		999																									
29049	重击珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：重击+1，达人-1</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：般若原珠×2  大野猪王的刚牙×1     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	3	-1	0	0	0	0	0	29049			1	1	999																									
29050	重击珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29050			2		999																									
29051	重击珠【3】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：重击+4，达人-2</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：般若原珠×1  妖光的浓液×2  高级技能珠素材券×15</FONT><BR>"	1	4	prop_sb_03	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4	3	-2	0	0	0	0	0	29051			3	1	999																									
29052	痛击珠【1】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：痛击+1，体力-1</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：般若原珠×2  赤红的豪刚鬃×1     </FONT><BR>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	10	-1	0	0	0	0	0	29052			1	1	999																									
29053	痛击珠【2】	"<BR><FONT COLOR=\"\#C6B262\">DISCARD</FONT>"	1	2	prop_sb_01	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	-1	0	0	0	0	0	29053			2		999																									
29054	痛击珠【3】	"<FONT COLOR=\"\#68A16A\" >镶嵌到装备上：痛击+4，体力-2</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：珠宝调和\n所需素材：般若原珠×1  尾晶蝎的刚爪×2  高级技能珠素材券×15</FONT><BR>"	1	4	prop_sb_03	1	0	1	12	1	0	0	0	99		0	280	1	0	0	0		0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	4	10	-2	0	0	0	0	0	29054			3	1	999																									
