#TSV
#============Begin of sheet============
@Sheet=可选技能
技能ID	技能名称	技能组ID	是否未开放	类型ID	客户端分页ID	客户端分页名称	客户端分组ID	客户端分组名称	cost值	cost增量	被动技组	被动技能点数	被动技编号	是否默认激活	解锁赠送重置次数	需求银币	需求素材ID_1	需求素材数量_1	需求素材ID_2	需求素材数量_2	需求素材ID_3	需求素材数量_3	需求素材ID_4	需求素材数量_4	需求素材ID_5	需求素材数量_5	需求素材ID_6	需求素材数量_6	泛型素材类型_1	泛型素材点数_1	泛型素材类型_2	泛型素材点数_2	泛型素材类型_3	泛型素材点数_3	泛型素材类型_4	泛型素材点数_4	泛型素材类型_5	泛型素材点数_5	泛型素材类型_6	泛型素材点数_6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
1160	Evade Dist +1	1		1	2	Defense	2	Enhancement Skills	60	1	54	10	162	0	1	2400	21465	5											160	90	5	180									21474	5	10	21474	18	10												
1165	Guts	1		1	2	Defense	4	Special Skills	40	1	56	10	167	0	1	1600	21465	1											130	55											21474	3	10															
1166	Challenger +1	1		1	1	Attack	4	Special Skills	35	1	57	10	168	0	1	1000													51	40											21474	4	10															
1167	Challenger +2	1		1	1	Attack	4	Special Skills	70	1	57	15	997	0	1	2000	21465	2											160	70	5	140									21474	4	10	21474	14	10												
1168	Anti-bacterial	1		1	2	Defense	4	Special Skills	30	1	58	10	169	0	1	1200													51	40											21474	4	10															
1169	Fortify	1		1	3	Status	4	Special Skills	60	1	59	10	170	0	1	2400	21465	5											151	90	5	180									21474	5	10	21474	18	10												
1170	Negate Mud/Snow	1		1	2	Defense	4	Special Skills	40	1	60	10	171	0	1	1600													55	45											21474	5	10															
1171	Windproof (Lo)	1		1	2	Defense	4	Special Skills	30	1	61	10	172	0	1	1200													144	50											21474	3	10															
1172	Windproof (Hi)	1		1	2	Defense	4	Special Skills	50	1	61	15	173	0	1	2000	21465	2											161	70	5	140									21474	4	10	21474	14	10												
1174	Marathon Runner +1	1		1	3	Status	2	Enhancement Skills	40	1	62	10	175	0	1	1600	21465	1											156	55											21474	3	10															
1179	Violent Strike	1		1	1	Attack	2	Enhancement Skills	30	1	65	10	180	0	1	1200													161	50	5	100									21474	3	10	21474	10	10												
1180	Wide-Range +1	1		1	3	Status	4	Special Skills	20	1	66	10	181	0	1	800													55	35											21474	4	10															
1181	Wide-Range +2	1		1	3	Status	4	Special Skills	30	1	66	15	182	0	1	1200													132	50											21474	3	10															
1182	Wide-Range +3	1		1	3	Status	4	Special Skills	40	1	66	20	183	0	1	1600	21465	1											146	55											21474	3	10															
1185	Assassin Tech +1	1		1	1	Attack	2	Enhancement Skills	40	1	68	10	186	0	1	1600	21465	1											157	55											21474	3	10															
1186	Assassin Tech +2	1		1	1	Attack	2	Enhancement Skills	60	1	68	15	187	0	1	2400	21465	5											158	90											21474	5	10															
1187	Sharp	1		1	1	Attack	2	Enhancement Skills	60	1	69	10	188	0	1	2400	21465	5											161	90	5	180									21474	5	10	21474	18	10												
1192	Wilderness Survival	1		1	3	Status	4	Special Skills	10	1	71	10	213	0	1	400													52	35											21474	4	10															
1196	Flying Wyvern Killer	1		1	1	Attack	4	Special Skills	40	1	75	10	217	0	1	1600	21465	1											155	27											21474	2	10															
1197	Bird Wyvern Killer	1		1	1	Attack	4	Special Skills	40	1	76	10	218	0	1	1600	21465	1											153	55											21474	3	10															
1198	Carapacean Killer	1		1	1	Attack	4	Special Skills	40	1	77	10	219	0	1	1600	21465	1											152	55											21474	3	10															
1199	Elder Dragon Killer	1		1	1	Attack	4	Special Skills	40	1	78	10	220	0	1	1600	21465	1											145	55											21474	3	10															
1200	Piscine Wyvern Killer	1		1	1	Attack	4	Special Skills	40	1	79	10	221	0	1	1600	21465	1											126	55											21474	3	10															
1201	Fanged Beast Killer	1		1	1	Attack	4	Special Skills	40	1	80	10	222	0	1	1600	21465	1											136	55											21474	3	10															
1204	KO	1		1	1	Attack	2	Enhancement Skills	50	1	83	10	225	0	1	2000	21465	1											150	60											21474	3	10															
1205	Tripping Power	1		1	1	Attack	2	Enhancement Skills	40	1	84	10	226	0	1	1600	21465	2											160	70	5	140									21474	4	10	21474	14	10												
1206	Heat Cancel	1		1	3	Status	2	Enhancement Skills	30	1	85	10	227	0	1	1200													54	40											21474	4	10															
1207	Cold Res	1		1	3	Status	2	Enhancement Skills	20	1	86	10	228	0	1	800													51	35											21474	4	10															
1234	Gourmand	1		1	3	Status	4	Special Skills	10	1	110	10	234	0	1	400													51	35											21474	4	10															
1235	Unscathed	1		1	1	Attack	2	Enhancement Skills	70	1	111	10	235	0	1	2800	21465	5											159	45											21474	3	10															
1237	Water Res +1	1		1	2	Defense	3	Element	20	1	113	10	237	0	1	800													54	35											21474	4	10															
1238	Water Res +2	1		1	2	Defense	3	Element	40	1	113	15	238	0	1	1600													52	45											21474	5	10															
1241	Fire Res +1	1		1	2	Defense	3	Element	20	1	114	10	241	0	1	800													55	35											21474	4	10															
1242	Fire Res +2	1		1	2	Defense	3	Element	40	1	114	15	242	0	1	1600													55	45											21474	5	10															
1245	Thunder Res +1	1		1	2	Defense	3	Element	20	1	115	10	245	0	1	800													55	35											21474	4	10															
1246	Thunder Res +2	1		1	2	Defense	3	Element	40	1	115	15	246	0	1	1600													57	45											21474	5	10															
1249	Dragon Res +1	1		1	2	Defense	3	Element	20	1	116	10	249	0	1	800													53	35											21474	4	10															
1250	Dragon Res +2	1		1	2	Defense	3	Element	40	1	116	15	250	0	1	1600													56	22											21474	3	10															
1253	Ice Res +1	1		1	2	Defense	3	Element	20	1	117	10	253	0	1	800													55	35											21474	4	10															
1254	Ice Res +2	1		1	2	Defense	3	Element	40	1	117	15	254	0	1	1600													55	45											21474	5	10															
1258	Speed Sharpening	1		1	1	Attack	4	Special Skills	30	1	119	10	258	0	1	1200													55	40											21474	4	10															
1259	High Speed Sharpening	1		1	1	Attack	4	Special Skills	70	1	119	15	259	0	1	2800	21465	6											163	50	5	200									21474	3	10	21474	20	10												
1261	Stun Lock	1		1	1	Attack	2	Enhancement Skills	50	1	120	10	261	0	1	2000	21465	1											156	60											21474	3	10															
1264	Recovery Up	1		1	2	Defense	4	Special Skills	20	1	123	10	264	0	1	800													55	35											21474	4	10															
1265	Recovery Up Large	1		1	2	Defense	4	Special Skills	30	1	123	15	265	0	1	1200													104	50											21474	3	10															
1267	Herbal Daren	1		1	3	Status	4	Special Skills	10	1	124	10	267	0	1	400													55	35											21474	4	10															
1289	Negate Bleeding	1		1	2	Defense	4	Special Skills	50	1	135	10	290	0	1	2000	21465	1											142	60											21474	3	10															
2001	Attack Up (S)	2		1	1	Attack	1	Basic Skills	20	1	1	10	1	0	1	800													52	35											21474	4	10															
2002	Attack Up (M)	2		1	1	Attack	1	Basic Skills	40	1	1	15	2	0	1	1600													55	45											21474	5	10															
2003	Attack Up (L)	2		1	1	Attack	1	Basic Skills	60	1	1	20	3	0	1	2400	21465	2											158	70											21474	4	10															
2004	Attack Up (XL)	2		1	1	Attack	1	Basic Skills	80	1	1	25	4	0	1	3200	21465	5											163	45	5	180									21474	3	10	21474	18	10												
2005	Attack Up (XXL)	2		1	1	Attack	1	Basic Skills	100	1	1	30	5	0	1	4000	21465	10											160	200	5	400									21474	10	10	21474	40	10												
2010	Defense Up (S)	2		1	2	Defense	1	Basic Skills	10	1	2	10	10	0	1	400													51	35											21474	4	10															
2011	Defense Up (M)	2		1	2	Defense	1	Basic Skills	20	1	2	15	11	0	1	800													53	35											21474	4	10															
2012	Defense Up (L)	2		1	2	Defense	1	Basic Skills	30	1	2	20	12	0	1	1200													129	50											21474	3	10															
2013	Defense Up (XL)	2		1	2	Defense	1	Basic Skills	40	1	2	25	13	0	1	1600													56	22											21474	3	10															
2014	Defense Up (XXL)	2		1	2	Defense	1	Basic Skills	50	1	2	30	14	0	1	2000	21465	2											151	70	5	140									21474	4	10	21474	14	10												
2019	Critical Eye +1	2		1	1	Attack	2	Enhancement Skills	20	1	3	10	19	0	1	800													52	35											21474	4	10															
2020	Critical Eye +2	2		1	1	Attack	2	Enhancement Skills	30	1	3	15	20	0	1	1200													53	40											21474	4	10															
2021	Critical Eye +3	2		1	1	Attack	2	Enhancement Skills	40	1	3	20	21	0	1	1600	21465	1											128	55											21474	3	10															
2022	Critical Eye +4	2		1	1	Attack	2	Enhancement Skills	50	1	3	25	22	0	1	2000	21465	2											157	70											21474	4	10															
2023	Critical Eye +5	2		1	1	Attack	2	Enhancement Skills	60	1	3	30	23	0	1	2400	21465	5											157	90											21474	5	10															
2029	Speed Eating	2		1	3	Status	2	Enhancement Skills	30	1	5	10	29	0	1	400													55	40											21474	4	10															
2034	Detect	2		1	3	Status	4	Special Skills	20	1	7	10	34	0	1	800													56	17											21474	2	10															
2037	Perception	2		1	3	Status	4	Special Skills	60	1	9	10	37	0	1	2400	21465	5											151	90	5	180									21474	5	10	21474	18	10												
2038	Health +1	2		1	2	Defense	1	Basic Skills	15	1	10	10	38	0	1	600													51	35											21474	4	10															
2039	Health +2	2		1	2	Defense	1	Basic Skills	30	1	10	15	39	0	1	1200													55	40											21474	4	10															
2040	Health +3	2		1	2	Defense	1	Basic Skills	45	1	10	20	40	0	1	1800	21465	1											138	60											21474	3	10															
2041	Health +4	2		1	2	Defense	1	Basic Skills	60	1	10	25	41	0	1	2400	21465	2											163	35	5	140									21474	2	10	21474	14	10												
2042	Health +5	2		1	2	Defense	1	Basic Skills	75	1	10	30	42	0	1	3000	21465	5											160	90	5	180									21474	5	10	21474	18	10												
2047	Rec Speed +1	2		1	2	Defense	2	Enhancement Skills	10	1	11	10	47	0	1	400													55	35											21474	4	10															
2048	Rec Speed +2	2		1	2	Defense	2	Enhancement Skills	20	1	11	15	48	0	1	800													51	35											21474	4	10															
2049	Rec Speed +3	2		1	2	Defense	2	Enhancement Skills	30	1	11	20	49	0	1	1200													158	50											21474	3	10															
2057	Water Atk +1	2		1	1	Attack	3	Element	20	1	13	10	57	0	1	800													52	35											21474	4	10															
2058	Water Atk +2	2		1	1	Attack	3	Element	40	1	13	15	58	0	1	1600	21465	1											124	55											21474	3	10															
2059	Water Atk +3	2		1	1	Attack	3	Element	60	1	13	20	59	0	1	2400	21465	2											163	35	5	140									21474	2	10	21474	14	10												
2061	Fire Atk +1	2		1	1	Attack	3	Element	20	1	14	10	61	0	1	800													55	35											21474	4	10															
2062	Fire Atk +2	2		1	1	Attack	3	Element	40	1	14	15	62	0	1	1600	21465	1											147	55											21474	3	10															
2063	Fire Atk +3	2		1	1	Attack	3	Element	60	1	14	20	63	0	1	2400	21465	2											156	70											21474	4	10															
2065	Thunder Atk +1	2		1	1	Attack	3	Element	20	1	15	10	65	0	1	800													57	35											21474	4	10															
2066	Thunder Atk +2	2		1	1	Attack	3	Element	40	1	15	15	66	0	1	1600	21465	1											143	55											21474	3	10															
2067	Thunder Atk +3	2		1	1	Attack	3	Element	60	1	15	20	67	0	1	2400	21465	2											143	70											21474	4	10															
2069	Dragon Atk +1	2		1	1	Attack	3	Element	20	1	16	10	69	0	1	800													56	17											21474	2	10															
2070	Dragon Atk +2	2		1	1	Attack	3	Element	40	1	16	15	70	0	1	1600	21465	1											134	55											21474	3	10															
2071	Dragon Atk +3	2		1	1	Attack	3	Element	60	1	16	20	71	0	1	2400	21465	2											147	70											21474	4	10															
2073	Ice Atk +1	2		1	1	Attack	3	Element	20	1	17	10	73	0	1	800													52	35											21474	4	10															
2074	Ice Atk +2	2		1	1	Attack	3	Element	40	1	17	15	74	0	1	1600	21465	1											154	27											21474	2	10															
2075	Ice Atk +3	2		1	1	Attack	3	Element	60	1	17	20	75	0	1	2400	21465	2											155	35											21474	2	10															
2077	Negate Paralysis	2		1	2	Defense	4	Special Skills	60	1	18	10	78	0	1	2400	21465	2											148	70											21474	4	10															
2079	Halve Stun	2		1	2	Defense	4	Special Skills	30	1	19	10	80	0	1	1200													55	40											21474	4	10															
2080	Negate Stun	2		1	2	Defense	4	Special Skills	60	1	19	15	81	0	1	2400	21465	2											160	70	5	140									21474	4	10	21474	14	10												
2082	Negate Sleep	2		1	2	Defense	4	Special Skills	50	1	20	10	84	0	1	2000	21465	2											152	70											21474	4	10															
2084	Halve Poison	2		1	2	Defense	4	Special Skills	20	1	21	10	86	0	1	800													52	35											21474	4	10															
2085	Negate Poison	2		1	2	Defense	4	Special Skills	40	1	21	15	87	0	1	1600	21465	2											161	70	5	140									21474	4	10	21474	14	10												
2091	Divine Blessing	2		1	2	Defense	2	Enhancement Skills	40	1	23	10	93	0	1	1600	21465	1											135	55											21474	3	10															
2098	Partbreaker	2		1	1	Attack	2	Enhancement Skills	50	1	25	10	100	0	1	2000	21465	5											157	90											21474	5	10															
2099	Destruction God	2		1	1	Attack	2	Enhancement Skills	80	1	25	15	101	0	1	3000	21465	8											160	150	5	300									21474	8	10	21474	30	10												
2100	Adrenaline +1	2		1	3	Status	2	Enhancement Skills	50	1	26	10	102	0	1	1600	21465	2											156	70											21474	4	10															
2104	Mind's Eye	2		1	1	Attack	4	Special Skills	60	1	27	10	106	0	1	2400	21465	5											161	90	5	180									21474	5	10	21474	18	10												
2106	Weakness Exploit	2		1	1	Attack	4	Special Skills	60	1	29	10	108	0	1	2400	21465	5											160	90	5	180									21474	5	10	21474	18	10												
2110	Halve Hunger	2		1	3	Status	4	Special Skills	15	1	31	10	112	0	1	600													55	35											21474	4	10															
2111	Negate Hunger	2		1	3	Status	4	Special Skills	30	1	31	20	113	0	1	1200													151	50	5	100									21474	3	10	21474	10	10												
2114	Constitution +2	2		1	2	Defense	2	Enhancement Skills	40	1	32	15	116	0	1	1600	21465	2											161	70	5	140									21474	4	10	21474	14	10												
2115	Constitution +3	2		1	2	Defense	2	Enhancement Skills	60	1	32	20	117	0	1	2400	21465	5											156	90											21474	5	10															
2118	Butterfly Form	2		1	3	Status	2	Enhancement Skills	60	1	33	10	120	0	1	2400	21465	2											134	70											21474	4	10															
2127	Status Atk +1	2		1	1	Attack	2	Enhancement Skills	50	1	36	10	129	0	1	2000	21465	2											159	35											21474	2	10															
2134	Trap Master	2		1	3	Status	4	Special Skills	30	1	38	10	136	0	1	1200													56	20											21474	2	10															
2138	Tremor Res	2		1	2	Defense	4	Special Skills	50	1	42	10	140	0	1	2000	21465	2											158	70											21474	4	10															
2139	See Through +1	2		1	2	Defense	4	Special Skills	30	1	43	10	141	0	1	1200													55	40											21474	4	10															
2140	See Through +2	2		1	2	Defense	4	Special Skills	60	1	43	15	142	0	1	2400	21465	5											155	45											21474	3	10															
2141	Attract	2		1	1	Attack	4	Special Skills	40	1	44	10	143	0	1	2000	21465	1											127	55											21474	3	10															
2145	Sneak	2		1	3	Status	4	Special Skills	60	1	48	10	147	0	1	2400	21465	2											159	35											21474	2	10															
2147	Earplugs	2		1	2	Defense	4	Special Skills	60	1	49	10	149	0	1	2400	21465	5											163	45	5	180									21474	3	10	21474	18	10												
2149	Guard +1	2		1	2	Defense	2	Enhancement Skills	40	1	50	10	151	0	1	1600	21465	2											151	70	5	140									21474	4	10	21474	14	10												
2152	Guard Boost	2		1	2	Defense	2	Enhancement Skills	50	1	51	10	154	0	1	2000	21465	2											151	70	5	140									21474	4	10	21474	14	10												
2155	Stam Recov +1	2		1	3	Status	2	Enhancement Skills	40	1	53	10	157	0	1	1600	21465	1											148	55											21474	3	10															
2160	Evade Dist +1	2		1	2	Defense	2	Enhancement Skills	60	1	54	10	162	0	1	2400	21465	5											160	90	5	180									21474	5	10	21474	18	10												
2165	Guts	2		1	2	Defense	4	Special Skills	40	1	56	10	167	0	1	1600	21465	1											130	55											21474	3	10															
2166	Challenger +1	2		1	1	Attack	4	Special Skills	35	1	57	10	168	0	1	1000													51	40											21474	4	10															
2167	Challenger +2	2		1	1	Attack	4	Special Skills	70	1	57	15	997	0	1	2000	21465	2											160	70	5	140									21474	4	10	21474	14	10												
2168	Anti-bacterial	2		1	2	Defense	4	Special Skills	30	1	58	10	169	0	1	1200													51	40											21474	4	10															
2169	Fortify	2		1	3	Status	4	Special Skills	60	1	59	10	170	0	1	2400	21465	5											151	90	5	180									21474	5	10	21474	18	10												
2170	Negate Mud/Snow	2		1	2	Defense	4	Special Skills	40	1	60	10	171	0	1	1600													55	45											21474	5	10															
2171	Windproof (Lo)	2		1	2	Defense	4	Special Skills	30	1	61	10	172	0	1	1200													144	50											21474	3	10															
2172	Windproof (Hi)	2		1	2	Defense	4	Special Skills	50	1	61	15	173	0	1	2000	21465	2											161	70	5	140									21474	4	10	21474	14	10												
2174	Marathon Runner +1	2		1	3	Status	2	Enhancement Skills	40	1	62	10	175	0	1	1600	21465	1											156	55											21474	3	10															
2179	Violent Strike	2		1	1	Attack	2	Enhancement Skills	30	1	65	10	180	0	1	1200													161	50	5	100									21474	3	10	21474	10	10												
2180	Wide-Range +1	2		1	3	Status	4	Special Skills	20	1	66	10	181	0	1	800													55	35											21474	4	10															
2181	Wide-Range +2	2		1	3	Status	4	Special Skills	30	1	66	15	182	0	1	1200													132	50											21474	3	10															
2182	Wide-Range +3	2		1	3	Status	4	Special Skills	40	1	66	20	183	0	1	1600	21465	1											146	55											21474	3	10															
2185	Assassin Tech +1	2		1	1	Attack	2	Enhancement Skills	40	1	68	10	186	0	1	1600	21465	1											157	55											21474	3	10															
2186	Assassin Tech +2	2		1	1	Attack	2	Enhancement Skills	60	1	68	15	187	0	1	2400	21465	5											158	90											21474	5	10															
2187	Sharp	2		1	1	Attack	2	Enhancement Skills	60	1	69	10	188	0	1	2400	21465	5											161	90	5	180									21474	5	10	21474	18	10												
2192	Wilderness Survival	2		1	3	Status	4	Special Skills	10	1	71	10	213	0	1	400													52	35											21474	4	10															
